Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000085,0.000134,0.000080,0.000117,"32,580","2,033,310"
"Dec 15, 2017",0.000082,0.000088,0.000077,0.000086,"8,346","1,943,220"
"Dec 14, 2017",0.000086,0.000091,0.000073,0.000081,"29,249","2,049,520"
"Dec 13, 2017",0.000077,0.000097,0.000072,0.000085,"10,233","1,820,220"
"Dec 12, 2017",0.000063,0.000094,0.000062,0.000074,"16,377","1,487,850"
"Dec 11, 2017",0.000061,0.000075,0.000058,0.000062,"4,635","1,451,490"
"Dec 10, 2017",0.000067,0.000077,0.000060,0.000062,"4,361","1,595,550"
"Dec 09, 2017",0.000113,0.000136,0.000067,0.000067,"21,103","2,681,210"
"Dec 08, 2017",0.000065,0.000117,0.000059,0.000113,"5,629","1,537,990"
"Dec 07, 2017",0.000059,0.000068,0.000050,0.000067,"5,773","1,393,720"
"Dec 06, 2017",0.000054,0.000064,0.000050,0.000058,"1,772","1,272,070"
"Dec 05, 2017",0.000058,0.000058,0.000051,0.000054,"4,119","1,358,980"
"Dec 04, 2017",0.000072,0.000073,0.000053,0.000057,"1,929","1,699,660"
"Dec 03, 2017",0.000052,0.000078,0.000049,0.000072,"2,015","1,222,670"
"Dec 02, 2017",0.000049,0.000053,0.000047,0.000051,"1,915","1,147,100"
"Dec 01, 2017",0.000065,0.000065,0.000046,0.000049,"1,871","1,524,100"
"Nov 30, 2017",0.000055,0.000065,0.000053,0.000065,"2,730","1,302,060"
"Nov 29, 2017",0.000083,0.000088,0.000054,0.000055,"4,684","1,964,660"
"Nov 28, 2017",0.000064,0.000087,0.000063,0.000084,"6,522","1,509,620"
"Nov 27, 2017",0.000065,0.000071,0.000063,0.000065,"1,623","1,537,790"
"Nov 26, 2017",0.000056,0.000069,0.000052,0.000065,"4,226","1,319,010"
"Nov 25, 2017",0.000052,0.000056,0.000048,0.000056,"3,387","1,208,320"
"Nov 24, 2017",0.000047,0.000055,0.000046,0.000052,"5,031","1,095,670"
"Nov 23, 2017",0.000053,0.000058,0.000046,0.000046,"7,255","1,236,430"
"Nov 22, 2017",0.000045,0.000057,0.000043,0.000054,"8,369","1,042,950"
"Nov 21, 2017",0.000047,0.000050,0.000043,0.000044,"1,255","1,106,850"
"Nov 20, 2017",0.000045,0.000049,0.000041,0.000048,"3,250","1,760"
"Nov 19, 2017",0.000054,0.000055,0.000043,0.000046,"4,562","2,119"
"Nov 18, 2017",0.000053,0.000058,0.000051,0.000054,"1,533","2,082"
"Nov 17, 2017",0.000060,0.000066,0.000052,0.000053,"2,165","2,345"
"Nov 16, 2017",0.000054,0.000063,0.000051,0.000060,"5,956","2,098"
"Nov 15, 2017",0.000062,0.000118,0.000051,0.000053,"6,313","2,415"
"Nov 14, 2017",0.000058,0.000107,0.000054,0.000062,"5,298","2,245"
"Nov 13, 2017",0.000054,0.000060,0.000053,0.000058,"7,471","2,081"
"Nov 12, 2017",0.000044,0.000105,0.000042,0.000054,"19,154","1,715"
"Nov 11, 2017",0.000049,0.000049,0.000042,0.000044,"2,298","1,893"
"Nov 10, 2017",0.000049,0.000053,0.000047,0.000049,"1,269","1,889"
"Nov 09, 2017",0.000051,0.000051,0.000043,0.000048,"2,525","1,975"
"Nov 08, 2017",0.000057,0.000065,0.000049,0.000051,"2,333","2,189"
"Nov 07, 2017",0.000051,0.000058,0.000045,0.000057,"4,838","1,960"
"Nov 06, 2017",0.000040,0.000051,0.000039,0.000051,"2,568","1,544"
"Nov 05, 2017",0.000040,0.000045,0.000038,0.000040,"2,868","1,541"
"Nov 04, 2017",0.000045,0.000046,0.000038,0.000039,"1,368","1,729"
"Nov 03, 2017",0.000041,0.000052,0.000041,0.000045,"2,366","1,593"
"Nov 02, 2017",0.000044,0.000044,0.000039,0.000041,"4,109","1,685"
"Nov 01, 2017",0.000048,0.000050,0.000042,0.000044,"2,257","1,835"
"Oct 31, 2017",0.000045,0.000053,0.000043,0.000048,"2,748","1,722"
"Oct 30, 2017",0.000049,0.000051,0.000042,0.000045,"2,411","1,901"
"Oct 29, 2017",0.000047,0.000052,0.000043,0.000051,"1,959","1,801"
"Oct 28, 2017",0.000047,0.000049,0.000045,0.000047,"10,308","1,791"
"Oct 27, 2017",0.000046,0.000048,0.000043,0.000046,"1,586","1,762"
"Oct 26, 2017",0.000045,0.000048,0.000043,0.000047,"3,569","1,742"
"Oct 25, 2017",0.000052,0.000053,0.000043,0.000045,"7,138","2,011"
"Oct 24, 2017",0.000058,0.000058,0.000051,0.000052,"22,970","2,228"
"Oct 23, 2017",0.000057,0.000058,0.000054,0.000058,"23,279","2,175"
"Oct 22, 2017",0.000056,0.000059,0.000052,0.000057,"14,525","2,139"
"Oct 21, 2017",0.000056,0.000060,0.000056,0.000058,"15,340","2,128"
"Oct 20, 2017",0.000056,0.000073,0.000054,0.000056,"3,972","2,132"
"Oct 19, 2017",0.000051,0.000101,0.000048,0.000056,"10,676","1,950"
"Oct 18, 2017",0.000054,0.000054,0.000047,0.000052,"2,426","2,045"
"Oct 17, 2017",0.000056,0.000083,0.000053,0.000054,"1,962","2,130"
"Oct 16, 2017",0.000055,0.000164,0.000052,0.000056,"2,869","1,282,860"
"Oct 15, 2017",0.000058,0.000059,0.000052,0.000055,"11,862","1,356,270"
"Oct 14, 2017",0.000055,0.000108,0.000055,0.000058,"13,224","1,288,930"
"Oct 13, 2017",0.000055,0.000104,0.000054,0.000055,"3,935","1,285,870"
"Oct 12, 2017",0.000049,0.000088,0.000049,0.000055,"6,763","1,139,320"
"Oct 11, 2017",0.000062,0.000084,0.000048,0.000049,"14,241","1,436,580"
"Oct 10, 2017",0.000049,0.000077,0.000048,0.000062,"3,530","1,150,100"
"Oct 09, 2017",0.000056,0.000081,0.000049,0.000049,"1,631","1,296,140"
"Oct 08, 2017",0.000062,0.000085,0.000054,0.000056,"1,478","1,440,790"
"Oct 07, 2017",0.000073,0.000079,0.000045,0.000062,"4,097","1,709,660"
"Oct 06, 2017",0.000061,0.000078,0.000047,0.000073,"1,689","1,417,220"
"Oct 05, 2017",0.000059,0.000076,0.000047,0.000061,"1,503","1,370,790"
"Oct 04, 2017",0.000058,0.000062,0.000048,0.000059,"1,234","1,339,370"
"Oct 03, 2017",0.000053,0.000072,0.000047,0.000058,"2,988","1,232,270"
"Oct 02, 2017",0.000056,0.000072,0.000052,0.000053,"1,871","1,310,620"
"Oct 01, 2017",0.000079,0.000079,0.000047,0.000056,"2,322","1,830,080"
"Sep 30, 2017",0.000077,0.000081,0.000048,0.000079,"2,384","1,803,560"
"Sep 29, 2017",0.000072,0.000078,0.000045,0.000077,"2,261","1,682,130"
"Sep 28, 2017",0.000073,0.000075,0.000053,0.000072,"1,653","1,690,410"
"Sep 27, 2017",0.000068,0.000073,0.000049,0.000073,"1,524","1,571,760"
"Sep 26, 2017",0.000065,0.000071,0.000050,0.000070,"4,555","1,515,880"
