Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",5.48,5.73,2.51,4.76,"2,824","1,195,210"
"Dec 15, 2017",4.16,5.53,3.70,5.47,"4,020","906,012"
"Dec 14, 2017",5.17,5.49,3.37,4.16,"1,114","1,122,120"
"Dec 13, 2017",5.95,6.08,4.77,5.17,"1,183","1,290,640"
"Dec 12, 2017",4.63,5.98,4.20,5.94,"4,373","1,001,970"
"Dec 11, 2017",3.95,4.69,3.83,4.66,"1,609","851,540"
"Dec 10, 2017",5.27,5.27,3.93,3.94,"1,125","901,011"
"Dec 09, 2017",5.36,5.66,4.15,5.25,"3,110","915,760"
"Dec 08, 2017",5.66,5.67,4.12,5.36,"4,483","967,819"
"Dec 07, 2017",5.09,5.89,4.10,4.12,"5,240","870,070"
"Dec 06, 2017",6.40,6.42,5.00,5.11,"2,665","1,093,790"
"Dec 05, 2017",6.53,6.77,6.40,6.41,"2,822","1,116,950"
"Dec 04, 2017",6.95,7.05,6.33,6.53,"4,532","1,187,310"
"Dec 03, 2017",5.81,7.19,5.53,6.93,"5,411","993,760"
"Dec 02, 2017",6.47,6.90,5.78,5.81,"10,276","1,105,260"
"Dec 01, 2017",4.70,6.47,4.44,6.47,"7,763","803,760"
"Nov 30, 2017",5.23,6.17,4.00,4.71,"6,505","894,667"
"Nov 29, 2017",5.43,8.86,4.56,5.17,"26,996","928,524"
"Nov 28, 2017",4.51,6.50,3.92,5.43,"24,093","771,427"
"Nov 27, 2017",3.86,4.70,3.40,4.52,"23,007",-
"Nov 26, 2017",4.64,5.34,3.74,3.86,"7,465",-
"Nov 25, 2017",4.81,6.42,3.76,4.64,"20,947",-
"Nov 24, 2017",2.63,5.21,2.61,4.81,"14,348",-
