Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,207,-
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,200,-
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000166,97,-
"Dec 13, 2017",0.000173,0.000348,0.000159,0.000164,"2,186",-
"Dec 12, 2017",0.000169,0.000341,0.000167,0.000173,61,-
"Dec 11, 2017",0.000152,0.000350,0.000152,0.000168,"2,120",-
"Dec 10, 2017",0.000164,0.000164,0.000132,0.000154,261,-
"Dec 09, 2017",0.000163,0.000167,0.000147,0.000163,181,-
"Dec 08, 2017",0.000347,0.000352,0.000144,0.000163,619,-
"Dec 07, 2017",0.000137,0.000346,0.000136,0.000346,11,-
"Dec 06, 2017",0.000241,0.000367,0.000125,0.000138,19,-
"Dec 05, 2017",0.000117,0.000332,0.000115,0.000241,305,-
"Dec 04, 2017",0.000115,0.000116,0.000109,0.000116,185,-
"Dec 03, 2017",0.000113,0.000236,0.000112,0.000234,2,-
"Dec 02, 2017",0.000109,0.000114,0.000108,0.000113,65,-
"Dec 01, 2017",0.000100,0.000110,0.000095,0.000109,5,-
"Nov 30, 2017",0.000197,0.000214,0.000090,0.000100,79,-
"Nov 29, 2017",0.000103,0.000216,0.000103,0.000194,54,-
"Nov 28, 2017",0.000322,0.000426,0.000103,0.000103,357,-
"Nov 27, 2017",0.000186,0.000322,0.000094,0.000321,10,-
"Nov 26, 2017",0.000191,0.000199,0.000092,0.000186,110,-
"Nov 25, 2017",0.000170,0.000223,0.000092,0.000192,28,-
"Nov 24, 2017",0.000156,0.000206,0.000153,0.000170,143,-
"Nov 23, 2017",0.000248,0.000249,0.000156,0.000156,318,-
"Nov 22, 2017",0.000162,0.000250,0.000162,0.000248,138,-
"Nov 21, 2017",0.000082,0.000165,0.000078,0.000162,67,-
"Nov 20, 2017",0.000241,0.000242,0.000082,0.000082,8,-
"Nov 19, 2017",0.000201,0.000242,0.000159,0.000241,4,-
"Nov 18, 2017",0.000198,0.000274,0.000157,0.000202,32,-
"Nov 17, 2017",0.000206,0.000221,0.000150,0.000199,155,-
"Nov 16, 2017",0.000281,0.000425,0.000183,0.000206,460,-
"Nov 15, 2017",0.000133,0.000280,0.000105,0.000279,105,-
"Nov 14, 2017",0.000139,0.000179,0.000068,0.000133,191,-
"Nov 13, 2017",0.000122,0.000139,0.000067,0.000139,77,-
"Nov 12, 2017",0.000174,0.000232,0.000117,0.000121,142,-
"Nov 11, 2017",0.000079,0.000174,0.000067,0.000174,27,-
"Nov 10, 2017",0.000348,0.000358,0.000079,0.000079,621,-
"Nov 09, 2017",0.000141,0.000784,0.000071,0.000347,"2,844",-
"Nov 07, 2017",0.000070,0.000072,0.000070,0.000071,3,-
"Nov 06, 2017",0.000222,0.000222,0.000069,0.000070,3,-
"Nov 05, 2017",0.000074,0.000228,0.000073,0.000221,4,-
"Nov 04, 2017",0.000072,0.000075,0.000070,0.000074,1,-
"Nov 03, 2017",0.000073,0.000073,0.000071,0.000072,3,-
"Nov 02, 2017",0.000067,0.000073,0.000067,0.000071,4,-
"Nov 01, 2017",0.000064,0.000067,0.000064,0.000067,28,-
"Oct 31, 2017",0.000123,0.000123,0.000061,0.000064,71,-
"Oct 30, 2017",0.000062,0.000185,0.000061,0.000123,575,-
"Oct 29, 2017",0.000115,0.000117,0.000058,0.000062,3,-
"Oct 28, 2017",0.000156,0.000170,0.000115,0.000115,1,-
"Oct 27, 2017",0.000118,0.000157,0.000058,0.000156,10,-
"Oct 26, 2017",0.000115,0.000120,0.000057,0.000118,14,-
"Oct 25, 2017",0.000055,0.000115,0.000054,0.000115,917,-
"Oct 24, 2017",0.000059,0.000115,0.000055,0.000055,24,-
"Oct 23, 2017",0.000060,0.000061,0.000057,0.000059,135,-
"Oct 22, 2017",0.000120,0.000121,0.000058,0.000060,1,-
"Oct 21, 2017",0.000133,0.000179,0.000120,0.000120,3,-
"Oct 20, 2017",0.000146,0.000169,0.000066,0.000133,78,-
"Oct 19, 2017",0.000100,0.000152,0.000099,0.000146,16,-
"Oct 18, 2017",0.000056,0.000118,0.000054,0.000100,4,-
"Oct 17, 2017",0.000116,0.000116,0.000056,0.000056,5,-
"Oct 16, 2017",0.000155,0.000156,0.000056,0.000116,58,-
"Oct 15, 2017",0.000117,0.000169,0.000115,0.000155,22,-
"Oct 14, 2017",0.000122,0.000124,0.000114,0.000117,2,-
"Oct 13, 2017",0.000109,0.000122,0.000054,0.000122,111,-
"Oct 12, 2017",0.000048,0.000108,0.000048,0.000108,6,-
"Oct 11, 2017",0.000064,0.000188,0.000048,0.000048,40,-
"Oct 10, 2017",0.000099,0.000100,0.000050,0.000064,84,-
"Oct 09, 2017",0.000100,0.000152,0.000046,0.000099,55,-
"Oct 08, 2017",0.000112,0.000116,0.000057,0.000100,182,-
"Oct 07, 2017",0.000122,0.000261,0.000078,0.000113,150,-
"Oct 06, 2017",0.000346,0.000349,0.000044,0.000122,11,-
"Oct 05, 2017",0.000311,0.000349,0.000121,0.000346,532,-
"Oct 04, 2017",0.000216,0.000337,0.000150,0.000311,464,-
"Oct 03, 2017",0.000088,0.000216,0.000086,0.000215,2,-
"Oct 02, 2017",0.000088,0.000134,0.000087,0.000088,123,-
"Oct 01, 2017",0.000130,0.000132,0.000043,0.000132,19,-
"Sep 30, 2017",0.000117,0.000117,0.000042,0.000042,11,-
"Sep 29, 2017",0.000243,0.000243,0.000102,0.000117,110,-
"Sep 28, 2017",0.000323,0.000328,0.000241,0.000243,113,-
"Sep 27, 2017",0.000082,0.000324,0.000082,0.000323,70,-
"Sep 26, 2017",0.000079,0.000082,0.000077,0.000082,15,-
"Sep 25, 2017",0.000037,0.000079,0.000037,0.000079,1,-
"Sep 24, 2017",0.000120,0.000120,0.000037,0.000037,7,-
