Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.246974,0.272441,0.221742,0.270301,"1,497","301,329"
"Dec 15, 2017",0.156818,0.249536,0.156782,0.246631,"1,355","191,331"
"Dec 14, 2017",0.187976,0.230774,0.154908,0.156576,"1,276","229,346"
"Dec 13, 2017",0.151448,0.199635,0.131210,0.188580,"3,604","184,779"
"Dec 12, 2017",0.177494,0.177622,0.147253,0.151311,259,"216,558"
"Dec 11, 2017",0.162649,0.199510,0.162094,0.176224,138,"198,446"
"Dec 10, 2017",0.153409,0.168635,0.109707,0.164088,603,"187,173"
"Dec 09, 2017",0.170057,0.175494,0.144500,0.152811,79,"207,484"
"Dec 08, 2017",0.247361,0.250641,0.132211,0.170228,746,"301,801"
"Dec 07, 2017",0.212296,0.247186,0.119049,0.247186,"2,524","259,019"
"Dec 06, 2017",0.128022,0.221334,0.100069,0.206301,498,"156,198"
"Dec 05, 2017",0.162551,0.166904,0.072915,0.128307,"1,412","198,326"
"Dec 04, 2017",0.136146,0.162232,0.135994,0.162232,325,"166,110"
"Dec 03, 2017",0.139053,0.147672,0.125880,0.135694,31,"169,657"
"Dec 02, 2017",0.139008,0.153592,0.137047,0.138920,248,"169,601"
"Dec 01, 2017",0.109826,0.140561,0.106075,0.139126,109,"133,997"
"Nov 30, 2017",0.139374,0.152793,0.097857,0.110369,90,"170,048"
"Nov 29, 2017",0.142092,0.196489,0.100520,0.137269,"1,308","173,364"
"Nov 28, 2017",0.135085,0.145018,0.128241,0.142152,254,"164,816"
"Nov 27, 2017",0.137371,0.145547,0.126435,0.134736,158,"167,604"
"Nov 26, 2017",0.130649,0.137758,0.128788,0.137345,195,"159,402"
"Nov 25, 2017",0.118400,0.130685,0.117052,0.130685,37,"144,458"
"Nov 24, 2017",0.109551,0.125083,0.108634,0.118643,954,"133,662"
"Nov 23, 2017",0.123086,0.124331,0.109658,0.110704,4,"150,175"
"Nov 22, 2017",0.128284,0.137593,0.108308,0.123143,"1,198","156,517"
"Nov 21, 2017",0.130255,0.132346,0.123205,0.127973,12,"158,922"
"Nov 20, 2017",0.121397,0.189913,0.114949,0.130231,497,"148,114"
"Nov 19, 2017",0.121377,0.128716,0.115705,0.121456,266,"148,090"
"Nov 18, 2017",0.210100,0.210100,0.115448,0.121536,807,"256,340"
"Nov 17, 2017",0.114215,0.238148,0.107782,0.209709,"1,929","139,352"
