Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.114748,0.139359,0.078613,0.138267,278,"2,693,390"
"Dec 15, 2017",0.066800,0.116193,0.066800,0.114591,849,"1,567,950"
"Dec 13, 2017",0.085499,0.094606,0.077312,0.077312,424,"2,006,860"
"Dec 12, 2017",0.072414,0.119538,0.070830,0.084800,536,"1,699,710"
"Dec 11, 2017",0.063612,0.076283,0.063400,0.072454,683,"1,493,100"
"Dec 10, 2017",0.152433,0.154780,0.060001,0.064292,601,"3,577,940"
"Dec 09, 2017",0.153621,0.161667,0.127513,0.152959,"3,481","3,605,830"
"Dec 08, 2017",0.102953,0.163090,0.087363,0.154327,"8,681","2,416,530"
"Dec 07, 2017",0.100672,0.111028,0.059687,0.102669,"13,809","2,363,000"
"Dec 06, 2017",0.092827,0.115082,0.086890,0.100103,611,"2,178,850"
"Dec 05, 2017",0.098915,0.099075,0.086292,0.093151,264,"2,321,740"
"Dec 04, 2017",0.106229,0.142235,0.095642,0.097946,866,"2,493,420"
"Dec 03, 2017",0.127803,0.161373,0.070777,0.106929,"3,038","2,999,820"
"Dec 02, 2017",0.118378,0.157461,0.103325,0.127418,"1,789","2,778,600"
"Dec 01, 2017",0.060231,0.124101,0.054003,0.118482,"2,158","1,413,760"
"Nov 30, 2017",0.054451,0.103821,0.050396,0.060531,307,"1,278,080"
"Nov 29, 2017",0.098287,0.111168,0.052501,0.053627,355,"2,307,030"
"Nov 28, 2017",0.111005,0.139833,0.096306,0.098040,937,"2,605,530"
"Nov 27, 2017",0.067782,0.153326,0.067782,0.119863,"11,434","1,591,000"
"Nov 26, 2017",0.106737,0.114492,0.065533,0.067461,336,"2,505,350"
"Nov 25, 2017",0.099561,0.111058,0.099561,0.106231,267,"2,336,920"
"Nov 24, 2017",0.089784,0.101207,0.083334,0.099157,15,"2,107,440"
"Nov 23, 2017",0.100924,0.102307,0.075268,0.090656,"1,758","2,368,910"
"Nov 22, 2017",0.068966,0.105041,0.068723,0.100144,151,"1,618,780"
"Nov 21, 2017",0.093019,0.125196,0.067771,0.068814,64,"2,183,360"
"Nov 20, 2017",0.072054,0.095936,0.069733,0.093021,102,"1,691,280"
"Nov 19, 2017",0.075804,0.079951,0.070848,0.072459,"1,026","1,779,300"
"Nov 18, 2017",0.070056,0.075747,0.067969,0.075747,"3,359","1,644,360"
"Nov 17, 2017",0.068663,0.070636,0.062806,0.069799,498,"1,611,680"
"Nov 16, 2017",0.068738,0.071513,0.062258,0.068293,"1,048","1,613,430"
"Nov 15, 2017",0.055026,0.070306,0.055026,0.068998,"1,534","1,291,590"
"Nov 14, 2017",0.061674,0.080872,0.033830,0.055207,"2,700","1,447,620"
"Nov 13, 2017",0.051104,0.076640,0.050694,0.061560,"2,194","1,199,510"
"Nov 12, 2017",0.079717,0.079717,0.049430,0.050908,"1,432","1,871,140"
"Nov 11, 2017",0.083872,0.085009,0.071844,0.079700,"2,412","1,968,660"
"Nov 10, 2017",0.095478,0.097895,0.080847,0.084384,724,"2,241,080"
"Nov 09, 2017",0.089780,0.103945,0.085511,0.095259,878,"2,107,330"
"Nov 08, 2017",0.081909,0.089372,0.081003,0.089193,32,"1,922,580"
"Nov 07, 2017",0.077706,0.082143,0.077268,0.081586,21,"1,823,940"
"Nov 06, 2017",0.097147,0.097402,0.077444,0.077444,"9,250","2,280,250"
"Nov 05, 2017",0.080420,0.099366,0.078532,0.096948,364,"1,887,640"
"Nov 04, 2017",0.088049,0.091037,0.080528,0.080528,211,"2,066,710"
"Nov 03, 2017",0.093080,0.102690,0.081946,0.088414,"1,657","2,184,800"
"Nov 02, 2017",0.098882,0.102773,0.090266,0.093198,144,"2,320,980"
"Nov 01, 2017",0.123635,0.123635,0.096171,0.098800,"1,356","2,901,990"
"Oct 31, 2017",0.111142,0.123722,0.101190,0.123722,"4,664","2,608,740"
"Oct 30, 2017",0.088694,0.111404,0.087757,0.111404,"3,092","2,081,850"
"Oct 29, 2017",0.075219,0.090496,0.074805,0.088956,"4,752","1,765,560"
"Oct 28, 2017",0.076369,0.080706,0.075238,0.075247,"1,880","1,792,550"
"Oct 27, 2017",0.091918,0.093501,0.083452,0.085195,512,"2,157,510"
"Oct 26, 2017",0.075597,0.092160,0.071814,0.091907,"3,616","1,774,430"
"Oct 25, 2017",0.108523,0.109954,0.070965,0.075699,734,"2,547,270"
"Oct 24, 2017",0.076436,0.112156,0.075372,0.108521,"5,136","1,794,120"
"Oct 23, 2017",0.088043,0.093734,0.074160,0.076168,181,"2,066,560"
"Oct 22, 2017",0.064045,0.088402,0.061829,0.088198,730,"1,503,270"
"Oct 21, 2017",0.109267,0.111645,0.062737,0.064039,"1,429","2,564,740"
"Oct 20, 2017",0.067004,0.112580,0.063056,0.109313,"2,762","1,572,720"
"Oct 19, 2017",0.064615,0.069716,0.060615,0.066957,517,"1,516,650"
"Oct 18, 2017",0.070417,0.070417,0.062653,0.064753,30,"1,652,830"
"Oct 17, 2017",0.068649,0.072615,0.067005,0.070468,"12,228","1,611,340"
"Oct 16, 2017",0.066141,0.073428,0.065254,0.068518,742,"1,552,470"
"Oct 15, 2017",0.077867,0.082738,0.063983,0.065812,658,"1,827,710"
"Oct 14, 2017",0.072798,0.083197,0.070307,0.077023,977,"1,708,730"
"Oct 13, 2017",0.073258,0.074923,0.068138,0.070434,351,"1,719,540"
"Oct 12, 2017",0.096704,0.097634,0.070706,0.072163,491,"2,269,850"
"Oct 11, 2017",0.078879,0.097871,0.072541,0.096209,"2,719","1,851,470"
"Oct 10, 2017",0.077421,0.084023,0.077421,0.078662,"1,330","1,817,230"
"Oct 09, 2017",0.108442,0.108876,0.076455,0.077570,"1,413","2,545,370"
"Oct 08, 2017",0.089717,0.108203,0.082192,0.104056,243,"2,105,840"
"Oct 07, 2017",0.072678,0.103120,0.069800,0.089645,6,"1,705,910"
"Oct 06, 2017",0.071554,0.075857,0.071540,0.072691,758,"1,679,540"
"Oct 05, 2017",0.067584,0.072467,0.064128,0.071434,863,"1,586,340"
"Oct 04, 2017",0.100944,0.101373,0.062370,0.067574,880,"2,369,380"
"Oct 03, 2017",0.088735,0.101182,0.077092,0.100970,"6,106","2,082,810"
"Oct 02, 2017",0.093874,0.094115,0.087568,0.088981,"1,916","2,203,440"
"Oct 01, 2017",0.120576,0.121779,0.092193,0.093797,99,"2,830,180"
"Sep 30, 2017",0.079253,0.119814,0.077839,0.119814,31,"1,860,250"
"Sep 29, 2017",0.094186,0.094881,0.078691,0.079150,337,"2,210,750"
"Sep 28, 2017",0.104863,0.115451,0.093611,0.094162,206,"2,461,370"
"Sep 27, 2017",0.096234,0.117874,0.087905,0.101819,"1,289","2,258,820"
"Sep 26, 2017",0.108143,0.109361,0.087309,0.096419,195,"2,538,360"
"Sep 25, 2017",0.085343,0.108643,0.085215,0.108102,"4,221","2,003,180"
"Sep 24, 2017",0.062878,0.097680,0.062592,0.085359,"11,427","1,475,880"
"Sep 23, 2017",0.083419,0.090046,0.062505,0.062914,"1,227","1,958,040"
"Sep 22, 2017",0.085405,0.094516,0.073320,0.083547,"2,252","2,004,640"
"Sep 21, 2017",0.083792,0.093953,0.078447,0.085462,"7,404","1,966,780"
"Sep 20, 2017",0.100008,0.105090,0.084007,0.084205,971,"2,347,420"
"Sep 19, 2017",0.090476,0.101024,0.080684,0.100078,230,"2,123,660"
"Sep 18, 2017",0.079410,0.107640,0.075039,0.090135,885,"1,863,940"
"Sep 17, 2017",0.069231,0.086153,0.063310,0.079320,"4,962","1,625,000"
"Sep 16, 2017",0.081648,0.084039,0.061455,0.069243,434,"1,916,460"
"Sep 15, 2017",0.045726,0.089520,0.045726,0.081540,"3,240","1,073,290"
"Sep 14, 2017",0.070436,0.071371,0.044294,0.045520,"5,315","1,653,290"
"Sep 13, 2017",0.070736,0.083886,0.066811,0.070432,"1,216","1,660,330"
"Sep 12, 2017",0.067070,0.104429,0.067070,0.070715,"6,137","1,574,290"
"Sep 11, 2017",0.052478,0.164979,0.049781,0.067155,"24,628","1,231,760"
