Date,Open,High,Low,Close,Volume,Market Cap
"Dec 13, 2017",32.82,33.26,31.29,32.68,654,-
"Dec 12, 2017",47.31,47.98,32.41,32.80,"63,366",-
"Dec 11, 2017",42.84,49.19,35.57,47.16,"96,969",-
"Dec 10, 2017",29.44,53.75,22.57,43.16,"471,910",-
"Dec 09, 2017",20.41,29.93,19.73,29.32,"290,328",-
"Dec 08, 2017",23.84,25.86,14.74,20.43,"227,521",-
"Dec 07, 2017",26.10,30.20,16.83,23.78,"407,150",-
"Dec 06, 2017",33.35,65.20,18.98,26.14,"392,275",-
"Dec 05, 2017",27.38,88.18,24.45,33.42,"234,185",-
"Dec 04, 2017",22.48,34.39,18.25,27.33,"536,827",-
"Dec 03, 2017",30.92,58.60,12.88,22.41,"258,937",-
"Dec 02, 2017",29.39,35.81,25.75,30.89,"336,059",-
"Dec 01, 2017",34.67,36.91,27.84,29.41,"202,672",-
"Nov 30, 2017",29.08,35.17,27.20,34.85,"296,137",-
"Nov 29, 2017",34.75,38.04,25.42,28.64,"243,974",-
"Nov 28, 2017",35.12,35.63,31.73,34.78,"262,698",-
"Nov 27, 2017",32.61,96.72,23.99,36.97,"504,886",-
"Nov 26, 2017",36.73,37.26,22.10,35.38,"339,631",-
"Nov 25, 2017",38.59,43.09,19.27,36.74,"304,951",-
"Nov 24, 2017",38.56,41.10,36.27,37.68,"248,287",-
"Nov 23, 2017",40.85,41.05,32.68,38.61,"361,938",-
"Nov 22, 2017",39.35,45.56,36.80,40.87,"582,563",-
"Nov 21, 2017",44.89,44.92,39.10,39.66,"541,166",-
"Nov 20, 2017",39.29,60.87,32.08,44.89,"1,305,050",-
"Nov 19, 2017",37.38,39.74,32.17,39.31,"372,482",-
"Nov 18, 2017",37.28,74.63,34.50,37.45,"196,515",-
"Nov 17, 2017",38.83,39.66,30.00,37.42,"647,402",-
"Nov 16, 2017",35.78,52.23,33.48,38.89,"531,292",-
"Nov 15, 2017",32.36,67.32,32.36,35.59,"172,592",-
"Nov 14, 2017",31.02,32.48,29.46,32.34,"561,891",-
"Nov 13, 2017",28.57,32.75,26.48,30.96,"961,004",-
"Nov 06, 2017",31.67,31.77,31.34,31.41,"1,602",-
"Nov 05, 2017",31.60,32.61,31.25,31.60,"12,365",-
"Nov 04, 2017",28.52,32.34,27.85,31.66,"252,407",-
"Nov 03, 2017",27.88,31.42,21.66,30.74,"344,021",-
"Nov 02, 2017",26.78,29.17,26.78,27.92,"48,278",-
"Nov 01, 2017",27.62,29.68,25.65,26.75,"457,654",-
"Oct 31, 2017",29.69,41.51,21.13,27.64,"458,273",-
"Oct 30, 2017",26.97,30.07,18.45,29.79,"543,417",-
"Oct 29, 2017",25.61,50.76,13.98,27.12,"1,197,460",-
"Oct 17, 2017",23.12,23.18,22.43,22.60,"4,298",-
"Oct 16, 2017",24.99,25.17,22.16,23.11,"203,851",-
"Oct 15, 2017",24.27,25.19,17.02,24.98,"1,791,220","247,532,000"
"Oct 13, 2017",18.80,20.31,18.68,19.89,186,"191,791,000"
"Oct 12, 2017",18.02,18.75,17.93,18.75,175,"183,779,000"
"Oct 09, 2017",14.26,15.09,14.12,14.89,2,"145,430,000"
"Oct 08, 2017",7.33,17.38,6.23,14.25,"1,306,090","74,785,900"
"Oct 07, 2017",6.43,7.42,6.41,7.35,"973,160","65,581,300"
"Oct 06, 2017",6.23,6.43,5.92,6.43,"192,705","63,506,000"
"Oct 05, 2017",6.04,6.29,5.82,6.23,"67,286","61,573,500"
"Oct 04, 2017",6.18,6.22,5.93,6.03,"142,206","63,007,100"
"Oct 03, 2017",6.16,6.37,5.82,5.86,"240,594","62,872,600"
"Oct 02, 2017",5.67,6.58,5.45,6.16,"332,329","57,817,600"
"Oct 01, 2017",4.26,5.67,4.08,5.67,"353,531","43,426,000"
"Sep 30, 2017",4.09,4.26,3.80,4.26,"21,766","41,703,400"
"Sep 29, 2017",4.11,4.15,3.76,4.09,"54,215","41,919,400"
"Sep 28, 2017",4.12,4.18,3.89,4.11,"65,555","42,058,100"
"Sep 27, 2017",3.73,4.64,3.63,4.12,"99,120","38,077,200"
"Sep 26, 2017",3.78,3.82,3.59,3.74,"91,519","38,515,300"
"Sep 25, 2017",3.45,3.81,3.45,3.78,"97,180","35,210,700"
"Sep 24, 2017",3.63,3.63,3.02,3.46,"46,133","37,019,800"
"Sep 23, 2017",3.30,3.63,1.09,3.63,"84,583","29,377,400"
"Sep 22, 2017",3.31,3.44,2.87,3.31,"15,446","29,488,200"
