Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.266816,0.297479,0.266763,0.295442,"5,397,760","40,022,400"
"Dec 15, 2017",0.275726,0.281028,0.238081,0.267871,"4,796,220","41,358,900"
"Dec 14, 2017",0.259628,0.314712,0.255542,0.276035,"5,704,530","38,944,200"
"Dec 13, 2017",0.256271,0.273371,0.232276,0.256393,"4,611,980","38,440,600"
"Dec 12, 2017",0.262676,0.373698,0.220372,0.256150,"6,372,360","39,401,300"
"Dec 11, 2017",0.226560,0.265632,0.224636,0.260763,"3,536,040","33,984,000"
"Dec 10, 2017",0.259033,0.259033,0.222913,0.226262,"3,369,900","38,854,900"
"Dec 09, 2017",0.281995,0.287294,0.251320,0.258117,"4,389,660","42,299,300"
"Dec 08, 2017",0.257785,0.294896,0.242669,0.281538,"4,249,100","38,667,700"
"Dec 07, 2017",0.315560,0.331553,0.247573,0.257324,"4,888,480","47,334,000"
"Dec 06, 2017",0.291230,0.313903,0.258987,0.312156,"5,433,750","43,684,400"
"Dec 05, 2017",0.249143,0.301849,0.248844,0.291643,"5,218,470","37,371,400"
"Dec 04, 2017",0.239913,0.266714,0.235765,0.248539,"3,704,660","35,986,900"
"Dec 03, 2017",0.243652,0.257983,0.226997,0.241056,"3,512,820","36,547,700"
"Dec 02, 2017",0.257437,0.260505,0.230571,0.243304,"3,140,980","38,615,600"
"Dec 01, 2017",0.249631,0.260267,0.228060,0.257623,"4,074,770","37,444,600"
"Nov 30, 2017",0.203753,0.281094,0.178633,0.248866,"3,447,700","30,563,000"
"Nov 29, 2017",0.237379,0.254965,0.185314,0.200965,"2,802,610","35,606,900"
"Nov 28, 2017",0.238414,0.249881,0.229876,0.238613,"3,649,230","35,762,100"
"Nov 27, 2017",0.234212,0.238389,0.224051,0.238389,"3,202,410","35,131,800"
"Nov 26, 2017",0.217593,0.236720,0.216237,0.234338,"1,405,400","32,639,000"
"Nov 25, 2017",0.209279,0.220720,0.203469,0.217868,"1,825,470","31,391,800"
"Nov 24, 2017",0.213459,0.220147,0.203180,0.209432,"1,814,810","32,018,800"
"Nov 23, 2017",0.221793,0.226009,0.214101,0.214101,"1,977,020","33,269,000"
"Nov 22, 2017",0.196064,0.241675,0.195643,0.221272,"2,832,990","29,409,600"
"Nov 21, 2017",0.204510,0.205870,0.187368,0.196161,"1,738,120","30,676,500"
"Nov 20, 2017",0.210684,0.216751,0.204700,0.205489,"1,819,930","31,602,500"
"Nov 19, 2017",0.205819,0.233876,0.201365,0.210899,"1,772,770","30,872,900"
"Nov 18, 2017",0.199845,0.209759,0.196992,0.206344,"1,474,640","29,976,700"
"Nov 17, 2017",0.225694,0.231000,0.200308,0.200928,"1,791,930","33,854,100"
"Nov 16, 2017",0.222623,0.231670,0.212070,0.227078,"2,051,200","33,393,400"
"Nov 15, 2017",0.231428,0.237423,0.218656,0.222056,"1,889,060","34,714,100"
"Nov 14, 2017",0.230825,0.241246,0.228060,0.230716,"2,431,870","34,623,800"
"Nov 13, 2017",0.219133,0.238830,0.218304,0.230570,"1,828,930","32,869,900"
"Nov 12, 2017",0.243335,0.244233,0.215402,0.219047,"2,178,070","36,500,200"
"Nov 11, 2017",0.240971,0.252511,0.240952,0.244201,"2,567,260","36,145,600"
"Nov 10, 2017",0.283524,0.289103,0.239338,0.241720,"2,845,070","42,528,700"
"Nov 09, 2017",0.261169,0.291616,0.254404,0.284562,"3,148,290","39,175,300"
"Nov 08, 2017",0.246379,0.268097,0.241092,0.260774,"2,803,730","36,956,900"
"Nov 07, 2017",0.237440,0.250704,0.233986,0.246954,"2,066,790","35,616,000"
"Nov 06, 2017",0.244512,0.248532,0.231037,0.237707,"1,888,510","36,676,800"
"Nov 05, 2017",0.239291,0.250529,0.238474,0.244646,"1,847,880","35,893,700"
"Nov 04, 2017",0.227474,0.248483,0.215262,0.239303,"1,664,990","34,121,100"
"Nov 03, 2017",0.225903,0.238826,0.220477,0.228534,"1,704,310","33,885,400"
"Nov 02, 2017",0.199334,0.236519,0.192323,0.234500,"2,054,830","29,900,100"
"Nov 01, 2017",0.201889,0.243829,0.188497,0.199491,"2,954,350","30,283,300"
"Oct 31, 2017",0.209518,0.213105,0.196921,0.202149,"1,658,900","31,427,800"
"Oct 30, 2017",0.205644,0.215260,0.199786,0.209359,"2,053,380","30,846,600"
"Oct 29, 2017",0.188601,0.208802,0.188498,0.206520,"1,797,930","28,290,200"
"Oct 28, 2017",0.202167,0.205069,0.180596,0.188855,"1,669,940","30,325,100"
"Oct 27, 2017",0.207916,0.211058,0.199066,0.201748,"1,753,510","31,187,400"
"Oct 26, 2017",0.218677,0.222861,0.203975,0.207908,"1,799,920","32,801,500"
"Oct 25, 2017",0.217429,0.222014,0.212301,0.218602,"1,649,550","32,614,400"
"Oct 24, 2017",0.229617,0.237051,0.215433,0.217432,"1,897,600","34,442,600"
"Oct 23, 2017",0.265078,0.265078,0.220177,0.229958,"1,631,230","39,761,700"
"Oct 22, 2017",0.242081,0.265002,0.235591,0.264445,"1,855,200","36,312,100"
"Oct 21, 2017",0.255190,0.259754,0.220429,0.241828,"2,380,200","38,278,500"
"Oct 20, 2017",0.274176,0.372017,0.252695,0.255162,"2,484,350","41,126,400"
"Oct 19, 2017",0.323217,0.361514,0.265341,0.274173,"3,606,770","48,482,600"
"Oct 18, 2017",0.398891,0.398891,0.310855,0.324418,"3,027,440","59,833,700"
"Oct 17, 2017",0.351933,0.455638,0.324768,0.403462,"3,654,270",-
