Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.011406,0.012921,0.010913,0.012244,"111,646","11,975,800"
"Dec 15, 2017",0.010209,0.011705,0.009025,0.011548,"51,583","10,719,300"
"Dec 14, 2017",0.011301,0.011812,0.008681,0.010396,"56,209","11,865,600"
"Dec 13, 2017",0.012325,0.012840,0.010078,0.011314,"78,395","12,940,900"
"Dec 12, 2017",0.011427,0.012994,0.010375,0.012279,"118,548","11,998,300"
"Dec 11, 2017",0.010487,0.012235,0.009319,0.011486,"110,779","11,011,400"
"Dec 10, 2017",0.010276,0.011843,0.009524,0.010392,"59,444","10,789,500"
"Dec 09, 2017",0.011386,0.012768,0.009704,0.009965,"100,352","11,955,500"
"Dec 08, 2017",0.010519,0.012062,0.009641,0.011391,"77,427","11,044,600"
"Dec 07, 2017",0.009799,0.010707,0.008720,0.010499,"69,763","10,288,900"
"Dec 06, 2017",0.009287,0.011456,0.009129,0.009822,"57,830","9,751,720"
"Dec 05, 2017",0.009888,0.011619,0.009120,0.009305,"79,891","10,382,200"
"Dec 04, 2017",0.010737,0.010811,0.007554,0.009881,"41,695","11,273,700"
"Dec 03, 2017",0.010691,0.011386,0.010032,0.010433,"36,921","11,226,100"
"Dec 02, 2017",0.011435,0.012177,0.010104,0.010687,"98,334","12,006,300"
"Dec 01, 2017",0.010677,0.011618,0.010274,0.011455,"98,067","11,211,300"
"Nov 30, 2017",0.010879,0.012133,0.009213,0.010778,"67,174","11,422,800"
"Nov 29, 2017",0.011047,0.013721,0.010686,0.010741,"153,817","11,598,800"
"Nov 28, 2017",0.010737,0.012401,0.009644,0.011043,"75,937","11,273,700"
"Nov 27, 2017",0.011444,0.012290,0.009471,0.010738,"101,423","12,016,500"
"Nov 26, 2017",0.012790,0.014747,0.010473,0.011445,"145,563","13,429,900"
"Nov 25, 2017",0.012633,0.015079,0.012276,0.012792,"226,427","13,264,700"
"Nov 24, 2017",0.010471,0.012924,0.009933,0.012641,"118,310","10,995,100"
"Nov 23, 2017",0.011442,0.011678,0.009901,0.010508,"148,789","12,014,700"
"Nov 22, 2017",0.007832,0.012953,0.007666,0.011426,"195,579","8,223,760"
"Nov 21, 2017",0.007920,0.008565,0.007001,0.007820,"67,363","8,316,260"
"Nov 20, 2017",0.005602,0.008687,0.005364,0.007930,"126,625","5,882,220"
"Nov 19, 2017",0.004951,0.005690,0.004936,0.005607,"9,475","5,199,030"
"Nov 18, 2017",0.005236,0.005348,0.004898,0.004964,"20,739","5,498,130"
"Nov 17, 2017",0.005210,0.005588,0.005028,0.005249,"24,647","5,470,350"
"Nov 16, 2017",0.005290,0.005857,0.005033,0.005336,"18,067","5,554,300"
"Nov 15, 2017",0.005552,0.005932,0.005221,0.005305,"10,335","5,829,400"
"Nov 14, 2017",0.004879,0.005730,0.004649,0.005549,"29,824","5,123,130"
"Nov 13, 2017",0.005270,0.005842,0.004540,0.004799,"30,469","5,533,420"
"Nov 12, 2017",0.005414,0.006148,0.004835,0.005264,"27,500","5,684,500"
"Nov 11, 2017",0.005679,0.005989,0.005280,0.005409,"14,717","5,963,050"
"Nov 10, 2017",0.006843,0.006998,0.005635,0.005691,"49,789","7,184,920"
"Nov 09, 2017",0.006282,0.007462,0.006046,0.006825,"45,637","6,596,320"
"Nov 08, 2017",0.005548,0.007027,0.005548,0.006214,"20,520","5,825,560"
"Nov 07, 2017",0.005677,0.006268,0.005344,0.005553,"13,858","5,961,060"
"Nov 06, 2017",0.005564,0.005959,0.005129,0.005669,"10,009","5,841,720"
"Nov 05, 2017",0.005465,0.006210,0.005218,0.005556,"10,990","5,738,190"
"Nov 04, 2017",0.006067,0.006476,0.005448,0.005459,"17,201","6,370,380"
"Nov 03, 2017",0.005431,0.006067,0.005215,0.006067,"21,225","5,702,130"
"Nov 02, 2017",0.006521,0.006674,0.005273,0.005407,"16,859","6,847,360"
"Nov 01, 2017",0.006422,0.007406,0.006252,0.006504,"18,026","6,743,590"
"Oct 31, 2017",0.007205,0.007604,0.006434,0.006434,"16,241","7,565,490"
"Oct 30, 2017",0.008186,0.008318,0.006963,0.007202,"44,572","8,594,850"
"Oct 29, 2017",0.007185,0.008383,0.007046,0.008206,"55,148","7,544,530"
"Oct 28, 2017",0.007940,0.008005,0.006598,0.007245,"26,225","8,336,880"
"Oct 27, 2017",0.005745,0.007961,0.005740,0.007931,"21,398","6,031,790"
"Oct 26, 2017",0.006714,0.007481,0.005493,0.005649,"29,988","7,049,450"
"Oct 25, 2017",0.006840,0.007465,0.005805,0.006727,"33,886","7,181,600"
"Oct 24, 2017",0.007604,0.008331,0.006380,0.007201,"28,945","7,984,300"
"Oct 23, 2017",0.007821,0.008994,0.007529,0.007620,"7,489","8,211,940"
"Oct 22, 2017",0.008696,0.009000,0.007549,0.007832,"16,896","9,131,070"
