Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.089999,0.141571,0.077786,0.077897,"32,871",-
"Dec 15, 2017",0.167369,0.187060,0.080023,0.089873,"57,387",-
"Dec 14, 2017",0.323088,0.443199,0.132181,0.158174,"180,397",-
"Dec 13, 2017",0.210076,0.498944,0.206766,0.323964,"119,341",-
"Dec 12, 2017",0.117015,0.257150,0.112342,0.209901,"57,014",-
"Dec 11, 2017",0.105509,0.128271,0.105048,0.116640,"15,115",-
"Dec 10, 2017",0.119097,0.132258,0.088969,0.106276,"8,382",-
"Dec 09, 2017",0.121979,0.141960,0.097789,0.118616,"6,688",-
"Dec 08, 2017",0.165744,0.178072,0.098838,0.122102,"5,470",-
"Dec 07, 2017",0.171973,0.259366,0.140960,0.165355,"28,189",-
"Dec 06, 2017",0.148483,0.179686,0.125012,0.172269,"24,971",-
"Dec 05, 2017",0.209580,0.210067,0.116572,0.148813,"32,039",-
"Dec 04, 2017",0.098703,0.343576,0.091535,0.209168,"44,693",-
"Dec 03, 2017",0.131290,0.150937,0.096724,0.098377,"13,619",-
"Dec 02, 2017",0.157823,0.167491,0.121292,0.131164,"8,478",-
"Dec 01, 2017",0.146898,0.169837,0.130324,0.157958,"10,024",-
"Nov 30, 2017",0.150084,0.175449,0.124339,0.147630,"12,004",-
"Nov 29, 2017",0.171158,0.213811,0.109908,0.147136,"13,973",-
"Nov 28, 2017",0.300173,0.300179,0.149005,0.171328,"21,699",-
"Nov 27, 2017",0.326026,0.327475,0.251900,0.299397,"18,588",-
"Nov 26, 2017",0.350114,0.428964,0.263435,0.325964,"27,063",-
"Nov 25, 2017",0.361238,0.411810,0.263425,0.350143,"35,051",-
"Nov 24, 2017",0.378625,0.409528,0.316354,0.361970,"31,357",-
"Nov 23, 2017",0.477061,0.490711,0.254264,0.378419,"129,573",-
"Nov 22, 2017",0.559872,0.568242,0.407297,0.477460,"54,084",-
"Nov 21, 2017",0.593384,0.748628,0.430227,0.558515,"69,919",-
"Nov 20, 2017",0.755274,0.776020,0.574728,0.593274,"55,866",-
"Nov 19, 2017",0.755019,0.870212,0.694790,0.755788,"59,429",-
"Nov 18, 2017",0.783047,0.847652,0.673007,0.756421,"70,964",-
"Nov 17, 2017",0.783840,1.06,0.705861,0.786061,"94,195",-
"Nov 16, 2017",0.949396,1.06,0.785127,0.785127,"93,638",-
"Nov 15, 2017",0.991740,1.17,0.848708,0.944448,"80,810",-
"Nov 14, 2017",1.37,1.38,0.872182,0.991061,"124,003",-
"Nov 13, 2017",0.804242,1.60,0.717220,1.37,"348,313",-
"Nov 12, 2017",0.552533,0.905878,0.473907,0.803073,"116,916",-
"Nov 11, 2017",0.591211,0.646403,0.498696,0.552940,"52,192",-
"Nov 10, 2017",0.591624,0.924274,0.402523,0.593323,"82,726",-
"Nov 09, 2017",0.664600,0.702498,0.509521,0.589872,"36,873",-
"Nov 08, 2017",0.805546,0.856082,0.620573,0.665285,"95,193",-
"Nov 07, 2017",0.931738,0.980951,0.725682,0.808083,"67,862",-
"Nov 06, 2017",1.03,1.14,0.873646,0.933233,"60,341",-
"Nov 05, 2017",1.31,1.42,0.961807,1.03,"96,309",-
"Nov 04, 2017",0.995342,1.75,0.995342,1.31,"265,093",-
"Nov 03, 2017",0.913027,1.20,0.764649,0.997864,"107,763",-
"Nov 02, 2017",1.07,1.95,0.681123,0.914223,"146,047",-
"Nov 01, 2017",1.83,1.83,0.978977,1.01,"105,382",-
"Oct 31, 2017",2.51,2.73,1.60,1.83,"354,549",-
"Oct 30, 2017",3.08,3.08,2.13,2.52,"551,264",-
"Oct 29, 2017",0.246358,5.08,0.245956,2.73,"1,527,160",-
"Oct 28, 2017",0.270881,0.313212,0.202769,0.246695,"14,096",-
"Oct 27, 2017",0.322008,0.411254,0.243724,0.270144,"13,538",-
"Oct 26, 2017",0.318488,0.403950,0.227931,0.321404,"12,951",-
"Oct 25, 2017",0.358690,0.387270,0.163762,0.318525,"19,302",-
"Oct 24, 2017",0.491124,0.491124,0.322693,0.358546,"14,127",-
"Oct 23, 2017",0.507403,0.821829,0.403152,0.492207,"24,392",-
"Oct 22, 2017",0.608045,0.721999,0.447626,0.508221,"23,128",-
"Oct 21, 2017",0.870746,0.978071,0.304345,0.607861,"30,992",-
"Oct 20, 2017",1.19,1.30,0.821121,0.872581,"49,743",-
"Oct 19, 2017",1.16,1.69,0.939310,1.19,"66,025",-
"Oct 18, 2017",2.13,2.21,1.05,1.16,"83,104",-
"Oct 17, 2017",3.76,4.90,0.594759,2.18,"212,629",-
"Oct 16, 2017",3.96,5.23,2.74,3.76,"35,964",-
