Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.052003,0.056239,0.027002,0.034309,"538,983","228,545"
"Dec 15, 2017",2.65,2.66,0.048202,0.051929,"19,222","11,664,100"
"Dec 14, 2017",0.026996,2.65,0.025176,2.65,"76,007","118,643"
"Dec 13, 2017",0.032683,0.033117,0.022859,0.027083,"25,986","143,637"
"Dec 12, 2017",0.032694,0.034369,0.031927,0.032655,"1,008","143,684"
"Dec 11, 2017",0.029653,0.033856,0.029523,0.032589,923,"130,321"
"Dec 10, 2017",0.033787,0.033787,0.026614,0.029868,909,"148,491"
"Dec 09, 2017",0.030899,0.036584,0.025289,0.033651,"7,154","135,795"
"Dec 08, 2017",0.031425,0.034843,0.022033,0.030930,"24,605","138,111"
"Dec 07, 2017",0.023849,0.041364,0.016606,0.031352,"220,169","104,816"
"Dec 06, 2017",0.028129,0.036522,0.020459,0.023891,"10,767","123,623"
"Dec 05, 2017",0.021904,0.028248,0.017349,0.028191,"5,166","96,265"
"Dec 04, 2017",0.019997,0.027663,0.011783,0.021861,"10,726","87,884"
"Dec 03, 2017",0.034981,0.043085,0.016938,0.019931,"56,418","153,739"
"Dec 02, 2017",0.035987,0.052059,0.031704,0.034948,"41,471","158,160"
"Dec 01, 2017",0.027181,0.050618,0.012863,0.036123,"31,068","119,458"
"Nov 30, 2017",0.022682,0.071307,0.019936,0.027317,"232,129","99,684"
"Nov 29, 2017",0.015341,0.071835,0.011741,0.032434,"130,870","67,423"
"Nov 28, 2017",0.008683,0.023043,0.008195,0.015357,"17,081","38,162"
"Nov 27, 2017",0.008584,0.011292,0.008468,0.008661,305,"37,725"
"Nov 26, 2017",0.009188,0.015951,0.008525,0.008582,"3,024","40,380"
"Nov 25, 2017",0.007901,0.009804,0.007856,0.009191,"1,614","34,722"
"Nov 24, 2017",0.007336,0.010481,0.007061,0.007917,323,"32,240"
"Nov 23, 2017",0.007552,0.007832,0.007198,0.007346,219,"33,189"
"Nov 22, 2017",0.007530,0.010357,0.007312,0.007554,347,"33,092"
"Nov 21, 2017",0.014042,0.014927,0.007410,0.007511,248,"61,714"
"Nov 20, 2017",0.005475,0.021648,0.005417,0.014040,"4,207","24,062"
"Nov 19, 2017",0.004994,0.007658,0.004981,0.005478,111,"21,948"
"Nov 18, 2017",0.006899,0.014163,0.004883,0.005003,327,"30,319"
"Nov 17, 2017",0.008056,0.008246,0.006560,0.006925,46,"35,406"
"Nov 16, 2017",0.005545,0.008219,0.005393,0.008069,100,"24,371"
"Nov 15, 2017",0.005884,0.006815,0.005243,0.005516,202,"25,861"
"Nov 14, 2017",0.005580,0.005903,0.004154,0.005880,31,"24,524"
"Nov 13, 2017",0.003844,0.008152,0.003413,0.005568,63,"16,893"
"Nov 12, 2017",0.005189,0.005735,0.003649,0.003838,7,"22,804"
"Nov 11, 2017",0.006492,0.006724,0.004870,0.005193,31,"28,534"
"Nov 10, 2017",0.006467,0.009610,0.005527,0.006516,674,"28,420"
"Nov 09, 2017",0.006007,0.006649,0.004979,0.006448,178,"26,398"
