Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000195,0.000176,0.000193,34,-
"Dec 15, 2017",0.000175,0.000181,0.000172,0.000176,2,-
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000167,7,-
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,58,-
"Dec 12, 2017",0.000002,0.000177,0.000002,0.000173,110,-
"Dec 11, 2017",0.000002,0.000002,0.000002,0.000002,1,-
"Dec 10, 2017",0.000150,0.000150,0.000137,0.000137,1,-
"Dec 09, 2017",0.000160,0.000160,0.000135,0.000150,2,-
"Dec 08, 2017",0.000116,0.000163,0.000089,0.000156,47,-
"Dec 07, 2017",0.000149,0.000149,0.000024,0.000116,85,-
"Dec 06, 2017",0.000117,0.000126,0.000117,0.000126,1,-
"Dec 05, 2017",0.000116,0.000119,0.000116,0.000117,1,-
"Dec 04, 2017",0.000111,0.000116,0.000109,0.000113,1,-
"Dec 03, 2017",0.000109,0.000117,0.000103,0.000110,24,-
"Dec 02, 2017",0.000110,0.000111,0.000108,0.000109,5,-
"Dec 01, 2017",0.000100,0.000107,0.000095,0.000106,1,-
"Nov 30, 2017",0.000098,0.000107,0.000090,0.000100,1,-
"Nov 29, 2017",0.000099,0.000114,0.000091,0.000097,45,-
"Nov 28, 2017",0.000092,0.000100,0.000091,0.000099,53,-
"Nov 27, 2017",0.000093,0.000193,0.000090,0.000092,881,-
"Nov 26, 2017",0.000087,0.000180,0.000087,0.000093,"1,481",-
"Nov 25, 2017",0.000082,0.000165,0.000082,0.000087,731,-
"Nov 24, 2017",0.000080,0.000083,0.000079,0.000082,612,-
"Nov 23, 2017",0.000023,0.000082,0.000022,0.000080,8,-
"Nov 22, 2017",0.000081,0.000083,0.000015,0.000023,65,-
"Nov 21, 2017",0.000009,0.000084,0.000009,0.000081,117,-
"Nov 20, 2017",0.000048,0.000048,0.000009,0.000009,1,-
"Nov 19, 2017",0.000016,0.000048,0.000008,0.000048,15,-
"Nov 18, 2017",0.000077,0.000078,0.000016,0.000016,17,-
"Nov 17, 2017",0.000078,0.000080,0.000076,0.000077,205,-
"Nov 16, 2017",0.000073,0.000080,0.000071,0.000079,301,-
"Nov 15, 2017",0.000132,0.000133,0.000067,0.000073,613,-
"Nov 14, 2017",0.000065,0.000133,0.000064,0.000132,"1,716",-
"Nov 13, 2017",0.000059,0.000131,0.000058,0.000065,"1,775",-
"Nov 12, 2017",0.000064,0.000064,0.000055,0.000059,659,-
"Nov 11, 2017",0.000065,0.000068,0.000062,0.000064,"1,524",-
"Nov 10, 2017",0.000071,0.000073,0.000064,0.000066,36,-
"Nov 09, 2017",0.000074,0.000074,0.000070,0.000071,145,-
"Nov 08, 2017",0.000003,0.000078,0.000003,0.000074,362,-
"Nov 07, 2017",0.000070,0.000072,0.000003,0.000003,1,-
"Nov 06, 2017",0.000007,0.000007,0.000006,0.000007,48,-
"Nov 05, 2017",0.000007,0.000007,0.000007,0.000007,1,-
"Nov 04, 2017",0.000031,0.000031,0.000007,0.000007,1,-
"Nov 03, 2017",0.000006,0.000033,0.000006,0.000031,11,-
"Nov 02, 2017",0.000066,0.000068,0.000005,0.000006,6,-
"Nov 01, 2017",0.000006,0.000066,0.000006,0.000065,16,-
"Oct 31, 2017",0.000039,0.000057,0.000006,0.000006,4,-
"Oct 30, 2017",0.000062,0.000062,0.000011,0.000039,49,-
"Oct 29, 2017",0.000057,0.000063,0.000057,0.000062,22,-
"Oct 28, 2017",0.000020,0.000058,0.000016,0.000057,17,-
"Oct 27, 2017",0.000021,0.000021,0.000019,0.000019,8,-
"Oct 25, 2017",0.000029,0.000029,0.000021,0.000021,5,-
"Oct 24, 2017",0.000023,0.000040,0.000022,0.000029,6,-
"Oct 23, 2017",0.000027,0.000031,0.000023,0.000023,30,-
"Oct 22, 2017",0.000028,0.000032,0.000027,0.000027,4,-
"Oct 21, 2017",0.000055,0.000056,0.000032,0.000033,1,-
"Oct 20, 2017",0.000032,0.000061,0.000031,0.000055,5,-
"Oct 19, 2017",0.000030,0.000032,0.000028,0.000032,2,-
"Oct 18, 2017",0.000031,0.000031,0.000028,0.000031,1,-
"Oct 17, 2017",0.000058,0.000064,0.000031,0.000031,52,-
"Oct 16, 2017",0.000039,0.000058,0.000039,0.000058,6,-
"Oct 15, 2017",0.000055,0.000055,0.000037,0.000039,2,-
"Oct 14, 2017",0.000038,0.000056,0.000038,0.000055,8,-
"Oct 13, 2017",0.000030,0.000033,0.000030,0.000033,8,-
"Oct 12, 2017",0.000031,0.000031,0.000030,0.000030,8,-
"Oct 10, 2017",0.000028,0.000029,0.000027,0.000028,9,-
"Oct 09, 2017",0.000044,0.000047,0.000027,0.000028,9,-
"Oct 08, 2017",0.000044,0.000045,0.000043,0.000044,11,-
"Oct 07, 2017",0.000044,0.000045,0.000043,0.000045,7,-
"Oct 06, 2017",0.000038,0.000044,0.000038,0.000044,2,-
"Oct 05, 2017",0.000042,0.000042,0.000038,0.000038,2,-
"Oct 04, 2017",0.000041,0.000043,0.000041,0.000042,100,-
"Oct 03, 2017",0.000044,0.000044,0.000029,0.000041,262,-
"Oct 02, 2017",0.000033,0.000044,0.000033,0.000044,3,-
"Oct 01, 2017",0.000043,0.000051,0.000033,0.000033,1,-
"Sep 30, 2017",0.000042,0.000045,0.000042,0.000043,9,-
"Sep 29, 2017",0.000042,0.000063,0.000041,0.000042,5,-
"Sep 28, 2017",0.000042,0.000043,0.000041,0.000042,185,-
"Sep 27, 2017",0.000036,0.000042,0.000036,0.000042,3,-
"Sep 26, 2017",0.000039,0.000042,0.000036,0.000036,12,-
"Sep 25, 2017",0.000061,0.000063,0.000038,0.000039,13,-
"Sep 24, 2017",0.000038,0.000062,0.000036,0.000061,57,-
"Sep 23, 2017",0.000036,0.000038,0.000036,0.000038,163,-
"Sep 22, 2017",0.000036,0.000036,0.000035,0.000036,26,-
"Sep 21, 2017",0.000022,0.000022,0.000022,0.000022,6,-
"Sep 20, 2017",0.000072,0.000073,0.000070,0.000073,7,-
"Sep 19, 2017",0.000040,0.000073,0.000039,0.000073,7,-
"Sep 18, 2017",0.000074,0.000080,0.000039,0.000040,13,-
"Sep 17, 2017",0.000037,0.000076,0.000035,0.000074,78,-
"Sep 16, 2017",0.000037,0.000039,0.000036,0.000037,0,-
"Sep 15, 2017",0.000032,0.000038,0.000030,0.000037,1,-
"Sep 14, 2017",0.000039,0.000039,0.000032,0.000032,42,-
