Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.008294,0.008334,0.004094,0.004284,9,-
"Dec 15, 2017",0.003318,0.008495,0.003317,0.008282,62,-
"Dec 14, 2017",0.003275,0.003413,0.003238,0.003313,2,-
"Dec 13, 2017",0.005183,0.005252,0.003262,0.003286,73,-
"Dec 12, 2017",0.006735,0.006830,0.005160,0.005178,643,-
"Dec 11, 2017",0.008386,0.008543,0.006362,0.006713,66,-
"Dec 10, 2017",0.005714,0.008675,0.005031,0.008447,30,-
"Dec 09, 2017",0.006506,0.010452,0.005303,0.005691,35,-
"Dec 08, 2017",0.007289,0.007398,0.005914,0.006838,51,-
"Dec 07, 2017",0.010302,0.010663,0.006089,0.007272,"1,038",-
"Dec 06, 2017",0.015913,0.016748,0.008531,0.010320,"1,542",-
"Dec 05, 2017",0.018650,0.018714,0.015545,0.015948,408,-
"Dec 04, 2017",0.024057,0.025367,0.014941,0.018613,934,-
"Dec 03, 2017",0.016179,0.025744,0.013341,0.023978,"2,333",-
"Dec 02, 2017",0.037007,0.039807,0.011826,0.016164,"5,071",-
"Dec 01, 2017",0.011092,0.052196,0.011084,0.037038,"13,440",-
"Nov 30, 2017",0.004914,0.094868,0.004883,0.011148,"49,616",-
"Nov 29, 2017",0.004865,0.011091,0.004738,0.004840,"1,432",-
"Nov 28, 2017",0.004780,0.004890,0.004734,0.004870,81,-
"Nov 27, 2017",0.003354,0.004776,0.003354,0.004768,268,-
"Nov 26, 2017",0.003250,0.003426,0.003182,0.003354,28,-
"Nov 25, 2017",0.003694,0.003876,0.003674,0.003857,13,-
"Nov 24, 2017",0.002974,0.003730,0.002859,0.003702,32,-
"Nov 23, 2017",0.003295,0.003295,0.002978,0.002978,44,-
"Nov 22, 2017",0.003408,0.003486,0.003394,0.003435,14,-
"Nov 21, 2017",0.003049,0.003456,0.002885,0.003400,13,-
"Nov 20, 2017",0.004424,0.004524,0.002995,0.003049,102,-
"Nov 19, 2017",0.003270,0.007515,0.002771,0.004426,110,-
"Nov 18, 2017",0.005073,0.005150,0.003215,0.003277,3,-
"Nov 17, 2017",0.002746,0.005591,0.002648,0.005093,121,-
"Nov 16, 2017",0.001680,0.008430,0.001642,0.002750,"1,706",-
"Nov 15, 2017",0.002050,0.002146,0.001571,0.001671,35,-
"Nov 14, 2017",0.003200,0.003293,0.001992,0.002048,1,-
"Nov 13, 2017",0.001879,0.003212,0.001864,0.003193,1,-
"Nov 12, 2017",0.001972,0.003475,0.001812,0.001876,6,-
"Nov 11, 2017",0.003813,0.003950,0.001932,0.001973,2,-
"Nov 10, 2017",0.001655,0.004054,0.001655,0.003827,17,-
