Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.249530,0.304190,0.118925,0.280158,"18,376","3,300,050"
"Dec 15, 2017",0.319136,0.340789,0.249099,0.249099,"21,538","4,220,580"
"Dec 14, 2017",0.260720,0.345887,0.249056,0.316473,"11,141","3,448,020"
"Dec 13, 2017",0.234162,0.295954,0.220817,0.261418,"8,016","3,096,800"
"Dec 12, 2017",0.264201,0.299152,0.226677,0.226677,"19,460","3,494,070"
"Dec 11, 2017",0.230039,0.278590,0.227296,0.263736,"11,636","3,042,270"
"Dec 10, 2017",0.248779,0.263268,0.214449,0.231437,"7,456","3,290,110"
"Dec 09, 2017",0.279142,0.300461,0.213625,0.247965,"6,821","3,691,660"
"Dec 08, 2017",0.319925,0.339993,0.222519,0.270833,"10,009","4,231,010"
"Dec 07, 2017",0.251448,0.383163,0.251448,0.318349,"45,154","3,325,400"
"Dec 06, 2017",0.189473,0.262761,0.181008,0.251217,"18,979","2,505,790"
"Dec 05, 2017",0.204727,0.244806,0.170358,0.188019,"8,939","2,707,520"
"Dec 04, 2017",0.240534,0.241506,0.189941,0.204348,"4,736","3,181,070"
"Dec 03, 2017",0.201386,0.252171,0.179520,0.239667,"13,124","2,663,330"
"Dec 02, 2017",0.169941,0.216803,0.157107,0.201207,"11,445","2,247,470"
"Dec 01, 2017",0.145899,0.191371,0.131152,0.170025,"9,254","1,929,520"
"Nov 30, 2017",0.159690,0.187639,0.137607,0.146569,"5,945","2,111,900"
"Nov 29, 2017",0.142297,0.177068,0.134368,0.157361,"5,108","1,881,880"
"Nov 28, 2017",0.147782,0.182204,0.141278,0.142337,"6,568","1,954,420"
"Nov 27, 2017",0.146270,0.179034,0.143955,0.147554,"7,443","1,934,430"
"Nov 26, 2017",0.153811,0.160310,0.135297,0.146271,"4,958","2,034,150"
"Nov 25, 2017",0.146542,0.213115,0.132868,0.153851,"13,063","1,938,030"
"Nov 24, 2017",0.149845,0.160127,0.126004,0.146767,"13,335","1,981,710"
"Nov 23, 2017",0.178742,0.179842,0.137335,0.150183,"12,488","2,363,860"
"Nov 22, 2017",0.142276,0.178615,0.140155,0.178615,"13,349","1,865,950"
"Nov 21, 2017",0.148748,0.162074,0.126652,0.142014,"7,320","1,950,830"
"Nov 20, 2017",0.167950,0.181901,0.137963,0.148836,"7,643","2,202,660"
"Nov 19, 2017",0.176942,0.176942,0.144889,0.168065,"3,127","2,320,590"
"Nov 18, 2017",0.140794,0.178364,0.136837,0.177297,"8,672","1,846,520"
"Nov 17, 2017",0.164792,0.172648,0.141297,0.141297,"8,217","2,161,250"
"Nov 16, 2017",0.175582,0.181754,0.125755,0.166393,"11,848","2,302,760"
"Nov 15, 2017",0.186080,0.202612,0.150769,0.174970,"14,637","2,440,450"
"Nov 14, 2017",0.167848,0.205966,0.165605,0.185966,"7,426","2,201,330"
"Nov 13, 2017",0.161507,0.205497,0.157806,0.167596,"22,147","2,087,490"
"Nov 12, 2017",0.201920,0.218654,0.114275,0.163571,"37,149","2,609,830"
"Nov 11, 2017",0.185067,0.213134,0.161077,0.201825,"7,383","2,392,000"
"Nov 10, 2017",0.192495,0.246333,0.149682,0.185586,"17,208",-
"Nov 09, 2017",0.213535,0.213535,0.142724,0.192113,"16,745",-
"Nov 08, 2017",0.178311,0.220534,0.133565,0.214370,"21,675",-
"Nov 07, 2017",0.170816,0.192707,0.131478,0.176739,"12,156",-
"Nov 06, 2017",0.184610,0.209088,0.136843,0.170826,"15,635",-
"Nov 05, 2017",0.287286,0.290341,0.184044,0.186192,"23,039",-
"Nov 04, 2017",0.275455,0.297689,0.194577,0.287301,"16,601",-
"Nov 03, 2017",0.269976,0.295473,0.205557,0.275859,"37,214",-
"Nov 02, 2017",0.394947,0.415374,0.264039,0.269887,"79,204",-
"Nov 01, 2017",0.415951,0.415951,0.215064,0.394436,"323,580",-
