Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.061403,0.073976,0.056031,0.069933,"27,447","821,494"
"Dec 15, 2017",0.055422,0.071733,0.053835,0.061324,"11,067","740,962"
"Dec 14, 2017",0.043822,0.056739,0.042034,0.055872,"6,730","585,460"
"Dec 13, 2017",0.034496,0.062901,0.029005,0.043240,"36,626","460,237"
"Dec 12, 2017",0.028752,0.034910,0.022748,0.034433,"61,193","383,179"
"Dec 11, 2017",0.027883,0.034720,0.024667,0.028659,"12,890","370,890"
"Dec 10, 2017",0.024329,0.029164,0.020956,0.028086,"2,865","323,371"
"Dec 09, 2017",0.030687,0.035403,0.022291,0.024235,"9,676","407,556"
"Dec 08, 2017",0.030691,0.044934,0.027025,0.030717,"21,706","407,163"
"Dec 07, 2017",0.049088,0.049088,0.028273,0.030624,"18,553","650,369"
"Dec 06, 2017",0.023253,0.049352,0.020887,0.049352,"27,365","307,644"
"Dec 05, 2017",0.019469,0.029859,0.016945,0.023039,"6,783","257,310"
"Dec 04, 2017",0.014190,0.020669,0.014174,0.019420,"4,990","187,284"
"Dec 03, 2017",0.015928,0.017440,0.013919,0.014145,873,"210,020"
"Dec 02, 2017",0.016223,0.016627,0.013964,0.015896,247,"213,645"
"Dec 01, 2017",0.017866,0.017993,0.012472,0.016237,"3,364","235,012"
"Nov 30, 2017",0.013581,0.018195,0.013496,0.017995,365,"178,455"
"Nov 29, 2017",0.014903,0.017287,0.013324,0.013378,607,"195,582"
"Nov 28, 2017",0.025564,0.028396,0.013405,0.014912,"5,150","334,870"
"Nov 27, 2017",0.016579,0.025541,0.016443,0.025498,"1,563","216,904"
"Nov 26, 2017",0.016536,0.018344,0.015889,0.016576,"2,096","216,074"
"Nov 25, 2017",0.016837,0.024323,0.016331,0.016544,"1,890","219,750"
"Nov 24, 2017",0.018308,0.020368,0.015567,0.016879,54,"238,722"
"Nov 23, 2017",0.017294,0.018617,0.015454,0.018335,"1,273","225,131"
"Nov 22, 2017",0.016333,0.018797,0.013427,0.017300,"2,169","212,371"
"Nov 21, 2017",0.019953,0.021707,0.010444,0.016293,"2,822","259,125"
"Nov 20, 2017",0.019245,0.021809,0.019017,0.019949,"1,638","249,255"
"Nov 19, 2017",0.018850,0.021415,0.018645,0.019255,229,"243,918"
"Nov 18, 2017",0.018648,0.021851,0.018086,0.018884,"1,249","240,955"
"Nov 17, 2017",0.020931,0.022087,0.019225,0.019470,778,"270,189"
"Nov 16, 2017",0.022395,0.024097,0.020166,0.020968,"2,565","288,745"
"Nov 15, 2017",0.022260,0.024927,0.020727,0.022278,"1,278","286,696"
"Nov 14, 2017",0.019629,0.022476,0.019629,0.022246,"1,729","252,487"
"Nov 13, 2017",0.019613,0.021816,0.013422,0.019587,"1,255","251,768"
"Nov 12, 2017",0.017135,0.020089,0.015099,0.019585,"1,784","219,715"
"Nov 11, 2017",0.015869,0.018141,0.015846,0.017147,"1,735","203,286"
"Nov 10, 2017",0.017548,0.019089,0.015576,0.015929,373,"222,616"
"Nov 09, 2017",0.018670,0.018670,0.016952,0.017495,"1,187","236,513"
"Nov 08, 2017",0.017647,0.019415,0.017160,0.018692,866,"223,279"
"Nov 07, 2017",0.015421,0.019291,0.015421,0.017702,"1,070","194,921"
"Nov 06, 2017",0.019865,0.019972,0.015389,0.015445,709,"250,881"
"Nov 05, 2017",0.019895,0.020387,0.019585,0.019821,"1,035","251,044"
"Nov 04, 2017",0.017929,0.020178,0.016931,0.019932,731,"226,014"
"Nov 03, 2017",0.023251,0.031938,0.017975,0.017975,"1,046","292,823"
"Nov 02, 2017",0.034613,0.034934,0.022638,0.023271,"2,080","435,421"
"Nov 01, 2017",0.030627,0.143805,0.022991,0.038426,"2,563","384,748"
"Oct 31, 2017",0.077403,1.05,0.026382,0.030646,"9,461","971,405"
"Oct 30, 2017",0.024884,0.257990,0.024466,0.077402,"1,780","311,995"
"Oct 29, 2017",0.026681,0.026769,0.023924,0.025030,"1,807","334,185"
"Oct 28, 2017",0.024215,0.027732,0.024076,0.026717,224,"302,941"
"Oct 27, 2017",0.025482,0.028314,0.024013,0.024149,668,"318,323"
"Oct 26, 2017",0.027506,0.028430,0.025185,0.025446,302,"343,204"
"Oct 25, 2017",0.021336,0.027370,0.021299,0.027315,"2,247","265,945"
"Oct 24, 2017",0.018638,0.026613,0.017661,0.021325,741,"232,096"
"Oct 23, 2017",0.026689,0.027603,0.018448,0.018680,296,"331,448"
"Oct 22, 2017",0.025291,0.026732,0.019824,0.026732,162,"313,654"
"Oct 21, 2017",0.021576,0.029128,0.017930,0.025288,717,"267,237"
"Oct 20, 2017",0.022080,0.024479,0.017073,0.021621,"1,427","273,250"
