Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000706,0.000925,0.000529,0.000584,776,-
"Dec 15, 2017",0.000332,0.000715,0.000332,0.000705,426,-
"Dec 14, 2017",0.000491,0.000671,0.000331,0.000331,93,-
"Dec 13, 2017",0.000518,0.000525,0.000478,0.000493,184,-
"Dec 12, 2017",0.000505,0.000682,0.000338,0.000518,640,-
"Dec 11, 2017",0.000610,0.000996,0.000164,0.000503,"1,754",-
"Dec 10, 2017",0.000902,0.001144,0.000414,0.000614,971,-
"Dec 09, 2017",0.000651,0.001211,0.000295,0.000899,"2,035",-
"Dec 08, 2017",0.000521,0.000651,0.000422,0.000651,14,-
"Dec 07, 2017",0.000412,0.000519,0.000407,0.000519,79,-
"Dec 06, 2017",0.000351,0.000509,0.000351,0.000413,24,-
"Dec 05, 2017",0.000466,0.000477,0.000345,0.000352,129,-
"Dec 04, 2017",0.000337,0.000465,0.000327,0.000465,12,-
"Dec 03, 2017",0.000437,0.000592,0.000318,0.000336,225,-
"Dec 02, 2017",0.000435,0.000543,0.000326,0.000437,175,-
"Dec 01, 2017",0.000400,0.000438,0.000378,0.000436,7,-
"Nov 30, 2017",0.000491,0.000535,0.000281,0.000402,173,-
"Nov 29, 2017",0.000397,0.000516,0.000311,0.000484,179,-
"Nov 28, 2017",0.000293,0.000398,0.000290,0.000398,42,-
"Nov 27, 2017",0.000373,0.000480,0.000288,0.000292,154,-
"Nov 26, 2017",0.000437,0.000441,0.000351,0.000373,14,-
"Nov 25, 2017",0.000328,0.000437,0.000327,0.000437,142,-
"Nov 24, 2017",0.000321,0.000409,0.000315,0.000329,96,-
"Nov 23, 2017",0.000329,0.000411,0.000322,0.000322,25,-
"Nov 22, 2017",0.000406,0.000494,0.000324,0.000329,12,-
"Nov 21, 2017",0.000494,0.000496,0.000327,0.000405,24,-
"Nov 20, 2017",0.000402,0.000497,0.000321,0.000494,242,-
"Nov 19, 2017",0.000389,0.000487,0.000385,0.000402,541,-
"Nov 18, 2017",0.000384,0.000472,0.000373,0.000390,106,-
"Nov 17, 2017",0.000392,0.000476,0.000378,0.000386,178,-
"Nov 16, 2017",0.000292,0.000400,0.000286,0.000393,411,-
"Nov 15, 2017",0.000264,0.000363,0.000264,0.000291,113,-
"Nov 14, 2017",0.000327,0.000336,0.000258,0.000264,183,-
"Nov 13, 2017",0.000235,0.000399,0.000233,0.000326,319,-
"Nov 12, 2017",0.000254,0.000315,0.000166,0.000234,110,-
"Nov 11, 2017",0.000329,0.000407,0.000249,0.000255,102,-
"Nov 10, 2017",0.000356,0.000428,0.000270,0.000330,63,-
"Nov 09, 2017",0.000299,0.000430,0.000282,0.000355,143,-
"Nov 08, 2017",0.000285,0.000392,0.000283,0.000299,114,-
"Nov 07, 2017",0.000348,0.000715,0.000284,0.000286,"1,247",-
"Nov 06, 2017",0.000296,0.000356,0.000219,0.000349,141,-
"Nov 05, 2017",0.000221,0.000302,0.000219,0.000295,1,-
"Nov 04, 2017",0.000287,0.000294,0.000146,0.000222,208,-
"Nov 03, 2017",0.000281,0.000299,0.000217,0.000287,186,-
"Nov 02, 2017",0.000404,0.000414,0.000210,0.000281,92,-
"Nov 01, 2017",0.000322,0.000462,0.000318,0.000403,92,-
"Oct 31, 2017",0.000429,0.000445,0.000305,0.000322,108,-
"Oct 30, 2017",0.000431,0.000431,0.000302,0.000430,40,-
"Oct 29, 2017",0.000286,0.000435,0.000286,0.000434,172,-
"Oct 28, 2017",0.000288,0.000294,0.000284,0.000287,13,-
"Oct 27, 2017",0.000353,0.000414,0.000286,0.000287,72,-
"Oct 26, 2017",0.000401,0.000575,0.000348,0.000353,604,-
"Oct 25, 2017",0.000331,0.000443,0.000218,0.000401,215,-
"Oct 24, 2017",0.000469,0.000469,0.000280,0.000331,10,-
"Oct 23, 2017",0.000478,0.000485,0.000353,0.000470,8,-
"Oct 22, 2017",0.000361,0.000480,0.000293,0.000479,85,-
"Oct 21, 2017",0.000480,0.000492,0.000354,0.000361,33,-
"Oct 20, 2017",0.000399,0.000489,0.000338,0.000481,96,-
"Oct 19, 2017",0.000447,0.000509,0.000339,0.000399,242,-
"Oct 18, 2017",0.000336,0.000449,0.000311,0.000447,131,-
"Oct 17, 2017",0.000462,0.000505,0.000334,0.000336,40,-
"Oct 16, 2017",0.000455,0.000465,0.000335,0.000462,369,-
"Oct 15, 2017",0.000410,0.000501,0.000382,0.000455,5,-
"Oct 14, 2017",0.000396,0.000463,0.000392,0.000409,6,-
"Oct 13, 2017",0.000381,0.000411,0.000378,0.000396,119,-
"Oct 12, 2017",0.000338,0.000466,0.000337,0.000380,145,-
"Oct 11, 2017",0.000381,0.000390,0.000336,0.000338,2,-
"Oct 10, 2017",0.000335,0.000394,0.000335,0.000381,3,-
"Oct 09, 2017",0.000322,0.000378,0.000319,0.000335,25,-
"Oct 08, 2017",0.000355,0.000412,0.000320,0.000322,183,-
"Oct 07, 2017",0.000350,0.000523,0.000348,0.000356,202,-
"Oct 06, 2017",0.000346,0.000663,0.000345,0.000350,"1,282",-
"Oct 05, 2017",0.000295,0.000349,0.000258,0.000346,39,-
"Oct 04, 2017",0.000346,0.000348,0.000294,0.000295,3,-
"Oct 03, 2017",0.000396,0.000399,0.000340,0.000345,2,-
"Oct 02, 2017",0.000395,0.000402,0.000351,0.000396,183,-
"Oct 01, 2017",0.000348,0.000396,0.000343,0.000396,12,-
"Sep 30, 2017",0.000334,0.000387,0.000333,0.000347,67,-
"Sep 29, 2017",0.000377,0.000381,0.000324,0.000334,63,-
"Sep 28, 2017",0.000337,0.000385,0.000333,0.000378,114,-
"Sep 27, 2017",0.000389,0.000393,0.000314,0.000337,39,-
"Sep 26, 2017",0.000354,0.000398,0.000312,0.000390,20,-
"Sep 25, 2017",0.000331,0.000379,0.000330,0.000354,69,-
"Sep 24, 2017",0.000341,0.000374,0.000291,0.000331,139,-
"Sep 23, 2017",0.000325,0.000413,0.000263,0.000341,470,-
"Sep 22, 2017",0.000398,0.000401,0.000248,0.000326,218,-
"Sep 21, 2017",0.000194,0.000406,0.000191,0.000399,494,-
"Sep 20, 2017",0.000196,0.000283,0.000194,0.000195,22,-
"Sep 19, 2017",0.000246,0.000282,0.000194,0.000196,68,-
"Sep 18, 2017",0.000222,0.000286,0.000189,0.000246,171,-
"Sep 17, 2017",0.000223,0.000228,0.000209,0.000222,52,-
"Sep 16, 2017",0.000185,0.000310,0.000185,0.000223,174,-
"Sep 15, 2017",0.000195,0.000263,0.000153,0.000186,61,-
"Sep 14, 2017",0.000271,0.000299,0.000193,0.000193,124,-
"Sep 13, 2017",0.000332,0.000333,0.000266,0.000271,698,-
"Sep 12, 2017",0.000337,0.000433,0.000293,0.000333,30,-
"Sep 11, 2017",0.000340,0.000465,0.000292,0.000337,138,-
"Sep 10, 2017",0.000347,0.000347,0.000324,0.000341,8,-
"Sep 09, 2017",0.000346,0.000353,0.000336,0.000347,60,-
"Sep 08, 2017",0.000371,0.000376,0.000332,0.000346,13,-
"Sep 07, 2017",0.000369,0.000410,0.000360,0.000371,13,-
"Sep 06, 2017",0.000398,0.000433,0.000363,0.000370,19,-
"Sep 05, 2017",0.000431,0.000448,0.000367,0.000397,17,-
"Sep 04, 2017",0.000462,0.000462,0.000360,0.000428,18,-
"Sep 03, 2017",0.000323,0.000503,0.000323,0.000462,185,-
"Sep 02, 2017",0.000394,0.000487,0.000315,0.000323,177,-
"Sep 01, 2017",0.000521,0.000525,0.000390,0.000393,123,-
"Aug 31, 2017",0.000321,0.000524,0.000321,0.000426,216,-
"Aug 30, 2017",0.000643,0.000695,0.000320,0.000321,278,-
"Aug 29, 2017",0.000614,0.000720,0.000457,0.000644,339,-
"Aug 28, 2017",0.000599,0.000654,0.000473,0.000613,956,-
"Aug 26, 2017",0.000306,0.000306,0.000300,0.000302,104,-
"Aug 25, 2017",0.000303,0.000438,0.000301,0.000305,105,-
"Aug 24, 2017",0.000331,0.000378,0.000295,0.000303,52,-
"Aug 23, 2017",0.000327,0.000419,0.000326,0.000331,145,-
"Aug 22, 2017",0.000360,0.000411,0.000310,0.000328,117,-
"Aug 21, 2017",0.000446,0.000450,0.000319,0.000359,593,-
"Aug 20, 2017",0.000415,0.000457,0.000365,0.000448,380,-
"Aug 19, 2017",0.000411,0.000455,0.000358,0.000416,183,-
"Aug 18, 2017",0.000471,0.000522,0.000408,0.000411,110,-
"Aug 17, 2017",0.000439,0.000493,0.000387,0.000472,63,-
"Aug 16, 2017",0.000498,0.000522,0.000355,0.000439,200,-
"Aug 15, 2017",0.000476,0.000746,0.000352,0.000498,676,-
"Aug 14, 2017",0.000609,0.000928,0.000460,0.000475,715,-
"Aug 13, 2017",0.000425,0.000609,0.000325,0.000609,603,-
"Aug 12, 2017",0.000329,0.000466,0.000325,0.000426,78,-
"Aug 11, 2017",0.000342,0.000441,0.000317,0.000329,106,-
"Aug 10, 2017",0.000334,0.000413,0.000301,0.000342,79,-
"Aug 09, 2017",0.000342,0.000398,0.000202,0.000334,319,-
"Aug 08, 2017",0.000305,0.000345,0.000236,0.000342,267,-
"Aug 07, 2017",0.000290,0.000306,0.000287,0.000305,6,-
"Aug 06, 2017",0.000260,0.000325,0.000253,0.000290,122,-
"Aug 05, 2017",0.000200,0.000376,0.000200,0.000260,162,-
"Aug 04, 2017",0.000307,0.000315,0.000086,0.000200,330,-
"Aug 03, 2017",0.000297,0.000307,0.000244,0.000307,145,-
"Aug 02, 2017",0.000300,0.000330,0.000241,0.000297,627,-
"Aug 01, 2017",0.000343,0.000349,0.000266,0.000300,133,-
"Jul 31, 2017",0.000274,0.000345,0.000271,0.000343,201,-
"Jul 30, 2017",0.000272,0.000329,0.000243,0.000274,857,-
"Jul 29, 2017",0.000417,0.000418,0.000242,0.000272,828,-
"Jul 28, 2017",0.000905,0.000958,0.000247,0.000419,"7,508",-
"Jul 27, 2017",0.000985,0.001006,0.000790,0.000902,92,-
"Jul 26, 2017",0.000999,0.001021,0.000844,0.000982,81,-
"Jul 25, 2017",0.000827,0.001109,0.000796,0.000998,112,-
"Jul 24, 2017",0.000880,0.001271,0.000823,0.000828,274,-
"Jul 23, 2017",0.001472,0.001486,0.000873,0.000881,415,-
"Jul 22, 2017",0.001094,0.001475,0.001088,0.001472,182,-
"Jul 21, 2017",0.001331,0.001335,0.001073,0.001094,95,-
"Jul 20, 2017",0.001082,0.001389,0.001036,0.001321,303,-
"Jul 19, 2017",0.001220,0.001387,0.001032,0.001086,490,-
"Jul 18, 2017",0.001534,0.001538,0.001098,0.001218,"1,832",-
"Jul 17, 2017",0.001250,0.001975,0.001073,0.001530,"1,623",-
"Jul 16, 2017",0.000953,0.001591,0.000808,0.001309,928,-
"Jul 15, 2017",0.000976,0.001135,0.000880,0.000956,365,-
"Jul 14, 2017",0.001264,0.001270,0.000843,0.000978,433,-
"Jul 13, 2017",0.001169,0.001402,0.001021,0.001265,462,-
"Jul 12, 2017",0.001344,0.001344,0.001018,0.001168,347,-
"Jul 11, 2017",0.001287,0.001407,0.000694,0.001346,"1,099",-
"Jul 10, 2017",0.001428,0.001658,0.001063,0.001290,840,-
"Jul 09, 2017",0.001912,0.002124,0.001041,0.001425,"3,288",-
"Jul 08, 2017",0.002627,0.003035,0.001506,0.001910,"1,984",-
"Jul 07, 2017",0.003820,0.004009,0.001615,0.002550,"2,099",-
"Jul 06, 2017",0.003640,0.004937,0.002778,0.003817,"9,628",-
"Jul 05, 2017",0.001321,0.005126,0.001244,0.003638,"14,045",-
"Jul 04, 2017",0.001801,0.001850,0.000026,0.001322,"7,382",-
"Jul 03, 2017",0.001992,0.001998,0.001067,0.001398,298,-
"Jul 02, 2017",0.002311,0.002373,0.000628,0.001999,710,-
"Jul 01, 2017",0.002035,0.002345,0.001978,0.002311,"1,041",-
"Jun 30, 2017",0.002127,0.002221,0.001997,0.002036,58,-
"Jun 29, 2017",0.001863,0.002246,0.001632,0.002123,771,-
"Jun 28, 2017",0.002101,0.002208,0.001776,0.001865,87,-
"Jun 27, 2017",0.001827,0.002197,0.001765,0.002087,361,-
"Jun 26, 2017",0.002342,0.002379,0.001738,0.001785,72,-
"Jun 25, 2017",0.001975,0.002536,0.001757,0.002343,280,-
"Jun 24, 2017",0.002045,0.003262,0.001653,0.001929,964,-
"Jun 23, 2017",0.003048,0.003555,0.001087,0.002126,"1,696",-
"Jun 22, 2017",0.003172,0.003747,0.002048,0.003073,327,-
"Jun 21, 2017",0.003123,0.004172,0.003123,0.003172,686,-
"Jun 20, 2017",0.003747,0.004147,0.003123,0.003123,366,-
"Jun 19, 2017",0.004222,0.005421,0.003172,0.003747,808,-
"Jun 18, 2017",0.003772,0.004996,0.002723,0.004147,"1,050",-
"Jun 17, 2017",0.005171,0.005296,0.002523,0.002848,"1,189",-
"Jun 16, 2017",0.006445,0.006445,0.003128,0.005221,"1,204",-
"Jun 15, 2017",0.006537,0.007281,0.003444,0.005870,824,-
"Jun 14, 2017",0.009261,0.010206,0.004162,0.006242,"1,094",-
"Jun 13, 2017",0.009298,0.013645,0.007627,0.009050,"1,998",-
"Jun 12, 2017",0.010440,0.010880,0.004701,0.009329,335,-
"Jun 11, 2017",0.011739,0.011791,0.005916,0.009412,"2,515",-
"Jun 10, 2017",0.011579,0.012508,0.011225,0.011398,"28,759",-
"Jun 09, 2017",0.011625,0.014472,0.011515,0.011561,"2,304",-
"Jun 08, 2017",0.011973,0.015011,0.011317,0.011644,"9,375",-
"Jun 07, 2017",0.016684,0.017119,0.011367,0.013547,"3,303",-
"Jun 06, 2017",0.015360,0.022906,0.012037,0.015132,"2,410",-
"Jun 05, 2017",0.017995,0.023297,0.014352,0.018645,"2,188",-
"Jun 04, 2017",0.017840,0.020148,0.012478,0.016658,"1,469",-
"Jun 03, 2017",0.014255,0.020478,0.014255,0.018854,"1,863",-
"Jun 02, 2017",0.019173,0.020243,0.010959,0.015624,"2,459",-
"Jun 01, 2017",0.016261,0.025024,0.014319,0.019165,"2,535",-
"May 31, 2017",0.021814,0.022670,0.015897,0.018531,"3,485",-
"May 30, 2017",0.022209,0.024186,0.018111,0.020769,"2,834",-
