Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",3.71,3.92,3.69,3.77,"4,245,120","151,116,000"
"Dec 15, 2017",3.77,3.79,3.43,3.69,"6,491,670","153,772,000"
"Dec 14, 2017",3.85,4.11,3.62,3.74,"6,513,150","156,862,000"
"Dec 13, 2017",3.66,4.15,3.38,3.86,"9,020,600","149,095,000"
"Dec 12, 2017",2.98,3.73,2.90,3.65,"8,958,670","121,652,000"
"Dec 11, 2017",2.54,2.98,2.52,2.98,"5,695,280","103,591,000"
"Dec 10, 2017",2.74,2.74,2.49,2.54,"2,993,900","111,801,000"
"Dec 09, 2017",2.66,2.93,2.65,2.72,"4,901,430","108,541,000"
"Dec 08, 2017",2.50,2.74,2.42,2.66,"4,422,620","102,066,000"
"Dec 07, 2017",2.50,2.60,2.40,2.50,"5,255,870","101,865,000"
"Dec 06, 2017",2.81,2.81,2.46,2.50,"5,482,920","114,371,000"
"Dec 05, 2017",2.67,3.10,2.61,2.80,"8,684,160","108,792,000"
"Dec 04, 2017",2.56,2.74,2.48,2.67,"3,796,320","104,486,000"
"Dec 03, 2017",2.50,2.71,2.44,2.56,"3,197,670","102,108,000"
"Dec 02, 2017",2.53,2.64,2.47,2.51,"3,549,220","103,225,000"
"Dec 01, 2017",2.44,2.60,2.31,2.54,"2,934,080","99,448,100"
"Nov 30, 2017",2.37,2.54,2.19,2.45,"2,397,210","96,826,700"
"Nov 29, 2017",2.60,2.89,2.33,2.35,"4,369,150","106,039,000"
"Nov 28, 2017",2.68,2.70,2.58,2.60,"3,413,550","109,376,000"
"Nov 27, 2017",2.66,2.78,2.63,2.68,"4,448,550","108,647,000"
"Nov 26, 2017",2.65,2.88,2.54,2.67,"4,779,860","108,081,000"
"Nov 25, 2017",2.73,2.73,2.60,2.65,"3,577,920","111,156,000"
"Nov 24, 2017",2.41,2.75,2.31,2.73,"4,389,420","98,154,900"
"Nov 23, 2017",2.25,2.46,2.21,2.41,"3,682,080","91,575,500"
"Nov 22, 2017",2.13,2.25,2.12,2.24,"1,954,530","86,651,900"
"Nov 21, 2017",2.18,2.19,2.07,2.12,"1,940,570","88,794,400"
"Nov 20, 2017",2.09,2.18,2.08,2.17,"1,705,110","85,154,400"
"Nov 19, 2017",2.06,2.19,2.04,2.09,"1,980,670","84,183,700"
"Nov 18, 2017",1.96,2.07,1.92,2.07,"1,545,720","79,721,000"
"Nov 17, 2017",2.00,2.01,1.93,1.97,"1,564,790","81,728,700"
"Nov 16, 2017",2.02,2.02,1.91,1.98,"2,081,880","82,402,100"
"Nov 15, 2017",2.02,2.07,1.96,2.02,"2,464,150","82,241,000"
"Nov 14, 2017",1.96,2.04,1.93,2.04,"2,596,440","79,806,300"
"Nov 13, 2017",1.80,2.01,1.80,1.96,"2,738,800","73,561,900"
"Nov 12, 2017",1.93,1.93,1.77,1.81,"2,634,170","78,501,100"
"Nov 11, 2017",1.86,1.96,1.83,1.92,"2,650,010","75,736,600"
"Nov 10, 2017",2.05,2.09,1.83,1.87,"1,861,230","83,624,100"
"Nov 09, 2017",1.95,2.11,1.92,2.03,"2,044,140","79,413,200"
"Nov 08, 2017",1.87,2.02,1.85,1.95,"1,957,250","76,227,000"
"Nov 07, 2017",1.85,1.91,1.82,1.87,"1,025,090","75,311,000"
"Nov 06, 2017",1.88,1.91,1.81,1.85,"1,586,090","76,664,800"
"Nov 05, 2017",1.93,1.96,1.84,1.86,"2,012,750","78,562,700"
"Nov 04, 2017",1.94,2.00,1.88,1.93,"1,567,020","78,965,100"
"Nov 03, 2017",1.78,1.96,1.78,1.93,"1,324,870","72,696,000"
"Nov 02, 2017",1.91,1.92,1.77,1.78,"1,379,960","77,813,200"
"Nov 01, 2017",1.98,2.00,1.87,1.93,"1,171,980","80,893,500"
"Oct 31, 2017",1.99,2.07,1.94,2.00,"990,337","80,948,200"
"Oct 30, 2017",1.96,2.03,1.95,1.99,"1,090,470","79,972,600"
"Oct 29, 2017",1.90,2.10,1.88,1.96,"1,154,460","77,382,200"
"Oct 28, 2017",1.92,1.94,1.86,1.91,"1,137,270","78,418,500"
"Oct 27, 2017",1.92,1.97,1.86,1.92,"1,320,880","78,104,100"
"Oct 26, 2017",1.99,2.01,1.90,1.94,"2,022,500","81,293,400"
"Oct 25, 2017",1.98,2.03,1.93,1.99,"1,485,030","80,580,400"
"Oct 24, 2017",1.87,2.15,1.82,1.97,"1,901,180","76,430,100"
"Oct 23, 2017",1.97,2.02,1.82,1.88,"1,459,900","80,169,200"
"Oct 22, 2017",2.04,2.05,1.93,1.99,"1,271,590","82,976,400"
"Oct 21, 2017",2.05,2.10,1.85,2.02,"1,005,330","83,460,800"
"Oct 20, 2017",2.10,2.18,2.03,2.05,"1,148,670","85,592,100"
"Oct 19, 2017",2.13,2.16,2.08,2.10,"1,496,620","86,693,200"
"Oct 18, 2017",2.19,2.19,2.00,2.14,"1,583,160","89,248,600"
"Oct 17, 2017",2.33,2.35,2.17,2.19,"2,294,300","95,073,900"
"Oct 16, 2017",2.32,2.42,2.28,2.33,"892,768","94,786,600"
"Oct 15, 2017",2.40,2.42,2.21,2.34,"823,784","97,696,500"
"Oct 14, 2017",2.42,2.47,2.38,2.39,"681,128","98,849,300"
"Oct 13, 2017",2.21,2.52,2.11,2.42,"1,328,750","89,977,800"
"Oct 12, 2017",2.19,2.25,2.17,2.20,"760,881","89,489,000"
"Oct 11, 2017",2.19,2.22,2.17,2.20,"776,844","89,188,900"
"Oct 10, 2017",2.20,2.27,2.17,2.17,"696,724","89,785,600"
"Oct 09, 2017",2.26,2.30,2.07,2.20,"2,280,330","92,159,100"
"Oct 08, 2017",2.31,2.33,2.26,2.26,"1,787,620","94,045,600"
"Oct 07, 2017",2.28,2.33,2.25,2.32,"1,224,100","92,985,100"
"Oct 06, 2017",2.18,2.37,2.17,2.28,"1,260,730","89,008,400"
"Oct 05, 2017",2.21,2.21,2.13,2.18,"703,998","90,103,700"
"Oct 04, 2017",2.17,2.21,2.15,2.21,"571,837","88,340,100"
"Oct 03, 2017",2.22,2.24,2.07,2.16,"1,593,020","90,517,500"
"Oct 02, 2017",2.31,2.34,2.20,2.21,"1,153,440","94,120,500"
"Oct 01, 2017",2.31,2.38,2.21,2.34,"2,128,430","94,357,800"
"Sep 30, 2017",2.28,2.40,2.21,2.32,"2,447,150","93,097,600"
"Sep 29, 2017",2.32,2.33,2.15,2.28,"1,216,580","94,647,000"
"Sep 28, 2017",2.33,2.35,2.27,2.32,"879,419","95,054,400"
"Sep 27, 2017",2.17,2.35,2.17,2.33,"706,819","88,417,100"
"Sep 26, 2017",2.24,2.26,2.15,2.18,"955,106","91,485,100"
