Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006723,0.008981,0.006688,0.008717,343,"478,887"
"Dec 15, 2017",0.005783,0.007382,0.005781,0.006714,439,"411,932"
"Dec 14, 2017",0.006301,0.006510,0.005177,0.005774,546,"448,834"
"Dec 13, 2017",0.005939,0.006687,0.005087,0.006407,814,"423,059"
"Dec 12, 2017",0.005984,0.006663,0.005711,0.005933,730,"426,292"
"Dec 11, 2017",0.005448,0.006175,0.005358,0.006019,219,"388,085"
"Dec 10, 2017",0.004866,0.005591,0.003590,0.005490,223,"346,613"
"Dec 09, 2017",0.006164,0.006462,0.003052,0.004846,670,"439,102"
"Dec 08, 2017",0.009771,0.009771,0.005592,0.006170,488,"696,049"
"Dec 07, 2017",0.006652,0.009748,0.005533,0.009748,"6,996","473,847"
"Dec 06, 2017",0.004386,0.006661,0.004078,0.006661,457,"312,462"
"Dec 05, 2017",0.003582,0.005801,0.003580,0.004396,"1,302","255,151"
"Dec 04, 2017",0.003936,0.004206,0.003382,0.003575,821,"280,373"
"Dec 03, 2017",0.004263,0.004598,0.003657,0.003923,643,"303,694"
"Dec 02, 2017",0.003562,0.004308,0.003486,0.004259,123,"253,747"
"Dec 01, 2017",0.003935,0.004692,0.003316,0.003565,985,"280,293"
"Nov 30, 2017",0.004030,0.004387,0.003702,0.003769,49,"287,107"
"Nov 29, 2017",0.004576,0.004754,0.003647,0.003954,929,"325,940"
"Nov 28, 2017",0.004200,0.004638,0.003828,0.004204,"6,127","299,194"
"Nov 27, 2017",0.003819,0.004451,0.003237,0.004120,899,"272,058"
"Nov 26, 2017",0.003836,0.004174,0.003491,0.003818,"2,344","273,242"
"Nov 25, 2017",0.002381,0.003837,0.002297,0.003837,"5,049","169,602"
"Nov 24, 2017",0.002257,0.002455,0.002215,0.002386,365,"160,746"
"Nov 23, 2017",0.002438,0.003060,0.002260,0.002260,"1,314","173,696"
"Nov 22, 2017",0.002288,0.002746,0.002023,0.002439,519,"162,950"
"Nov 21, 2017",0.002231,0.002444,0.002167,0.002282,187,"158,895"
"Nov 20, 2017",0.002091,0.003457,0.001941,0.002230,"1,394","148,971"
"Nov 19, 2017",0.001888,0.002092,0.001701,0.002092,686,"134,466"
"Nov 18, 2017",0.001742,0.001906,0.001663,0.001891,722,"124,088"
"Nov 17, 2017",0.001818,0.001950,0.001645,0.001749,75,"129,495"
"Nov 16, 2017",0.001677,0.001934,0.001640,0.001823,36,"119,485"
"Nov 15, 2017",0.001455,0.001899,0.001455,0.001668,169,"103,663"
"Nov 14, 2017",0.001442,0.001484,0.001291,0.001454,310,"102,719"
"Nov 13, 2017",0.001325,0.001560,0.001261,0.001439,"1,513","94,407"
"Nov 12, 2017",0.001476,0.001476,0.001207,0.001323,15,"105,173"
"Nov 11, 2017",0.001448,0.001562,0.001335,0.001478,754,"103,151"
"Nov 10, 2017",0.001645,0.001793,0.001421,0.001454,176,"117,211"
"Nov 09, 2017",0.001780,0.001793,0.001432,0.001640,16,"126,783"
"Nov 08, 2017",0.001637,0.001804,0.001467,0.001782,120,"116,594"
"Nov 07, 2017",0.001622,0.001655,0.001579,0.001642,10,"115,517"
"Nov 06, 2017",0.001693,0.001776,0.001599,0.001624,13,"120,569"
"Nov 05, 2017",0.001707,0.001847,0.001571,0.001689,32,"121,565"
"Nov 04, 2017",0.002292,0.002292,0.001701,0.001709,60,"163,272"
"Nov 03, 2017",0.001756,0.002308,0.001746,0.002298,943,"125,115"
"Nov 02, 2017",0.001742,0.002013,0.001510,0.001759,519,"124,077"
"Nov 01, 2017",0.001675,0.001767,0.001534,0.001747,"2,569","119,346"
"Oct 31, 2017",0.001592,0.001677,0.001519,0.001677,409,"113,439"
"Oct 30, 2017",0.001534,0.001598,0.001462,0.001598,450,"109,270"
"Oct 29, 2017",0.001408,0.001550,0.001181,0.001543,437,"100,325"
"Oct 28, 2017",0.001556,0.001585,0.001382,0.001410,64,"110,851"
"Oct 27, 2017",0.001384,0.001886,0.001380,0.001552,421,"98,624"
"Oct 26, 2017",0.001545,0.001643,0.001366,0.001392,2,"110,067"
"Oct 25, 2017",0.001435,0.001568,0.001383,0.001545,41,"102,240"
"Oct 24, 2017",0.001707,0.001707,0.001316,0.001435,206,"121,594"
"Oct 23, 2017",0.001734,0.001747,0.001545,0.001711,411,"123,520"
"Oct 22, 2017",0.001623,0.001813,0.001605,0.001737,"1,479","115,600"
"Oct 21, 2017",0.001688,0.001843,0.001622,0.001622,693,"120,212"
"Oct 20, 2017",0.001877,0.001881,0.001599,0.001690,64,"133,704"
"Oct 19, 2017",0.001602,0.001907,0.001589,0.001876,915,"114,119"
"Oct 18, 2017",0.001638,0.001638,0.001490,0.001603,61,"116,701"
"Oct 17, 2017",0.001878,0.001884,0.001622,0.001638,16,"133,813"
"Oct 16, 2017",0.001684,0.001888,0.001614,0.001878,42,"119,962"
"Oct 15, 2017",0.001697,0.001924,0.001611,0.001684,"6,560","120,871"
"Oct 14, 2017",0.001955,0.002025,0.001604,0.001694,487,"139,229"
"Oct 13, 2017",0.002294,0.002460,0.001875,0.001954,"2,064","163,408"
"Oct 12, 2017",0.002060,0.002287,0.002042,0.002287,97,"146,758"
"Oct 11, 2017",0.001449,0.002079,0.001286,0.002058,"1,081","103,238"
"Oct 10, 2017",0.001453,0.001505,0.001290,0.001450,"2,533","103,530"
"Oct 09, 2017",0.001471,0.001520,0.001231,0.001453,107,"104,762"
"Oct 08, 2017",0.001249,0.001612,0.001188,0.001470,"2,236","88,940"
"Oct 07, 2017",0.001250,0.001306,0.001213,0.001252,29,"89,069"
"Oct 06, 2017",0.001339,0.001356,0.001247,0.001250,6,"95,393"
"Oct 05, 2017",0.001182,0.001352,0.001162,0.001339,566,"84,199"
"Oct 04, 2017",0.001295,0.001303,0.001138,0.001181,447,"92,256"
"Oct 03, 2017",0.001271,0.001294,0.001116,0.001292,"1,049","90,567"
"Oct 02, 2017",0.001313,0.001336,0.000980,0.001271,284,"93,504"
"Oct 01, 2017",0.001202,0.001326,0.001184,0.001313,33,"85,602"
"Sep 30, 2017",0.001168,0.001263,0.001093,0.001201,57,"83,213"
"Sep 29, 2017",0.001193,0.001194,0.001013,0.001168,"1,360","84,984"
"Sep 28, 2017",0.001137,0.001334,0.001053,0.001194,432,"80,966"
"Sep 27, 2017",0.001147,0.001251,0.001106,0.001137,84,"81,682"
"Sep 26, 2017",0.001105,0.001185,0.001089,0.001149,50,"78,743"
"Sep 25, 2017",0.001087,0.001251,0.001074,0.001133,88,"77,452"
"Sep 24, 2017",0.001179,0.001216,0.001054,0.001088,49,"83,963"
"Sep 23, 2017",0.001134,0.001229,0.001050,0.001179,117,"80,806"
"Sep 22, 2017",0.001159,0.001203,0.001030,0.001138,123,"82,525"
"Sep 21, 2017",0.001115,0.001356,0.001095,0.001160,"2,919","79,423"
"Sep 20, 2017",0.001327,0.001333,0.001095,0.001121,36,"94,496"
"Sep 19, 2017",0.001183,0.001337,0.001015,0.001328,679,"84,251"
"Sep 18, 2017",0.001170,0.001235,0.001065,0.001180,17,"83,343"
"Sep 17, 2017",0.001032,0.001213,0.000925,0.001171,241,"73,515"
"Sep 16, 2017",0.001113,0.001203,0.000993,0.001031,77,"79,278"
"Sep 15, 2017",0.001005,0.001170,0.000854,0.001116,721,"71,571"
"Sep 14, 2017",0.001227,0.001273,0.000890,0.000997,974,"87,383"
"Sep 13, 2017",0.001164,0.001267,0.001042,0.001197,269,"82,903"
"Sep 12, 2017",0.001339,0.001401,0.001071,0.001168,"1,014","95,385"
"Sep 11, 2017",0.001360,0.001400,0.001287,0.001338,74,"96,892"
"Sep 10, 2017",0.001343,0.001416,0.001149,0.001362,"1,421","95,646"
"Sep 09, 2017",0.001324,0.001360,0.001295,0.001346,656,"94,350"
"Sep 08, 2017",0.001400,0.001487,0.001269,0.001322,148,"99,717"
"Sep 07, 2017",0.001432,0.001447,0.001378,0.001404,37,"102,023"
"Sep 06, 2017",0.001292,0.001626,0.001292,0.001490,739,"92,041"
"Sep 05, 2017",0.001460,0.001460,0.001178,0.001291,296,"103,993"
"Sep 04, 2017",0.001478,0.001540,0.001350,0.001453,47,"105,290"
"Sep 03, 2017",0.001473,0.001554,0.001403,0.001478,146,"104,961"
"Sep 02, 2017",0.001674,0.001691,0.001431,0.001474,138,"119,264"
"Sep 01, 2017",0.001536,0.001661,0.001526,0.001605,68,"109,433"
"Aug 31, 2017",0.001665,0.001682,0.001415,0.001536,120,"118,586"
"Aug 30, 2017",0.001670,0.001745,0.001555,0.001668,65,"118,928"
"Aug 29, 2017",0.001547,0.001752,0.001539,0.001672,242,"110,206"
"Aug 28, 2017",0.001590,0.001590,0.001467,0.001545,199,"113,239"
"Aug 27, 2017",0.001577,0.001686,0.001546,0.001591,115,"112,331"
"Aug 26, 2017",0.002121,0.002125,0.001370,0.001577,"1,520","151,072"
"Aug 25, 2017",0.002111,0.002241,0.002057,0.002120,302,"150,379"
"Aug 24, 2017",0.001841,0.002198,0.001835,0.002114,279,"131,108"
"Aug 23, 2017",0.001623,0.001845,0.001495,0.001838,37,"115,596"
"Aug 22, 2017",0.001648,0.001697,0.001465,0.001625,37,"117,374"
"Aug 21, 2017",0.001640,0.001819,0.001556,0.001642,16,"116,841"
"Aug 20, 2017",0.001593,0.001685,0.001505,0.001646,125,"113,472"
"Aug 19, 2017",0.001996,0.002345,0.001556,0.001600,"1,095","142,168"
"Aug 18, 2017",0.001687,0.002231,0.001474,0.001997,"1,340","120,205"
"Aug 17, 2017",0.001958,0.002174,0.001580,0.001693,183,"139,491"
"Aug 16, 2017",0.001856,0.001986,0.001550,0.001970,615,"132,200"
"Aug 15, 2017",0.001627,0.002126,0.001459,0.001802,825,"115,868"
"Aug 14, 2017",0.001843,0.002253,0.001307,0.001622,"1,165","131,266"
"Aug 13, 2017",0.002197,0.002500,0.001694,0.001842,332,"156,498"
"Aug 12, 2017",0.002027,0.002227,0.001547,0.002199,136,"144,393"
"Aug 11, 2017",0.002402,0.003006,0.001873,0.002029,499,"171,079"
"Aug 10, 2017",0.002537,0.003245,0.002287,0.002402,450,"180,698"
"Aug 09, 2017",0.002711,0.002900,0.002120,0.002536,668,"193,135"
"Aug 08, 2017",0.001550,0.003347,0.001431,0.002713,507,"110,391"
"Aug 07, 2017",0.002155,0.002277,0.001529,0.001548,193,"153,523"
"Aug 06, 2017",0.001609,0.002452,0.001293,0.002160,971,"114,635"
"Aug 05, 2017",0.001261,0.001729,0.001126,0.001609,425,"89,858"
"Aug 04, 2017",0.001134,0.001366,0.001130,0.001262,136,"80,812"
"Aug 03, 2017",0.002182,0.002198,0.001068,0.001135,738,"155,458"
"Aug 02, 2017",0.002287,0.002589,0.001886,0.002179,856,"162,922"
"Aug 01, 2017",0.002557,0.002557,0.002127,0.002343,"1,299","182,171"
"Jul 31, 2017",0.002611,0.002613,0.001863,0.002531,"1,302","186,003"
"Jul 30, 2017",0.002657,0.002679,0.002295,0.002327,212,"189,236"
"Jul 29, 2017",0.002540,0.002657,0.002113,0.002657,814,"180,916"
"Jul 28, 2017",0.002663,0.002724,0.001910,0.002549,"1,076","189,681"
"Jul 27, 2017",0.002131,0.002743,0.002123,0.002655,239,"151,811"
"Jul 26, 2017",0.002098,0.002188,0.001757,0.002125,132,"149,414"
"Jul 25, 2017",0.002915,0.002987,0.001900,0.002097,122,"207,678"
"Jul 24, 2017",0.003592,0.003592,0.002352,0.002916,382,"255,858"
"Jul 23, 2017",0.003929,0.004117,0.002926,0.003592,"1,119","279,887"
"Jul 22, 2017",0.003499,0.004621,0.003031,0.003929,"1,101","249,232"
"Jul 21, 2017",0.003888,0.005446,0.002994,0.003499,704,"276,953"
"Jul 20, 2017",0.002177,0.004536,0.002086,0.003848,105,"155,074"
"Jul 19, 2017",0.004067,0.004067,0.001961,0.002537,490,"289,702"
"Jul 18, 2017",0.003393,0.006327,0.002926,0.004060,"3,170","241,723"
"Jul 17, 2017",0.002382,0.009565,0.002223,0.003384,"4,818","169,713"
"Jul 16, 2017",0.003640,0.003706,0.002188,0.002385,599,"259,321"
"Jul 15, 2017",0.002476,0.004652,0.002304,0.003651,"1,363","176,346"
"Jul 14, 2017",0.002619,0.002631,0.002312,0.002480,954,"186,586"
"Jul 13, 2017",0.002362,0.002674,0.002246,0.002621,883,"168,285"
"Jul 12, 2017",0.002306,0.002683,0.001896,0.002361,"1,245","164,262"
"Jul 11, 2017",0.002318,0.002393,0.002111,0.002317,376,"165,101"
"Jul 10, 2017",0.002822,0.002835,0.001959,0.002323,64,"200,999"
"Jul 09, 2017",0.002787,0.002956,0.002417,0.002816,124,"198,540"
"Jul 08, 2017",0.002726,0.002785,0.002292,0.002785,74,"194,203"
"Jul 07, 2017",0.002603,0.002789,0.002267,0.002724,"1,230","185,420"
"Jul 06, 2017",0.002657,0.002659,0.002152,0.002601,621,"189,267"
"Jul 05, 2017",0.002551,0.002701,0.002138,0.002656,198,"181,748"
"Jul 04, 2017",0.002103,0.002568,0.002054,0.002553,970,"149,780"
"Jul 03, 2017",0.002092,0.002128,0.001680,0.002107,"1,400","149,025"
"Jul 02, 2017",0.002369,0.002375,0.001930,0.002100,4,"168,787"
"Jul 01, 2017",0.002049,0.002418,0.001992,0.002370,220,"145,945"
"Jun 30, 2017",0.002022,0.002457,0.001926,0.002049,44,"144,031"
"Jun 29, 2017",0.002155,0.002254,0.001988,0.002016,103,"153,523"
"Jun 28, 2017",0.002165,0.002275,0.001818,0.002157,50,"154,256"
"Jun 27, 2017",0.002073,0.002439,0.001806,0.002152,138,"147,653"
"Jun 26, 2017",0.002331,0.002616,0.002025,0.002073,76,"166,080"
"Jun 25, 2017",0.002619,0.002634,0.002205,0.002337,18,"186,552"
"Jun 24, 2017",0.002667,0.002856,0.002522,0.002625,158,"189,977"
"Jun 23, 2017",0.001778,0.002720,0.001728,0.002667,839,"126,677"
"Jun 22, 2017",0.001973,0.002247,0.001772,0.001778,339,"140,526"
"Jun 21, 2017",0.001865,0.001988,0.001846,0.001975,240,"132,854"
"Jun 20, 2017",0.002279,0.002297,0.001867,0.001873,351,"162,325"
"Jun 19, 2017",0.001881,0.002418,0.001812,0.002278,620,"134,018"
"Jun 18, 2017",0.002022,0.002050,0.001712,0.001886,478,"144,061"
"Jun 17, 2017",0.002061,0.002238,0.001668,0.002015,895,"146,794"
"Jun 16, 2017",0.002098,0.002292,0.001857,0.002059,303,"149,466"
"Jun 15, 2017",0.001867,0.002112,0.001710,0.002098,99,"132,994"
"Jun 14, 2017",0.002096,0.002112,0.001789,0.001867,232,"149,313"
"Jun 13, 2017",0.002032,0.002132,0.001978,0.002097,48,"144,771"
"Jun 12, 2017",0.002276,0.002366,0.001973,0.002039,66,"162,137"
"Jun 11, 2017",0.002112,0.002285,0.002098,0.002279,85,"150,438"
"Jun 10, 2017",0.002651,0.002800,0.002108,0.002112,114,"188,840"
"Jun 09, 2017",0.002319,0.002919,0.002218,0.002648,481,"165,195"
"Jun 08, 2017",0.001927,0.002424,0.001880,0.002322,264,"137,268"
"Jun 07, 2017",0.002586,0.002586,0.001889,0.001919,487,"184,235"
"Jun 06, 2017",0.002022,0.024014,0.001949,0.002592,226,"144,037"
"Jun 05, 2017",0.001813,0.002174,0.001813,0.002027,144,"129,143"
"Jun 04, 2017",0.001760,0.002187,0.001683,0.001813,152,"125,361"
"Jun 03, 2017",0.001877,0.002744,0.001763,0.001764,"1,300","133,690"
"Jun 02, 2017",0.002686,0.002688,0.001579,0.001875,845,"191,344"
"Jun 01, 2017",0.001373,0.002684,0.001239,0.002684,"1,061","97,782"
"May 31, 2017",0.001359,0.001379,0.001178,0.001369,247,"96,775"
"May 30, 2017",0.001192,0.001546,0.001164,0.001351,280,"84,923"
"May 29, 2017",0.001269,0.002308,0.001144,0.001190,268,"90,400"
"May 28, 2017",0.001451,0.001625,0.001203,0.001272,196,"103,342"
"May 27, 2017",0.001807,0.002536,0.001123,0.001448,551,"128,723"
"May 26, 2017",0.001201,0.003169,0.001201,0.001620,791,"85,533"
"May 25, 2017",0.001221,0.002005,0.001177,0.001209,134,"86,941"
"May 24, 2017",0.001052,0.002485,0.001047,0.001218,149,"74,870"
"May 23, 2017",0.001168,0.001330,0.001020,0.001052,332,"83,083"
"May 22, 2017",0.001042,0.001341,0.000991,0.001169,260,"74,113"
"May 21, 2017",0.000962,0.001120,0.000958,0.001040,93,"68,421"
"May 20, 2017",0.000917,0.000976,0.000833,0.000962,54,"65,247"
"May 19, 2017",0.000765,0.000920,0.000765,0.000918,223,"54,392"
"May 18, 2017",0.000754,0.000848,0.000697,0.000764,142,"53,627"
"May 17, 2017",0.000778,0.000797,0.000675,0.000755,275,"55,254"
"May 16, 2017",0.000733,0.000789,0.000429,0.000777,177,"52,038"
"May 15, 2017",0.000756,0.000774,0.000705,0.000735,172,"53,717"
"May 14, 2017",0.000780,0.000920,0.000755,0.000756,159,"55,404"
"May 13, 2017",0.000788,0.000818,0.000664,0.000778,297,"55,962"
"May 12, 2017",0.000949,0.001011,0.000698,0.000790,432,"67,350"
"May 11, 2017",0.000864,0.001000,0.000832,0.000913,330,"61,287"
"May 10, 2017",0.002893,0.003133,0.000826,0.000912,749,"205,192"
"May 09, 2017",0.000851,0.003125,0.000826,0.002981,329,"60,323"
"May 08, 2017",0.000766,0.001073,0.000690,0.000842,520,"54,330"
"May 07, 2017",0.000885,0.000977,0.000666,0.000766,"2,046","62,691"
"May 06, 2017",0.000868,0.001301,0.000820,0.000884,"1,046","61,493"
"May 05, 2017",0.000831,0.002355,0.000788,0.000878,203,"58,856"
"May 04, 2017",0.000729,0.000850,0.000699,0.000844,972,"51,600"
"May 03, 2017",0.000786,0.000811,0.000716,0.000726,658,"55,630"
