Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",4.17,4.73,3.92,4.66,"54,002,400","412,737,000"
"Dec 15, 2017",3.16,4.41,3.14,4.00,"52,745,900","312,557,000"
"Dec 14, 2017",2.77,3.16,2.77,3.16,"40,335,300","274,609,000"
"Dec 13, 2017",2.69,2.88,2.57,2.78,"28,429,500","266,059,000"
"Dec 12, 2017",2.73,2.78,2.61,2.68,"24,523,200","269,956,000"
"Dec 11, 2017",2.51,2.82,2.50,2.71,"19,427,000","248,824,000"
"Dec 10, 2017",2.66,2.70,2.21,2.48,"19,258,500","263,510,000"
"Dec 09, 2017",2.83,2.87,2.33,2.61,"27,217,000","279,816,000"
"Dec 08, 2017",2.77,2.87,2.26,2.83,"38,648,500","273,882,000"
"Dec 07, 2017",2.55,2.91,2.49,2.78,"28,297,900","252,426,000"
"Dec 06, 2017",2.58,2.78,2.35,2.59,"41,731,500","255,499,000"
"Dec 05, 2017",2.50,2.73,2.50,2.60,"49,190,000","247,714,000"
"Dec 04, 2017",2.26,2.58,2.26,2.49,"41,226,200","223,583,000"
"Dec 03, 2017",2.09,2.38,2.05,2.23,"35,163,500","206,485,000"
"Dec 02, 2017",2.08,2.12,2.00,2.08,"24,332,700","205,658,000"
"Dec 01, 2017",2.00,2.14,1.92,2.07,"28,867,200","197,726,000"
"Nov 30, 2017",1.76,2.05,1.76,2.00,"31,559,500","174,407,000"
"Nov 29, 2017",1.92,2.05,1.68,1.75,"43,765,500","190,537,000"
"Nov 28, 2017",1.96,1.96,1.87,1.92,"36,377,700","193,953,000"
"Nov 27, 2017",1.87,1.95,1.79,1.94,"22,826,600","185,239,000"
"Nov 26, 2017",1.89,1.94,1.83,1.85,"9,056,850","187,606,000"
"Nov 25, 2017",1.72,1.96,1.69,1.87,"12,839,900","170,004,000"
"Nov 24, 2017",1.57,1.82,1.56,1.72,"12,155,400","155,406,000"
"Nov 23, 2017",1.61,1.62,1.54,1.55,"8,392,640","159,472,000"
"Nov 22, 2017",1.59,1.62,1.56,1.61,"7,177,000","157,481,000"
"Nov 21, 2017",1.66,1.66,1.55,1.57,"5,440,790","164,182,000"
"Nov 20, 2017",1.63,1.66,1.56,1.62,"12,994,500","160,956,000"
"Nov 19, 2017",1.67,1.70,1.57,1.61,"38,081,700","165,686,000"
"Nov 18, 2017",1.51,1.68,1.50,1.67,"32,167,300","149,646,000"
"Nov 17, 2017",1.58,1.58,1.50,1.51,"8,508,840","156,447,000"
"Nov 16, 2017",1.56,1.68,1.54,1.58,"8,928,640","154,085,000"
"Nov 15, 2017",1.59,1.62,1.50,1.53,"7,615,500","157,212,000"
"Nov 14, 2017",1.69,1.74,1.57,1.59,"7,829,600","167,262,000"
"Nov 13, 2017",1.53,1.74,1.52,1.69,"12,238,800","151,096,000"
"Nov 12, 2017",1.67,1.67,1.46,1.52,"15,298,700","165,243,000"
"Nov 11, 2017",1.79,1.92,1.61,1.67,"8,178,150","176,866,000"
"Nov 10, 2017",2.01,2.07,1.64,1.80,"11,155,000","198,793,000"
"Nov 09, 2017",2.05,2.17,1.89,1.99,"19,192,200","203,289,000"
"Nov 08, 2017",1.80,2.06,1.78,2.03,"18,796,200","178,133,000"
"Nov 07, 2017",1.57,1.82,1.55,1.81,"9,469,500","155,362,000"
"Nov 06, 2017",1.53,1.67,1.48,1.57,"5,042,750","151,372,000"
"Nov 05, 2017",1.64,1.64,1.46,1.52,"2,681,150","162,105,000"
"Nov 04, 2017",1.46,1.70,1.40,1.64,"4,685,320","144,162,000"
"Nov 03, 2017",1.29,1.48,1.29,1.46,"3,201,070","128,180,000"
"Nov 02, 2017",1.26,1.37,1.20,1.30,"3,550,520","124,783,000"
"Nov 01, 2017",1.34,1.34,1.22,1.26,"2,118,920","132,200,000"
"Oct 31, 2017",1.34,1.41,1.27,1.31,"3,397,150","132,278,000"
"Oct 30, 2017",1.23,1.36,1.20,1.31,"2,437,230","122,120,000"
"Oct 29, 2017",1.18,1.26,1.16,1.24,"1,969,690","116,675,000"
"Oct 28, 2017",1.18,1.20,1.14,1.15,"1,495,260","116,928,000"
"Oct 27, 2017",1.21,1.22,1.11,1.17,"2,067,650","119,683,000"
"Oct 26, 2017",1.26,1.26,1.10,1.21,"2,400,010","124,854,000"
"Oct 25, 2017",1.24,1.27,1.17,1.25,"2,288,360","123,115,000"
"Oct 24, 2017",1.18,1.38,1.14,1.25,"4,833,390","116,532,000"
"Oct 23, 2017",1.23,1.28,1.10,1.18,"2,355,560","121,922,000"
"Oct 22, 2017",1.26,1.30,1.18,1.21,"1,631,220","124,292,000"
"Oct 21, 2017",1.24,1.27,1.17,1.25,"1,331,640","122,515,000"
"Oct 20, 2017",1.28,1.37,1.22,1.24,"1,703,230","128,326,000"
"Oct 19, 2017",1.33,1.35,1.25,1.28,"1,791,220","132,868,000"
"Oct 18, 2017",1.39,1.42,1.21,1.33,"2,311,140","139,351,000"
"Oct 17, 2017",1.44,1.47,1.36,1.39,"1,744,390","143,768,000"
"Oct 16, 2017",1.56,1.60,1.39,1.44,"2,960,330","155,599,000"
"Oct 15, 2017",1.50,1.68,1.41,1.56,"5,987,930","149,513,000"
"Oct 14, 2017",1.47,1.54,1.41,1.54,"3,355,060","146,932,000"
"Oct 13, 2017",1.34,1.51,1.18,1.44,"5,705,760","133,651,000"
"Oct 12, 2017",1.43,1.44,1.28,1.34,"5,275,850","142,996,000"
"Oct 11, 2017",1.40,1.46,1.38,1.43,"6,123,140","139,944,000"
"Oct 10, 2017",1.43,1.47,1.34,1.39,"6,912,770","143,107,000"
"Oct 09, 2017",1.21,1.58,1.21,1.40,"9,667,100","120,771,000"
"Oct 08, 2017",1.58,1.60,1.22,1.22,"4,515,300","157,618,000"
"Oct 07, 2017",1.61,1.61,1.50,1.58,"5,578,780","160,526,000"
"Oct 06, 2017",1.68,1.71,1.53,1.58,"6,076,260","167,731,000"
"Oct 05, 2017",1.63,1.74,1.42,1.68,"7,503,500","163,499,000"
"Oct 04, 2017",1.85,1.86,1.52,1.60,"7,227,750","185,150,000"
"Oct 03, 2017",1.97,2.03,1.67,1.82,"14,411,500","196,783,000"
"Oct 02, 2017",1.53,1.98,1.51,1.96,"19,367,700","152,662,000"
"Oct 01, 2017",1.28,1.53,1.26,1.53,"9,043,600","128,418,000"
"Sep 30, 2017",1.27,1.31,1.23,1.28,"6,194,570","127,000,000"
"Sep 29, 2017",1.37,1.37,1.14,1.27,"8,474,270","136,698,000"
"Sep 28, 2017",1.15,1.43,1.15,1.38,"13,944,300","114,843,000"
"Sep 27, 2017",0.855698,1.20,0.855698,1.14,"8,394,020","85,569,800"
"Sep 26, 2017",0.918922,0.940082,0.859212,0.860747,"3,460,160","91,892,200"
"Sep 25, 2017",0.784244,0.936568,0.773316,0.917059,"3,695,220","78,424,400"
"Sep 24, 2017",0.775804,0.788347,0.736221,0.783268,"2,402,720","77,580,400"
"Sep 23, 2017",0.717196,0.777400,0.707845,0.770965,"2,276,080","71,719,600"
"Sep 22, 2017",0.698871,0.740154,0.683260,0.715893,"2,099,500","69,887,100"
"Sep 21, 2017",0.764013,0.781775,0.684281,0.702140,"2,238,040","76,401,300"
"Sep 20, 2017",0.815032,0.816384,0.743676,0.747890,"2,536,950","81,503,200"
"Sep 19, 2017",0.907398,0.909132,0.787653,0.802425,"2,888,420","90,739,800"
"Sep 18, 2017",0.789565,0.937029,0.787604,0.909202,"3,717,860","78,956,500"
"Sep 17, 2017",0.803423,0.814797,0.733745,0.789589,"1,273,640","80,342,300"
"Sep 16, 2017",0.808056,0.927197,0.746113,0.804198,"2,829,570","80,805,600"
"Sep 15, 2017",0.683305,0.849217,0.526755,0.799709,"4,625,680","68,330,500"
"Sep 14, 2017",0.937870,0.950177,0.673482,0.678784,"3,134,360","93,787,000"
"Sep 13, 2017",1.04,1.04,0.880241,0.937204,"2,780,700","104,290,000"
"Sep 12, 2017",1.03,1.21,0.987632,1.04,"7,213,490","103,348,000"
