Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002294,0.002367,0.002186,0.002337,29,"47,767"
"Dec 15, 2017",0.003152,0.003413,0.001726,0.002291,114,"65,623"
"Dec 14, 2017",0.003111,0.003242,0.003076,0.003147,3,"64,783"
"Dec 13, 2017",0.001900,0.003302,0.001900,0.003121,45,"39,569"
"Dec 12, 2017",0.001852,0.001945,0.001809,0.001899,9,"38,563"
"Dec 11, 2017",0.002815,0.002856,0.001805,0.001846,8,"58,616"
"Dec 10, 2017",0.001504,0.001504,0.001324,0.001387,130,"31,311"
"Dec 09, 2017",0.002602,0.003209,0.001354,0.001498,142,"54,183"
"Dec 08, 2017",0.002777,0.003337,0.002253,0.002605,9,"57,819"
"Dec 07, 2017",0.002198,0.002770,0.002198,0.002770,8,"45,761"
"Dec 06, 2017",0.001755,0.002543,0.001755,0.002202,56,"36,545"
"Dec 05, 2017",0.001982,0.002017,0.001742,0.001759,14,"41,260"
"Dec 04, 2017",0.001686,0.001978,0.001684,0.001978,3,"35,111"
"Dec 03, 2017",0.002186,0.002227,0.001588,0.001681,11,"45,523"
"Dec 02, 2017",0.002081,0.002239,0.002081,0.002184,12,"43,325"
"Dec 01, 2017",0.001599,0.001706,0.001514,0.001698,2,"33,292"
"Nov 30, 2017",0.001769,0.001924,0.001440,0.001607,2,"36,837"
"Nov 29, 2017",0.002184,0.002391,0.001596,0.001742,15,"45,478"
"Nov 28, 2017",0.002927,0.003568,0.001186,0.002186,"1,105","60,937"
"Nov 27, 2017",0.002050,0.003108,0.001897,0.002919,196,"42,682"
"Nov 26, 2017",0.002711,0.003162,0.002042,0.002050,201,"56,455"
"Nov 25, 2017",0.001806,0.003286,0.001806,0.002712,"5,898","37,608"
"Nov 24, 2017",0.001768,0.002104,0.001682,0.001810,231,"36,816"
"Nov 23, 2017",0.001812,0.002128,0.001771,0.001771,"12,091","37,731"
"Nov 22, 2017",0.001623,0.001657,0.001616,0.001653,1,"33,790"
"Nov 21, 2017",0.001730,0.001735,0.001596,0.001619,19,"36,013"
"Nov 20, 2017",0.001609,0.001651,0.001589,0.001640,0,"33,495"
"Nov 19, 2017",0.001090,0.001622,0.001077,0.001609,13,"22,699"
"Nov 14, 2017",0.000980,0.001008,0.000964,0.000964,15,"20,398"
"Nov 13, 2017",0.000881,0.001373,0.000874,0.000978,16,"18,336"
"Nov 12, 2017",0.000924,0.000925,0.000849,0.000879,19,"19,245"
"Nov 11, 2017",0.000986,0.001022,0.000985,0.001003,2,"20,535"
"Nov 10, 2017",0.001070,0.001070,0.000968,0.000990,2,"22,270"
"Nov 07, 2017",0.001113,0.001154,0.001113,0.001135,3,"23,184"
"Nov 06, 2017",0.001183,0.001576,0.001113,0.001115,6,"24,631"
"Nov 05, 2017",0.001201,0.001207,0.001167,0.001180,15,"25,002"
"Nov 02, 2017",0.001009,0.001097,0.001009,0.001058,6,"21,015"
"Nov 01, 2017",0.001095,0.001120,0.000980,0.001008,6,"22,810"
"Oct 31, 2017",0.001083,0.001096,0.001071,0.001096,24,"22,559"
"Oct 30, 2017",0.001416,0.001417,0.001411,0.001412,1,"29,486"
"Oct 29, 2017",0.001203,0.001454,0.001201,0.001424,1,"25,046"
"Oct 28, 2017",0.001210,0.001233,0.001078,0.001205,2,"25,201"
"Oct 27, 2017",0.001198,0.001214,0.001198,0.001207,4,"24,937"
"Oct 25, 2017",0.001048,0.001070,0.001023,0.001054,1,"21,831"
"Oct 24, 2017",0.001173,0.001206,0.001042,0.001048,7,"24,426"
"Oct 23, 2017",0.000992,0.001199,0.000963,0.001176,3,"20,650"
"Oct 22, 2017",0.001263,0.001274,0.001217,0.001226,1,"26,295"
"Oct 21, 2017",0.001141,0.001460,0.001087,0.001262,53,"23,757"
"Oct 20, 2017",0.001027,0.001514,0.001020,0.001143,10,"21,380"
"Oct 19, 2017",0.001006,0.001087,0.000996,0.001027,17,"20,941"
"Oct 18, 2017",0.001120,0.001441,0.000971,0.001005,241,"23,323"
"Oct 17, 2017",0.001503,0.001507,0.001113,0.001120,18,"31,286"
"Oct 16, 2017",0.001537,0.001555,0.001477,0.001502,3,"31,999"
"Oct 15, 2017",0.001814,0.001820,0.001473,0.001537,260,"37,768"
"Oct 14, 2017",0.001688,0.001813,0.001678,0.001811,9,"35,153"
"Oct 13, 2017",0.001741,0.001881,0.001730,0.001798,1,"36,251"
"Oct 12, 2017",0.001448,0.001736,0.001444,0.001736,69,"30,147"
"Oct 11, 2017",0.001762,0.001853,0.001295,0.001447,"1,428","36,692"
"Oct 10, 2017",0.001819,0.001847,0.001750,0.001763,475,"37,869"
"Oct 09, 2017",0.002071,0.002076,0.001686,0.001819,7,"43,127"
"Oct 08, 2017",0.001955,0.002076,0.001949,0.002071,8,"40,710"
"Oct 07, 2017",0.001750,0.001965,0.001730,0.001960,49,"36,428"
"Oct 06, 2017",0.001816,0.001858,0.001732,0.001749,14,"37,811"
"Oct 05, 2017",0.001750,0.001834,0.001743,0.001816,25,"36,432"
"Oct 04, 2017",0.001814,0.001826,0.001763,0.001769,0,"37,776"
"Oct 03, 2017",0.001893,0.001904,0.001784,0.001810,0,"39,420"
"Oct 02, 2017",0.001977,0.002004,0.001878,0.001893,4,"41,172"
"Oct 01, 2017",0.002172,0.002182,0.001919,0.001978,27,"45,233"
"Sep 30, 2017",0.001919,0.002362,0.001917,0.002171,123,"39,959"
"Sep 29, 2017",0.001761,0.002507,0.001700,0.001919,243,"36,674"
"Sep 28, 2017",0.001683,0.001771,0.001674,0.001763,0,"35,043"
"Sep 27, 2017",0.001633,0.001690,0.001562,0.001683,6,"34,006"
"Sep 26, 2017",0.001654,0.001655,0.001635,0.001638,2,"34,442"
"Sep 25, 2017",0.001322,0.001427,0.001322,0.001415,1,"27,527"
"Sep 24, 2017",0.001553,0.001553,0.001319,0.001323,1,"32,342"
"Sep 23, 2017",0.001551,0.001564,0.001465,0.001553,6,"32,297"
"Sep 22, 2017",0.001609,0.001614,0.001520,0.001556,5,"33,509"
"Sep 21, 2017",0.001071,0.001078,0.000994,0.001001,124,"22,304"
"Sep 20, 2017",0.001644,0.001670,0.001074,0.001076,188,"34,225"
"Sep 19, 2017",0.001231,0.001700,0.001203,0.001646,37,"25,630"
"Sep 18, 2017",0.001200,0.001858,0.001200,0.001228,14,"24,987"
"Sep 17, 2017",0.001453,0.001453,0.001102,0.001202,30,"30,251"
"Sep 16, 2017",0.001442,0.001527,0.001316,0.001454,3,"30,029"
"Sep 15, 2017",0.001622,0.001853,0.001131,0.001446,4,"33,769"
"Sep 14, 2017",0.001086,0.001881,0.000979,0.001609,52,"22,604"
"Sep 13, 2017",0.002325,0.002334,0.001086,0.001086,65,"48,418"
"Sep 12, 2017",0.002255,0.002393,0.002255,0.002334,4,"46,962"
"Sep 11, 2017",0.002479,0.002548,0.002096,0.002253,10,"51,626"
"Sep 10, 2017",0.001516,0.003747,0.001417,0.002472,543,"31,565"
"Sep 09, 2017",0.002035,0.002072,0.001472,0.001520,"34,327","42,363"
"Sep 08, 2017",0.002129,0.002158,0.001907,0.002031,1,"44,321"
"Sep 07, 2017",0.001292,0.002138,0.001260,0.002128,361,"26,910"
"Sep 06, 2017",0.001884,0.002062,0.001276,0.001295,161,"39,218"
"Sep 05, 2017",0.001846,0.001897,0.001630,0.001881,43,"38,437"
"Sep 04, 2017",0.002002,0.002004,0.001786,0.001836,25,"41,687"
"Sep 03, 2017",0.002398,0.002440,0.001965,0.002001,54,"49,926"
"Sep 02, 2017",0.002105,0.002396,0.001528,0.002396,11,"43,820"
"Sep 01, 2017",0.002099,0.002103,0.002018,0.002102,123,"43,699"
"Aug 30, 2017",0.002157,0.002184,0.001948,0.001973,4,"44,917"
"Aug 29, 2017",0.001756,0.002249,0.001745,0.002160,7,"36,553"
"Aug 28, 2017",0.001728,0.001759,0.001719,0.001753,2,"35,972"
"Aug 27, 2017",0.001781,0.001805,0.001771,0.001788,1,"37,085"
"Aug 26, 2017",0.002365,0.002393,0.001777,0.001781,3,"49,245"
"Aug 25, 2017",0.001861,0.001885,0.001854,0.001884,3,"38,757"
"Aug 24, 2017",0.001689,0.001878,0.001676,0.001864,130,"35,170"
"Aug 23, 2017",0.001594,0.001698,0.001588,0.001688,11,"33,181"
"Aug 22, 2017",0.001283,0.001616,0.001162,0.001597,32,"26,712"
"Aug 21, 2017",0.001685,0.001698,0.001278,0.001280,16,"35,088"
"Aug 20, 2017",0.001456,0.001744,0.001370,0.001692,9,"30,319"
"Aug 19, 2017",0.001814,0.001816,0.001352,0.001455,144,"37,771"
"Aug 18, 2017",0.002045,0.002459,0.001756,0.001816,727,"42,589"
"Aug 17, 2017",0.002021,0.002069,0.001613,0.002052,10,"42,072"
"Aug 16, 2017",0.001786,0.002174,0.001698,0.002022,3,"37,190"
"Aug 15, 2017",0.001947,0.001992,0.001661,0.001784,138,"40,543"
"Aug 14, 2017",0.001912,0.001981,0.001865,0.001942,6,"39,804"
"Aug 13, 2017",0.001928,0.001969,0.001814,0.001910,32,"40,152"
"Aug 12, 2017",0.001873,0.002059,0.001853,0.002006,2,"38,994"
"Aug 11, 2017",0.002904,0.002912,0.001589,0.001874,71,"60,460"
"Aug 10, 2017",0.002909,0.002919,0.002904,0.002904,4,"60,576"
"Aug 09, 2017",0.001607,0.001611,0.001577,0.001602,0,"33,457"
"Aug 08, 2017",0.002514,0.002571,0.001603,0.001608,0,"52,353"
