Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.54,1.61,1.42,1.48,"124,572","9,645,880"
"Dec 15, 2017",1.69,1.84,1.52,1.54,"112,717","10,524,800"
"Dec 14, 2017",1.15,1.69,1.14,1.69,"457,979","7,120,380"
"Dec 13, 2017",1.31,1.37,1.10,1.15,"167,451","8,070,770"
"Dec 12, 2017",1.13,1.35,0.994110,1.30,"126,422","6,960,510"
"Dec 11, 2017",0.995855,1.25,0.958803,1.13,"199,412","6,120,030"
"Dec 10, 2017",1.05,1.09,0.876398,1.00,"76,904","6,288,950"
"Dec 09, 2017",0.947402,1.17,0.923842,1.04,"78,439","5,692,520"
"Dec 08, 2017",1.22,1.24,0.852044,0.948352,"61,607","7,314,690"
"Dec 07, 2017",1.10,1.30,0.914727,1.14,"97,300","6,624,710"
"Dec 06, 2017",1.00,1.21,0.938893,1.10,"62,926","6,017,370"
"Dec 05, 2017",0.844424,1.09,0.809038,1.00,"46,633","5,073,770"
"Dec 04, 2017",1.11,1.15,0.719011,0.859450,"87,411","5,441,940"
"Dec 03, 2017",0.794954,1.10,0.788179,1.07,"99,869","3,884,600"
"Dec 02, 2017",0.783351,0.860495,0.723134,0.794195,"20,657","3,827,900"
"Dec 01, 2017",0.693637,0.852145,0.658501,0.784019,"42,024","3,389,500"
"Nov 30, 2017",0.662531,0.796220,0.600581,0.705513,"50,793","3,237,500"
"Nov 29, 2017",0.766988,0.848894,0.606877,0.652321,"48,677","3,747,930"
"Nov 28, 2017",0.745489,0.901348,0.741788,0.780568,"30,878","3,642,880"
"Nov 27, 2017",0.670071,0.868248,0.645168,0.733942,"40,339","3,274,350"
"Nov 26, 2017",0.598045,0.674664,0.562364,0.669940,"30,837","2,922,380"
"Nov 25, 2017",0.552303,0.598245,0.517772,0.598245,"42,419","2,698,860"
"Nov 24, 2017",0.523432,0.590746,0.501600,0.561355,"22,444","2,557,790"
"Nov 23, 2017",0.553627,0.610951,0.501936,0.524141,"24,549","2,705,330"
"Nov 22, 2017",0.588635,0.639787,0.490746,0.554644,"57,979","2,876,400"
"Nov 21, 2017",0.647154,0.656222,0.554522,0.587208,"27,184","3,162,360"
"Nov 20, 2017",0.534388,0.691553,0.501680,0.647035,"38,622","2,611,320"
"Nov 19, 2017",0.483545,0.555502,0.482383,0.534638,"23,940","2,362,880"
"Nov 18, 2017",0.524985,0.534777,0.436703,0.476474,"10,419","2,565,380"
"Nov 17, 2017",0.652536,0.690603,0.487129,0.527006,"25,697","3,188,660"
"Nov 16, 2017",0.556865,0.727529,0.542065,0.653607,"31,124","2,721,160"
"Nov 15, 2017",0.368609,0.661284,0.367567,0.553963,"65,222","1,801,230"
"Nov 14, 2017",0.319360,0.433926,0.308828,0.368357,"33,460","1,560,570"
"Nov 13, 2017",0.293201,0.381943,0.293201,0.318687,"12,906","1,432,750"
"Nov 12, 2017",0.349968,0.349968,0.282049,0.295051,"12,700","1,710,140"
"Nov 11, 2017",0.350406,0.412493,0.327841,0.350224,"38,244","1,712,280"
"Nov 10, 2017",0.435788,0.480426,0.337325,0.351657,"15,832","2,129,510"
"Nov 09, 2017",0.450983,0.503133,0.413572,0.437018,"37,302","2,203,760"
"Nov 08, 2017",0.410323,0.500550,0.356421,0.451448,"28,960","2,005,070"
"Nov 07, 2017",0.443973,0.489758,0.401178,0.411616,"16,090","2,169,510"
"Nov 06, 2017",0.385255,0.472075,0.381545,0.444686,"17,077","1,882,570"
"Nov 05, 2017",0.376314,0.436379,0.345047,0.384401,"18,183","1,838,880"
"Nov 04, 2017",0.451555,0.451555,0.350710,0.373623,"11,677","2,206,550"
"Nov 03, 2017",0.370634,0.492300,0.343727,0.406878,"20,156","1,811,130"
"Nov 02, 2017",0.409491,0.411751,0.333728,0.380476,"17,164","2,001,000"
"Nov 01, 2017",0.441251,0.441251,0.374899,0.409035,"11,097","2,156,200"
"Oct 31, 2017",0.399183,0.498839,0.396327,0.442011,"15,777","1,950,640"
"Oct 30, 2017",0.353916,0.402298,0.348395,0.393024,"10,641","1,729,430"
"Oct 29, 2017",0.338196,0.405055,0.331902,0.355988,"27,304","1,652,620"
"Oct 28, 2017",0.342222,0.374505,0.324150,0.338682,"15,708","1,672,290"
"Oct 27, 2017",0.409224,0.410743,0.339064,0.341659,"35,925","1,999,700"
"Oct 26, 2017",0.388507,0.431296,0.386106,0.409130,"19,785","1,898,470"
"Oct 25, 2017",0.418059,0.469195,0.377511,0.388553,"25,279","2,042,870"
"Oct 24, 2017",0.413093,0.564330,0.389237,0.422678,"24,965","2,018,610"
"Oct 23, 2017",0.570260,0.587920,0.292381,0.414564,"48,043","2,786,610"
"Oct 22, 2017",0.611867,0.611867,0.513466,0.571180,"12,483","2,989,930"
"Oct 21, 2017",0.677571,0.815709,0.573656,0.614028,"20,538","3,311,000"
"Oct 20, 2017",0.471211,0.700436,0.461374,0.700436,"30,490","2,302,610"
"Oct 19, 2017",0.483921,0.502063,0.465883,0.472118,"15,053","2,364,710"
"Oct 18, 2017",0.498245,0.535933,0.442659,0.483671,"19,478","2,434,700"
"Oct 17, 2017",0.563810,0.592844,0.495238,0.498199,"14,359","2,755,090"
"Oct 16, 2017",0.555732,0.570413,0.524131,0.565420,"16,706","2,715,620"
"Oct 15, 2017",0.525019,0.713230,0.483167,0.555657,"22,849","2,565,540"
"Oct 14, 2017",0.720005,0.889106,0.527222,0.527222,"32,392","3,518,350"
"Oct 13, 2017",0.849965,0.959531,0.621194,0.719824,"51,364","4,153,410"
"Oct 12, 2017",0.895242,0.995770,0.687741,0.842184,"45,841","4,374,660"
"Oct 11, 2017",0.742899,0.905686,0.740304,0.894485,"41,300","3,630,220"
"Oct 10, 2017",0.590955,0.869348,0.589842,0.743024,"57,043","2,887,740"
"Oct 09, 2017",0.648207,0.794738,0.572840,0.590838,"50,680","3,167,510"
"Oct 08, 2017",0.866455,0.883758,0.612700,0.648043,"87,133","4,233,990"
"Oct 07, 2017",0.840698,0.996627,0.794967,0.868777,"64,584","4,108,130"
"Oct 06, 2017",0.875297,1.07,0.837452,0.840252,"107,837","4,277,200"
"Oct 05, 2017",0.907523,1.08,0.770525,0.818471,"137,598","4,434,670"
"Oct 04, 2017",1.03,1.27,0.738537,0.906704,"343,985","5,020,920"
"Oct 03, 2017",1.05,1.14,0.789746,0.949660,"296,175","5,148,650"
"Oct 02, 2017",0.602168,1.10,0.547833,1.05,"649,239","2,942,530"
"Oct 01, 2017",0.546783,0.865129,0.483189,0.660285,"100,579",-
