Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.025330,0.026483,0.017725,0.022985,786,"126,652"
"Dec 15, 2017",0.020132,0.025528,0.018415,0.025283,258,"100,660"
"Dec 14, 2017",0.023390,0.027186,0.019146,0.020113,243,"116,949"
"Dec 13, 2017",0.024110,0.024650,0.019212,0.023402,827,"120,552"
"Dec 12, 2017",0.024395,0.031060,0.020621,0.024094,470,"121,977"
"Dec 11, 2017",0.023802,0.026865,0.020394,0.024553,88,"119,010"
"Dec 10, 2017",0.027874,0.028408,0.020654,0.020729,84,"139,371"
"Dec 09, 2017",0.021965,0.028972,0.020512,0.027785,505,"109,824"
"Dec 08, 2017",0.015212,0.023280,0.013188,0.021965,"2,400","76,059"
"Dec 07, 2017",0.017361,0.021331,0.014659,0.015190,113,"86,807"
"Dec 06, 2017",0.020919,0.022613,0.014906,0.017422,320,"104,597"
"Dec 05, 2017",0.020961,0.023839,0.020531,0.020956,68,"104,807"
"Dec 04, 2017",0.020827,0.025768,0.020562,0.020951,760,"104,132"
"Dec 03, 2017",0.021057,0.023011,0.015480,0.020788,"1,835","105,283"
"Dec 02, 2017",0.023683,0.024597,0.017378,0.021049,543,"118,416"
"Dec 01, 2017",0.016930,0.027340,0.013810,0.023684,228,"84,650"
"Nov 30, 2017",0.015390,0.049278,0.015281,0.016972,257,"76,948"
"Nov 29, 2017",0.015853,0.033666,0.015040,0.015195,295,"79,263"
"Nov 28, 2017",0.014251,0.016525,0.012708,0.015840,433,"71,255"
"Nov 27, 2017",0.015058,0.015655,0.013884,0.014271,56,"75,290"
"Nov 26, 2017",0.014416,0.015062,0.012641,0.015062,35,"72,080"
"Nov 25, 2017",0.015510,0.015873,0.012801,0.014415,66,"77,548"
"Nov 24, 2017",0.011031,0.015756,0.010808,0.015512,37,"55,154"
"Nov 23, 2017",0.011095,0.014432,0.010963,0.011086,321,"55,478"
"Nov 22, 2017",0.011544,0.012842,0.009941,0.011070,96,"57,719"
"Nov 21, 2017",0.014336,0.018913,0.007730,0.011346,"1,697","71,681"
"Nov 20, 2017",0.019165,0.020635,0.013991,0.013991,528,"95,827"
"Nov 19, 2017",0.017078,0.020428,0.016762,0.019186,106,"85,388"
"Nov 18, 2017",0.016941,0.018619,0.014942,0.017122,5,"84,703"
"Nov 17, 2017",0.017166,0.017276,0.014812,0.016966,179,"85,830"
"Nov 16, 2017",0.018207,0.018254,0.015485,0.017178,111,"91,035"
"Nov 15, 2017",0.015075,0.019029,0.014714,0.018221,467,"75,376"
"Nov 14, 2017",0.017356,0.019531,0.014655,0.015067,143,"86,782"
"Nov 13, 2017",0.015298,0.018725,0.014407,0.017357,143,"76,492"
"Nov 12, 2017",0.012296,0.019000,0.011805,0.015274,426,"61,481"
"Nov 11, 2017",0.014869,0.015152,0.011306,0.012295,190,"74,344"
"Nov 10, 2017",0.018241,0.018241,0.013402,0.014911,70,"91,204"
"Nov 09, 2017",0.013544,0.018742,0.013534,0.018232,0,"67,720"
"Nov 08, 2017",0.018497,0.018539,0.012852,0.013617,224,"92,485"
"Nov 07, 2017",0.016213,0.018620,0.014144,0.018510,36,"81,063"
"Nov 06, 2017",0.017647,0.019313,0.013104,0.016189,156,"88,235"
"Nov 05, 2017",0.018269,0.021087,0.014714,0.017630,197,"91,345"
