Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.136921,0.161591,0.118270,0.161591,543,"665,830"
"Dec 15, 2017",0.122184,0.170994,0.108320,0.136665,783,"594,164"
"Dec 14, 2017",0.123402,0.132293,0.116201,0.122069,642,"600,089"
"Dec 13, 2017",0.151965,0.177422,0.115457,0.123466,"2,478","738,988"
"Dec 12, 2017",0.112618,0.152944,0.100444,0.151861,"2,852","547,647"
"Dec 11, 2017",0.083204,0.113345,0.083107,0.113345,496,"404,610"
"Dec 10, 2017",0.111381,0.111381,0.082808,0.083110,505,"541,630"
"Dec 09, 2017",0.115402,0.127409,0.107968,0.111024,695,"561,187"
"Dec 08, 2017",0.109866,0.120209,0.107159,0.115405,"1,368","534,267"
"Dec 07, 2017",0.110101,0.113370,0.106215,0.109707,30,"535,409"
"Dec 06, 2017",0.118745,0.118745,0.108256,0.110485,30,"577,442"
"Dec 05, 2017",0.116602,0.120874,0.112869,0.118954,333,"567,019"
"Dec 04, 2017",0.108613,0.117917,0.107371,0.116542,"3,346","528,171"
"Dec 03, 2017",0.165060,0.166237,0.104939,0.108413,"1,272","802,665"
"Dec 02, 2017",0.092789,0.196639,0.092789,0.165004,"5,487","451,224"
"Dec 01, 2017",0.076350,0.181555,0.075077,0.092792,"5,631","371,280"
"Nov 30, 2017",0.102732,0.117179,0.071047,0.076540,"1,589","499,572"
"Nov 29, 2017",0.086447,0.124921,0.082977,0.101433,529,"420,380"
"Nov 28, 2017",0.128706,0.130265,0.086305,0.086377,"3,780","625,882"
"Nov 27, 2017",0.164698,0.174773,0.124699,0.128882,"10,125","800,904"
"Nov 26, 2017",0.139230,0.197587,0.135415,0.164739,"1,508","677,058"
"Nov 25, 2017",0.124129,0.142571,0.109954,0.139225,"3,007","603,625"
"Nov 24, 2017",0.115264,0.141288,0.104762,0.124150,"14,659","560,515"
"Nov 23, 2017",0.142237,0.154475,0.115844,0.115844,"11,773","691,680"
"Nov 22, 2017",0.173203,0.203039,0.119254,0.141910,"9,878","842,263"
"Nov 21, 2017",0.258413,0.258413,0.171848,0.172982,"17,034",-
"Nov 20, 2017",0.299807,0.334354,0.205866,0.258820,"38,975",-
"Nov 19, 2017",0.407272,0.436674,0.245817,0.302919,"84,145",-
