Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1824.85,1890.06,1769.50,1801.88,"971,255,000","30,762,600,000"
"Dec 15, 2017",1974.66,1974.66,1678.06,1815.43,"1,457,230,000","33,284,800,000"
"Dec 14, 2017",1600.67,2080.41,1593.15,1966.14,"2,717,410,000","26,977,700,000"
"Dec 13, 2017",1616.99,1702.53,1497.94,1607.65,"1,245,190,000","27,249,600,000"
"Dec 12, 2017",1427.38,1638.29,1427.38,1615.03,"1,386,250,000","24,051,800,000"
"Dec 11, 2017",1320.00,1453.49,1316.85,1423.38,"922,792,000","22,239,900,000"
"Dec 10, 2017",1411.84,1411.84,1226.21,1323.07,"885,886,000","23,784,900,000"
"Dec 09, 2017",1464.63,1526.40,1353.90,1410.06,"1,059,610,000","24,671,600,000"
"Dec 08, 2017",1329.16,1731.32,1247.93,1464.13,"2,553,980,000","22,386,700,000"
"Dec 07, 2017",1430.71,1454.73,1323.75,1330.93,"1,285,210,000","24,095,900,000"
"Dec 06, 2017",1498.49,1530.65,1396.16,1430.10,"1,154,620,000","25,234,400,000"
"Dec 05, 2017",1580.16,1623.16,1498.00,1501.85,"1,032,800,000","26,606,900,000"
"Dec 04, 2017",1560.16,1580.11,1498.98,1576.92,"780,634,000","26,267,300,000"
"Dec 03, 2017",1435.36,1649.30,1420.60,1559.93,"1,476,740,000","24,163,600,000"
"Dec 02, 2017",1462.06,1502.37,1415.49,1434.98,"574,510,000","24,610,500,000"
"Dec 01, 2017",1381.81,1482.68,1300.46,1462.68,"965,151,000","23,257,100,000"
"Nov 30, 2017",1380.36,1468.75,1222.10,1389.78,"1,211,730,000","23,230,400,000"
"Nov 29, 2017",1541.63,1673.23,1332.14,1359.71,"2,345,250,000","25,941,800,000"
"Nov 28, 2017",1621.17,1629.48,1543.08,1546.18,"1,274,880,000","27,277,200,000"
"Nov 27, 2017",1722.93,1742.40,1607.79,1622.57,"1,391,460,000","28,986,800,000"
"Nov 26, 2017",1571.39,1758.61,1563.35,1735.66,"1,593,050,000","26,434,500,000"
"Nov 25, 2017",1634.00,1656.55,1535.77,1571.27,"1,560,040,000","27,484,900,000"
"Nov 24, 2017",1651.86,1782.83,1575.76,1648.51,"3,128,960,000","27,782,400,000"
"Nov 23, 2017",1302.23,1683.81,1299.95,1683.81,"4,112,090,000","21,899,400,000"
"Nov 22, 2017",1175.06,1335.25,1171.60,1303.31,"1,517,620,000","19,758,600,000"
"Nov 21, 2017",1220.78,1224.15,1140.88,1176.97,"772,859,000","20,525,100,000"
"Nov 20, 2017",1172.43,1236.01,1167.28,1236.01,"800,053,000","19,710,200,000"
"Nov 19, 2017",1260.95,1262.34,1144.08,1172.05,"1,285,910,000","21,196,200,000"
"Nov 18, 2017",1197.43,1388.11,1197.43,1254.53,"3,053,770,000","20,125,900,000"
"Nov 17, 2017",909.16,1217.42,863.98,1185.48,"3,203,430,000","15,279,000,000"
"Nov 16, 2017",1202.17,1210.36,876.57,900.78,"2,034,690,000","20,202,000,000"
"Nov 15, 2017",1269.79,1326.39,1191.98,1212.40,"1,321,780,000","21,335,600,000"
"Nov 14, 2017",1346.73,1390.21,1211.39,1273.53,"1,697,910,000","22,626,200,000"
"Nov 13, 2017",1381.82,1501.16,1043.00,1353.99,"4,850,570,000","23,214,700,000"
"Nov 12, 2017",1346.97,2477.65,1215.58,1388.86,"8,371,320,000","22,614,400,000"
"Nov 11, 2017",1001.64,1403.66,910.72,1340.45,"5,139,770,000","16,807,400,000"
"Nov 10, 2017",651.77,1034.77,651.77,1007.42,"5,195,420,000","10,933,000,000"
"Nov 09, 2017",622.31,670.14,619.26,654.30,"710,387,000","10,437,700,000"
"Nov 08, 2017",615.24,646.38,565.60,622.46,"837,646,000","10,317,500,000"
"Nov 07, 2017",602.68,626.21,602.45,616.30,"375,367,000","10,105,200,000"
"Nov 06, 2017",630.31,657.34,602.65,602.65,"794,105,000","10,566,600,000"
"Nov 05, 2017",619.91,635.72,579.13,630.70,"816,028,000","10,390,900,000"
"Nov 04, 2017",635.35,642.05,571.12,620.45,"1,161,370,000","10,647,200,000"
