Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",43.84,46.96,41.23,43.38,"12,230,100",-
"Dec 15, 2017",37.73,48.40,35.90,44.53,"18,905,000",-
"Dec 14, 2017",31.62,37.69,31.54,37.69,"11,436,000",-
"Dec 13, 2017",33.41,34.28,30.55,31.87,"7,563,820",-
"Dec 12, 2017",38.05,38.05,32.20,33.44,"8,794,210",-
"Dec 11, 2017",39.80,43.55,36.57,37.84,"8,156,630",-
"Dec 10, 2017",33.60,48.55,29.92,39.75,"14,494,700",-
"Dec 09, 2017",35.23,35.76,31.47,33.57,"6,132,550",-
"Dec 08, 2017",36.29,38.26,32.15,35.56,"8,632,940",-
"Dec 07, 2017",37.77,37.77,34.35,35.98,"7,586,480",-
"Dec 06, 2017",42.86,43.42,32.76,38.16,"11,912,000",-
"Dec 05, 2017",46.84,47.88,42.78,42.99,"6,604,280",-
"Dec 04, 2017",47.49,48.20,43.30,46.77,"6,704,090",-
"Dec 03, 2017",47.11,51.14,44.79,47.37,"6,135,070",-
"Dec 02, 2017",51.71,51.96,45.07,47.24,"6,309,450",-
"Dec 01, 2017",47.23,52.23,45.58,51.81,"8,257,780",-
"Nov 30, 2017",45.87,54.29,42.92,47.93,"10,105,800",-
"Nov 29, 2017",54.27,57.18,43.43,45.14,"15,311,200",-
"Nov 28, 2017",65.67,65.70,50.29,54.47,"22,958,800",-
"Nov 27, 2017",66.30,70.60,63.82,65.89,"22,995,100",-
"Nov 26, 2017",94.20,94.25,65.90,66.12,"20,896,400",-
"Nov 25, 2017",69.35,104.84,68.77,94.22,"45,941,900",-
"Nov 24, 2017",61.71,74.44,61.71,69.30,"23,322,800",-
