Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",105.65,113.65,101.84,110.04,"134,012","10,977,900"
"Dec 15, 2017",119.56,120.30,94.80,105.50,"646,487","12,417,900"
"Dec 14, 2017",117.91,122.68,108.39,119.39,"291,551","12,242,700"
"Dec 13, 2017",89.05,135.98,86.41,118.00,"1,157,750","9,226,130"
"Dec 12, 2017",88.50,95.76,85.21,88.67,"157,846","9,167,740"
"Dec 11, 2017",78.66,94.96,78.54,87.55,"89,484","8,146,540"
"Dec 10, 2017",87.67,95.18,72.72,79.38,"52,964","9,077,490"
"Dec 09, 2017",90.33,105.59,79.12,87.32,"212,342","9,350,970"
"Dec 08, 2017",78.27,102.41,63.95,91.39,"505,960","8,096,320"
"Dec 07, 2017",80.06,86.11,69.92,78.20,"256,593","8,280,380"
"Dec 06, 2017",84.77,89.74,79.95,82.35,"210,885","8,766,070"
"Dec 05, 2017",87.40,89.34,81.79,84.96,"136,291","9,036,380"
"Dec 04, 2017",85.99,89.16,81.76,87.23,"158,663","8,889,290"
"Dec 03, 2017",91.71,97.07,81.08,85.71,"231,562","9,478,770"
"Dec 02, 2017",74.24,104.62,70.63,92.79,"811,824","7,672,300"
"Dec 01, 2017",68.03,79.86,64.25,73.50,"91,865","7,028,340"
"Nov 30, 2017",71.20,76.61,61.12,68.75,"111,890","7,350,220"
"Nov 29, 2017",86.61,86.61,68.30,70.12,"225,612","8,939,750"
"Nov 28, 2017",85.25,88.33,82.45,87.14,"135,070","8,798,120"
"Nov 27, 2017",85.04,90.02,81.27,85.19,"138,702","8,775,210"
"Nov 26, 2017",82.75,99.88,81.75,85.03,"595,317","8,536,640"
"Nov 25, 2017",76.68,84.15,76.49,82.77,"175,478","7,908,860"
"Nov 24, 2017",78.19,80.96,75.80,76.83,"100,520","8,064,130"
"Nov 23, 2017",80.92,112.34,77.78,78.51,"212,686","8,343,510"
"Nov 22, 2017",78.45,83.52,76.33,80.98,"204,167","8,081,370"
"Nov 21, 2017",84.14,85.78,74.99,78.24,"260,391","8,665,900"
"Nov 20, 2017",87.76,94.94,78.14,84.29,"480,545","9,037,200"
"Nov 19, 2017",97.49,107.07,85.40,89.35,"1,053,590","10,036,800"
"Nov 18, 2017",74.34,102.84,72.24,100.46,"440,277","7,651,100"
"Nov 17, 2017",80.83,83.98,70.86,74.62,"316,935","8,317,150"
"Nov 16, 2017",78.90,104.67,78.66,80.96,"614,367","8,116,180"
"Nov 15, 2017",100.19,102.11,76.38,82.82,"746,850","10,304,300"
"Nov 14, 2017",97.86,114.50,91.21,100.12,"1,371,910","10,061,600"
"Nov 13, 2017",79.16,125.73,73.11,96.58,"4,444,770","8,129,940"
"Nov 12, 2017",67.40,112.38,45.36,78.84,"4,852,370","6,920,600"
"Nov 11, 2017",46.09,84.28,36.78,65.61,"1,296,640","4,730,380"
"Nov 10, 2017",50.73,52.98,42.45,45.56,"142,680","5,205,010"
"Nov 09, 2017",51.18,54.38,48.96,50.58,"238,409","5,249,980"
"Nov 08, 2017",61.26,63.93,46.16,51.16,"456,073","6,283,010"
"Nov 07, 2017",39.01,81.89,37.44,61.83,"1,772,180","3,998,740"
"Nov 06, 2017",30.75,43.55,29.56,38.40,"169,351","3,151,900"
"Nov 05, 2017",31.55,32.71,29.49,30.68,"27,528","3,232,500"
"Nov 04, 2017",31.19,32.68,29.54,31.61,"26,652","3,194,540"
"Nov 03, 2017",32.04,34.07,29.18,31.27,"54,063","3,281,110"
"Nov 02, 2017",36.79,36.87,29.31,32.82,"46,808","3,765,620"
"Nov 01, 2017",38.95,39.61,33.14,36.91,"56,428","3,986,240"
"Oct 31, 2017",37.67,40.98,37.23,38.98,"32,172","3,851,280"
"Oct 30, 2017",38.18,38.93,36.22,37.66,"19,083","3,902,060"
"Oct 29, 2017",36.24,40.34,36.23,38.40,"49,055","3,702,540"
"Oct 28, 2017",37.47,38.73,35.95,36.29,"11,655","3,827,840"
