Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.008194,0.008479,0.004481,0.004516,"6,630",-
"Dec 15, 2017",0.007601,0.008179,0.004241,0.008179,"7,489",-
"Dec 14, 2017",0.009115,0.009115,0.006030,0.007594,"1,564",-
"Dec 13, 2017",0.007334,0.009140,0.006409,0.009119,"5,077",-
"Dec 12, 2017",0.010233,0.010341,0.005837,0.007329,"7,200",-
"Dec 11, 2017",0.004379,0.010429,0.003922,0.010299,"5,288",-
"Dec 10, 2017",0.004777,0.005073,0.004370,0.004374,"1,581",-
"Dec 09, 2017",0.006808,0.008030,0.004635,0.004762,"5,507",-
"Dec 08, 2017",0.007183,0.007422,0.004145,0.006808,"17,783",-
"Dec 07, 2017",0.006563,0.009591,0.004640,0.007178,"6,457",-
"Dec 06, 2017",0.015462,0.015677,0.004420,0.004449,"24,380",-
"Dec 05, 2017",0.017209,0.017454,0.012152,0.015489,"58,719",-
"Dec 04, 2017",0.004839,0.017553,0.004589,0.017200,"64,671",-
"Dec 03, 2017",0.002797,0.004931,0.002797,0.004658,"29,399",-
"Dec 02, 2017",0.001842,0.002956,0.001591,0.002796,"15,384",-
"Dec 01, 2017",0.002092,0.002798,0.001672,0.001842,"5,055",-
"Nov 30, 2017",0.002379,0.002904,0.001685,0.002098,"4,036",-
"Nov 29, 2017",0.003908,0.003998,0.001960,0.002349,"3,677",-
"Nov 28, 2017",0.003340,0.004013,0.002627,0.003905,"6,741",-
"Nov 27, 2017",0.003796,0.004408,0.003119,0.003345,"6,557",-
"Nov 26, 2017",0.003720,0.004371,0.003221,0.003797,"11,806",-
"Nov 25, 2017",0.003225,0.003842,0.002788,0.003720,"7,697",-
"Nov 24, 2017",0.003488,0.004833,0.002526,0.003226,"27,160",-
"Nov 23, 2017",0.003217,0.003609,0.002412,0.003506,"9,820",-
"Nov 22, 2017",0.003508,0.003585,0.002241,0.003210,"11,922",-
"Nov 21, 2017",0.003455,0.004473,0.002379,0.003504,"8,794",-
"Nov 20, 2017",0.002624,0.003545,0.001785,0.003461,"6,450",-
"Nov 19, 2017",0.002646,0.002866,0.001391,0.002626,"1,466",-
"Nov 18, 2017",0.002636,0.002919,0.001787,0.002653,"7,117",-
"Nov 17, 2017",0.002240,0.003163,0.001668,0.002640,"16,388",-
"Nov 16, 2017",0.003193,0.003231,0.002137,0.002253,"6,168",-
"Nov 15, 2017",0.002346,0.003465,0.002314,0.003196,"7,646",-
"Nov 14, 2017",0.001701,0.004047,0.001641,0.002344,"2,896",-
"Nov 13, 2017",0.001990,0.003125,0.001697,0.001701,"3,852",-
"Nov 12, 2017",0.002718,0.002743,0.001722,0.001986,"5,348",-
"Nov 11, 2017",0.002587,0.004282,0.002410,0.002718,"15,443",-
"Nov 10, 2017",0.002985,0.003093,0.002322,0.002595,"7,152",-
"Nov 09, 2017",0.002720,0.003447,0.002510,0.002984,"11,554",-
"Nov 08, 2017",0.003879,0.004119,0.002387,0.002735,"27,441",-
"Nov 07, 2017",0.004319,0.004332,0.003303,0.003882,"13,942",-
"Nov 06, 2017",0.004904,0.005211,0.003506,0.004312,"12,253",-
"Nov 05, 2017",0.004425,0.004924,0.003552,0.004899,"9,738",-
"Nov 04, 2017",0.004906,0.004906,0.003568,0.004419,"6,612",-
"Nov 03, 2017",0.005316,0.005633,0.004009,0.004905,"19,661",-
"Nov 02, 2017",0.018097,0.018281,0.002567,0.005290,"36,487",-
"Nov 01, 2017",0.014508,0.019713,0.014341,0.018047,"9,806",-
"Oct 31, 2017",0.031797,0.036768,0.008528,0.014534,"47,019",-
"Oct 30, 2017",0.042156,0.051931,0.029017,0.031780,"22,263",-
"Oct 29, 2017",0.081438,0.081500,0.015784,0.042241,"54,744",-
"Oct 28, 2017",0.104208,0.104364,0.047020,0.081472,"7,012",-
"Oct 27, 2017",0.089223,0.118971,0.089047,0.111209,"40,053",-
