Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",18.86,21.60,16.91,20.92,"4,529,860","35,715,600"
"Dec 15, 2017",17.39,19.96,17.00,17.25,"3,931,010","32,899,300"
"Dec 14, 2017",15.53,18.29,13.98,18.04,"3,670,950","29,361,400"
"Dec 13, 2017",18.87,19.39,12.89,16.09,"2,170,780","35,630,500"
"Dec 12, 2017",17.73,21.60,16.86,19.27,"1,528,820","32,052,900"
"Dec 11, 2017",18.73,21.54,13.81,18.00,"1,696,500","33,861,100"
"Dec 10, 2017",20.80,20.80,17.64,19.13,"1,439,050","37,619,400"
"Dec 09, 2017",22.95,24.09,18.01,20.66,"2,384,060","41,499,800"
"Dec 08, 2017",25.66,25.66,19.67,23.36,"2,073,200","46,391,000"
"Dec 07, 2017",17.54,25.40,16.88,25.20,"3,168,520","31,717,500"
"Dec 06, 2017",19.28,21.97,16.86,17.96,"2,951,420","34,871,500"
"Dec 05, 2017",22.73,25.45,17.70,19.09,"2,938,420","27,172,100"
"Dec 04, 2017",24.59,26.24,20.56,23.04,"2,795,910","29,404,100"
"Dec 03, 2017",27.83,29.08,22.39,24.52,"3,087,720","33,276,100"
"Dec 02, 2017",30.46,31.98,26.16,28.64,"2,945,960","36,416,100"
"Dec 01, 2017",28.88,31.28,25.28,31.10,"3,773,490","34,534,100"
"Nov 30, 2017",27.75,33.73,20.82,28.35,"3,949,000","33,173,500"
"Nov 29, 2017",32.03,33.31,25.32,27.87,"3,939,860","38,300,700"
"Nov 28, 2017",31.24,36.06,31.24,32.18,"4,292,230","37,347,500"
"Nov 27, 2017",35.34,39.53,30.50,33.00,"4,643,100","42,250,500"
"Nov 26, 2017",34.16,40.02,33.29,35.17,"5,523,180","40,847,200"
"Nov 25, 2017",29.47,36.57,29.31,34.31,"6,943,120","35,235,800"
"Nov 24, 2017",26.59,31.54,25.47,29.95,"7,058,010","31,793,100"
"Nov 23, 2017",27.03,27.61,25.41,26.41,"5,922,900","32,320,700"
"Nov 22, 2017",26.39,27.81,25.91,27.18,"5,056,360","31,549,600"
"Nov 21, 2017",23.96,31.71,23.96,26.54,"5,948,850","28,645,700"
"Nov 20, 2017",29.03,29.22,24.42,27.27,"5,793,250","34,704,900"
"Nov 19, 2017",30.85,31.16,21.90,28.90,"6,116,720","36,887,900"
"Nov 18, 2017",34.19,35.43,29.20,30.86,"7,895,030","40,880,000"
"Nov 17, 2017",40.38,44.26,31.39,34.61,"9,848,620","48,272,900"
"Nov 16, 2017",27.18,48.42,25.86,39.42,"16,475,700","32,498,700"
"Nov 15, 2017",15.79,28.24,15.35,27.06,"9,795,290","18,875,700"
"Nov 14, 2017",14.22,21.89,13.96,15.26,"3,669,590","17,007,500"
"Nov 13, 2017",10.32,15.93,9.85,14.49,"2,308,130","12,334,900"
"Nov 12, 2017",10.20,11.46,8.18,10.27,"1,570,550","12,198,200"
"Nov 11, 2017",10.67,11.09,9.95,10.27,"1,625,650","12,756,200"
"Nov 10, 2017",10.09,12.03,10.09,10.45,"1,117,620","12,067,500"
"Nov 09, 2017",9.31,11.29,8.94,10.21,"1,196,060","11,131,300"
"Nov 08, 2017",10.58,11.64,9.30,9.32,"271,190","12,645,100"
"Nov 07, 2017",8.29,10.63,7.56,10.61,"249,895","9,917,520"
"Nov 06, 2017",8.41,10.44,7.10,8.31,"176,906","4,956,870"
"Nov 05, 2017",8.85,9.49,7.68,8.39,"188,244","95,402,700"
"Nov 04, 2017",6.54,25.21,6.13,8.92,"290,147","19,883,400"
"Nov 03, 2017",5.45,7.81,5.21,6.56,"71,725","8,338,400"
"Nov 02, 2017",6.54,6.65,4.22,5.46,"187,600","9,979,870"
"Nov 01, 2017",6.43,7.16,6.10,6.53,"60,079","9,788,550"
"Oct 31, 2017",6.30,7.49,5.77,6.43,"202,688","9,558,910"
"Oct 30, 2017",8.29,9.08,5.53,6.38,"348,378","10,697,400"
"Oct 29, 2017",9.23,9.85,7.52,8.16,"375,874","11,804,600"
"Oct 28, 2017",8.65,9.69,8.51,8.95,"213,241","10,987,700"
"Oct 27, 2017",9.50,9.96,7.67,8.62,"267,383","11,979,800"
"Oct 26, 2017",8.28,11.44,7.83,9.79,"345,892","10,393,400"
"Oct 25, 2017",7.00,8.57,6.06,8.54,"132,872","8,759,340"
"Oct 24, 2017",5.96,7.35,5.79,6.61,"112,841","7,413,620"
"Oct 23, 2017",6.57,7.70,5.45,5.97,"79,566","7,782,430"
"Oct 22, 2017",5.99,7.08,5.60,6.59,"99,543","6,989,410"
"Oct 21, 2017",5.64,6.55,5.62,5.99,"41,287","6,563,210"
"Oct 20, 2017",5.82,5.84,5.32,5.65,"35,449","6,785,270"
"Oct 19, 2017",5.61,5.87,5.29,5.82,"32,055","6,530,420"
"Oct 18, 2017",5.40,5.63,5.01,5.61,"27,170","6,276,140"
"Oct 17, 2017",5.39,6.19,5.18,5.40,"60,024","6,231,420"
"Oct 16, 2017",5.92,6.06,5.09,5.40,"24,073","6,443,770"
"Oct 15, 2017",5.85,6.09,5.14,5.92,"60,931","6,349,380"
"Oct 14, 2017",6.40,6.60,5.64,5.84,"45,884","6,909,440"
"Oct 13, 2017",6.49,6.83,5.77,6.18,"23,303","6,995,620"
"Oct 12, 2017",5.81,6.83,4.77,6.47,"111,134","6,236,580"
"Oct 11, 2017",5.69,7.05,4.78,5.80,"123,335","5,919,980"
"Oct 10, 2017",4.86,6.06,4.66,5.69,"56,988","5,051,130"
"Oct 09, 2017",6.42,6.48,4.84,4.86,"35,597","6,651,810"
"Oct 08, 2017",6.10,6.91,6.07,6.43,"74,691","6,302,380"
"Oct 07, 2017",6.04,6.24,5.84,6.11,"32,013","6,234,060"
"Oct 06, 2017",5.32,6.42,5.27,5.91,"22,738","5,474,530"
"Oct 05, 2017",5.96,6.35,5.24,5.32,"38,584","6,123,800"
"Oct 04, 2017",6.36,6.57,5.79,5.96,"58,290","6,520,930"
"Oct 03, 2017",6.53,6.66,6.08,6.35,"47,238","6,673,830"
"Oct 02, 2017",6.08,7.28,5.97,6.53,"78,391","6,012,680"
"Oct 01, 2017",6.10,6.36,5.86,6.08,"59,559","6,014,180"
"Sep 30, 2017",5.58,6.30,5.58,6.03,"36,277","5,490,750"
"Sep 29, 2017",5.80,5.88,5.47,5.58,"40,717","5,693,340"
"Sep 28, 2017",5.97,6.06,5.56,5.81,"22,406","5,840,690"
"Sep 27, 2017",5.32,6.07,5.12,5.97,"31,952","5,198,040"
"Sep 26, 2017",5.42,5.84,4.96,5.38,"26,036","5,130,900"
"Sep 25, 2017",5.22,5.67,5.12,5.42,"32,927","4,905,750"
"Sep 24, 2017",4.78,5.28,4.68,5.22,"50,812","4,481,370"
"Sep 23, 2017",4.77,5.25,4.36,5.08,"45,694","4,468,230"
"Sep 22, 2017",4.79,5.36,4.64,4.82,"19,797","4,470,480"
"Sep 21, 2017",4.81,5.84,4.74,4.80,"35,392","4,466,900"
"Sep 20, 2017",5.12,5.31,4.37,4.83,"51,592","4,738,560"
"Sep 19, 2017",5.71,5.97,4.01,5.09,"91,519","5,233,300"
"Sep 18, 2017",6.25,6.89,5.18,5.70,"84,248","5,543,680"
"Sep 17, 2017",6.24,6.84,5.56,6.26,"44,110","5,511,870"
"Sep 16, 2017",6.94,7.55,5.71,6.24,"61,844","6,115,020"
"Sep 15, 2017",6.17,7.65,5.27,6.96,"105,353","5,424,450"
"Sep 14, 2017",9.49,9.57,6.10,6.10,"116,628","8,319,310"
"Sep 13, 2017",7.97,9.78,6.84,8.74,"137,298","3,722,340"
"Sep 12, 2017",5.43,11.77,5.40,7.35,"256,250","2,520,450"
"Sep 11, 2017",5.03,5.75,4.60,5.43,"36,856","2,329,110"
"Sep 10, 2017",5.16,5.49,4.68,5.02,"57,962","2,378,830"
"Sep 09, 2017",4.30,5.32,3.80,5.16,"60,027","1,975,530"
"Sep 08, 2017",4.51,5.52,4.00,4.29,"32,157","2,062,280"
"Sep 07, 2017",4.44,4.69,3.67,4.63,"33,221","2,020,440"
"Sep 06, 2017",4.41,6.16,3.90,4.46,"77,799","1,985,180"
"Sep 05, 2017",3.28,4.44,3.03,3.81,"64,817","2,219,850"
"Sep 04, 2017",3.02,3.84,2.61,3.27,"65,663","2,035,430"
"Sep 03, 2017",2.57,3.48,2.57,3.02,"42,586","1,708,160"
"Sep 02, 2017",2.84,3.06,2.52,2.75,"66,608","1,870,890"
"Sep 01, 2017",2.57,2.94,2.52,2.83,"31,272","1,680,690"
"Aug 31, 2017",2.39,2.62,2.31,2.57,"31,017","1,559,190"
"Aug 30, 2017",2.30,2.49,2.11,2.40,"27,051","1,496,690"
"Aug 29, 2017",2.38,2.43,2.23,2.31,"9,507","1,528,780"
"Aug 28, 2017",2.23,2.42,2.12,2.42,"16,792","1,424,860"
"Aug 27, 2017",2.21,2.86,1.95,2.21,"89,018","1,387,960"
"Aug 26, 2017",2.35,2.49,2.18,2.21,"14,714","1,441,090"
"Aug 25, 2017",2.21,2.72,2.17,2.34,"26,630","1,347,230"
"Aug 24, 2017",2.39,2.42,2.06,2.21,"16,877","1,451,040"
"Aug 23, 2017",2.31,2.54,2.19,2.19,"21,384","1,386,980"
"Aug 22, 2017",2.37,2.56,2.00,2.32,"10,816","1,412,390"
"Aug 21, 2017",2.63,2.65,1.92,2.37,"39,739","1,438,200"
"Aug 20, 2017",2.58,2.78,2.40,2.64,"20,270","1,182,640"
"Aug 19, 2017",2.43,3.01,2.36,2.60,"17,974","1,104,160"
"Aug 18, 2017",2.47,2.93,2.31,2.43,"11,797","1,118,000"
"Aug 17, 2017",2.33,2.62,2.27,2.48,"7,417","1,046,980"
"Aug 16, 2017",2.44,2.57,2.17,2.33,"10,113","1,087,480"
"Aug 15, 2017",2.42,2.73,1.99,2.44,"10,297","1,062,140"
"Aug 14, 2017",2.40,2.69,2.33,2.47,"8,017","1,044,810"
"Aug 13, 2017",2.41,2.74,2.24,2.39,"8,336","1,021,190"
"Aug 12, 2017",2.42,2.83,2.36,2.42,"20,721","947,098"
"Aug 11, 2017",2.17,2.57,1.97,2.42,"19,207","820,661"
"Aug 10, 2017",2.08,2.21,1.84,2.17,"16,254","774,814"
"Aug 09, 2017",1.94,2.19,1.69,2.08,"18,034","718,370"
"Aug 08, 2017",1.90,2.25,1.89,1.95,"8,947","689,994"
"Aug 07, 2017",2.24,2.26,1.77,1.83,"21,800","793,905"
"Aug 06, 2017",2.28,2.65,1.89,2.21,"7,733","798,811"
"Aug 05, 2017",2.22,2.54,1.58,2.28,"76,645","751,259"
"Aug 04, 2017",2.27,2.69,1.73,2.39,"15,628","763,618"
"Aug 03, 2017",1.49,2.47,1.43,2.27,"32,297","494,885"
"Aug 02, 2017",1.30,1.68,1.26,1.48,"9,454","423,532"
"Aug 01, 2017",1.46,1.63,1.28,1.30,"3,006","474,971"
"Jul 31, 2017",1.44,1.75,1.40,1.46,"14,927","463,534"
"Jul 30, 2017",1.47,1.73,1.32,1.56,"7,406","450,173"
"Jul 29, 2017",1.26,1.71,1.13,1.47,"3,105","379,400"
"Jul 28, 2017",1.52,1.59,1.25,1.26,"2,158","459,194"
"Jul 27, 2017",1.26,1.63,1.23,1.52,"6,957","378,919"
"Jul 26, 2017",1.57,1.65,1.10,1.26,"12,000","466,458"
"Jul 25, 2017",1.78,1.79,1.33,1.57,"3,546","510,420"
"Jul 24, 2017",1.65,1.92,1.29,1.78,"11,145","468,105"
"Jul 23, 2017",1.70,1.91,1.26,1.65,"8,113","475,209"
"Jul 22, 2017",1.87,2.32,1.34,1.70,"12,471","515,649"
"Jul 21, 2017",2.02,2.10,1.08,1.87,"23,287","766,614"
"Jul 20, 2017",2.05,2.50,1.83,2.01,"12,244","775,940"
"Jul 19, 2017",2.38,2.79,1.85,2.06,"9,224","899,734"
"Jul 18, 2017",1.87,2.39,1.71,2.37,"6,985","707,330"
"Jul 17, 2017",1.47,2.07,1.42,1.86,"2,935","558,315"
"Jul 16, 2017",1.57,1.79,1.32,1.48,"7,539","595,364"
