Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000024,0.000157,0.000023,0.000155,3,-
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000179,4,-
"Dec 14, 2017",0.000164,0.000168,0.000162,0.000166,3,-
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,45,-
"Dec 12, 2017",0.000092,0.000175,0.000084,0.000173,163,-
"Dec 11, 2017",0.000152,0.000169,0.000021,0.000091,53,-
"Dec 10, 2017",0.000150,0.000158,0.000132,0.000154,140,-
"Dec 09, 2017",0.000151,0.000153,0.000135,0.000150,30,-
"Dec 07, 2017",0.000067,0.000168,0.000067,0.000160,6,-
"Dec 06, 2017",0.000117,0.000119,0.000026,0.000067,16,-
"Dec 05, 2017",0.000117,0.000119,0.000115,0.000117,68,-
"Dec 04, 2017",0.000009,0.000116,0.000009,0.000116,55,-
"Dec 03, 2017",0.000109,0.000111,0.000009,0.000009,0,-
"Dec 02, 2017",0.000110,0.000112,0.000107,0.000109,3,-
"Dec 01, 2017",0.000100,0.000107,0.000095,0.000106,1,-
"Nov 30, 2017",0.000098,0.000107,0.000090,0.000100,2,-
"Nov 29, 2017",0.000099,0.000114,0.000091,0.000097,149,-
"Nov 28, 2017",0.000098,0.000100,0.000097,0.000099,18,-
"Nov 27, 2017",0.000093,0.000097,0.000093,0.000097,14,-
"Nov 26, 2017",0.000087,0.000095,0.000087,0.000093,3,-
"Nov 25, 2017",0.000015,0.000087,0.000015,0.000087,94,-
"Nov 24, 2017",0.000080,0.000083,0.000006,0.000015,1,-
"Nov 23, 2017",0.000082,0.000083,0.000080,0.000080,12,-
"Nov 22, 2017",0.000006,0.000083,0.000006,0.000082,82,-
"Nov 21, 2017",0.000082,0.000084,0.000006,0.000006,0,-
"Nov 20, 2017",0.000016,0.000082,0.000016,0.000082,105,-
"Nov 19, 2017",0.000078,0.000078,0.000016,0.000016,17,-
"Nov 18, 2017",0.000078,0.000078,0.000078,0.000078,1,-
"Nov 16, 2017",0.000030,0.000061,0.000011,0.000011,1,-
"Nov 15, 2017",0.000010,0.000030,0.000010,0.000030,18,-
"Nov 14, 2017",0.000003,0.000012,0.000003,0.000012,1,-
"Nov 13, 2017",0.000059,0.000067,0.000003,0.000003,36,-
"Nov 12, 2017",0.000038,0.000064,0.000031,0.000059,23,-
"Nov 11, 2017",0.000066,0.000068,0.000038,0.000038,3,-
"Nov 10, 2017",0.000071,0.000073,0.000065,0.000066,135,-
"Nov 09, 2017",0.000075,0.000075,0.000071,0.000071,21,-
"Nov 08, 2017",0.000070,0.000078,0.000010,0.000075,56,-
"Nov 07, 2017",0.000070,0.000071,0.000062,0.000071,25,-
"Nov 06, 2017",0.000017,0.000072,0.000017,0.000070,2,-
"Nov 05, 2017",0.000074,0.000074,0.000006,0.000017,8,-
"Nov 04, 2017",0.000072,0.000075,0.000070,0.000074,33,-
"Nov 03, 2017",0.000004,0.000074,0.000004,0.000072,115,-
"Nov 02, 2017",0.000061,0.000068,0.000004,0.000004,0,-
"Nov 01, 2017",0.000020,0.000061,0.000013,0.000061,2,-
"Oct 31, 2017",0.000058,0.000058,0.000020,0.000020,5,-
"Oct 30, 2017",0.000062,0.000062,0.000015,0.000058,1,-
"Oct 29, 2017",0.000057,0.000063,0.000057,0.000062,63,-
"Oct 28, 2017",0.000058,0.000059,0.000057,0.000057,12,-
"Oct 27, 2017",0.000058,0.000058,0.000057,0.000057,1,-
"Oct 25, 2017",0.000055,0.000057,0.000054,0.000056,1,-
"Oct 24, 2017",0.000057,0.000057,0.000050,0.000055,3,-
"Oct 23, 2017",0.000060,0.000061,0.000057,0.000057,18,-
"Oct 22, 2017",0.000058,0.000060,0.000057,0.000060,1,-
"Oct 21, 2017",0.000060,0.000061,0.000040,0.000040,0,-
"Oct 20, 2017",0.000037,0.000061,0.000036,0.000060,4,-
"Oct 19, 2017",0.000056,0.000057,0.000036,0.000037,29,-
"Oct 18, 2017",0.000051,0.000056,0.000049,0.000056,23,-
"Oct 17, 2017",0.000053,0.000056,0.000051,0.000051,5,-
"Oct 16, 2017",0.000065,0.000065,0.000045,0.000053,58,-
"Oct 15, 2017",0.000050,0.000066,0.000044,0.000065,7,-
"Oct 14, 2017",0.000051,0.000057,0.000046,0.000049,38,-
"Oct 13, 2017",0.000054,0.000059,0.000050,0.000051,3,-
"Oct 12, 2017",0.000048,0.000054,0.000048,0.000054,122,-
"Oct 11, 2017",0.000048,0.000049,0.000047,0.000048,141,-
"Oct 10, 2017",0.000048,0.000049,0.000047,0.000048,36,-
"Oct 09, 2017",0.000046,0.000049,0.000045,0.000048,285,-
"Oct 08, 2017",0.000044,0.000046,0.000044,0.000046,58,-
"Oct 07, 2017",0.000043,0.000044,0.000042,0.000044,94,-
"Oct 06, 2017",0.000043,0.000044,0.000043,0.000043,256,-
"Oct 05, 2017",0.000042,0.000044,0.000041,0.000043,77,-
"Oct 04, 2017",0.000043,0.000043,0.000041,0.000042,62,-
"Oct 03, 2017",0.000044,0.000044,0.000042,0.000043,24,-
"Oct 02, 2017",0.000044,0.000044,0.000043,0.000044,50,-
"Oct 01, 2017",0.000043,0.000044,0.000043,0.000044,106,-
"Sep 30, 2017",0.000046,0.000076,0.000043,0.000043,314,-
"Sep 29, 2017",0.000046,0.000050,0.000041,0.000046,454,-
"Sep 28, 2017",0.000042,0.000080,0.000041,0.000046,858,-
"Sep 27, 2017",0.000039,0.000082,0.000039,0.000042,386,-
"Sep 26, 2017",0.000039,0.000079,0.000039,0.000039,528,-
"Sep 25, 2017",0.000037,0.000079,0.000037,0.000039,157,-
"Sep 24, 2017",0.000038,0.000038,0.000036,0.000037,277,-
"Sep 23, 2017",0.000038,0.000076,0.000037,0.000038,533,-
"Sep 22, 2017",0.000043,0.000073,0.000036,0.000059,366,-
"Sep 21, 2017",0.000039,0.000078,0.000036,0.000042,"1,359",-
"Sep 20, 2017",0.000078,0.000080,0.000040,0.000078,813,-
"Sep 19, 2017",0.000043,0.000079,0.000040,0.000078,"1,077",-
"Sep 18, 2017",0.000046,0.000083,0.000037,0.000042,"4,933",-
"Sep 17, 2017",0.000037,0.000076,0.000036,0.000046,"4,884",-
"Sep 16, 2017",0.000037,0.000077,0.000036,0.000037,"16,720",-
"Sep 15, 2017",0.000032,0.000076,0.000030,0.000037,"4,744",-
"Sep 14, 2017",0.000039,0.000039,0.000032,0.000032,"3,309",-
"Sep 13, 2017",0.000042,0.000042,0.000038,0.000039,"1,846",-
