Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.010953,0.011484,0.008257,0.009778,"8,148","29,721,000"
"Dec 15, 2017",0.008818,0.010994,0.008471,0.010937,"9,492","23,928,100"
"Dec 14, 2017",0.009893,0.010988,0.008709,0.008805,"9,598","26,845,800"
"Dec 13, 2017",0.010854,0.012004,0.009698,0.009922,"6,952","29,453,100"
"Dec 12, 2017",0.013233,0.013439,0.010795,0.010845,"11,593","35,909,000"
"Dec 11, 2017",0.011293,0.013744,0.011244,0.013191,"7,878","30,644,200"
"Dec 10, 2017",0.009479,0.011588,0.008558,0.011375,"5,234","25,721,800"
"Dec 09, 2017",0.014632,0.014744,0.009061,0.009441,"9,735","39,707,900"
"Dec 08, 2017",0.016789,0.018276,0.010877,0.014646,"9,565","41,937,200"
"Dec 07, 2017",0.014703,0.023055,0.011183,0.016751,"49,215","36,725,300"
"Dec 06, 2017",0.021225,0.022199,0.010144,0.014757,"26,451","52,994,400"
"Dec 05, 2017",0.015095,0.022178,0.010027,0.021346,"45,159","37,688,400"
"Dec 04, 2017",0.008361,0.033107,0.008262,0.015068,"42,614","20,859,400"
"Dec 03, 2017",0.009062,0.009387,0.007907,0.008334,"7,203","22,591,000"
"Dec 02, 2017",0.008937,0.010323,0.007561,0.009052,"36,045","22,279,200"
"Dec 01, 2017",0.007262,0.011380,0.006841,0.010583,"21,097","18,053,700"
"Nov 30, 2017",0.008834,0.010209,0.006853,0.007298,"7,939","21,904,800"
"Nov 29, 2017",0.006279,0.012485,0.006050,0.008719,"62,596","15,511,100"
"Nov 28, 2017",0.006809,0.007030,0.005864,0.006285,"11,787","16,700,200"
"Nov 27, 2017",0.008028,0.008766,0.006518,0.006793,"14,044","19,564,500"
"Nov 26, 2017",0.008889,0.008907,0.006971,0.008008,"22,977","21,658,600"
"Nov 25, 2017",0.005501,0.014032,0.005215,0.013030,"59,370","13,384,800"
"Nov 24, 2017",0.006366,0.006644,0.005344,0.005579,"23,643","15,449,000"
"Nov 23, 2017",0.004838,0.007414,0.004838,0.005471,"43,539","11,740,500"
"Nov 22, 2017",0.004727,0.005308,0.004134,0.004840,"21,859","11,431,300"
"Nov 21, 2017",0.004007,0.004834,0.003505,0.004673,"19,571","9,998,660"
"Nov 20, 2017",0.003659,0.004208,0.003529,0.003687,"25,077","9,092,570"
"Nov 19, 2017",0.003455,0.004351,0.003366,0.003615,"25,626","8,557,940"
"Nov 18, 2017",0.003130,0.004442,0.002735,0.003424,"65,441","7,675,960"
"Nov 17, 2017",0.005003,0.005003,0.002632,0.003148,"66,857","12,075,300"
"Nov 16, 2017",0.003304,0.005011,0.003076,0.005011,"128,076","7,887,940"
"Nov 15, 2017",0.005599,0.008291,0.003176,0.003247,"221,185","13,248,400"
"Nov 14, 2017",0.007442,0.008241,0.004886,0.005777,"121,392","17,374,700"
"Nov 13, 2017",0.006890,0.009195,0.005563,0.007416,"125,592","15,940,600"
"Nov 12, 2017",0.015745,0.016935,0.006865,0.007356,"62,503","36,335,700"
"Nov 11, 2017",0.008270,0.068824,0.007420,0.015671,"202,510","12,812,700"
"Nov 10, 2017",0.037836,0.052076,0.005179,0.008879,"117,352","58,196,800"
"Nov 09, 2017",0.013098,0.043997,0.005780,0.037751,"308,891","20,030,400"
"Nov 08, 2017",0.013143,0.017692,0.010871,0.013147,"73,018","20,025,200"
"Nov 07, 2017",0.010803,0.013284,0.010803,0.013170,"57,059","16,432,200"
"Nov 06, 2017",0.041612,0.043153,0.009547,0.010809,"78,078","63,076,100"
"Nov 05, 2017",0.036849,0.041636,0.025427,0.041313,"73,242","55,855,700"
"Nov 04, 2017",0.039790,0.043953,0.008899,0.036228,"57,389","60,313,800"
"Nov 03, 2017",0.036061,0.042590,0.007208,0.039774,"37,233","44,853,600"
"Nov 02, 2017",0.036159,0.044519,0.010591,0.035867,"48,852","44,975,400"
"Nov 01, 2017",0.021396,0.052109,0.021361,0.036048,"55,879","26,613,200"
"Oct 31, 2017",0.040888,0.047809,0.021388,0.021417,"55,898","50,857,600"
"Oct 30, 2017",0.024508,0.045800,0.022394,0.040922,"51,239","30,483,900"
"Oct 29, 2017",0.037394,0.037421,0.011804,0.024563,"94,044","46,511,300"
"Oct 28, 2017",0.016941,0.070320,0.007535,0.037446,"108,237","21,071,800"
"Oct 27, 2017",0.018569,0.020199,0.013662,0.016925,"51,621","23,096,200"
"Oct 26, 2017",0.010564,0.044906,0.010122,0.018571,"48,861","12,573,200"
"Oct 25, 2017",0.010439,0.014301,0.008554,0.010518,"24,394","12,424,800"
"Oct 24, 2017",0.020622,0.020877,0.011987,0.013435,"37,586","24,543,900"
"Oct 23, 2017",0.024000,0.024006,0.009526,0.020642,"96,392","28,564,400"
"Oct 22, 2017",0.020454,0.024182,0.015664,0.023995,"37,558","24,344,200"
"Oct 21, 2017",0.020191,0.020587,0.015689,0.020453,"21,112","24,030,400"
"Oct 20, 2017",0.022128,0.024625,0.015586,0.020227,"16,391","26,336,800"
"Oct 19, 2017",0.017251,0.027756,0.017251,0.022190,"279,902","20,531,400"
"Oct 18, 2017",0.018930,0.019006,0.013599,0.015401,"64,665",-
"Oct 17, 2017",0.014279,0.027265,0.011499,0.019008,"77,148",-
"Oct 16, 2017",0.019681,0.020173,0.008188,0.014264,"16,007",-
"Oct 15, 2017",0.034505,0.034801,0.012389,0.019633,"42,766",-
"Oct 14, 2017",0.024049,0.035258,0.011524,0.034424,"118,493",-
"Oct 13, 2017",0.024133,0.024396,0.023299,0.024021,"76,485",-
"Oct 12, 2017",0.021024,0.029664,0.020746,0.029566,"95,969",-
"Oct 11, 2017",0.015678,0.024133,0.012975,0.021030,"71,971",-
"Oct 10, 2017",0.035121,0.035265,0.013304,0.015730,"18,255",-
"Oct 09, 2017",0.019238,0.088873,0.015093,0.034996,"28,266",-
"Oct 08, 2017",0.048116,0.048116,0.018477,0.019237,"12,857",-
"Oct 07, 2017",0.018034,0.052036,0.017445,0.048116,"107,996",-
"Oct 06, 2017",0.018444,0.022122,0.017424,0.018028,"38,973",-
"Oct 05, 2017",0.028535,0.028735,0.016474,0.018445,"172,188",-
"Oct 04, 2017",0.023582,0.036314,0.014371,0.028525,"192,466",-
"Oct 03, 2017",0.024311,0.029272,0.017053,0.023561,"38,308",-
"Oct 02, 2017",0.020265,0.036032,0.019178,0.024307,"40,747",-
"Oct 01, 2017",0.045697,0.095875,0.020344,0.020610,"9,693",-
"Sep 30, 2017",0.020412,0.066184,0.018596,0.023791,"28,991",-
"Sep 29, 2017",0.032955,0.033741,0.017605,0.020407,"30,027",-
"Sep 28, 2017",0.021528,0.058417,0.019090,0.033067,"33,446",-
"Sep 27, 2017",0.030688,0.040876,0.019446,0.021557,"34,598",-
"Sep 26, 2017",0.039963,0.091560,0.021531,0.030629,"39,628",-
"Sep 25, 2017",0.021423,0.042753,0.018319,0.038744,"17,970",-
"Sep 24, 2017",0.023497,0.023497,0.020563,0.021350,"10,041",-
"Sep 23, 2017",0.032149,0.057634,0.023329,0.023499,"13,641",-
"Sep 22, 2017",0.059439,0.065512,0.023564,0.032330,"71,664",-
"Sep 21, 2017",0.026381,0.067356,0.017573,0.059550,"99,898",-
"Sep 20, 2017",0.030014,0.031442,0.024202,0.026491,"13,025",-
"Sep 19, 2017",0.026402,0.031828,0.024292,0.030047,"15,817",-
"Sep 18, 2017",0.039965,0.041257,0.027107,0.029041,"9,155",-
"Sep 17, 2017",0.038165,0.041436,0.024110,0.040009,"12,674",-
"Sep 16, 2017",0.033460,0.043866,0.022780,0.038094,"60,047",-
"Sep 15, 2017",0.027752,0.036291,0.024038,0.033153,"76,792",-
"Sep 14, 2017",0.030967,0.031243,0.018339,0.027741,"53,804",-
"Sep 13, 2017",0.030361,0.035080,0.024463,0.029674,"11,397",-
"Sep 12, 2017",0.034813,0.035532,0.024101,0.030351,"24,185",-
"Sep 11, 2017",0.035387,0.038442,0.030190,0.035655,"6,736",-
"Sep 10, 2017",0.033589,0.036112,0.027368,0.035277,"4,594",-
"Sep 09, 2017",0.031428,0.035342,0.029128,0.033547,"19,404",-
"Sep 08, 2017",0.045569,0.046713,0.029429,0.030381,"15,531",-
"Sep 07, 2017",0.025915,0.048927,0.025243,0.045581,"27,431",-
"Sep 06, 2017",0.040940,0.043248,0.025762,0.025900,"18,863",-
"Sep 05, 2017",0.042669,0.042793,0.031476,0.041308,"12,803",-
"Sep 04, 2017",0.043602,0.045464,0.038103,0.042821,"9,505",-
"Sep 03, 2017",0.044770,0.047910,0.041027,0.043581,"23,100",-
"Sep 02, 2017",0.051234,0.053225,0.037878,0.044664,"40,394",-
"Sep 01, 2017",0.041864,0.068150,0.021527,0.051170,"29,838",-
"Aug 31, 2017",0.045566,0.053405,0.024237,0.041898,"15,751",-
"Aug 30, 2017",0.045956,0.046461,0.044880,0.045645,318,-
"Aug 29, 2017",0.040309,0.052720,0.032238,0.045983,"6,954",-
"Aug 28, 2017",0.052174,0.057786,0.034738,0.040315,"11,340",-
"Aug 27, 2017",0.056239,0.057045,0.036973,0.052122,"10,844",-
