Date,Open,High,Low,Close,Volume,Market Cap
"Dec 15, 2017",6.65,7.07,6.65,6.93,17,-
"Dec 14, 2017",6.65,6.72,6.51,6.64,17,-
"Dec 13, 2017",6.92,7.02,6.60,6.68,100,-
"Dec 12, 2017",6.67,7.50,6.65,6.92,207,-
"Dec 09, 2017",7.01,7.12,5.84,6.24,"9,058",-
"Dec 08, 2017",6.19,7.02,6.19,7.02,"19,667",-
"Dec 02, 2017",4.36,4.49,4.30,4.41,11,-
"Dec 01, 2017",4.01,4.37,3.79,4.37,11,-
"Nov 30, 2017",3.94,4.28,3.70,4.02,10,-
"Nov 29, 2017",4.28,4.58,3.64,3.88,"1,491",-
"Nov 27, 2017",3.73,3.90,3.73,3.87,"2,413",-
"Nov 26, 2017",3.51,3.81,3.50,3.73,"2,329",-
"Nov 25, 2017",3.36,3.51,3.36,3.51,971,-
"Nov 23, 2017",3.55,3.56,3.49,3.51,"6,552",-
"Nov 22, 2017",3.25,3.57,3.24,3.55,"24,675",-
"Nov 21, 2017",3.35,3.55,3.20,3.25,"16,577",-
"Nov 20, 2017",3.22,3.23,3.19,3.19,151,-
"Nov 19, 2017",3.12,3.25,3.09,3.23,153,-
"Nov 18, 2017",3.04,3.15,2.99,3.13,140,-
"Nov 15, 2017",2.65,2.78,2.65,2.77,719,-
"Nov 14, 2017",2.62,2.69,2.58,2.65,687,-
"Nov 13, 2017",2.35,2.83,2.34,2.61,"47,053",-
"Nov 12, 2017",2.46,2.58,2.22,2.35,94,-
"Nov 11, 2017",2.64,2.73,2.63,2.69,664,-
"Nov 10, 2017",2.86,2.94,2.59,2.65,653,-
"Nov 09, 2017",3.22,3.22,2.83,2.85,121,-
"Nov 08, 2017",3.07,3.38,3.05,3.22,7,-
"Nov 07, 2017",2.79,3.08,2.79,3.08,"39,976",-
"Nov 06, 2017",2.81,2.87,2.78,2.79,"45,334",-
