Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000180,0.000214,0.000178,0.000212,144,"109,609"
"Dec 15, 2017",0.000235,0.000235,0.000131,0.000180,311,"142,794"
"Dec 14, 2017",0.000184,0.000232,0.000136,0.000229,417,"111,879"
"Dec 13, 2017",0.000199,0.000209,0.000170,0.000184,888,"121,369"
"Dec 12, 2017",0.000131,0.000238,0.000128,0.000199,"4,110","79,911"
"Dec 11, 2017",0.000102,0.000147,0.000101,0.000130,162,"61,816"
"Dec 10, 2017",0.000100,0.000108,0.000092,0.000103,86,"60,745"
"Dec 09, 2017",0.000078,0.000111,0.000078,0.000100,610,"47,608"
"Dec 08, 2017",0.000069,0.000091,0.000066,0.000078,157,"42,138"
"Dec 07, 2017",0.000096,0.000096,0.000066,0.000069,141,"58,280"
"Dec 06, 2017",0.000073,0.000096,0.000072,0.000096,61,"44,196"
"Dec 05, 2017",0.000082,0.000082,0.000072,0.000073,17,"49,860"
"Dec 04, 2017",0.000069,0.000082,0.000066,0.000082,19,"41,729"
"Dec 03, 2017",0.000068,0.000073,0.000067,0.000068,12,"41,498"
"Dec 02, 2017",0.000067,0.000072,0.000064,0.000067,142,"40,884"
"Dec 01, 2017",0.000061,0.000068,0.000057,0.000067,309,"36,843"
"Nov 30, 2017",0.000062,0.000066,0.000054,0.000061,25,"37,459"
"Nov 29, 2017",0.000070,0.000074,0.000059,0.000061,17,"42,821"
"Nov 28, 2017",0.000055,0.000071,0.000055,0.000069,169,"33,743"
"Nov 27, 2017",0.000053,0.000057,0.000052,0.000055,23,"32,208"
"Nov 26, 2017",0.000055,0.000059,0.000051,0.000053,12,"33,413"
"Nov 25, 2017",0.000051,0.000055,0.000041,0.000055,9,"30,963"
"Nov 24, 2017",0.000038,0.000051,0.000037,0.000051,11,"22,981"
"Nov 23, 2017",0.000049,0.000058,0.000038,0.000038,40,"29,741"
"Nov 22, 2017",0.000041,0.000058,0.000041,0.000050,41,"25,071"
"Nov 21, 2017",0.000045,0.000047,0.000038,0.000039,12,"27,209"
"Nov 20, 2017",0.000038,0.000047,0.000037,0.000045,58,"22,933"
"Nov 19, 2017",0.000038,0.000039,0.000036,0.000038,4,"22,848"
"Nov 18, 2017",0.000030,0.000039,0.000029,0.000037,11,"18,254"
"Nov 17, 2017",0.000038,0.000038,0.000030,0.000030,4,"23,062"
"Nov 16, 2017",0.000028,0.000040,0.000028,0.000038,73,"17,276"
"Nov 15, 2017",0.000034,0.000036,0.000028,0.000028,26,"20,968"
"Nov 14, 2017",0.000034,0.000042,0.000033,0.000034,8,"20,956"
"Nov 13, 2017",0.000040,0.000042,0.000034,0.000034,19,"24,309"
"Nov 12, 2017",0.000043,0.000043,0.000037,0.000040,5,"26,252"
"Nov 11, 2017",0.000036,0.000044,0.000036,0.000043,2,"22,112"
"Nov 10, 2017",0.000040,0.000052,0.000036,0.000037,3,"24,288"
"Nov 09, 2017",0.000044,0.000045,0.000038,0.000040,3,"26,969"
"Nov 08, 2017",0.000035,0.000045,0.000035,0.000044,924,"21,466"
"Nov 07, 2017",0.000035,0.000039,0.000034,0.000035,3,"21,429"
"Nov 06, 2017",0.000033,0.000036,0.000032,0.000035,30,"19,788"
"Nov 05, 2017",0.000035,0.000035,0.000031,0.000033,1,"21,224"
"Nov 04, 2017",0.000036,0.000037,0.000030,0.000035,13,"21,990"
"Nov 03, 2017",0.000037,0.000038,0.000031,0.000036,5,"22,308"
"Nov 02, 2017",0.000031,0.000037,0.000029,0.000037,47,"18,680"
"Nov 01, 2017",0.000033,0.000036,0.000030,0.000031,38,"20,293"
"Oct 31, 2017",0.000033,0.000036,0.000033,0.000034,5,"19,918"
"Oct 30, 2017",0.000038,0.000039,0.000032,0.000033,8,"22,920"
"Oct 29, 2017",0.000031,0.000041,0.000031,0.000039,4,"18,944"
"Oct 28, 2017",0.000033,0.000035,0.000031,0.000031,1,"19,871"
"Oct 27, 2017",0.000039,0.000041,0.000031,0.000033,16,"23,721"
"Oct 26, 2017",0.000034,0.000040,0.000032,0.000040,73,"20,599"
"Oct 25, 2017",0.000035,0.000036,0.000031,0.000034,30,"21,586"
"Oct 24, 2017",0.000037,0.000041,0.000034,0.000035,4,"22,528"
"Oct 23, 2017",0.000037,0.000039,0.000032,0.000037,20,"22,741"
"Oct 22, 2017",0.000035,0.000038,0.000034,0.000038,1,"21,432"
"Oct 21, 2017",0.000036,0.000037,0.000035,0.000035,26,"22,014"
"Oct 20, 2017",0.000040,0.000041,0.000035,0.000036,0,"24,206"
"Oct 19, 2017",0.000036,0.000040,0.000035,0.000039,43,"22,037"
"Oct 18, 2017",0.000036,0.000041,0.000035,0.000041,9,"21,998"
"Oct 17, 2017",0.000040,0.000040,0.000036,0.000036,28,"24,257"
"Oct 16, 2017",0.000039,0.000105,0.000038,0.000040,6,"23,496"
"Oct 15, 2017",0.000039,0.000043,0.000037,0.000039,20,"23,937"
"Oct 14, 2017",0.000037,0.000040,0.000036,0.000039,5,"22,287"
"Oct 13, 2017",0.000038,0.000039,0.000035,0.000037,6,"23,184"
"Oct 12, 2017",0.000034,0.000040,0.000034,0.000038,8,"20,618"
"Oct 11, 2017",0.000034,0.000035,0.000033,0.000034,7,"20,508"
"Oct 10, 2017",0.000035,0.000035,0.000033,0.000034,7,"21,314"
"Oct 09, 2017",0.000035,0.000037,0.000033,0.000035,5,"21,142"
"Oct 08, 2017",0.000037,0.000037,0.000034,0.000035,8,"22,256"
"Oct 07, 2017",0.000037,0.000039,0.000034,0.000037,1,"22,680"
"Oct 06, 2017",0.000035,0.000038,0.000034,0.000037,5,"21,209"
"Oct 05, 2017",0.000035,0.000036,0.000034,0.000035,3,"21,555"
"Oct 04, 2017",0.000037,0.000037,0.000032,0.000035,14,"22,384"
"Oct 03, 2017",0.000039,0.000039,0.000034,0.000037,10,"23,574"
"Oct 02, 2017",0.000039,0.000039,0.000036,0.000039,13,"23,685"
"Oct 01, 2017",0.000040,0.000042,0.000038,0.000039,5,"24,159"
"Sep 30, 2017",0.000038,0.000041,0.000038,0.000040,3,"23,051"
"Sep 29, 2017",0.000040,0.000040,0.000037,0.000038,1,"24,458"
"Sep 28, 2017",0.000040,0.000050,0.000026,0.000040,80,"24,427"
"Sep 27, 2017",0.000037,0.000051,0.000035,0.000040,119,"22,621"
"Sep 26, 2017",0.000043,0.000050,0.000037,0.000037,55,"26,303"
