Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001345,0.001878,0.001329,0.001538,48,-
"Dec 15, 2017",0.001309,0.001411,0.001308,0.001343,76,-
"Dec 14, 2017",0.001458,0.001479,0.001264,0.001307,50,-
"Dec 13, 2017",0.001238,0.001551,0.001181,0.001463,40,-
"Dec 12, 2017",0.001262,0.003650,0.001236,0.001237,945,-
"Dec 11, 2017",0.001525,0.001628,0.001209,0.001258,75,-
"Dec 10, 2017",0.002335,0.002335,0.001377,0.001536,44,-
"Dec 09, 2017",0.001371,0.002351,0.001290,0.002325,202,-
"Dec 08, 2017",0.001412,0.002213,0.001235,0.001373,184,-
"Dec 07, 2017",0.001302,0.002975,0.001256,0.001408,900,-
"Dec 06, 2017",0.001171,0.001313,0.001148,0.001311,64,-
"Dec 05, 2017",0.001166,0.001283,0.001149,0.001173,36,-
"Dec 04, 2017",0.001124,0.001231,0.001115,0.001163,111,-
"Dec 03, 2017",0.001093,0.001184,0.001059,0.001120,34,-
"Dec 02, 2017",0.001197,0.001219,0.001076,0.001092,67,-
"Dec 01, 2017",0.001241,0.001399,0.001147,0.001198,45,-
"Nov 30, 2017",0.001127,0.001285,0.001018,0.001247,73,-
"Nov 29, 2017",0.001248,0.001366,0.001038,0.001110,45,-
"Nov 28, 2017",0.001223,0.001265,0.001200,0.001249,10,-
"Nov 27, 2017",0.001025,0.001274,0.001025,0.001220,70,-
"Nov 26, 2017",0.001152,0.001195,0.001014,0.001025,139,-
"Nov 25, 2017",0.001125,0.001152,0.001002,0.001152,66,-
"Nov 24, 2017",0.001200,0.001216,0.001124,0.001127,75,-
"Nov 23, 2017",0.001069,0.001220,0.001053,0.001201,91,-
"Nov 22, 2017",0.001142,0.001176,0.001069,0.001070,90,-
"Nov 21, 2017",0.001236,0.001256,0.001123,0.001139,78,-
"Nov 20, 2017",0.001552,0.001581,0.001227,0.001236,49,-
"Nov 19, 2017",0.001207,0.001761,0.001202,0.001553,245,-
"Nov 18, 2017",0.002141,0.002141,0.001197,0.001209,41,-
"Nov 17, 2017",0.001878,0.002546,0.001103,0.002150,811,-
"Nov 16, 2017",0.001376,0.003518,0.000897,0.001881,"4,052",-
"Nov 15, 2017",0.000860,0.003399,0.000860,0.001368,"3,004",-
"Nov 14, 2017",0.001112,0.001155,0.000852,0.000859,408,-
"Nov 13, 2017",0.000773,0.001116,0.000773,0.001110,43,-
"Nov 12, 2017",0.001044,0.001044,0.000754,0.000772,25,-
"Nov 11, 2017",0.001018,0.001152,0.001017,0.001045,30,-
"Nov 10, 2017",0.001135,0.001168,0.000995,0.001022,47,-
"Nov 09, 2017",0.001077,0.001217,0.001029,0.001132,120,-
"Nov 08, 2017",0.001108,0.001301,0.001037,0.001084,63,-
"Nov 07, 2017",0.001073,0.001143,0.001063,0.001111,22,-
"Nov 06, 2017",0.001213,0.001215,0.001068,0.001075,51,-
"Nov 05, 2017",0.001254,0.001260,0.001176,0.001211,43,-
"Nov 04, 2017",0.001148,0.001322,0.001122,0.001257,187,-
"Nov 03, 2017",0.001165,0.002858,0.001139,0.001151,"3,958",-
"Nov 02, 2017",0.001186,0.001229,0.000958,0.001167,52,-
"Nov 01, 2017",0.001031,0.001162,0.001019,0.001159,148,-
"Oct 31, 2017",0.001453,0.001467,0.000975,0.001032,35,-
"Oct 30, 2017",0.000985,0.001633,0.000982,0.001458,62,-
"Oct 29, 2017",0.000916,0.001012,0.000914,0.000991,7,-
"Oct 28, 2017",0.000928,0.000942,0.000910,0.000918,53,-
"Oct 27, 2017",0.001030,0.001115,0.000925,0.000926,26,-
"Oct 26, 2017",0.000967,0.001061,0.000928,0.001025,23,-
"Oct 25, 2017",0.001048,0.001320,0.000877,0.000967,48,-
"Oct 24, 2017",0.000821,0.001065,0.000779,0.001048,2,-
"Oct 23, 2017",0.000941,0.000945,0.000793,0.000823,30,-
"Oct 22, 2017",0.001143,0.001153,0.000908,0.000942,72,-
"Oct 21, 2017",0.001081,0.001177,0.001073,0.001142,33,-
"Oct 20, 2017",0.001012,0.001134,0.001012,0.001083,10,-
"Oct 19, 2017",0.001117,0.001298,0.001012,0.001012,14,-
"Oct 18, 2017",0.001176,0.001176,0.001074,0.001117,10,-
"Oct 17, 2017",0.001205,0.001209,0.001156,0.001176,8,-
"Oct 16, 2017",0.001184,0.001211,0.001164,0.001205,19,-
"Oct 15, 2017",0.001489,0.001859,0.001158,0.001183,35,-
"Oct 14, 2017",0.001784,0.001784,0.001364,0.001486,115,-
"Oct 13, 2017",0.002380,0.002523,0.001736,0.001783,131,-
"Oct 12, 2017",0.002613,0.003342,0.001568,0.002373,"1,648",-
"Oct 11, 2017",0.001066,0.005557,0.000887,0.002611,"2,517",-
"Oct 10, 2017",0.001037,0.001115,0.000973,0.001066,102,-
"Oct 09, 2017",0.001471,0.006366,0.000866,0.001037,"2,515",-
"Oct 08, 2017",0.000622,0.008817,0.000620,0.001471,648,-
"Oct 07, 2017",0.000860,0.000871,0.000606,0.000624,24,-
"Oct 06, 2017",0.000571,0.000861,0.000570,0.000859,32,-
"Oct 05, 2017",0.000531,0.000578,0.000527,0.000571,17,-
"Oct 04, 2017",0.000605,0.000757,0.000526,0.000531,23,-
"Oct 03, 2017",0.000616,0.000620,0.000595,0.000603,9,-
"Oct 02, 2017",0.000615,0.000625,0.000612,0.000616,15,-
"Oct 01, 2017",0.000608,0.000615,0.000597,0.000615,11,-
"Sep 30, 2017",0.000584,0.000634,0.000584,0.000608,11,-
"Sep 29, 2017",0.000650,0.000701,0.000584,0.000584,11,-
