Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.188438,0.218879,0.168719,0.210833,"15,733","4,201,020"
"Dec 15, 2017",0.178066,0.192455,0.175099,0.188218,"18,458","3,969,780"
"Dec 14, 2017",0.174632,0.187665,0.170993,0.176354,"10,611","3,893,220"
"Dec 13, 2017",0.190499,0.196527,0.170593,0.176506,"8,384","4,246,970"
"Dec 12, 2017",0.155525,0.192014,0.153828,0.190342,"14,240",-
"Dec 11, 2017",0.181153,0.201009,0.155050,0.155050,"5,464",-
"Dec 10, 2017",0.193396,0.193396,0.153633,0.182472,"6,692",-
"Dec 09, 2017",0.219560,0.232238,0.158614,0.192616,"9,780",-
"Dec 08, 2017",0.199587,0.225051,0.183909,0.219782,"14,112",-
"Dec 07, 2017",0.173209,0.225384,0.173209,0.199119,"31,462",-
"Dec 06, 2017",0.149770,0.188036,0.149770,0.173508,"14,466",-
"Dec 05, 2017",0.154788,0.168390,0.137005,0.150103,"28,883",-
"Dec 04, 2017",0.126108,0.172943,0.125662,0.154485,"4,248",-
"Dec 03, 2017",0.126151,0.169694,0.097732,0.125695,"10,963",-
"Dec 02, 2017",0.131388,0.143071,0.022790,0.126031,"31,590",-
"Dec 01, 2017",0.110624,0.132590,0.108672,0.131499,"3,109",-
"Nov 30, 2017",0.108705,0.135566,0.105085,0.111175,"5,257",-
"Nov 29, 2017",0.122518,0.145110,0.106702,0.107061,"15,991",-
"Nov 28, 2017",0.175594,0.180769,0.122520,0.122639,"10,903",-
"Nov 27, 2017",0.184210,0.189885,0.161616,0.175140,"2,118",-
"Nov 26, 2017",0.170553,0.188353,0.115519,0.184174,"39,267",-
"Nov 25, 2017",0.167812,0.178261,0.156691,0.170610,"11,653",-
"Nov 24, 2017",0.170532,0.188159,0.153137,0.168152,"13,677",-
"Nov 23, 2017",0.173417,0.189900,0.170429,0.170765,"8,225",-
"Nov 22, 2017",0.187840,0.201861,0.083442,0.173474,"89,796",-
"Nov 21, 2017",0.184359,0.226066,0.155607,0.187385,"6,123",-
"Nov 20, 2017",0.183390,0.251007,0.160085,0.184327,"27,709",-
"Nov 19, 2017",0.166665,0.212365,0.163177,0.183476,"36,866",-
"Nov 18, 2017",0.147431,0.204078,0.145046,0.166972,"15,818",-
"Nov 17, 2017",0.235337,0.240242,0.130771,0.147999,"23,919",-
"Nov 16, 2017",0.180108,0.237488,0.178785,0.235723,"17,878",-
"Nov 15, 2017",0.199863,0.218952,0.172999,0.179169,"18,208",-
"Nov 14, 2017",0.216119,0.258340,0.191032,0.199727,"6,958",-
"Nov 13, 2017",0.252199,0.278790,0.184419,0.215670,"15,098",-
"Nov 12, 2017",0.195275,0.252520,0.127416,0.251832,"41,707",-
"Nov 11, 2017",0.200897,0.241278,0.180212,0.195412,"14,016",-
"Nov 10, 2017",0.278024,0.368175,0.153151,0.201615,"70,027",-
"Nov 09, 2017",0.224947,0.277414,0.224473,0.277201,"39,542",-
