Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001238,0.001662,0.001228,0.001632,245,"32,911"
"Dec 15, 2017",0.001341,0.001456,0.001091,0.001237,128,"35,648"
"Dec 14, 2017",0.000986,0.001383,0.000974,0.001337,86,"26,201"
"Dec 13, 2017",0.001697,0.001749,0.000956,0.000989,69,"45,090"
"Dec 12, 2017",0.001331,0.001726,0.001239,0.001693,174,"35,369"
"Dec 11, 2017",0.001215,0.001593,0.001107,0.001318,153,"32,235"
"Dec 10, 2017",0.001164,0.001413,0.000707,0.001224,368,"30,880"
"Dec 09, 2017",0.001185,0.001408,0.001112,0.001161,42,"31,424"
"Dec 08, 2017",0.001421,0.001689,0.001172,0.001185,457,"37,689"
"Dec 07, 2017",0.001098,0.001423,0.000891,0.001421,118,"29,124"
"Dec 06, 2017",0.001043,0.001101,0.000961,0.001100,693,"27,659"
"Dec 05, 2017",0.001049,0.001200,0.001034,0.001045,7,"27,824"
"Dec 04, 2017",0.000900,0.001047,0.000871,0.001047,23,"23,851"
"Dec 03, 2017",0.000978,0.001179,0.000847,0.000897,77,"25,915"
"Dec 02, 2017",0.000980,0.001008,0.000966,0.000977,2,"25,957"
"Dec 01, 2017",0.000998,0.001059,0.000942,0.000980,21,"26,438"
"Nov 30, 2017",0.000983,0.001069,0.000807,0.001003,67,"26,038"
"Nov 29, 2017",0.000798,0.001090,0.000727,0.000968,575,"21,132"
"Nov 28, 2017",0.000878,0.000896,0.000791,0.000798,21,"23,248"
"Nov 27, 2017",0.000735,0.000875,0.000735,0.000873,96,"19,482"
"Nov 26, 2017",0.000779,0.000854,0.000707,0.000735,61,"20,639"
"Nov 25, 2017",0.000409,0.000780,0.000409,0.000780,203,"10,825"
"Nov 24, 2017",0.000637,0.000645,0.000406,0.000410,100,"16,738"
"Nov 23, 2017",0.000657,0.000671,0.000511,0.000643,150,"17,230"
"Nov 22, 2017",0.000569,0.000661,0.000407,0.000658,194,"14,914"
"Nov 21, 2017",0.000579,0.000580,0.000413,0.000567,71,"15,125"
"Nov 20, 2017",0.000642,0.000644,0.000417,0.000578,72,"16,604"
"Nov 19, 2017",0.000602,0.000659,0.000570,0.000589,1,"15,538"
"Nov 18, 2017",0.000615,0.000703,0.000459,0.000694,118,"15,868"
"Nov 17, 2017",0.000628,0.000642,0.000605,0.000617,18,"16,183"
"Nov 16, 2017",0.000584,0.000640,0.000571,0.000629,51,"15,047"
"Nov 15, 2017",0.000529,0.000585,0.000481,0.000581,43,"13,621"
"Nov 14, 2017",0.000523,0.000538,0.000514,0.000528,164,"13,436"
"Nov 13, 2017",0.000528,0.000554,0.000496,0.000522,85,"13,522"
"Nov 12, 2017",0.000522,0.000552,0.000460,0.000527,318,"13,213"
"Nov 11, 2017",0.000554,0.000783,0.000514,0.000523,158,"13,919"
"Nov 10, 2017",0.000714,0.000754,0.000544,0.000557,33,"17,885"
"Nov 09, 2017",0.000604,0.000725,0.000564,0.000711,11,"15,126"
"Nov 08, 2017",0.000640,0.000736,0.000580,0.000605,53,"16,035"
"Nov 07, 2017",0.000616,0.000649,0.000559,0.000642,113,"15,435"
"Nov 06, 2017",0.000431,0.000634,0.000431,0.000617,88,"10,794"
"Nov 05, 2017",0.000486,0.000487,0.000455,0.000468,0,"12,159"
"Nov 04, 2017",0.000464,0.000495,0.000454,0.000482,1,"11,604"
"Nov 03, 2017",0.000443,0.000525,0.000409,0.000462,47,"11,059"
"Nov 02, 2017",0.000404,0.000512,0.000404,0.000443,6,"10,074"
"Nov 01, 2017",0.000373,0.000404,0.000371,0.000403,104,"9,311"
"Oct 31, 2017",0.000486,0.000494,0.000369,0.000380,0,"12,121"
"Oct 30, 2017",0.000492,0.000492,0.000408,0.000488,5,"12,267"
"Oct 29, 2017",0.000514,0.000514,0.000343,0.000495,51,"12,798"
"Oct 28, 2017",0.000515,0.000525,0.000399,0.000515,28,"12,814"
"Oct 27, 2017",0.000530,0.000540,0.000343,0.000514,72,"13,149"
"Oct 26, 2017",0.000377,0.000645,0.000376,0.000530,82,"9,313"
"Oct 25, 2017",0.000509,0.000752,0.000377,0.000377,1,"12,567"
"Oct 24, 2017",0.000572,0.000692,0.000507,0.000508,17,"14,084"
"Oct 23, 2017",0.000328,0.000590,0.000320,0.000578,16,"8,071"
"Oct 22, 2017",0.000421,0.000422,0.000323,0.000332,0,"10,367"
"Oct 21, 2017",0.000515,0.000516,0.000298,0.000421,266,"12,669"
"Oct 20, 2017",0.000514,0.000545,0.000507,0.000510,0,"12,644"
"Oct 19, 2017",0.000503,0.000572,0.000498,0.000514,38,"12,356"
"Oct 18, 2017",0.000402,0.000561,0.000383,0.000503,89,"9,864"
"Oct 17, 2017",0.000493,0.000494,0.000381,0.000405,0,"12,031"
"Oct 16, 2017",0.000470,0.000562,0.000452,0.000493,72,"11,388"
"Oct 15, 2017",0.000509,0.000526,0.000424,0.000472,39,"12,310"
"Oct 14, 2017",0.000452,0.000501,0.000448,0.000496,1,"10,897"
"Oct 13, 2017",0.000435,0.000527,0.000433,0.000452,6,"10,447"
"Oct 12, 2017",0.000528,0.000581,0.000423,0.000434,153,"12,631"
"Oct 11, 2017",0.000458,0.000532,0.000435,0.000528,118,"10,901"
"Oct 10, 2017",0.000383,0.001057,0.000382,0.000458,219,"9,075"
"Oct 09, 2017",0.000552,0.000740,0.000367,0.000383,54,"13,019"
"Oct 08, 2017",0.000533,0.000553,0.000401,0.000552,40,"12,504"
"Oct 07, 2017",0.000524,0.000535,0.000390,0.000535,53,"12,236"
"Oct 06, 2017",0.000432,0.000655,0.000431,0.000524,79,"10,069"
"Oct 05, 2017",0.000386,0.000479,0.000342,0.000432,26,"8,957"
"Oct 04, 2017",0.000646,0.000671,0.000233,0.000385,229,"14,940"
"Oct 03, 2017",0.000793,0.000793,0.000526,0.000644,79,"18,248"
"Oct 02, 2017",0.000835,0.000846,0.000655,0.000792,87,"19,132"
"Oct 01, 2017",0.000782,0.000835,0.000768,0.000835,17,"17,852"
"Sep 30, 2017",0.000754,0.000784,0.000754,0.000782,28,"17,153"
"Sep 29, 2017",0.000647,0.000809,0.000574,0.000754,42,"14,696"
"Sep 28, 2017",0.000757,0.000812,0.000584,0.000648,17,"17,147"
"Sep 27, 2017",0.000627,0.000982,0.000627,0.000757,70,"14,165"
"Sep 26, 2017",0.000696,0.000724,0.000607,0.000628,38,"15,704"
"Sep 25, 2017",0.000842,0.000871,0.000628,0.000689,40,"18,923"
"Sep 24, 2017",0.000744,0.000855,0.000445,0.000842,51,"16,687"
"Sep 23, 2017",0.000759,0.000879,0.000662,0.000743,53,"16,985"
"Sep 22, 2017",0.000688,0.000800,0.000362,0.000762,128,"15,319"
"Sep 21, 2017",0.000892,0.000937,0.000682,0.000689,48,"19,733"
"Sep 20, 2017",0.000900,0.001012,0.000895,0.000897,105,"19,844"
"Sep 19, 2017",0.000960,0.000967,0.000893,0.000901,44,"21,159"
"Sep 18, 2017",0.000961,0.001048,0.000929,0.000958,142,"21,150"
"Sep 17, 2017",0.000880,0.001097,0.000846,0.000963,67,"19,382"
"Sep 16, 2017",0.001072,0.001123,0.000869,0.000880,17,"23,574"
"Sep 15, 2017",0.000649,0.001106,0.000581,0.001075,139,"14,269"
"Sep 14, 2017",0.001512,0.001532,0.000644,0.000644,109,"33,081"
"Sep 13, 2017",0.001611,0.001613,0.001163,0.001512,168,"35,109"
"Sep 12, 2017",0.001419,0.001701,0.001419,0.001610,1,"30,811"
"Sep 11, 2017",0.001448,0.001620,0.001310,0.001419,20,"31,282"
"Sep 10, 2017",0.001303,0.001471,0.001266,0.001443,1,"28,131"
"Sep 09, 2017",0.001568,0.001568,0.001267,0.001301,67,"33,816"
"Sep 08, 2017",0.001529,0.001829,0.001369,0.001566,5,"32,941"
"Sep 07, 2017",0.001892,0.002262,0.001485,0.001529,12,"40,716"
"Sep 06, 2017",0.001635,0.001901,0.001548,0.001896,81,"35,143"
"Sep 05, 2017",0.001636,0.001972,0.001541,0.001634,56,"35,138"
"Sep 04, 2017",0.001797,0.001822,0.001376,0.001628,337,"38,524"
"Sep 03, 2017",0.001884,0.002146,0.001757,0.001796,59,"40,115"
"Sep 02, 2017",0.001750,0.002378,0.001411,0.001884,139,"37,147"
"Sep 01, 2017",0.001918,0.002116,0.001350,0.001749,139,"40,615"
"Aug 31, 2017",0.001927,0.002294,0.001764,0.001918,125,"40,683"
"Aug 30, 2017",0.002209,0.002465,0.001914,0.001930,168,"46,433"
