Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.765602,1.05,0.542605,0.805529,"6,485","8,643,870"
"Dec 15, 2017",0.642841,0.892226,0.570822,0.764807,"29,170","7,257,870"
"Dec 14, 2017",0.803618,0.803618,0.612686,0.641806,"8,286",-
"Dec 13, 2017",1.10,1.12,0.554027,0.805941,"10,437",-
"Dec 12, 2017",1.40,1.50,0.853341,1.10,"2,875",-
"Dec 11, 2017",1.23,1.82,1.22,1.40,"2,236",-
"Dec 10, 2017",1.65,1.65,1.02,1.24,"6,070",-
"Dec 09, 2017",1.58,1.78,1.40,1.65,"5,053",-
"Dec 08, 2017",1.94,3.19,0.974622,1.58,"7,975",-
"Dec 07, 2017",1.30,2.48,1.30,1.93,"4,834",-
