Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.019765,0.019859,0.016083,0.019085,"2,039","234,317"
"Dec 15, 2017",0.018080,0.022062,0.018077,0.019737,805,"214,353"
"Dec 14, 2017",0.020797,0.023002,0.017991,0.018053,"2,536","246,557"
"Dec 13, 2017",0.013130,0.021064,0.012111,0.020864,"5,307","155,660"
"Dec 12, 2017",0.012796,0.013497,0.012496,0.013119,34,"151,701"
"Dec 11, 2017",0.011588,0.013303,0.011537,0.012755,33,"137,378"
"Dec 10, 2017",0.012932,0.013670,0.010834,0.011672,31,"153,318"
"Dec 09, 2017",0.013987,0.014194,0.011648,0.012880,751,"165,821"
"Dec 08, 2017",0.011975,0.014156,0.010053,0.014001,"1,609","141,972"
"Dec 07, 2017",0.011401,0.013983,0.010441,0.011947,"1,698","135,162"
"Dec 06, 2017",0.010414,0.012113,0.009084,0.011420,"1,086","123,459"
"Dec 05, 2017",0.014804,0.014854,0.008692,0.010437,"1,242","175,502"
"Dec 04, 2017",0.014727,0.019470,0.014256,0.014774,176,"174,592"
"Dec 03, 2017",0.021863,0.021882,0.014612,0.014678,963,"259,201"
"Dec 02, 2017",0.016327,0.023190,0.013624,0.021843,"2,309","193,559"
"Dec 01, 2017",0.018087,0.018288,0.012450,0.016340,"1,479","214,436"
"Nov 30, 2017",0.014743,0.020368,0.011534,0.018178,"3,577","174,786"
"Nov 29, 2017",0.008141,0.017488,0.008141,0.014520,"4,421","96,515"
"Nov 28, 2017",0.007707,0.011613,0.007632,0.008149,"1,354","91,367"
"Nov 27, 2017",0.007827,0.008621,0.007061,0.007687,"1,240","92,791"
"Nov 26, 2017",0.007959,0.008073,0.006650,0.007825,"1,292","94,359"
"Nov 25, 2017",0.008867,0.009303,0.007240,0.007962,"1,146","105,120"
"Nov 24, 2017",0.008680,0.009006,0.008514,0.008885,"3,838","102,906"
"Nov 23, 2017",0.008883,0.008927,0.008692,0.008692,"3,755","105,315"
"Nov 22, 2017",0.005599,0.008930,0.005511,0.008886,"3,839","66,376"
"Nov 21, 2017",0.005851,0.005855,0.005379,0.005585,397,"69,372"
"Nov 20, 2017",0.006113,0.006127,0.005484,0.005850,192,"72,472"
"Nov 19, 2017",0.005840,0.006116,0.005311,0.006116,"5,198","69,238"
"Nov 18, 2017",0.005765,0.005896,0.005216,0.005851,613,"68,347"
"Nov 17, 2017",0.005805,0.006564,0.005373,0.005787,"1,614","68,822"
"Nov 16, 2017",0.005477,0.006850,0.005248,0.005815,"2,945","64,936"
"Nov 15, 2017",0.005025,0.006528,0.005018,0.005449,"3,131","59,572"
"Nov 14, 2017",0.004898,0.005270,0.004691,0.005021,647,"58,070"
"Nov 13, 2017",0.004990,0.005717,0.004841,0.004888,683,"59,161"
"Nov 12, 2017",0.004198,0.005656,0.003267,0.004983,"2,737","49,774"
"Nov 11, 2017",0.004076,0.004682,0.003804,0.004201,497,"48,328"
