Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.012353,0.013543,0.012197,0.013437,7,"68,559"
"Dec 15, 2017",0.011446,0.015475,0.011443,0.012335,7,"63,524"
"Dec 14, 2017",0.013755,0.014675,0.011351,0.011428,81,"76,344"
"Dec 13, 2017",0.011920,0.014600,0.011362,0.013800,9,"66,160"
"Dec 12, 2017",0.011667,0.012254,0.011535,0.011910,4,"64,751"
"Dec 11, 2017",0.010520,0.012078,0.010474,0.012078,5,"58,389"
"Dec 10, 2017",0.010376,0.010883,0.009134,0.010597,24,"57,587"
"Dec 09, 2017",0.011222,0.011388,0.009345,0.010334,7,"62,284"
"Dec 08, 2017",0.011975,0.012154,0.009857,0.011233,25,"66,464"
"Dec 07, 2017",0.012225,0.012864,0.010149,0.011947,"5,945","67,850"
"Dec 06, 2017",0.010531,0.013872,0.010531,0.012246,"2,183","58,446"
"Dec 05, 2017",0.010724,0.011805,0.010449,0.010554,442,"59,518"
"Dec 04, 2017",0.010342,0.010703,0.010017,0.010703,34,"57,402"
"Dec 03, 2017",0.009839,0.010890,0.009741,0.010308,7,"54,605"
"Dec 02, 2017",0.010014,0.010299,0.009761,0.009829,43,"55,577"
"Dec 01, 2017",0.009194,0.010081,0.008704,0.010022,16,"51,026"
"Nov 30, 2017",0.008277,0.009325,0.008250,0.009239,93,"45,939"
"Nov 29, 2017",0.009134,0.010026,0.009134,0.010015,2,"50,693"
"Nov 28, 2017",0.008780,0.009181,0.008695,0.009143,6,"48,729"
"Nov 27, 2017",0.008479,0.008831,0.008473,0.008757,43,"47,060"
"Nov 26, 2017",0.007872,0.010273,0.007863,0.008477,623,"43,689"
"Nov 25, 2017",0.007307,0.007874,0.007301,0.007874,311,"40,554"
"Nov 24, 2017",0.007233,0.007505,0.007095,0.007322,12,"40,146"
"Nov 23, 2017",0.007320,0.007366,0.007211,0.007243,17,"40,629"
"Nov 22, 2017",0.007222,0.007387,0.007191,0.007323,90,"40,080"
"Nov 21, 2017",0.007335,0.007449,0.006939,0.007204,21,"40,709"
"Nov 20, 2017",0.007159,0.007374,0.007073,0.007334,7,"39,731"
"Nov 19, 2017",0.006900,0.007219,0.006882,0.007162,139,"38,294"
"Nov 18, 2017",0.005611,0.005697,0.005440,0.005597,26,"31,143"
"Nov 17, 2017",0.005744,0.005831,0.005557,0.005633,58,"31,878"
"Nov 16, 2017",0.005331,0.005702,0.005212,0.005664,4,"29,589"
