Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000379,0.000438,0.000197,0.000427,546,"60,589"
"Dec 15, 2017",0.000438,0.000450,0.000258,0.000378,504,"70,048"
"Dec 14, 2017",0.000493,0.000530,0.000325,0.000437,301,"78,956"
"Dec 13, 2017",0.000565,0.000668,0.000269,0.000494,830,"90,426"
"Dec 12, 2017",0.000384,0.000568,0.000200,0.000565,491,"61,513"
"Dec 11, 2017",0.000613,0.000689,0.000383,0.000384,397,"98,115"
"Dec 10, 2017",0.000304,0.000660,0.000268,0.000612,438,"48,577"
"Dec 09, 2017",0.000363,0.000367,0.000140,0.000302,733,"58,003"
"Dec 08, 2017",0.000402,0.000469,0.000312,0.000363,45,"64,345"
"Dec 07, 2017",0.000273,0.000414,0.000145,0.000401,272,"43,649"
"Dec 06, 2017",0.000235,0.000273,0.000128,0.000273,92,"37,667"
"Dec 05, 2017",0.000233,0.000238,0.000116,0.000236,411,"37,300"
"Dec 04, 2017",0.000254,0.000256,0.000218,0.000233,"2,616","40,588"
"Dec 03, 2017",0.000321,0.000593,0.000250,0.000253,384,"51,327"
"Dec 02, 2017",0.000354,0.000373,0.000191,0.000321,251,"56,703"
"Dec 01, 2017",0.000193,0.000358,0.000193,0.000354,12,"30,873"
"Nov 30, 2017",0.000199,0.000298,0.000178,0.000194,57,"31,763"
"Nov 29, 2017",0.000298,0.000341,0.000182,0.000196,724,"47,654"
"Nov 28, 2017",0.000311,0.000311,0.000196,0.000298,70,"49,695"
"Nov 27, 2017",0.000186,0.000340,0.000186,0.000310,341,"29,817"
"Nov 26, 2017",0.000175,0.000281,0.000175,0.000186,867,"28,003"
"Nov 25, 2017",0.000224,0.000348,0.000172,0.000175,584,"35,809"
"Nov 24, 2017",0.000169,0.000323,0.000166,0.000224,258,"27,112"
"Nov 23, 2017",0.000244,0.000246,0.000162,0.000170,"1,627","39,057"
"Nov 22, 2017",0.000324,0.000331,0.000242,0.000244,280,"51,816"
"Nov 21, 2017",0.000247,0.000325,0.000234,0.000323,430,"39,513"
"Nov 20, 2017",0.000321,0.000321,0.000238,0.000247,214,"51,389"
"Nov 19, 2017",0.000232,0.000323,0.000231,0.000321,213,"37,045"
"Nov 18, 2017",0.000300,0.000311,0.000227,0.000232,743,"48,072"
"Nov 17, 2017",0.000310,0.000317,0.000226,0.000302,35,"49,644"
"Nov 16, 2017",0.000360,0.000360,0.000220,0.000311,122,"57,551"
"Nov 15, 2017",0.000226,0.000364,0.000210,0.000358,"3,175",-
"Nov 14, 2017",0.000261,0.000330,0.000195,0.000226,583,-
"Nov 13, 2017",0.000176,0.000328,0.000175,0.000261,"2,308",-
"Nov 12, 2017",0.000318,0.000318,0.000166,0.000176,783,-
"Nov 11, 2017",0.000262,0.000325,0.000249,0.000318,617,-
"Nov 10, 2017",0.000286,0.000437,0.000204,0.000263,"3,255",-
"Nov 09, 2017",0.000224,0.000575,0.000143,0.000356,"18,550",-
"Nov 08, 2017",0.000285,0.000314,0.000216,0.000224,843,-
"Nov 07, 2017",0.000208,0.000287,0.000208,0.000286,"1,590",-
"Nov 06, 2017",0.000299,0.000300,0.000207,0.000208,992,-
"Nov 05, 2017",0.000155,0.000376,0.000153,0.000298,"6,609",-
"Nov 04, 2017",0.000215,0.000289,0.000145,0.000193,"2,268",-
"Nov 03, 2017",0.000293,0.000294,0.000143,0.000216,"3,963",-
"Nov 02, 2017",0.000202,0.000296,0.000202,0.000294,247,-
"Nov 01, 2017",0.000321,0.000325,0.000192,0.000202,"11,068",-
"Oct 31, 2017",0.000184,0.000321,0.000182,0.000321,"1,908",-
"Oct 30, 2017",0.000308,0.000308,0.000182,0.000185,"1,689",-
"Oct 29, 2017",0.000344,0.000405,0.000175,0.000309,"12,020",-
"Oct 28, 2017",0.000526,0.000745,0.000289,0.000345,"49,868",-
"Oct 27, 2017",0.000235,0.001415,0.000235,0.000469,"57,479",-
"Oct 26, 2017",0.000288,0.000344,0.000175,0.000235,"5,526",-
"Oct 25, 2017",0.000219,0.000288,0.000166,0.000288,"1,479",-
