Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",18999.70,19543.80,17187.90,19529.40,"41,461",-
"Dec 15, 2017",16129.20,19007.30,16126.80,18996.80,"193,848",-
"Dec 14, 2017",15968.70,17062.10,15841.90,16109.40,"68,398",-
"Dec 13, 2017",16931.80,17291.90,15652.10,16000.00,"15,648",-
"Dec 12, 2017",16577.80,17973.80,16198.40,16925.20,"29,450",-
"Dec 11, 2017",15079.90,18115.60,15070.90,16547.20,"32,208",-
"Dec 10, 2017",13674.70,16153.00,12814.90,15054.30,"25,936",-
"Dec 09, 2017",16052.50,16428.80,13188.80,13666.80,"23,376",-
"Dec 08, 2017",17346.00,21008.40,14533.00,16063.60,"280,760",-
"Dec 07, 2017",13638.70,34315.40,13638.70,17351.80,"55,949",-
"Dec 06, 2017",11589.50,13677.80,11589.50,13659.80,"340,972",-
"Dec 05, 2017",11498.10,11875.00,11417.50,11614.90,"715,066",-
"Dec 04, 2017",11557.30,11866.90,11176.10,11478.20,"31,883",-
"Dec 03, 2017",10769.50,11920.60,10700.60,11572.70,"42,529",-
"Dec 02, 2017",11175.80,11370.60,10586.60,10759.70,"193,920",-
"Dec 01, 2017",9993.28,11222.80,9546.52,11172.60,"6,800",-
"Nov 30, 2017",9532.34,11240.00,9000.60,10034.80,"125,108",-
"Nov 29, 2017",9945.31,11694.60,9461.92,9487.20,"118,578",-
"Nov 28, 2017",9650.86,10506.70,9561.97,9975.01,"174,191",-
"Nov 27, 2017",9150.35,9696.85,8949.05,9627.53,"1,220,150",-
"Nov 26, 2017",8460.13,9307.69,8455.68,9113.12,"58,568",-
"Nov 25, 2017",8058.18,8461.46,7839.51,8461.46,"152,458",-
"Nov 24, 2017",7785.33,8224.47,7458.09,8074.09,"969,138",-
"Nov 23, 2017",7997.38,8060.04,7790.14,7790.14,"54,615",-
"Nov 22, 2017",7945.55,8131.25,7905.39,7998.90,"349,488",-
"Nov 21, 2017",7959.86,8192.13,7597.21,7935.16,"924,072",-
"Nov 20, 2017",7934.75,8067.16,7822.64,7965.64,"562,109",-
"Nov 19, 2017",7539.86,7944.97,7528.95,7938.31,"426,469",-
"Nov 18, 2017",7452.08,7571.46,7190.36,7540.44,"163,811",-
"Nov 17, 2017",7564.72,7769.82,7302.63,7472.67,"638,622",-
"Nov 16, 2017",7157.35,7615.41,6960.25,7579.35,"245,890",-
"Nov 15, 2017",6360.75,7153.20,6360.75,7035.86,"233,491",-
"Nov 14, 2017",6375.08,6416.39,6060.52,6371.24,"175,639",-
"Nov 13, 2017",5747.92,6389.59,5568.24,6376.94,"520,789",-
"Nov 12, 2017",6180.97,6182.73,5305.89,5740.34,"1,284,430",-
"Nov 11, 2017",6332.64,6631.47,5923.58,6184.83,"1,169,710",-
"Nov 10, 2017",6950.50,7098.06,6304.37,6361.81,"1,332,860",-
"Nov 09, 2017",7342.38,7342.38,6839.26,6937.90,"1,240,440",-
"Nov 08, 2017",6131.99,7655.66,6108.52,7397.53,"30,059,300",-
"Nov 07, 2017",5957.30,6260.63,5935.66,6144.17,"936,328",-
"Nov 06, 2017",6365.50,6438.10,5947.29,5965.92,"273,762",-
"Nov 05, 2017",6371.43,6481.73,6218.21,6364.10,"1,908,070",-
"Nov 04, 2017",6028.25,6520.87,5928.71,6378.82,"4,474,570",-
"Nov 03, 2017",6050.50,6199.12,5885.88,6036.52,"1,283,390",-
"Nov 02, 2017",5679.52,6189.77,5652.28,6053.92,"1,190,260",-
"Nov 01, 2017",5408.46,5679.02,5377.33,5679.02,"851,248",-
"Oct 31, 2017",5263.77,5470.00,5212.73,5410.46,"690,199",-
"Oct 30, 2017",5195.25,5281.02,5124.40,5281.02,"417,216",-
"Oct 29, 2017",4861.30,5309.97,4847.48,5207.60,"289,116",-
"Oct 28, 2017",4868.26,4960.28,4863.12,4866.08,"86,318",-
