Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.029270,0.034774,0.026333,0.031335,"43,621",-
"Dec 15, 2017",0.023637,0.029894,0.022973,0.028663,"28,077",-
"Dec 14, 2017",0.019232,0.027440,0.018910,0.023606,"20,238",-
"Dec 13, 2017",0.027078,0.032939,0.022963,0.027244,"34,216",-
"Dec 12, 2017",0.031093,0.033913,0.021425,0.026525,"39,493",-
"Dec 11, 2017",0.037320,0.042099,0.028154,0.031148,"72,582",-
"Dec 10, 2017",0.037697,0.040168,0.031698,0.037427,"48,514",-
"Dec 09, 2017",0.036369,0.044517,0.032197,0.036503,"94,750",-
"Dec 08, 2017",0.021909,0.046622,0.018274,0.036289,"120,015",-
"Dec 07, 2017",0.040425,0.041608,0.018802,0.022102,"62,668",-
"Dec 06, 2017",0.041299,0.048219,0.033203,0.041013,"104,232",-
"Dec 05, 2017",0.063196,0.085734,0.037349,0.041500,"490,882",-
"Dec 04, 2017",0.013171,0.094353,0.010919,0.062003,"1,478,910",-
"Dec 03, 2017",0.009612,0.012816,0.009011,0.011580,"13,769",-
"Dec 02, 2017",0.010034,0.012858,0.009248,0.009604,"16,979",-
"Dec 01, 2017",0.006422,0.011049,0.005514,0.010042,"22,728",-
"Nov 30, 2017",0.006039,0.008237,0.005154,0.006453,"8,947",-
"Nov 29, 2017",0.006491,0.008345,0.004942,0.005968,"6,150",-
"Nov 28, 2017",0.008014,0.009260,0.006351,0.006506,"13,951",-
"Nov 27, 2017",0.007379,0.013192,0.007344,0.009023,"24,243",-
"Nov 26, 2017",0.012066,0.013997,0.007109,0.008014,"35,066",-
"Nov 25, 2017",0.019066,0.019527,0.010332,0.012069,"79,719",-
"Nov 24, 2017",0.009810,0.032667,0.009810,0.019100,"266,928",-
"Nov 23, 2017",0.001928,0.014019,0.001822,0.009830,"86,783",-
"Nov 22, 2017",0.001164,0.002035,0.001161,0.001926,"1,597",-
"Nov 21, 2017",0.001488,0.001999,0.001095,0.001162,905,-
"Nov 20, 2017",0.002015,0.002042,0.000773,0.001488,"1,177",-
"Nov 19, 2017",0.001926,0.002231,0.001500,0.002016,"1,187",-
"Nov 18, 2017",0.001569,0.002093,0.001292,0.001929,"1,034",-
"Nov 17, 2017",0.001246,0.001872,0.001164,0.001575,679,-
"Nov 16, 2017",0.001779,0.002035,0.001160,0.001250,"1,153",-
"Nov 15, 2017",0.001839,0.002231,0.001465,0.001828,"1,324",-
"Nov 14, 2017",0.001193,0.001861,0.001193,0.001837,"1,439",-
"Nov 13, 2017",0.000877,0.001445,0.000877,0.001191,"2,141",-
"Nov 12, 2017",0.001268,0.001278,0.000848,0.000876,790,-
"Nov 11, 2017",0.000952,0.001458,0.000711,0.001269,"1,064",-
"Nov 10, 2017",0.000789,0.001259,0.000684,0.000955,"2,003",-
"Nov 09, 2017",0.001309,0.001471,0.000784,0.000788,"1,834",-
"Nov 08, 2017",0.001472,0.001487,0.000977,0.001315,969,-
"Nov 07, 2017",0.001474,0.001647,0.001143,0.001473,"1,417",-
"Nov 06, 2017",0.000922,0.002352,0.000918,0.001474,"2,118",-
"Nov 05, 2017",0.001156,0.005010,0.000889,0.000921,"2,512",-
"Nov 04, 2017",0.001638,0.002365,0.001147,0.001155,"2,083",-
"Nov 03, 2017",0.002989,0.003035,0.001007,0.001638,"2,504",-
"Nov 02, 2017",0.005212,0.006616,0.002841,0.002974,789,-
"Nov 01, 2017",0.007363,0.008780,0.005198,0.005198,"5,225",-
"Oct 31, 2017",0.006243,0.009115,0.005101,0.007376,"9,296",-
"Oct 30, 2017",0.009205,0.012183,0.006134,0.006240,"31,685",-
"Oct 29, 2017",0.000864,0.010149,0.000864,0.009308,"31,039",-
