Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.007588,0.008833,0.006732,0.008763,184,"495,435"
"Dec 15, 2017",0.009123,0.009941,0.006392,0.007578,579,"595,660"
"Dec 14, 2017",0.008848,0.011737,0.008753,0.009110,72,"577,721"
"Dec 13, 2017",0.012093,0.012254,0.008293,0.008877,204,"789,573"
"Dec 12, 2017",0.014891,0.015095,0.010488,0.012083,142,"972,240"
"Dec 11, 2017",0.009911,0.014965,0.009286,0.014844,182,"647,065"
"Dec 10, 2017",0.010526,0.011016,0.007775,0.009983,664,"687,266"
"Dec 09, 2017",0.013201,0.013411,0.007991,0.010484,71,"861,921"
"Dec 08, 2017",0.012097,0.017583,0.008944,0.013210,169,"789,822"
"Dec 07, 2017",0.015934,0.017646,0.008408,0.012165,324,"1,040,320"
"Dec 06, 2017",0.009946,0.015961,0.009946,0.015961,129,"649,368"
"Dec 05, 2017",0.006994,0.013694,0.006943,0.009968,"2,021","456,627"
"Dec 04, 2017",0.008319,0.014191,0.006919,0.006980,"1,592","543,147"
"Dec 03, 2017",0.008089,0.008759,0.007835,0.008291,4,"528,165"
"Dec 02, 2017",0.008054,0.008284,0.007664,0.008082,34,"525,878"
"Dec 01, 2017",0.007095,0.008108,0.006717,0.008061,45,"463,243"
"Nov 30, 2017",0.006978,0.007591,0.006389,0.007130,19,"455,622"
"Nov 29, 2017",0.007049,0.008122,0.006456,0.006873,11,"460,224"
"Nov 28, 2017",0.005003,0.007086,0.004945,0.007056,68,"326,637"
"Nov 27, 2017",0.006988,0.007278,0.004806,0.005005,109,"456,268"
"Nov 26, 2017",0.007573,0.007813,0.006729,0.006987,3,"494,417"
"Nov 25, 2017",0.006617,0.016998,0.006580,0.007574,6,"431,997"
"Nov 24, 2017",0.007039,0.007270,0.005442,0.006630,68,"459,602"
"Nov 23, 2017",0.007919,0.008039,0.007071,0.007071,58,"517,051"
"Nov 22, 2017",0.007555,0.009269,0.005204,0.007962,124,"493,246"
"Nov 21, 2017",0.008424,0.008581,0.007429,0.007536,125,"550,027"
"Nov 20, 2017",0.011919,0.013607,0.008423,0.008423,371,"778,169"
"Nov 19, 2017",0.003440,0.021422,0.002225,0.011906,"2,220","224,582"
"Nov 18, 2017",0.008533,0.010540,0.004959,0.004961,221,"557,121"
"Nov 17, 2017",0.007603,0.008672,0.007603,0.008547,0,"496,399"
"Nov 16, 2017",0.010297,0.010297,0.006988,0.007636,15,"672,317"
"Nov 15, 2017",0.009587,0.010327,0.009580,0.010244,35,"625,938"
"Nov 14, 2017",0.009209,0.009477,0.009209,0.009291,6,"601,230"
"Nov 13, 2017",0.005864,0.009252,0.005819,0.009189,5,"382,878"
"Nov 12, 2017",0.006615,0.006615,0.005647,0.005856,149,"431,905"
"Nov 11, 2017",0.003008,0.010525,0.003008,0.006620,635,"196,413"
"Nov 10, 2017",0.003992,0.004107,0.002877,0.003022,2,"260,651"
"Nov 09, 2017",0.006035,0.006150,0.003967,0.003980,4,"394,025"
"Nov 08, 2017",0.008255,0.008401,0.005676,0.006169,3,"538,955"
"Nov 07, 2017",0.005909,0.008368,0.005909,0.008281,1,"385,812"
"Nov 06, 2017",0.007319,0.007342,0.005501,0.005925,12,"477,890"
"Nov 05, 2017",0.006639,0.007535,0.006549,0.007303,20,"433,434"
"Nov 04, 2017",0.006307,0.009096,0.003830,0.006651,601,"411,781"
"Nov 03, 2017",0.004855,0.006451,0.004763,0.006323,6,"317,013"
"Nov 02, 2017",0.004574,0.006644,0.004410,0.004858,65,"298,647"
"Nov 01, 2017",0.005658,0.006236,0.003768,0.004544,11,"369,405"
"Oct 31, 2017",0.000981,0.008002,0.000858,0.005763,2,"64,031"
"Oct 30, 2017",0.003879,0.006251,0.000976,0.000985,408,"253,253"
"Oct 29, 2017",0.005970,0.005973,0.003559,0.003902,4,"389,793"
"Oct 28, 2017",0.005629,0.006319,0.004104,0.005975,10,"367,494"
"Oct 27, 2017",0.002840,0.008438,0.002837,0.005624,72,"185,394"
"Oct 26, 2017",0.006761,0.007023,0.002828,0.002841,10,"441,446"
"Oct 25, 2017",0.005905,0.007123,0.005473,0.006762,21,"385,516"
"Oct 24, 2017",0.006325,0.007193,0.005814,0.005830,51,"412,981"
"Oct 23, 2017",0.006551,0.007267,0.005811,0.006380,19,"427,708"
"Oct 22, 2017",0.004089,0.006617,0.003940,0.006591,2,"266,994"
"Oct 21, 2017",0.003780,0.004211,0.003743,0.004088,1,"246,783"
"Oct 20, 2017",0.003378,0.003845,0.003187,0.003785,5,"220,524"
"Oct 19, 2017",0.003309,0.004838,0.002944,0.003379,16,"216,045"
"Oct 18, 2017",0.002974,0.003725,0.002344,0.003319,39,"194,178"
"Oct 17, 2017",0.007548,0.008430,0.001580,0.002974,"1,107","492,801"
"Oct 16, 2017",0.004207,0.025357,0.004207,0.007548,26,"274,660"
"Oct 15, 2017",0.004265,0.004265,0.003961,0.004205,11,"278,465"
"Oct 14, 2017",0.004534,0.004689,0.004479,0.004646,2,"296,014"
"Oct 13, 2017",0.004147,0.004628,0.004112,0.004533,16,"270,789"
"Oct 12, 2017",0.011981,0.012067,0.004555,0.004911,3,"782,250"
"Oct 11, 2017",0.006623,0.011997,0.006335,0.011971,129,"432,425"
"Oct 10, 2017",0.003451,0.007661,0.003395,0.006624,92,"225,287"
"Oct 09, 2017",0.004862,0.004900,0.003347,0.003450,57,"317,456"
"Oct 08, 2017",0.005106,0.007208,0.004630,0.004860,235,"333,383"
"Oct 07, 2017",0.006776,0.006923,0.003510,0.005110,27,"442,402"
"Oct 06, 2017",0.004090,0.006967,0.004081,0.006776,1,"267,008"
"Oct 05, 2017",0.005575,0.005601,0.003200,0.004090,127,"363,983"
"Oct 04, 2017",0.005620,0.006966,0.005554,0.005574,15,"366,928"
