Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.043117,0.066470,0.042757,0.062637,16,"9,133"
"Dec 15, 2017",0.038150,0.044243,0.035412,0.043288,4,"8,081"
"Dec 14, 2017",0.034070,0.039508,0.033840,0.038178,38,"7,217"
"Dec 13, 2017",0.033807,0.034778,0.032108,0.033811,2,"7,161"
"Dec 12, 2017",0.033567,0.035400,0.032811,0.033565,2,"7,110"
"Dec 11, 2017",0.035762,0.036415,0.033454,0.033739,2,"7,575"
"Dec 10, 2017",0.030595,0.037962,0.026826,0.031965,0,"6,481"
"Dec 09, 2017",0.031158,0.031861,0.028316,0.030548,0,"6,600"
"Dec 08, 2017",0.035075,0.038956,0.030048,0.031353,0,"7,430"
"Dec 07, 2017",0.013376,0.039480,0.013178,0.034958,11,"2,833"
"Dec 06, 2017",0.029472,0.031499,0.013303,0.013494,0,"6,243"
"Dec 05, 2017",0.024472,0.030729,0.024178,0.029782,8,"5,184"
"Dec 04, 2017",0.017337,0.025036,0.017321,0.024533,15,"3,672"
"Dec 03, 2017",0.020795,0.023004,0.016215,0.017493,4,"4,405"
"Dec 02, 2017",0.020873,0.021143,0.019672,0.020519,1,"4,422"
"Dec 01, 2017",0.019229,0.020896,0.018142,0.020626,0,"4,073"
"Nov 30, 2017",0.018012,0.020247,0.017274,0.019153,0,"3,815"
"Nov 29, 2017",0.016262,0.023138,0.014098,0.018113,0,"3,445"
"Nov 28, 2017",0.022777,0.023336,0.016026,0.016122,10,"4,825"
"Nov 27, 2017",0.022776,0.023763,0.022521,0.022779,2,"4,825"
"Nov 26, 2017",0.014236,0.014299,0.013333,0.013629,3,"3,016"
"Nov 25, 2017",0.023505,0.023505,0.013307,0.014198,3,"4,979"
"Nov 24, 2017",0.022605,0.026656,0.021856,0.023852,15,"4,788"
"Nov 23, 2017",0.022994,0.023800,0.021715,0.022621,0,"4,871"
"Nov 22, 2017",0.013059,0.023313,0.012556,0.022903,0,"2,766"
"Nov 21, 2017",0.022139,0.022139,0.012352,0.013046,12,"4,690"
"Nov 20, 2017",0.022550,0.022632,0.021607,0.021889,2,"4,777"
"Nov 19, 2017",0.019141,0.022740,0.018515,0.022246,0,"4,055"
"Nov 18, 2017",0.018517,0.019889,0.018356,0.019162,23,"3,922"
"Nov 16, 2017",0.012180,0.014649,0.011970,0.012925,0,"2,580"
"Nov 15, 2017",0.011964,0.012542,0.011743,0.012172,0,"2,534"
"Nov 14, 2017",0.011601,0.012219,0.011118,0.011963,5,"2,457"
"Nov 13, 2017",0.006136,0.011844,0.006087,0.011636,1,"1,300"
"Nov 12, 2017",0.022755,0.022755,0.005814,0.006076,4,"4,820"
"Nov 11, 2017",0.015694,0.022789,0.014307,0.022633,7,"3,324"
"Nov 10, 2017",0.017738,0.018589,0.014723,0.015644,11,"3,757"
"Nov 09, 2017",0.027624,0.032606,0.026637,0.032595,6,"5,852"
"Nov 08, 2017",0.026089,0.027675,0.024670,0.027465,5,"5,526"
"Nov 07, 2017",0.024876,0.025907,0.002908,0.025885,5,"5,269"
"Nov 06, 2017",0.023465,0.025935,0.023130,0.024944,50,"4,970"
"Nov 05, 2017",0.023666,0.025168,0.023050,0.023583,5,"5,013"
"Nov 04, 2017",0.023254,0.027065,0.022424,0.023476,6,"4,926"
"Nov 03, 2017",0.022421,0.023988,0.021846,0.023295,1,"4,749"
"Nov 02, 2017",0.015208,0.024293,0.012408,0.022635,0,"3,222"
"Nov 01, 2017",0.015887,0.016293,0.014628,0.015236,2,"3,365"
"Oct 31, 2017",0.027492,0.028498,0.015795,0.016031,12,"5,824"
"Oct 30, 2017",0.026453,0.027748,0.026453,0.027648,6,"5,604"
"Oct 29, 2017",0.026947,0.028674,0.026910,0.027689,0,"5,708"
"Oct 28, 2017",0.027729,0.028264,0.026418,0.026958,0,"5,874"
"Oct 27, 2017",0.027268,0.028306,0.026624,0.027509,0,"5,776"
"Oct 26, 2017",0.028887,0.029274,0.026568,0.027441,2,"6,119"
"Oct 25, 2017",0.019706,0.030177,0.019706,0.029310,0,"4,174"
"Oct 24, 2017",0.012697,0.021770,0.012049,0.019741,4,"2,690"
"Oct 23, 2017",0.019612,0.019915,0.005747,0.012618,1,"4,154"
"Oct 22, 2017",0.020715,0.021703,0.018585,0.019479,3,"4,388"
"Oct 21, 2017",0.021420,0.022172,0.020318,0.020772,1,"4,537"
"Oct 20, 2017",0.022243,0.022727,0.021007,0.021697,13,"4,712"
"Oct 19, 2017",0.022501,0.022970,0.021465,0.022250,10,"4,766"
"Oct 18, 2017",0.017184,0.025849,0.016364,0.022576,14,"3,640"
"Oct 17, 2017",0.027058,0.027509,0.017117,0.017117,2,"5,732"
"Oct 16, 2017",0.024230,0.027556,0.022763,0.027059,4,"5,133"
"Oct 15, 2017",0.025176,0.025176,0.023463,0.024015,30,"5,333"
"Oct 14, 2017",0.027118,0.027371,0.026347,0.027301,0,"5,744"
"Oct 13, 2017",0.028189,0.030717,0.025593,0.026772,0,"5,971"
"Oct 12, 2017",0.028268,0.030620,0.027501,0.028351,0,"5,988"
"Oct 11, 2017",0.027677,0.028762,0.027406,0.028092,0,"5,863"
"Oct 10, 2017",0.026637,0.028042,0.026043,0.027571,0,"5,642"
"Oct 09, 2017",0.023858,0.030285,0.023683,0.026673,2,"5,054"
"Oct 08, 2017",0.025373,0.025973,0.023791,0.023870,0,"5,375"
"Oct 07, 2017",0.030533,0.030920,0.024442,0.025396,2,"6,468"
"Oct 06, 2017",0.031892,0.034793,0.029609,0.030632,10,"6,756"
"Oct 05, 2017",0.026891,0.032317,0.025126,0.031909,3,"5,696"
"Oct 04, 2017",0.029398,0.029501,0.026752,0.027029,127,"6,227"
"Oct 03, 2017",0.028356,0.029422,0.026531,0.029313,7,"6,006"
"Oct 02, 2017",0.028593,0.030291,0.020428,0.028309,17,"6,057"
"Oct 01, 2017",0.029251,0.029540,0.028088,0.028691,6,"6,196"
"Sep 30, 2017",0.029406,0.033322,0.028531,0.029095,0,"6,229"
"Sep 29, 2017",0.028545,0.036081,0.026273,0.029548,38,"6,047"
"Sep 28, 2017",0.034792,0.035884,0.028181,0.028561,3,"7,370"
"Sep 27, 2017",0.029402,0.035336,0.028000,0.034851,0,"6,228"
"Sep 26, 2017",0.035186,0.036017,0.029072,0.029387,7,"7,453"
"Sep 25, 2017",0.024822,0.035951,0.024735,0.035186,1,"5,258"
"Sep 24, 2017",0.034652,0.034749,0.017340,0.024880,6,"7,340"
"Sep 23, 2017",0.033646,0.034981,0.032615,0.034610,4,"7,127"
"Sep 22, 2017",0.030690,0.034899,0.029915,0.033677,5,"6,501"
"Sep 21, 2017",0.046637,0.046637,0.030313,0.030651,4,"9,879"
"Sep 20, 2017",0.039675,0.047659,0.038875,0.046581,259,"8,404"
"Sep 19, 2017",0.046823,0.048371,0.039600,0.039781,40,"9,918"
"Sep 18, 2017",0.041143,0.047932,0.040991,0.046811,2,"8,715"
"Sep 17, 2017",0.041875,0.042666,0.038083,0.041169,6,"8,870"
"Sep 16, 2017",0.041639,0.046734,0.040025,0.041888,6,"8,820"
"Sep 15, 2017",0.035070,0.044798,0.030820,0.041190,3,"7,429"
"Sep 14, 2017",0.046769,0.048290,0.035186,0.035186,122,"9,907"
"Sep 13, 2017",0.058553,0.058672,0.044552,0.047032,5,"12,403"
