Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000354,0.000448,0.000190,0.000350,"23,066","2,471,360"
"Dec 15, 2017",0.000450,0.000519,0.000242,0.000354,"44,295","3,141,390"
"Dec 14, 2017",0.000455,0.000547,0.000332,0.000450,"16,364","3,173,750"
"Dec 13, 2017",0.000369,0.000665,0.000362,0.000456,"38,124","2,575,800"
"Dec 12, 2017",0.000440,0.000526,0.000350,0.000369,"18,681","3,071,440"
"Dec 11, 2017",0.000455,0.000502,0.000349,0.000439,"10,689","3,170,520"
"Dec 10, 2017",0.000422,0.000469,0.000288,0.000458,"25,451","2,946,860"
"Dec 09, 2017",0.000520,0.000652,0.000369,0.000421,"31,954","3,626,020"
"Dec 08, 2017",0.000457,0.000639,0.000192,0.000515,"119,952","2,364,200"
"Dec 07, 2017",0.000568,0.000676,0.000439,0.000548,"79,950","2,938,590"
"Dec 06, 2017",0.000588,0.000639,0.000437,0.000569,"62,988","3,041,120"
"Dec 05, 2017",0.000582,0.000597,0.000471,0.000589,"44,037","3,011,550"
"Dec 04, 2017",0.000563,0.000647,0.000458,0.000561,"61,346","2,913,210"
"Dec 03, 2017",0.000656,0.001274,0.000518,0.000561,"73,093","3,393,820"
"Dec 02, 2017",0.000542,0.000828,0.000542,0.000655,"85,688","2,803,240"
"Dec 01, 2017",0.000501,0.000543,0.000398,0.000542,"55,187","2,589,570"
"Nov 30, 2017",0.000443,0.000534,0.000393,0.000502,"27,429","2,293,810"
"Nov 29, 2017",0.000657,0.000753,0.000435,0.000437,"92,524","3,399,290"
"Nov 28, 2017",0.000739,0.000790,0.000590,0.000658,"39,488","3,820,600"
"Nov 27, 2017",0.000701,0.000775,0.000611,0.000737,"90,854","3,626,290"
"Nov 26, 2017",0.000593,0.000760,0.000526,0.000701,"90,659","3,065,830"
"Nov 25, 2017",0.000575,0.000640,0.000458,0.000593,"77,751","2,972,260"
"Nov 24, 2017",0.000443,0.000643,0.000395,0.000576,"60,880","2,289,980"
"Nov 23, 2017",0.000410,0.000453,0.000362,0.000443,"20,250","2,123,510"
"Nov 22, 2017",0.000430,0.000482,0.000378,0.000411,"29,149",-
"Nov 21, 2017",0.000409,0.000464,0.000319,0.000428,"31,954",-
"Nov 20, 2017",0.000322,0.000411,0.000320,0.000409,"17,412",-
"Nov 19, 2017",0.000353,0.000465,0.000323,0.000323,"47,953",-
"Nov 18, 2017",0.000383,0.000392,0.000269,0.000354,"43,222",-
"Nov 17, 2017",0.000321,0.000396,0.000245,0.000385,"23,031",-
"Nov 16, 2017",0.000364,0.000395,0.000289,0.000321,"37,187",-
"Nov 15, 2017",0.000266,0.000362,0.000266,0.000362,"24,657",-
"Nov 14, 2017",0.000305,0.000333,0.000263,0.000266,"6,863",-
"Nov 13, 2017",0.000266,0.000334,0.000237,0.000305,"12,485",-
"Nov 12, 2017",0.000318,0.000318,0.000221,0.000265,"4,891",-
"Nov 11, 2017",0.000329,0.000403,0.000249,0.000318,"16,797",-
"Nov 10, 2017",0.000356,0.000421,0.000290,0.000330,"29,243",-
"Nov 09, 2017",0.000299,0.000403,0.000215,0.000355,"58,577",-
"Nov 08, 2017",0.000240,0.000300,0.000213,0.000299,"12,078",-
"Nov 07, 2017",0.000309,0.000315,0.000212,0.000240,"9,104",-
"Nov 06, 2017",0.000276,0.000371,0.000243,0.000310,"10,018",-
"Nov 05, 2017",0.000317,0.000378,0.000292,0.000295,"19,172",-
"Nov 04, 2017",0.000287,0.000365,0.000258,0.000317,"10,137",-
