Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001383,0.001939,0.001130,0.001750,"6,506","217,995"
"Dec 15, 2017",0.001327,0.001442,0.001317,0.001381,679,"209,171"
"Dec 14, 2017",0.001298,0.001344,0.001280,0.001325,10,"204,673"
"Dec 13, 2017",0.001322,0.001493,0.001255,0.001303,"1,072","208,410"
"Dec 12, 2017",0.001369,0.001450,0.001070,0.001321,499,"215,237"
"Dec 11, 2017",0.000915,0.001401,0.000816,0.001365,965,"143,921"
"Dec 10, 2017",0.001078,0.001102,0.000821,0.000922,511,"169,491"
"Dec 09, 2017",0.001044,0.001093,0.000886,0.001076,36,"164,071"
"Dec 08, 2017",0.001128,0.001174,0.000958,0.001045,200,"177,360"
"Dec 07, 2017",0.001030,0.001318,0.001010,0.001126,439,"161,971"
"Dec 06, 2017",0.001051,0.001241,0.000871,0.001032,333,"165,204"
"Dec 05, 2017",0.000859,0.001063,0.000853,0.001053,"1,782","135,035"
"Dec 04, 2017",0.000675,0.000857,0.000659,0.000857,173,"106,168"
"Dec 03, 2017",0.000872,0.000936,0.000636,0.000673,461,"137,104"
"Dec 02, 2017",0.000903,0.000923,0.000645,0.000871,446,"141,952"
"Dec 01, 2017",0.000720,0.000904,0.000571,0.000904,5,"113,211"
"Nov 30, 2017",0.000744,0.000814,0.000551,0.000724,107,"117,052"
"Nov 29, 2017",0.000738,0.000870,0.000620,0.000733,105,"116,012"
"Nov 28, 2017",0.000681,0.000792,0.000639,0.000739,264,"107,097"
"Nov 27, 2017",0.000639,0.000774,0.000639,0.000679,269,"100,496"
"Nov 26, 2017",0.000695,0.000738,0.000605,0.000639,661,"109,345"
"Nov 25, 2017",0.000506,0.000742,0.000506,0.000696,383,"79,622"
"Nov 24, 2017",0.000542,0.000563,0.000505,0.000507,83,"85,206"
"Nov 23, 2017",0.000656,0.000659,0.000537,0.000543,76,"103,171"
"Nov 22, 2017",0.000622,0.000660,0.000547,0.000656,724,"97,859"
