Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000876,0.001137,0.000704,0.000803,"3,864","263,330"
"Dec 15, 2017",0.000736,0.001119,0.000681,0.000875,"3,987","219,938"
"Dec 14, 2017",0.000823,0.000874,0.000654,0.000736,"2,445","244,210"
"Dec 13, 2017",0.000874,0.001071,0.000638,0.000826,"4,934","257,576"
"Dec 12, 2017",0.000687,0.001042,0.000679,0.000873,"4,139","200,900"
"Dec 11, 2017",0.000658,0.000845,0.000655,0.000684,"2,546","190,342"
"Dec 10, 2017",0.000634,0.000937,0.000564,0.000767,"2,053","182,385"
"Dec 09, 2017",0.000687,0.000812,0.000581,0.000632,"2,959","196,502"
"Dec 08, 2017",0.000814,0.001038,0.000576,0.000687,"4,718","231,142"
"Dec 07, 2017",0.000716,0.000966,0.000634,0.000811,"2,733","202,111"
"Dec 06, 2017",0.000853,0.001013,0.000672,0.000717,"6,250","238,963"
"Dec 05, 2017",0.000725,0.001413,0.000616,0.000854,"15,502","201,791"
"Dec 04, 2017",0.000375,0.005195,0.000375,0.000934,"11,587","102,113"
"Dec 03, 2017",0.000441,0.000585,0.000354,0.000374,537,"117,459"
"Dec 02, 2017",0.000440,0.000641,0.000439,0.000441,834,"116,217"
"Dec 01, 2017",0.000582,0.000589,0.000318,0.000441,"1,361","151,375"
"Nov 30, 2017",0.000419,0.000614,0.000366,0.000585,"1,009","108,230"
"Nov 29, 2017",0.000596,0.000639,0.000416,0.000418,"1,411","152,732"
"Nov 28, 2017",0.000467,0.000671,0.000467,0.000596,"3,524","118,856"
"Nov 27, 2017",0.000549,0.000575,0.000456,0.000465,"1,101","138,379"
"Nov 26, 2017",0.000437,0.000549,0.000437,0.000548,934,"109,601"
"Nov 25, 2017",0.000410,0.000523,0.000408,0.000438,"1,397","101,945"
"Nov 24, 2017",0.000402,0.000473,0.000394,0.000411,"1,846","99,224"
"Nov 23, 2017",0.000374,0.000695,0.000359,0.000402,"3,623","90,614"
"Nov 22, 2017",0.000418,0.000476,0.000366,0.000421,"1,722","100,040"
"Nov 21, 2017",0.000491,0.000492,0.000334,0.000417,"2,115","117,420"
"Nov 20, 2017",0.000483,0.000546,0.000448,0.000491,960,"114,853"
"Nov 19, 2017",0.000605,0.000663,0.000455,0.000483,"2,121","143,182"
"Nov 18, 2017",0.000508,0.000883,0.000452,0.000607,"5,075","119,593"
"Nov 17, 2017",0.000511,0.000667,0.000467,0.000510,"3,070","119,594"
"Nov 16, 2017",0.000572,0.000597,0.000444,0.000512,"1,577","132,730"
"Nov 15, 2017",0.000463,0.000595,0.000427,0.000569,"1,454","106,619"
"Nov 14, 2017",0.000446,0.000523,0.000395,0.000463,"1,848","101,883"
"Nov 13, 2017",0.000410,0.000539,0.000406,0.000445,867,"92,923"
"Nov 12, 2017",0.000458,0.000543,0.000352,0.000409,"2,277","103,175"
"Nov 11, 2017",0.000483,0.000592,0.000432,0.000505,"2,285","108,469"
"Nov 10, 2017",0.000679,0.000790,0.000485,0.000485,"3,989","151,047"
"Nov 09, 2017",0.000685,0.000801,0.000653,0.000677,"5,024","150,899"
"Nov 08, 2017",0.000583,0.000899,0.000470,0.000685,"12,155","127,379"
"Nov 07, 2017",0.000243,0.000848,0.000243,0.000585,"7,149","52,425"
"Nov 06, 2017",0.000291,0.000330,0.000239,0.000243,"1,127","62,313"
"Nov 05, 2017",0.000279,0.000335,0.000182,0.000291,691,"59,498"
"Nov 04, 2017",0.000251,0.000306,0.000220,0.000279,867,"38,780"
"Nov 03, 2017",0.000186,0.000353,0.000159,0.000252,807,"26,799"
"Nov 02, 2017",0.000269,0.000333,0.000159,0.000186,"1,237","38,775"
"Nov 01, 2017",0.000287,0.000381,0.000258,0.000327,"1,264","41,376"
"Oct 31, 2017",0.000346,0.000374,0.000244,0.000287,"1,001","49,845"
"Oct 30, 2017",0.000223,0.000400,0.000181,0.000347,"2,587","32,089"
"Oct 29, 2017",0.000236,0.000267,0.000186,0.000224,685,"34,038"
"Oct 28, 2017",0.000180,0.000243,0.000170,0.000237,511,"25,939"
"Oct 27, 2017",0.000277,0.000285,0.000174,0.000180,128,"39,887"
"Oct 26, 2017",0.000214,0.000301,0.000214,0.000277,567,"30,878"
"Oct 25, 2017",0.000209,0.000256,0.000168,0.000214,745,"30,093"
"Oct 24, 2017",0.000251,0.000255,0.000207,0.000209,769,"36,218"
"Oct 23, 2017",0.000299,0.000313,0.000247,0.000252,586,"43,063"
"Oct 22, 2017",0.000343,0.000398,0.000275,0.000299,610,"49,419"
"Oct 21, 2017",0.000348,0.000348,0.000274,0.000343,896,"50,181"
"Oct 20, 2017",0.000287,0.000375,0.000283,0.000349,"1,206","41,353"
"Oct 19, 2017",0.000278,0.000373,0.000276,0.000287,709,"40,092"
"Oct 18, 2017",0.000314,0.000342,0.000268,0.000278,615,"45,301"
"Oct 17, 2017",0.000345,0.000386,0.000298,0.000314,778,"49,726"
"Oct 16, 2017",0.000398,0.000402,0.000297,0.000345,"1,294","57,326"
"Oct 15, 2017",0.000385,0.000493,0.000369,0.000398,"1,164","55,483"
"Oct 14, 2017",0.000376,0.000491,0.000335,0.000384,"2,119","54,095"
"Oct 13, 2017",0.000384,0.000459,0.000297,0.000375,"2,250","55,348"
"Oct 12, 2017",0.000441,0.000446,0.000293,0.000383,"2,570","63,475"
"Oct 11, 2017",0.000370,0.000440,0.000368,0.000440,756,"53,350"
"Oct 10, 2017",0.000397,0.000457,0.000341,0.000370,"1,004","57,244"
"Oct 09, 2017",0.000460,0.000503,0.000398,0.000398,"1,307","66,251"
"Oct 08, 2017",0.000538,0.000553,0.000456,0.000460,"4,301","77,446"
"Oct 07, 2017",0.000535,0.000571,0.000473,0.000539,"3,115","77,034"
"Oct 06, 2017",0.000569,0.000612,0.000510,0.000534,"1,674","82,015"
"Oct 05, 2017",0.000599,0.000677,0.000547,0.000590,"1,792","86,282"
"Oct 04, 2017",0.000549,0.000748,0.000520,0.000598,"1,945","79,071"
"Oct 03, 2017",0.000612,0.000632,0.000540,0.000548,"1,452","88,156"
"Oct 02, 2017",0.000608,0.000687,0.000570,0.000612,"2,136","87,642"
"Oct 01, 2017",0.000527,0.000790,0.000527,0.000609,"2,875","75,855"
"Sep 30, 2017",0.000564,0.000662,0.000522,0.000526,"1,869","81,249"
"Sep 29, 2017",0.000648,0.000663,0.000497,0.000566,"2,400","93,306"
"Sep 28, 2017",0.000520,0.001075,0.000431,0.000636,"7,789","74,932"
"Sep 27, 2017",0.000451,0.000549,0.000446,0.000520,"2,378","64,953"
"Sep 26, 2017",0.000480,0.000483,0.000419,0.000452,"1,735","69,182"
"Sep 25, 2017",0.000434,0.000619,0.000380,0.000480,"2,251","62,543"
"Sep 24, 2017",0.000386,0.000469,0.000374,0.000435,"1,865","55,662"
"Sep 23, 2017",0.000375,0.000490,0.000372,0.000413,"1,036","54,038"
"Sep 22, 2017",0.000362,0.000451,0.000362,0.000376,"1,612","52,121"
"Sep 21, 2017",0.000420,0.000589,0.000363,0.000432,"2,539","60,449"
"Sep 20, 2017",0.000433,0.000529,0.000385,0.000422,"2,895","62,308"
"Sep 19, 2017",0.000447,0.000522,0.000400,0.000433,"2,646","64,355"
"Sep 18, 2017",0.000516,0.000602,0.000433,0.000482,"2,030","74,290"
"Sep 17, 2017",0.000485,0.000580,0.000422,0.000517,"2,064","69,657"
"Sep 16, 2017",0.000633,0.000681,0.000365,0.000480,"4,493","89,621"
"Sep 15, 2017",0.000600,0.000712,0.000533,0.000597,"4,431","84,174"
"Sep 14, 2017",0.000807,0.000846,0.000524,0.000595,"5,895","112,000"
"Sep 13, 2017",0.000972,0.001011,0.000710,0.000807,"8,617","133,016"
"Sep 12, 2017",0.001010,0.001155,0.000957,0.000972,"6,290","136,186"
"Sep 11, 2017",0.001222,0.001258,0.000958,0.001010,"10,183","162,278"
"Sep 10, 2017",0.001078,0.001236,0.000888,0.001193,"5,892","141,081"
"Sep 09, 2017",0.001255,0.001257,0.000892,0.001063,"11,496","161,587"
"Sep 08, 2017",0.001374,0.001454,0.001080,0.001252,"10,284","174,190"
"Sep 07, 2017",0.001724,0.001733,0.000995,0.001374,"32,002","215,151"
"Sep 06, 2017",0.001403,0.001727,0.001201,0.001727,"29,856","172,289"
"Sep 05, 2017",0.001396,0.001723,0.001313,0.001401,"8,183","168,498"
"Sep 04, 2017",0.001823,0.001991,0.001423,0.001443,"18,214","216,463"
"Sep 03, 2017",0.002068,0.002327,0.001763,0.001823,"16,188","241,347"
"Sep 02, 2017",0.002007,0.002602,0.001926,0.002023,"16,497","229,784"
"Sep 01, 2017",0.002927,0.003093,0.002038,0.002042,"31,111","329,230"
"Aug 31, 2017",0.002848,0.003381,0.002064,0.002953,"43,918","314,787"
