Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.017680,0.033168,0.016097,0.023993,"305,660",-
"Dec 15, 2017",0.015339,0.019640,0.014775,0.017653,"105,891",-
"Dec 14, 2017",0.016297,0.017490,0.013568,0.015352,"81,410",-
"Dec 13, 2017",0.017909,0.019051,0.015077,0.016336,"77,960",-
"Dec 12, 2017",0.018517,0.019946,0.015887,0.019071,"251,648",-
"Dec 11, 2017",0.017044,0.020590,0.016765,0.018527,"133,586",-
"Dec 10, 2017",0.021667,0.022167,0.017553,0.017553,"169,788",-
"Dec 09, 2017",0.024275,0.027820,0.018263,0.022742,"132,350",-
"Dec 08, 2017",0.024253,0.027915,0.017708,0.024294,"161,766",-
"Dec 07, 2017",0.032026,0.036362,0.017077,0.024200,"405,281",-
"Dec 06, 2017",0.035224,0.042008,0.029617,0.033150,"887,638",-
