Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000167,0.000168,0.000060,0.000064,428,"2,562,920"
"Dec 15, 2017",0.000107,0.000175,0.000084,0.000166,201,"1,651,410"
"Dec 14, 2017",0.000112,0.000136,0.000073,0.000106,100,"1,721,600"
"Dec 13, 2017",0.000118,0.000156,0.000048,0.000112,773,"1,817,110"
"Dec 12, 2017",0.000043,0.000122,0.000039,0.000118,637,"654,724"
"Dec 11, 2017",0.000041,0.000071,0.000031,0.000042,160,"638,624"
"Dec 10, 2017",0.000080,0.000086,0.000037,0.000042,28,"1,228,100"
"Dec 09, 2017",0.000047,0.000108,0.000047,0.000079,178,"718,961"
"Dec 08, 2017",0.000052,0.000057,0.000042,0.000047,437,"806,658"
"Dec 07, 2017",0.000098,0.000114,0.000039,0.000052,505,"1,505,180"
"Dec 06, 2017",0.000072,0.000102,0.000050,0.000098,242,"1,103,080"
"Dec 05, 2017",0.000083,0.000113,0.000071,0.000072,"1,521","1,273,000"
"Dec 04, 2017",0.000083,0.000092,0.000071,0.000082,845,"1,273,690"
"Dec 03, 2017",0.000099,0.000104,0.000060,0.000083,"1,515","1,522,220"
"Dec 02, 2017",0.000052,0.000100,0.000040,0.000099,358,"798,563"
"Dec 01, 2017",0.000035,0.000057,0.000035,0.000052,18,"544,320"
"Nov 30, 2017",0.000035,0.000049,0.000034,0.000035,29,"531,296"
"Nov 29, 2017",0.000048,0.000048,0.000024,0.000034,505,"737,406"
"Nov 28, 2017",0.000034,0.000066,0.000033,0.000048,575,"517,366"
"Nov 27, 2017",0.000049,0.000062,0.000033,0.000034,"3,049","750,070"
"Nov 26, 2017",0.000051,0.000074,0.000033,0.000049,190,"792,215"
"Nov 25, 2017",0.000084,0.000086,0.000033,0.000051,"2,057","1,293,280"
"Nov 24, 2017",0.000080,0.000117,0.000051,0.000084,"1,174","1,226,210"
"Nov 23, 2017",0.000070,0.000080,0.000068,0.000080,38,"1,077,760"
"Nov 22, 2017",0.000087,0.000099,0.000070,0.000070,16,"1,332,790"
"Nov 21, 2017",0.000056,0.000095,0.000056,0.000087,59,"860,876"
"Nov 20, 2017",0.000064,0.000070,0.000037,0.000056,297,"989,696"
"Nov 19, 2017",0.000078,0.000126,0.000035,0.000064,542,"1,194,000"
"Nov 18, 2017",0.000090,0.000098,0.000035,0.000077,254,"1,381,340"
"Nov 17, 2017",0.000221,0.000222,0.000053,0.000090,"2,001","3,395,470"
"Nov 16, 2017",0.000059,0.001515,0.000013,0.000220,"1,937","900,623"
"Nov 15, 2017",0.000029,0.000067,0.000029,0.000058,46,"446,869"
"Nov 14, 2017",0.000046,0.000047,0.000013,0.000029,5,"702,089"
"Nov 13, 2017",0.000020,0.000046,0.000020,0.000046,20,"308,563"
"Nov 12, 2017",0.000045,0.000046,0.000019,0.000020,5,"688,463"
"Nov 11, 2017",0.000040,0.000054,0.000037,0.000045,13,"613,133"
"Nov 10, 2017",0.000017,0.000042,0.000014,0.000040,31,"263,102"
"Nov 09, 2017",0.000036,0.000047,0.000017,0.000017,259,"558,666"
"Nov 08, 2017",0.000067,0.000077,0.000036,0.000036,4,"1,031,630"
"Nov 07, 2017",0.000024,0.000067,0.000011,0.000067,26,"370,155"
"Nov 06, 2017",0.000014,0.000087,0.000005,0.000024,6,"216,172"
