Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.065415,0.077473,0.054300,0.065969,"14,668","4,832,720"
"Dec 15, 2017",0.054695,0.072999,0.052606,0.065323,"15,316","4,040,760"
"Dec 14, 2017",0.065849,0.071518,0.051140,0.054609,"18,124","4,864,790"
"Dec 13, 2017",0.081441,0.119015,0.061848,0.065716,"12,647","6,016,690"
"Dec 12, 2017",0.065764,0.084725,0.053229,0.081373,"9,688","4,858,500"
"Dec 11, 2017",0.052112,0.214888,0.052112,0.065554,"15,230","3,849,920"
"Dec 10, 2017",0.048266,0.055308,0.039060,0.052422,"5,592","3,565,780"
"Dec 09, 2017",0.051165,0.057480,0.045341,0.048071,"6,714","3,779,970"
"Dec 08, 2017",0.071486,0.073862,0.051256,0.057497,"9,604","5,281,210"
"Dec 07, 2017",0.056154,0.078908,0.054553,0.071335,"10,750","4,148,550"
"Dec 06, 2017",0.059999,0.068779,0.054776,0.056259,"14,133","4,432,580"
"Dec 05, 2017",0.068766,0.069002,0.056896,0.060152,"17,456","5,080,260"
"Dec 04, 2017",0.067565,0.070965,0.054773,0.068660,"14,122","4,991,560"
"Dec 03, 2017",0.071808,0.084116,0.063973,0.067342,"12,725","5,305,030"
"Dec 02, 2017",0.085384,0.088757,0.070674,0.071947,"11,475","6,307,990"
"Dec 01, 2017",0.080904,0.098575,0.075636,0.087299,"28,680","5,977,050"
"Nov 30, 2017",0.092922,0.103139,0.070901,0.081423,"30,234","6,864,850"
"Nov 29, 2017",0.116039,0.135230,0.088679,0.091527,"43,406","8,572,710"
"Nov 28, 2017",0.083309,0.125621,0.061989,0.116026,"79,380","6,154,680"
"Nov 27, 2017",0.104935,0.111048,0.049264,0.074902,"52,111","7,752,360"
"Nov 26, 2017",0.128532,0.128532,0.093334,0.105048,"42,158","9,495,710"
"Nov 25, 2017",0.110225,0.137096,0.109695,0.121154,"52,276","8,143,210"
"Nov 24, 2017",0.108258,0.119393,0.105737,0.110448,"19,677","7,997,880"
"Nov 23, 2017",0.117147,0.127162,0.108170,0.108406,"25,895","8,650,260"
"Nov 22, 2017",0.117564,0.120460,0.105820,0.117530,"33,052","8,676,250"
"Nov 21, 2017",0.128663,0.134780,0.108649,0.117279,"42,813","9,488,690"
"Nov 20, 2017",0.137868,0.140258,0.125431,0.128919,"56,846","10,160,200"
"Nov 19, 2017",0.136931,0.141636,0.131716,0.137933,"29,138","10,084,200"
"Nov 18, 2017",0.121133,0.142478,0.118275,0.135259,"60,770","8,914,610"
"Nov 17, 2017",0.132057,0.136725,0.107547,0.123250,"43,017","9,710,530"
"Nov 16, 2017",0.122663,0.138111,0.114773,0.134991,"57,682","9,013,360"
"Nov 15, 2017",0.110579,0.130372,0.110579,0.121699,"36,662","8,120,660"
"Nov 14, 2017",0.108715,0.115999,0.105023,0.110504,"23,309","7,978,490"
"Nov 13, 2017",0.102396,0.119809,0.099632,0.109941,"31,695","7,508,670"
"Nov 12, 2017",0.115729,0.120920,0.096560,0.099932,"20,005","8,482,360"
"Nov 11, 2017",0.127390,0.136135,0.113463,0.117138,"49,197","9,330,280"
"Nov 10, 2017",0.131598,0.139432,0.124709,0.127844,"39,444","9,630,750"
"Nov 09, 2017",0.151289,0.157056,0.130882,0.131156,"31,386","11,064,700"
"Nov 08, 2017",0.158064,0.162862,0.139573,0.151445,"60,398","11,552,100"
"Nov 07, 2017",0.160469,0.173034,0.150437,0.158562,"86,790","11,718,100"
"Nov 06, 2017",0.155786,0.178933,0.151160,0.156995,"131,414","11,367,300"
"Nov 05, 2017",0.154402,0.157017,0.130688,0.155386,"84,838","11,259,300"
"Nov 04, 2017",0.149727,0.154153,0.140507,0.154102,"70,676","10,909,800"
"Nov 03, 2017",0.141085,0.159434,0.139531,0.150126,"97,798","10,273,200"
"Nov 02, 2017",0.127482,0.152884,0.114710,0.141142,"110,841","9,276,220"
"Nov 01, 2017",0.097648,0.127537,0.096813,0.127341,"93,506","7,100,650"
"Oct 31, 2017",0.098574,0.107473,0.075345,0.097719,"62,665","7,162,250"
"Oct 30, 2017",0.106858,0.109341,0.094997,0.099886,"44,531","7,758,020"
"Oct 29, 2017",0.102933,0.111408,0.099699,0.107482,"32,289","7,466,970"
"Oct 28, 2017",0.105772,0.110457,0.101544,0.103047,"24,829","7,666,690"
"Oct 27, 2017",0.108555,0.111497,0.103202,0.105485,"41,081","7,862,440"
"Oct 26, 2017",0.107571,0.112880,0.102170,0.108483,"34,293","7,786,530"
"Oct 25, 2017",0.099913,0.109623,0.093637,0.107584,"48,997","7,229,210"
"Oct 24, 2017",0.099113,0.101086,0.091075,0.099798,"29,722","7,168,560"
"Oct 23, 2017",0.103943,0.104720,0.089602,0.099332,"24,360","7,513,940"
"Oct 22, 2017",0.105717,0.108064,0.099087,0.104250,"22,494","7,638,440"
"Oct 21, 2017",0.106711,0.120840,0.098639,0.105680,"36,047","7,707,320"
"Oct 20, 2017",0.112743,0.122375,0.100890,0.108624,"51,729","8,139,440"
"Oct 19, 2017",0.109576,0.117321,0.107379,0.112712,"27,227","7,907,290"
