Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.350695,0.416750,0.335068,0.413953,"26,967","4,990,280"
"Dec 15, 2017",0.382134,0.426757,0.319913,0.350209,"31,775","5,434,570"
"Dec 14, 2017",0.416489,0.418769,0.366132,0.381668,"17,643","5,919,760"
"Dec 13, 2017",0.429768,0.440985,0.389215,0.406660,"36,434","6,105,140"
"Dec 12, 2017",0.416735,0.470348,0.387779,0.429400,"47,403","5,916,750"
"Dec 11, 2017",0.406828,0.467388,0.380921,0.415475,"50,807","5,772,840"
"Dec 10, 2017",0.361820,0.419018,0.304707,0.409894,"83,190","5,131,360"
"Dec 09, 2017",0.441633,0.496785,0.362014,0.363429,"44,687","6,259,870"
"Dec 08, 2017",0.438345,0.489467,0.366340,0.441767,"47,780","6,209,750"
"Dec 07, 2017",0.451668,0.480161,0.343447,0.437327,"46,399","6,394,940"
"Dec 06, 2017",0.512946,0.515404,0.427277,0.452427,"61,075","7,258,630"
"Dec 05, 2017",0.360669,0.573026,0.350398,0.514311,"153,402","5,100,980"
"Dec 04, 2017",0.327668,0.376536,0.324849,0.351926,"31,818","4,631,490"
"Dec 03, 2017",0.305881,0.352556,0.297582,0.326598,"23,239","4,321,140"
"Dec 02, 2017",0.296542,0.338734,0.292245,0.305589,"36,374","4,186,890"
"Dec 01, 2017",0.302889,0.339381,0.273667,0.298100,"25,783","4,274,080"
"Nov 30, 2017",0.288151,0.326628,0.245495,0.304399,"17,509","4,063,760"
"Nov 29, 2017",0.260703,0.358969,0.218358,0.283803,"32,548","3,674,610"
"Nov 28, 2017",0.296468,0.352288,0.257098,0.260551,"16,325","4,176,240"
"Nov 27, 2017",0.384422,0.386476,0.261316,0.323230,"54,059","5,412,270"
"Nov 26, 2017",0.358358,0.393769,0.329371,0.384361,"35,431","5,042,340"
"Nov 25, 2017",0.291529,0.358493,0.289530,0.358493,"38,751","4,099,610"
"Nov 24, 2017",0.311297,0.347993,0.274897,0.292096,"18,323","4,375,070"
"Nov 23, 2017",0.330828,0.338820,0.287316,0.311731,"17,292","4,646,910"
"Nov 22, 2017",0.334036,0.387818,0.287600,0.330978,"49,360","4,689,280"
"Nov 21, 2017",0.392250,0.400229,0.320168,0.333252,"34,834","5,503,280"
"Nov 20, 2017",0.385678,0.405008,0.362641,0.392178,"31,553","5,407,800"
"Nov 19, 2017",0.369807,0.436335,0.350993,0.385879,"41,734","5,182,300"
"Nov 18, 2017",0.488063,0.488063,0.340429,0.369751,"58,620","7,826,110"
"Nov 17, 2017",0.347265,0.542535,0.318694,0.443023,"172,740","5,565,530"
"Nov 16, 2017",0.255122,0.406592,0.239452,0.363458,"75,318","4,086,590"
"Nov 15, 2017",0.284378,0.297327,0.205896,0.253830,"39,175","4,552,950"
"Nov 14, 2017",0.180238,0.324371,0.172071,0.290969,"95,319","2,884,200"
"Nov 13, 2017",0.158775,0.197074,0.152547,0.179548,"24,503","2,539,470"
"Nov 12, 2017",0.148540,0.171662,0.121732,0.160355,"13,843","2,374,560"
"Nov 11, 2017",0.135921,0.150619,0.128016,0.148648,"4,979","2,171,720"
"Nov 10, 2017",0.143056,0.149101,0.129634,0.136406,"5,581","2,284,560"
"Nov 09, 2017",0.136253,0.156018,0.128621,0.140817,"6,313","2,174,860"
"Nov 08, 2017",0.119005,0.155359,0.118303,0.136394,"9,581","1,898,600"
"Nov 07, 2017",0.118691,0.127016,0.115680,0.119383,"5,148","1,892,650"
"Nov 06, 2017",0.118302,0.134270,0.114985,0.119566,"5,162","1,885,500"
"Nov 05, 2017",0.140013,0.147556,0.115938,0.117511,"8,663","2,230,410"
"Nov 04, 2017",0.137835,0.143353,0.122118,0.140237,"4,696","2,194,620"
"Nov 03, 2017",0.126405,0.152243,0.121179,0.138121,"7,076","2,011,590"
"Nov 02, 2017",0.143607,0.144972,0.119926,0.126453,"12,476","2,284,150"
"Nov 01, 2017",0.147187,0.149541,0.131650,0.137264,"7,262","2,339,920"
"Oct 31, 2017",0.142482,0.154506,0.135157,0.147313,"7,884","2,264,000"
