Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001059,0.001106,0.001005,0.001058,48,"53,024"
"Dec 15, 2017",0.001262,0.001425,0.001046,0.001057,53,"63,081"
"Dec 14, 2017",0.001310,0.001365,0.001295,0.001329,17,"65,214"
"Dec 13, 2017",0.001378,0.001396,0.001275,0.001314,49,"68,442"
"Dec 12, 2017",0.000694,0.001410,0.000631,0.001376,52,"34,474"
"Dec 11, 2017",0.001187,0.001320,0.001180,0.001319,9,"58,705"
"Dec 10, 2017",0.001430,0.001565,0.001151,0.001194,8,"70,654"
"Dec 08, 2017",0.002430,0.002466,0.001971,0.002208,16,"119,454"
"Dec 07, 2017",0.001923,0.002424,0.001898,0.002424,17,"94,248"
"Dec 06, 2017",0.001989,0.002129,0.001814,0.001926,96,"97,203"
"Dec 05, 2017",0.001982,0.002136,0.001967,0.001994,59,"96,552"
"Dec 04, 2017",0.001927,0.001988,0.001851,0.001978,12,"93,693"
"Dec 03, 2017",0.000765,0.002588,0.000765,0.001921,673,"37,065"
"Dec 02, 2017",0.000655,0.000766,0.000645,0.000764,33,"31,696"
"Dec 01, 2017",0.000491,0.000536,0.000465,0.000528,11,"23,647"
"Nov 30, 2017",0.000491,0.000535,0.000362,0.000493,23,"23,626"
"Nov 29, 2017",0.000496,0.000571,0.000455,0.000484,48,"23,773"
"Nov 28, 2017",0.000483,0.000498,0.000477,0.000496,41,"23,066"
"Nov 27, 2017",0.000466,0.000486,0.000466,0.000481,23,"22,213"
"Nov 26, 2017",0.000437,0.000476,0.000437,0.000466,28,"20,798"
"Nov 25, 2017",0.000493,0.000524,0.000433,0.000437,35,"23,369"
"Nov 24, 2017",0.000482,0.000500,0.000473,0.000494,25,"22,817"
"Nov 23, 2017",0.000411,0.000493,0.000405,0.000483,32,"19,405"
"Nov 22, 2017",0.000399,0.000413,0.000399,0.000411,41,"18,789"
"Nov 21, 2017",0.000334,0.000411,0.000316,0.000399,24,"15,670"
"Nov 20, 2017",0.000330,0.000336,0.000326,0.000334,9,"15,454"
"Nov 19, 2017",0.000348,0.000359,0.000321,0.000330,10,"16,252"
"Nov 18, 2017",0.000393,0.000398,0.000343,0.000349,0,"18,289"
"Nov 17, 2017",0.000392,0.000536,0.000376,0.000394,4,"18,207"
"Nov 16, 2017",0.000365,0.000400,0.000357,0.000393,47,"16,901"
"Nov 15, 2017",0.000331,0.000434,0.000331,0.000363,22,"15,261"
"Nov 14, 2017",0.000392,0.000403,0.000328,0.000330,26,"18,030"
"Nov 13, 2017",0.000294,0.000399,0.000291,0.000391,46,"13,477"
"Nov 12, 2017",0.000318,0.000321,0.000277,0.000293,12,"14,562"
"Nov 11, 2017",0.000329,0.000341,0.000312,0.000318,13,"15,010"
"Nov 10, 2017",0.000322,0.000347,0.000322,0.000330,33,"14,646"
"Nov 09, 2017",0.000314,0.000335,0.000309,0.000322,0,"14,236"
"Nov 08, 2017",0.000304,0.000322,0.000303,0.000314,0,"13,768"
"Nov 07, 2017",0.000209,0.000306,0.000209,0.000306,0,"9,429"
"Nov 06, 2017",0.000296,0.000445,0.000208,0.000209,49,"13,315"
"Nov 05, 2017",0.000369,0.000449,0.000292,0.000295,44,"16,563"
"Nov 04, 2017",0.000358,0.000376,0.000350,0.000370,22,"16,040"
"Nov 03, 2017",0.000478,0.000639,0.000355,0.000359,288,"21,354"
"Nov 02, 2017",0.000532,0.000803,0.000472,0.000479,165,"23,681"
"Nov 01, 2017",0.000387,0.000588,0.000383,0.000531,105,"17,182"
"Oct 31, 2017",0.000314,0.000387,0.000312,0.000387,29,"13,892"
"Oct 30, 2017",0.000493,0.000497,0.000313,0.000315,161,"21,750"
"Oct 29, 2017",0.000480,0.000663,0.000477,0.000495,43,"21,119"
"Oct 28, 2017",0.000519,0.000681,0.000477,0.000480,52,"22,775"
"Oct 27, 2017",0.000589,0.000718,0.000513,0.000517,57,"25,775"
"Oct 26, 2017",0.000573,0.000818,0.000570,0.000589,53,"25,032"
"Oct 25, 2017",0.000607,0.000664,0.000545,0.000573,92,"26,425"
"Oct 24, 2017",0.000645,0.000680,0.000603,0.000607,33,"27,984"
"Oct 23, 2017",0.000598,0.000667,0.000593,0.000646,47,"25,873"
"Oct 22, 2017",0.000601,0.000785,0.000575,0.000599,48,"25,952"
"Oct 21, 2017",0.000473,0.000681,0.000472,0.000601,72,"20,357"
"Oct 20, 2017",0.000456,0.000502,0.000449,0.000474,786,"19,560"
"Oct 19, 2017",0.000486,0.000523,0.000446,0.000455,720,"20,805"
"Oct 18, 2017",0.000512,0.000547,0.000452,0.000487,"1,615","21,824"
"Oct 17, 2017",0.000577,0.000594,0.000497,0.000512,"1,337","24,513"
"Oct 16, 2017",0.000561,0.000624,0.000533,0.000577,895,"23,762"
"Oct 15, 2017",0.000593,0.000608,0.000519,0.000561,"1,643","25,057"
"Oct 14, 2017",0.000608,0.000656,0.000504,0.000593,"1,592","25,601"
"Oct 13, 2017",0.000573,0.000635,0.000555,0.000607,903,"24,094"
"Oct 12, 2017",0.000844,0.000848,0.000573,0.000573,"2,819","35,341"
"Oct 11, 2017",0.000869,0.000904,0.000819,0.000819,548,"36,285"
"Oct 10, 2017",0.000860,0.000886,0.000822,0.000867,758,"35,818"
"Oct 09, 2017",0.000764,0.000885,0.000743,0.000860,415,"31,697"
"Oct 08, 2017",0.000875,0.000905,0.000727,0.000756,110,"36,210"
"Oct 07, 2017",0.000928,0.000935,0.000843,0.000876,554,"38,290"
"Oct 06, 2017",0.000926,0.000953,0.000873,0.000875,888,"38,104"
"Oct 05, 2017",0.000953,0.000977,0.000909,0.000923,419,"39,097"
"Oct 04, 2017",0.000915,0.000984,0.000904,0.000954,836,"37,406"
"Oct 03, 2017",0.000956,0.001012,0.000913,0.000916,"1,509","38,975"
"Oct 02, 2017",0.000944,0.001015,0.000925,0.000957,"2,251","38,377"
"Oct 01, 2017",0.000976,0.000996,0.000888,0.000946,360,"39,523"
"Sep 30, 2017",0.000929,0.001001,0.000896,0.000976,"1,660","37,509"
"Sep 29, 2017",0.001032,0.001055,0.000903,0.000930,651,"41,537"
"Sep 28, 2017",0.000993,0.001045,0.000929,0.001026,"1,763","39,866"
"Sep 27, 2017",0.001073,0.001115,0.000946,0.000983,"1,913","42,956"
"Sep 26, 2017",0.000884,0.001094,0.000868,0.001086,"2,154","35,264"
"Sep 25, 2017",0.000996,0.001019,0.000869,0.000884,"2,575","39,654"
"Sep 24, 2017",0.001108,0.001108,0.000952,0.000959,"2,689","43,979"
"Sep 23, 2017",0.001066,0.001242,0.001042,0.001116,"1,333","42,167"
"Sep 22, 2017",0.001208,0.001211,0.001034,0.001063,"4,322","47,629"
"Sep 21, 2017",0.001251,0.001257,0.001073,0.001208,"3,725","49,130"
"Sep 20, 2017",0.001352,0.001352,0.001204,0.001251,"9,656","52,901"
"Sep 19, 2017",0.001409,0.001499,0.001230,0.001352,"7,081","55,046"
"Sep 18, 2017",0.001154,0.001602,0.001154,0.001409,"18,468","44,891"
"Sep 17, 2017",0.001580,0.001594,0.001123,0.001153,"6,976","61,267"
"Sep 16, 2017",0.001840,0.001989,0.001410,0.001580,"19,563","71,153"
"Sep 15, 2017",0.001984,0.002287,0.001162,0.001844,"58,910","76,468"
"Sep 14, 2017",0.003857,0.003857,0.001879,0.001983,"41,394","148,187"
"Sep 13, 2017",0.004050,0.004264,0.003669,0.003857,"18,483","155,113"
"Sep 12, 2017",0.003834,0.004606,0.003820,0.004052,"48,833","146,310"
"Sep 11, 2017",0.003241,0.004103,0.003138,0.003834,"27,307","123,273"
"Sep 10, 2017",0.004067,0.004457,0.002756,0.003216,"45,185","154,165"
"Sep 09, 2017",0.004255,0.004872,0.003650,0.004068,"40,378","160,802"
"Sep 08, 2017",0.006074,0.006156,0.003936,0.004254,"113,603","228,864"
"Sep 07, 2017",0.002319,0.008789,0.002135,0.006031,"199,810","87,024"
"Sep 06, 2017",0.004319,0.004411,0.002122,0.002324,"3,428","161,529"
"Sep 05, 2017",0.005986,0.005986,0.003551,0.004313,"1,376","223,260"
"Sep 04, 2017",0.006649,0.006838,0.004785,0.005983,"21,051","247,260"
"Sep 03, 2017",0.006966,0.007518,0.006164,0.006638,"15,608","258,174"
"Sep 02, 2017",0.007557,0.008027,0.006760,0.006964,"67,311","279,097"
"Sep 01, 2017",0.007282,0.007559,0.007079,0.007559,"27,105","268,044"
"Aug 31, 2017",0.007407,0.007660,0.007104,0.007261,"17,241","271,669"
"Aug 30, 2017",0.007811,0.007811,0.006836,0.007407,"20,346","285,529"
"Aug 29, 2017",0.007833,0.007997,0.007260,0.007807,"45,294","285,376"
"Aug 28, 2017",0.008395,0.008441,0.007544,0.007845,"25,755","304,771"
"Aug 27, 2017",0.008401,0.009010,0.008043,0.008328,"37,218","303,902"
"Aug 26, 2017",0.007967,0.009107,0.007689,0.008401,"48,703","287,232"
"Aug 25, 2017",0.008221,0.008372,0.007600,0.007959,"9,120","295,351"
"Aug 24, 2017",0.008995,0.009001,0.008089,0.008222,"12,160","321,967"
"Aug 23, 2017",0.008890,0.009186,0.008225,0.008988,"24,448","316,980"
"Aug 22, 2017",0.008219,0.008919,0.007770,0.008919,"20,616","292,013"
"Aug 21, 2017",0.008501,0.009847,0.007817,0.008215,"60,692","301,081"
"Aug 20, 2017",0.008259,0.008846,0.008113,0.008515,"11,391","291,402"
"Aug 19, 2017",0.008295,0.009146,0.007815,0.008819,"22,911","291,540"
"Aug 18, 2017",0.009114,0.009283,0.008237,0.008286,"19,241","319,228"
"Aug 17, 2017",0.009534,0.009659,0.008379,0.009118,"45,250","332,820"
"Aug 16, 2017",0.010011,0.010620,0.009174,0.009653,"56,185","348,261"
"Aug 15, 2017",0.009997,0.010455,0.009253,0.010021,"36,178","346,504"
"Aug 14, 2017",0.010896,0.011385,0.009225,0.010413,"79,198","376,466"
"Aug 13, 2017",0.011029,0.011476,0.010804,0.010896,"36,451","379,501"
"Aug 12, 2017",0.010941,0.012724,0.010748,0.011030,"301,888","375,321"
"Aug 11, 2017",0.011025,0.011553,0.010915,0.010938,"141,344","376,856"
"Aug 10, 2017",0.011465,0.012023,0.010954,0.010998,"100,727","390,210"
"Aug 09, 2017",0.011605,0.011827,0.011058,0.011455,"69,829","393,573"
"Aug 08, 2017",0.011815,0.013638,0.011150,0.011607,"267,768","399,265"
"Aug 07, 2017",0.010889,0.011939,0.010830,0.011777,"46,825","366,545"
"Aug 06, 2017",0.012711,0.013122,0.010879,0.010879,"62,917","426,465"
"Aug 05, 2017",0.012726,0.013156,0.012186,0.012652,"47,109","425,296"
"Aug 04, 2017",0.012344,0.013986,0.012113,0.012732,"90,104","410,947"
"Aug 03, 2017",0.012248,0.012555,0.011986,0.012360,"36,390","406,295"
"Aug 02, 2017",0.012046,0.012663,0.011759,0.012223,"64,749","398,271"
"Aug 01, 2017",0.011931,0.012418,0.011865,0.012040,"33,241","392,929"
"Jul 31, 2017",0.012027,0.012265,0.011203,0.011925,"37,332","394,469"
"Jul 30, 2017",0.012157,0.012576,0.011793,0.012043,"28,524","396,981"
"Jul 29, 2017",0.013429,0.013429,0.011946,0.012127,"56,422","436,929"
"Jul 28, 2017",0.011516,0.014097,0.011006,0.013419,"159,380","373,075"
"Jul 27, 2017",0.011653,0.012522,0.010950,0.011527,"61,112","376,145"
"Jul 26, 2017",0.010262,0.013984,0.010230,0.011810,"262,547","329,827"
"Jul 25, 2017",0.010791,0.010835,0.009890,0.010256,"74,259","345,491"
"Jul 24, 2017",0.010165,0.011184,0.009747,0.010821,"75,966","324,041"
"Jul 23, 2017",0.010151,0.011338,0.009280,0.010310,"89,183","322,328"
"Jul 22, 2017",0.009191,0.010379,0.008956,0.010251,"43,770","290,608"
"Jul 21, 2017",0.008735,0.010747,0.008735,0.009189,"66,651","274,936"
"Jul 20, 2017",0.007389,0.009444,0.007389,0.008724,"42,872","231,723"
"Jul 19, 2017",0.007779,0.009574,0.007184,0.007672,"81,139","242,815"
"Jul 18, 2017",0.006474,0.007895,0.006137,0.007731,"30,906","201,250"
"Jul 17, 2017",0.005915,0.006495,0.005803,0.006473,"11,070","183,058"
"Jul 16, 2017",0.006391,0.006903,0.005878,0.005887,"4,738","196,973"
"Jul 15, 2017",0.007201,0.007392,0.006040,0.006391,"10,632","221,053"
"Jul 14, 2017",0.007319,0.007887,0.006594,0.007053,"16,416","223,687"
"Jul 13, 2017",0.008210,0.008543,0.006563,0.007317,"23,683","249,754"
"Jul 12, 2017",0.006252,0.008499,0.005865,0.008499,"22,990","189,423"
"Jul 11, 2017",0.008115,0.008115,0.005867,0.006256,"18,559","245,036"
"Jul 10, 2017",0.008623,0.009002,0.008064,0.008064,"25,155","259,447"
"Jul 09, 2017",0.009717,0.009717,0.008298,0.008574,"16,835","290,983"
"Jul 08, 2017",0.008802,0.009958,0.007624,0.009717,"24,170","262,513"
"Jul 07, 2017",0.010061,0.010061,0.008748,0.008807,"20,413","298,914"
"Jul 06, 2017",0.010216,0.010637,0.009249,0.010062,"24,616","302,135"
"Jul 05, 2017",0.011495,0.011582,0.008968,0.010248,"63,442","338,966"
"Jul 04, 2017",0.011670,0.012304,0.010629,0.011451,"54,211","342,681"
"Jul 03, 2017",0.010342,0.012106,0.009083,0.011685,"83,052","302,409"
"Jul 02, 2017",0.013431,0.013465,0.008095,0.010653,"59,374","391,269"
"Jul 01, 2017",0.014694,0.014694,0.012828,0.013431,"33,427","426,337"
"Jun 30, 2017",0.014961,0.015216,0.013086,0.014690,"20,530","432,181"
"Jun 29, 2017",0.015574,0.015707,0.014606,0.014966,"52,249","447,923"
"Jun 28, 2017",0.016778,0.017038,0.014433,0.015601,"131,683","480,539"
"Jun 27, 2017",0.016694,0.018506,0.012404,0.016694,"143,046","475,774"
"Jun 26, 2017",0.017864,0.018171,0.013365,0.016694,"104,042","507,076"
"Jun 25, 2017",0.018006,0.019121,0.017429,0.017833,"99,860","508,760"
"Jun 24, 2017",0.018798,0.019124,0.017903,0.018008,"88,349","528,869"
"Jun 23, 2017",0.019443,0.019443,0.018614,0.019024,"102,913","544,612"
"Jun 22, 2017",0.020048,0.020048,0.018879,0.019460,"77,278","558,998"
"Jun 21, 2017",0.020112,0.020811,0.018937,0.020046,"119,967","558,216"
"Jun 20, 2017",0.020330,0.021669,0.019667,0.020143,"135,615","561,787"
"Jun 19, 2017",0.020153,0.021105,0.018943,0.020334,"174,901","554,163"
"Jun 18, 2017",0.020749,0.021284,0.019921,0.020142,"133,104","562,964"
"Jun 17, 2017",0.022409,0.022409,0.019479,0.020749,"227,386","608,020"
"Jun 16, 2017",0.022319,0.023564,0.020886,0.022696,"255,201","563,781"
"Jun 15, 2017",0.022329,0.023564,0.016321,0.022276,"471,197","564,046"
"Jun 14, 2017",0.018103,0.025963,0.018088,0.022130,"873,917","457,274"
"Jun 13, 2017",0.013711,0.019092,0.012535,0.018088,"628,896","346,348"
"Jun 12, 2017",0.013437,0.013923,0.011713,0.013399,"188,428","339,432"
"Jun 11, 2017",0.012154,0.014084,0.011474,0.013364,"198,471","307,005"
"Jun 10, 2017",0.006501,0.017590,0.006174,0.012874,"761,069","164,222"
"Jun 09, 2017",0.004304,0.008727,0.004245,0.006347,"128,715","108,716"
