Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.014090,0.014721,0.014024,0.014606,28,-
"Dec 15, 2017",0.012441,0.013556,0.012438,0.013369,161,-
"Dec 14, 2017",0.012937,0.013480,0.012345,0.012422,155,-
"Dec 13, 2017",0.013821,0.014004,0.012589,0.012978,36,-
"Dec 12, 2017",0.013469,0.014207,0.013154,0.013809,4,-
"Dec 11, 2017",0.013095,0.014003,0.013091,0.013426,17,-
"Dec 09, 2017",0.014637,0.014854,0.014214,0.014297,2,-
"Dec 08, 2017",0.014231,0.015194,0.012674,0.014652,4,-
"Dec 07, 2017",0.011126,0.014198,0.010984,0.014198,14,-
"Dec 06, 2017",0.010414,0.011161,0.010116,0.011145,427,-
"Dec 05, 2017",0.013172,0.013217,0.010253,0.010437,306,-
"Dec 04, 2017",0.011467,0.021159,0.011123,0.013146,"9,998",-
"Dec 03, 2017",0.018527,0.024029,0.010800,0.011429,"7,090",-
"Nov 29, 2017",0.008935,0.010295,0.008935,0.009841,13,-
"Nov 28, 2017",0.008780,0.008982,0.008695,0.008944,12,-
"Nov 27, 2017",0.010063,0.010507,0.008536,0.008757,117,-
"Nov 26, 2017",0.009863,0.010277,0.009652,0.010061,33,-
"Nov 25, 2017",0.009113,0.009413,0.009062,0.009376,13,-
"Nov 24, 2017",0.009089,0.009201,0.009061,0.009132,13,-
"Nov 20, 2017",0.008928,0.009175,0.008821,0.009143,7,-
"Nov 19, 2017",0.010097,0.010545,0.008852,0.008932,8,-
"Nov 18, 2017",0.008532,0.008662,0.008272,0.008560,30,-
"Nov 17, 2017",0.008668,0.008741,0.008450,0.008565,30,-
"Nov 16, 2017",0.008618,0.008890,0.008425,0.008730,1,-
"Nov 15, 2017",0.008381,0.008642,0.008373,0.008573,1,-
"Nov 14, 2017",0.007706,0.007931,0.007706,0.007754,22,-
"Nov 13, 2017",0.006928,0.007937,0.006874,0.007690,21,-
