Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",3.18,3.40,2.91,3.06,"1,724,070",-
"Dec 15, 2017",3.32,3.51,3.16,3.21,"1,464,870",-
"Dec 14, 2017",3.42,3.70,3.31,3.35,"2,334,310",-
"Dec 13, 2017",3.50,3.58,3.27,3.39,"1,076,510",-
"Dec 12, 2017",3.40,3.66,3.29,3.45,"1,322,910",-
"Dec 11, 2017",3.40,3.76,3.36,3.39,"1,346,200",-
"Dec 10, 2017",3.39,3.75,3.07,3.41,"1,009,130",-
"Dec 09, 2017",3.40,3.75,3.09,3.38,"1,134,310",-
"Dec 08, 2017",3.85,3.97,3.10,3.40,"1,806,750",-
"Dec 07, 2017",3.13,4.20,2.80,3.85,"3,705,730",-
"Dec 06, 2017",3.84,3.85,2.75,3.15,"5,496,810",-
"Dec 05, 2017",4.52,4.53,3.82,3.82,"2,860,450",-
"Dec 04, 2017",4.92,4.92,4.13,4.51,"3,708,960",-
"Dec 03, 2017",5.57,5.74,4.62,4.91,"3,953,460",-
"Dec 02, 2017",6.18,6.39,5.24,5.55,"5,027,140",-
"Dec 01, 2017",5.90,6.27,5.54,6.17,"2,396,840",-
"Nov 30, 2017",5.01,6.20,4.89,6.03,"3,822,920",-
"Nov 29, 2017",6.13,6.32,4.59,4.77,"3,149,140",-
"Nov 28, 2017",6.18,6.40,5.98,6.20,"2,326,850",-
"Nov 27, 2017",5.78,6.64,5.68,6.18,"4,343,310",-
"Nov 26, 2017",5.44,6.05,5.34,5.84,"1,939,620",-
"Nov 25, 2017",4.70,5.63,4.64,5.39,"3,351,570",-
"Nov 24, 2017",4.68,5.15,3.84,4.68,"6,786,420",-
"Nov 23, 2017",6.56,6.56,4.59,4.75,"8,634,450",-
"Nov 22, 2017",4.79,7.14,4.49,6.34,"22,251,200",-
"Nov 21, 2017",3.58,5.23,3.29,4.83,"8,229,770",-
"Nov 20, 2017",2.34,4.03,2.31,3.52,"8,742,010",-
"Nov 19, 2017",2.26,2.36,2.21,2.34,"655,212",-
"Nov 18, 2017",2.23,2.28,2.11,2.26,"627,414",-
"Nov 17, 2017",2.14,2.30,2.06,2.22,"1,356,120",-
"Nov 16, 2017",1.94,2.22,1.91,2.14,"1,778,000",-
"Nov 15, 2017",1.59,2.01,1.57,1.96,"1,050,160",-
"Nov 14, 2017",1.57,1.64,1.35,1.59,"739,952",-
"Nov 13, 2017",1.43,1.63,1.40,1.57,"252,722",-
"Nov 12, 2017",1.56,1.59,1.33,1.43,"488,176",-
"Nov 11, 2017",1.61,1.68,1.54,1.56,"407,372",-
"Nov 10, 2017",1.65,1.81,1.54,1.62,"414,658",-
"Nov 09, 2017",1.78,1.79,1.63,1.65,"672,076",-
"Nov 08, 2017",1.53,1.78,1.52,1.78,"589,163",-
"Nov 07, 2017",1.42,1.57,1.41,1.53,"449,293",-
"Nov 06, 2017",1.49,1.54,1.39,1.42,"253,432",-
"Nov 05, 2017",1.43,1.57,1.38,1.49,"345,374",-
"Nov 04, 2017",1.27,1.55,1.20,1.43,"646,446",-
"Nov 03, 2017",1.50,1.71,1.22,1.27,"1,252,330",-
"Nov 02, 2017",1.76,2.06,1.51,1.51,"3,801,830",-
"Nov 01, 2017",0.948980,1.87,0.932008,1.68,"7,277,070",-
"Oct 31, 2017",0.674005,1.22,0.665609,0.960674,"2,198,300",-
"Oct 30, 2017",0.628471,0.679586,0.625877,0.676295,"140,628",-
"Oct 29, 2017",0.582858,0.672266,0.581658,0.633348,"56,812",-
"Oct 28, 2017",0.575420,0.649144,0.575068,0.583635,"302,850",-
"Oct 27, 2017",0.554683,0.603485,0.547572,0.573850,"113,771",-
"Oct 26, 2017",0.438615,0.635748,0.438615,0.563709,"534,486",-
"Oct 25, 2017",0.407793,0.620209,0.397488,0.439800,"531,759",-
"Oct 24, 2017",0.370649,0.432124,0.355902,0.407628,"55,715",-
"Oct 23, 2017",0.358753,0.385204,0.339778,0.371454,"68,593",-
"Oct 22, 2017",0.420851,0.424539,0.359209,0.359336,"39,177",-
"Oct 21, 2017",0.450368,0.450368,0.409119,0.420722,"57,466",-
"Oct 20, 2017",0.421553,0.454901,0.415670,0.451318,"43,649",-
"Oct 19, 2017",0.407917,0.428792,0.393164,0.421429,"28,008",-
"Oct 18, 2017",0.403233,0.415313,0.356845,0.407705,"97,293",-
"Oct 17, 2017",0.433630,0.434868,0.399933,0.403201,"39,015",-
"Oct 16, 2017",0.442843,0.457183,0.423906,0.433573,"32,818",-
"Oct 15, 2017",0.469123,0.475170,0.427916,0.442783,"38,001",-
"Oct 14, 2017",0.466771,0.478038,0.457685,0.468285,"17,068",-
"Oct 13, 2017",0.475494,0.504879,0.448526,0.466645,"36,696",-
"Oct 12, 2017",0.429483,0.494983,0.428053,0.460889,"132,245",-
"Oct 11, 2017",0.395716,0.439712,0.392571,0.429119,"23,064",-
"Oct 10, 2017",0.391533,0.408901,0.390733,0.395774,"42,029",-
"Oct 09, 2017",0.395788,0.400576,0.376122,0.391555,"42,865",-
"Oct 08, 2017",0.405947,0.498751,0.390845,0.391159,"138,558",-
"Oct 07, 2017",0.379086,0.407995,0.371353,0.407036,"36,886",-
"Oct 06, 2017",0.383608,0.391747,0.368112,0.378971,"28,265",-
"Oct 05, 2017",0.379334,0.388369,0.368103,0.383990,"36,720",-
"Oct 04, 2017",0.374962,0.396436,0.365235,0.379083,"38,468",-
"Oct 03, 2017",0.417864,0.430864,0.369203,0.374098,"82,220",-
"Oct 02, 2017",0.428705,0.446550,0.392352,0.417849,"82,077",-
"Oct 01, 2017",0.434880,0.441295,0.414196,0.421940,"45,111",-
"Sep 30, 2017",0.457612,0.474057,0.412255,0.434855,"100,450",-
"Sep 29, 2017",0.510732,0.520080,0.456105,0.459527,"120,456",-
"Sep 28, 2017",0.508584,0.592456,0.490138,0.520582,"146,661",-
"Sep 27, 2017",0.441227,0.510634,0.441227,0.508544,"27,252",-
"Sep 26, 2017",0.448410,0.486297,0.439300,0.442459,"106,366",-
"Sep 25, 2017",0.422019,0.454994,0.411151,0.448453,"23,072",-
"Sep 24, 2017",0.444679,0.444679,0.412774,0.422448,"22,387",-
"Sep 23, 2017",0.428016,0.448115,0.420312,0.444716,"12,575",-
"Sep 22, 2017",0.401920,0.449443,0.400590,0.423220,"41,147",-
"Sep 21, 2017",0.434832,0.479879,0.400217,0.402387,"78,028",-
"Sep 20, 2017",0.433091,0.512258,0.417067,0.434541,"154,843",-
"Sep 19, 2017",0.437080,0.446210,0.401141,0.433675,"41,465",-
"Sep 18, 2017",0.413568,0.455159,0.413568,0.429772,"84,036",-
"Sep 17, 2017",0.441565,0.441565,0.396361,0.414378,"45,855",-
"Sep 16, 2017",0.411597,0.459495,0.393360,0.441883,"84,964",-
"Sep 15, 2017",0.311992,0.451364,0.284533,0.412667,"74,084",-
"Sep 14, 2017",0.376870,0.392956,0.309621,0.309621,"37,362",-
"Sep 13, 2017",0.407111,0.408547,0.367629,0.376915,"17,234",-
"Sep 12, 2017",0.400300,0.426251,0.399277,0.408613,"25,925",-
"Sep 11, 2017",0.395134,0.419945,0.384624,0.399914,"34,762",-
"Sep 10, 2017",0.423552,0.423552,0.375364,0.393899,"23,481",-
"Sep 09, 2017",0.389025,0.435064,0.381114,0.424641,"131,220",-
"Sep 08, 2017",0.410648,0.418284,0.371643,0.388252,"19,642",-
"Sep 07, 2017",0.409854,0.415557,0.391361,0.410563,"27,995",-
"Sep 06, 2017",0.387039,0.428679,0.380565,0.410637,"17,424",-
"Sep 05, 2017",0.370192,0.399267,0.347603,0.386589,"33,782",-
"Sep 04, 2017",0.404068,0.404370,0.352772,0.368296,"36,777",-
"Sep 03, 2017",0.392347,0.412399,0.384468,0.403910,"24,701",-
"Sep 02, 2017",0.424516,0.431720,0.382459,0.392103,"25,006",-
"Sep 01, 2017",0.414496,0.424979,0.398821,0.423999,"18,451",-
"Aug 31, 2017",0.394219,0.434935,0.385896,0.414406,"39,137",-
"Aug 30, 2017",0.440800,0.448918,0.374204,0.394907,"76,956",-
"Aug 29, 2017",0.431656,0.460305,0.424667,0.441397,"35,416",-
"Aug 28, 2017",0.433503,0.440484,0.408999,0.433007,"48,398",-
"Aug 27, 2017",0.434454,0.444634,0.426038,0.433940,"34,698",-
"Aug 26, 2017",0.437611,0.454316,0.398780,0.428385,"61,303",-
