Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000027,0.000194,0.000027,0.000193,"3,447","626,458"
"Dec 15, 2017",0.000163,0.000235,0.000027,0.000027,"4,098","3,733,950"
"Dec 14, 2017",0.000028,0.000170,0.000028,0.000163,277,"642,285"
"Dec 13, 2017",0.000247,0.000261,0.000028,0.000028,2,"5,663,410"
"Dec 12, 2017",0.000122,0.000260,0.000107,0.000246,270,"2,804,260"
"Dec 11, 2017",0.000034,0.000129,0.000019,0.000122,25,"766,890"
"Dec 10, 2017",0.000065,0.000109,0.000033,0.000034,28,"1,478,590"
"Dec 09, 2017",0.000120,0.000135,0.000056,0.000064,691,"2,749,100"
"Dec 08, 2017",0.000027,0.000124,0.000025,0.000120,31,"613,506"
"Dec 07, 2017",0.000048,0.000048,0.000026,0.000027,560,"1,107,590"
"Dec 06, 2017",0.000074,0.000114,0.000043,0.000049,6,"1,693,230"
"Dec 05, 2017",0.000041,0.000113,0.000029,0.000074,36,"926,507"
"Dec 04, 2017",0.000044,0.000093,0.000033,0.000040,7,"1,001,240"
"Dec 03, 2017",0.000086,0.000087,0.000042,0.000044,164,"1,969,120"
"Dec 02, 2017",0.000071,0.000089,0.000050,0.000086,49,"1,624,350"
"Dec 01, 2017",0.000040,0.000071,0.000010,0.000071,318,"914,645"
"Nov 30, 2017",0.000045,0.000047,0.000031,0.000040,76,"1,019,000"
"Nov 29, 2017",0.000063,0.000064,0.000016,0.000044,15,"1,441,930"
"Nov 28, 2017",0.000021,0.000063,0.000017,0.000062,136,"476,957"
"Nov 27, 2017",0.000075,0.000076,0.000021,0.000021,33,"1,711,980"
"Nov 26, 2017",0.000090,0.000092,0.000067,0.000075,106,"2,058,030"
"Nov 25, 2017",0.000056,0.000090,0.000056,0.000090,420,"1,275,240"
"Nov 24, 2017",0.000070,0.000070,0.000048,0.000056,20,"1,607,390"
"Nov 23, 2017",0.000082,0.000082,0.000070,0.000070,11,"1,861,560"
"Nov 22, 2017",0.000017,0.000082,0.000017,0.000082,34,"385,598"
"Nov 21, 2017",0.000086,0.000089,0.000017,0.000017,0,"1,966,110"
"Nov 20, 2017",0.000025,0.000090,0.000025,0.000086,323,"568,636"
"Nov 19, 2017",0.000211,0.000216,0.000014,0.000025,117,"4,821,600"
"Nov 18, 2017",0.000049,0.000212,0.000013,0.000212,"1,915","1,106,310"
"Nov 17, 2017",0.000058,0.000059,0.000049,0.000049,11,"1,325,200"
"Nov 16, 2017",0.000048,0.000077,0.000048,0.000058,23,"1,099,970"
"Nov 15, 2017",0.000045,0.000049,0.000044,0.000048,250,"1,017,630"
"Nov 14, 2017",0.000050,0.000062,0.000044,0.000045,55,"1,145,880"
"Nov 13, 2017",0.000044,0.000051,0.000041,0.000050,147,"1,012,660"
"Nov 12, 2017",0.000064,0.000064,0.000055,0.000062,6,"1,449,180"
"Nov 11, 2017",0.000066,0.000068,0.000062,0.000064,6,"1,497,620"
"Nov 10, 2017",0.000071,0.000073,0.000065,0.000066,198,"1,623,550"
"Nov 09, 2017",0.000075,0.000075,0.000071,0.000071,3,"1,700,380"
"Nov 08, 2017",0.000071,0.000078,0.000071,0.000075,10,"1,620,130"
"Nov 07, 2017",0.000070,0.000072,0.000070,0.000071,1,"1,584,100"
"Nov 06, 2017",0.000074,0.000074,0.000069,0.000070,4,"1,682,710"
"Nov 05, 2017",0.000074,0.000076,0.000073,0.000074,1,"1,678,670"
"Nov 04, 2017",0.000072,0.000075,0.000070,0.000074,8,"1,630,650"
"Nov 03, 2017",0.000070,0.000075,0.000069,0.000072,"1,019","1,597,700"
"Nov 02, 2017",0.000067,0.000073,0.000067,0.000070,308,"1,530,420"
"Nov 01, 2017",0.000129,0.000129,0.000064,0.000067,870,"2,930,870"
"Oct 31, 2017",0.000061,0.000129,0.000061,0.000129,113,"1,393,320"
"Oct 30, 2017",0.000062,0.000123,0.000060,0.000061,735,"1,399,720"
"Oct 29, 2017",0.000115,0.000117,0.000058,0.000062,279,"2,603,960"
"Oct 28, 2017",0.000058,0.000116,0.000057,0.000115,"3,588","1,309,850"
"Oct 27, 2017",0.000118,0.000120,0.000057,0.000057,31,"2,675,340"
"Oct 26, 2017",0.000115,0.000120,0.000058,0.000118,9,"2,605,650"
"Oct 25, 2017",0.000055,0.000115,0.000054,0.000115,53,"1,253,530"
"Oct 24, 2017",0.000117,0.000117,0.000055,0.000055,181,"2,664,400"
"Oct 23, 2017",0.000060,0.000119,0.000057,0.000118,855,"1,357,810"
"Oct 22, 2017",0.000060,0.000120,0.000057,0.000060,103,"1,365,410"
"Oct 21, 2017",0.000060,0.000124,0.000059,0.000060,"1,546","1,363,250"
"Oct 20, 2017",0.000057,0.000121,0.000057,0.000060,123,"1,294,810"
"Oct 19, 2017",0.000056,0.000115,0.000056,0.000057,39,"1,272,370"
"Oct 18, 2017",0.000112,0.000112,0.000105,0.000106,2,"2,541,600"
"Oct 17, 2017",0.000060,0.000112,0.000058,0.000112,2,"1,371,180"
"Oct 16, 2017",0.000057,0.000114,0.000056,0.000060,183,"1,291,490"
"Oct 15, 2017",0.000063,0.000072,0.000055,0.000057,"1,071","1,422,600"
"Oct 14, 2017",0.000057,0.000116,0.000056,0.000063,950,"1,282,490"
"Oct 13, 2017",0.000104,0.000111,0.000055,0.000057,"1,125","2,356,660"
"Oct 12, 2017",0.000097,0.000105,0.000049,0.000104,66,"2,188,040"
"Oct 11, 2017",0.000095,0.000097,0.000051,0.000096,207,"2,158,650"
"Oct 10, 2017",0.000048,0.000098,0.000048,0.000095,382,"1,090,830"
"Oct 09, 2017",0.000093,0.000099,0.000048,0.000048,822,"2,097,810"
"Oct 08, 2017",0.000125,0.000136,0.000091,0.000093,468,"2,829,960"
"Oct 07, 2017",0.000088,0.000128,0.000085,0.000125,597,"1,986,270"
