Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.015706,0.016488,0.007841,0.016358,32,"11,689"
"Dec 15, 2017",0.007299,0.015927,0.007297,0.015684,178,"5,432"
"Dec 14, 2017",0.005738,0.008383,0.005738,0.007288,"1,143","4,270"
"Dec 13, 2017",0.008638,0.008753,0.008233,0.008602,2,"6,429"
"Dec 12, 2017",0.013638,0.013831,0.008535,0.008631,37,"10,150"
"Dec 11, 2017",0.008386,0.015434,0.008349,0.013594,158,"6,241"
"Dec 10, 2017",0.007988,0.008675,0.004479,0.008447,4,"5,945"
"Dec 09, 2017",0.009596,0.009738,0.007195,0.007956,208,"7,142"
"Dec 08, 2017",0.013364,0.013563,0.008899,0.009605,2,"9,946"
"Dec 07, 2017",0.009478,0.013332,0.009108,0.013332,65,"7,054"
"Dec 06, 2017",0.008191,0.009507,0.007993,0.009494,283,"6,096"
"Dec 05, 2017",0.007227,0.008268,0.007148,0.008209,165,"5,379"
"Dec 04, 2017",0.011916,0.012100,0.006751,0.007213,10,"8,869"
"Dec 03, 2017",0.006340,0.012533,0.006298,0.011877,195,"4,719"
"Dec 02, 2017",0.006422,0.006422,0.006128,0.006334,163,"4,780"
"Dec 01, 2017",0.008294,0.008294,0.005582,0.006427,102,"6,173"
"Nov 30, 2017",0.006094,0.008413,0.005309,0.008336,102,"4,535"
"Nov 29, 2017",0.005659,0.006520,0.005183,0.006002,1,"4,212"
"Nov 28, 2017",0.010048,0.010233,0.005659,0.005665,261,"7,478"
"Nov 27, 2017",0.010622,0.011655,0.009603,0.010022,104,"7,906"
"Nov 26, 2017",0.009971,0.010848,0.009960,0.010620,224,"7,421"
"Nov 25, 2017",0.009359,0.009974,0.009307,0.009974,265,"6,966"
"Nov 24, 2017",0.010368,0.010368,0.008988,0.009378,454,"7,716"
"Nov 23, 2017",0.009541,0.010721,0.009399,0.010382,35,"7,101"
"Nov 22, 2017",0.009412,0.009756,0.009373,0.009544,400,"7,005"
"Nov 21, 2017",0.009560,0.009709,0.009044,0.009390,176,"7,115"
"Nov 20, 2017",0.010135,0.012957,0.009558,0.009558,566,"7,543"
"Nov 19, 2017",0.010123,0.013790,0.008774,0.010139,943,"7,534"
"Nov 18, 2017",0.008455,0.010220,0.008197,0.010142,115,"6,293"
"Nov 17, 2017",0.007217,0.008786,0.006886,0.008488,10,"5,371"
