Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.013037,0.014892,0.011784,0.012252,"16,500","1,161,220"
"Dec 15, 2017",0.014247,0.015886,0.012943,0.013021,"7,008","1,263,750"
"Dec 14, 2017",0.015348,0.015932,0.014116,0.014216,"2,907","1,355,890"
"Dec 13, 2017",0.017130,0.018387,0.014147,0.015343,"8,840","1,506,910"
"Dec 12, 2017",0.018099,0.019011,0.016640,0.017114,"10,115","1,585,520"
"Dec 11, 2017",0.016612,0.019590,0.016542,0.017778,"3,531","1,448,720"
"Dec 10, 2017",0.016630,0.018676,0.013794,0.016736,"4,492","1,444,140"
"Dec 09, 2017",0.019044,0.020581,0.014571,0.018124,"5,432","1,646,360"
"Dec 08, 2017",0.019332,0.024621,0.014738,0.019059,"9,401","1,663,970"
"Dec 07, 2017",0.015908,0.023738,0.011384,0.019287,"15,691","1,363,590"
"Dec 06, 2017",0.018215,0.018738,0.013850,0.015934,"15,305","1,554,760"
"Dec 05, 2017",0.011731,0.018404,0.011201,0.018141,"19,009","997,271"
"Dec 04, 2017",0.010680,0.011727,0.008841,0.011708,"24,237","904,116"
"Dec 03, 2017",0.012213,0.013633,0.010493,0.010646,"8,905","1,029,430"
"Dec 02, 2017",0.011861,0.013802,0.011340,0.011697,"9,122","995,083"
"Dec 01, 2017",0.011522,0.014012,0.010106,0.011875,"12,325","962,320"
"Nov 30, 2017",0.018589,0.019232,0.010592,0.011662,"21,627","1,545,530"
"Nov 29, 2017",0.022111,0.023739,0.012227,0.015190,"20,895","1,830,360"
"Nov 28, 2017",0.030467,0.030467,0.020084,0.022133,"16,290","2,511,100"
"Nov 27, 2017",0.021633,0.034834,0.010650,0.030391,"42,768","1,776,310"
"Nov 26, 2017",0.030581,0.031591,0.019676,0.021628,"16,975","2,499,790"
"Nov 25, 2017",0.032148,0.032429,0.027186,0.030591,"10,275","2,616,460"
"Nov 24, 2017",0.028166,0.032254,0.028063,0.032214,"8,632","2,281,770"
"Nov 23, 2017",0.031784,0.031838,0.027196,0.028836,"8,135","2,563,970"
"Nov 22, 2017",0.029605,0.032564,0.026432,0.031795,"25,854","2,376,430"
"Nov 21, 2017",0.032257,0.032362,0.026623,0.029533,"17,645","2,577,120"
"Nov 20, 2017",0.031983,0.036176,0.029523,0.032251,"18,981","2,543,050"
"Nov 19, 2017",0.028452,0.034340,0.027048,0.031998,"14,312","2,250,660"
"Nov 18, 2017",0.030952,0.031313,0.025089,0.028504,"10,469","2,436,200"
"Nov 17, 2017",0.032190,0.032932,0.028265,0.031071,"14,441","2,519,820"
"Nov 16, 2017",0.035404,0.035641,0.030441,0.032243,"25,512","2,759,340"
"Nov 15, 2017",0.033990,0.036923,0.032020,0.035220,"11,081","2,637,050"
"Nov 14, 2017",0.033597,0.034680,0.032509,0.033967,"12,732","2,594,810"
"Nov 13, 2017",0.030864,0.035394,0.029727,0.033527,"9,262","2,372,950"
"Nov 12, 2017",0.034353,0.036748,0.025027,0.030819,"22,809","2,629,840"
"Nov 11, 2017",0.032556,0.038514,0.030798,0.034378,"13,672","2,480,990"
"Nov 10, 2017",0.031499,0.033135,0.027702,0.032673,"6,962","2,389,760"
"Nov 09, 2017",0.031921,0.032694,0.029722,0.031406,"8,821","2,410,490"
"Nov 08, 2017",0.025837,0.032381,0.025646,0.031955,"17,582","1,941,870"
"Nov 07, 2017",0.023256,0.030183,0.022059,0.025922,"13,681","1,739,950"
"Nov 06, 2017",0.027715,0.029888,0.021542,0.023293,"19,493","2,063,350"
"Nov 05, 2017",0.036614,0.038374,0.022325,0.027382,"15,580","2,713,870"
"Nov 04, 2017",0.038620,0.039045,0.033831,0.036668,"13,581","2,849,550"
"Nov 03, 2017",0.041026,0.041147,0.035706,0.038720,"16,697","3,014,000"
"Nov 02, 2017",0.042243,0.044799,0.035385,0.041076,"25,465","3,089,290"
"Nov 01, 2017",0.039174,0.052318,0.035757,0.042360,"73,832","2,852,100"
"Oct 31, 2017",0.038161,0.041374,0.034784,0.041059,"35,413","2,766,160"
"Oct 30, 2017",0.043782,0.044014,0.034164,0.038291,"17,663","3,159,460"
"Oct 29, 2017",0.042287,0.044924,0.040058,0.044037,"18,808","3,036,980"
"Oct 28, 2017",0.042062,0.043330,0.040274,0.042345,"16,414","3,006,480"
"Oct 27, 2017",0.044802,0.045624,0.037945,0.041948,"17,519","3,187,060"
"Oct 26, 2017",0.049748,0.050279,0.042403,0.044792,"7,524","3,521,140"
"Oct 25, 2017",0.053838,0.053896,0.038309,0.049759,"21,130","3,790,740"
"Oct 24, 2017",0.041840,0.063915,0.035837,0.052329,"40,259","2,930,420"
"Oct 23, 2017",0.049530,0.051370,0.036729,0.041654,"25,285","3,447,840"
