Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.041145,0.043017,0.021157,0.034637,"1,176","370,303"
"Dec 15, 2017",0.041387,0.048113,0.038105,0.041068,"7,091","372,482"
"Dec 14, 2017",0.035182,0.044509,0.033002,0.041348,"3,016","316,637"
"Dec 13, 2017",0.041980,0.046967,0.025737,0.035202,"8,604","377,820"
"Dec 12, 2017",0.036460,0.046252,0.030648,0.041950,"5,857","328,142"
"Dec 11, 2017",0.038658,0.041899,0.026878,0.036671,"3,865","347,925"
"Dec 10, 2017",0.030858,0.039280,0.024829,0.038617,"4,832","277,723"
"Dec 09, 2017",0.029768,0.035359,0.024827,0.030759,"5,912","267,914"
"Dec 08, 2017",0.021127,0.039306,0.019817,0.029769,"11,348","190,146"
"Dec 07, 2017",0.012280,0.034071,0.011847,0.021097,"6,313","110,521"
"Dec 06, 2017",0.015223,0.015316,0.012074,0.012323,"1,327","137,003"
"Dec 05, 2017",0.013440,0.015483,0.013086,0.015250,647,"120,962"
"Dec 04, 2017",0.011613,0.013463,0.011488,0.013433,865,"104,518"
"Dec 03, 2017",0.013403,0.016546,0.009736,0.011966,228,"120,630"
"Dec 02, 2017",0.009206,0.013578,0.007792,0.013398,"1,033","82,852"
"Dec 01, 2017",0.005550,0.012147,0.004979,0.009206,"1,350","49,954"
"Nov 30, 2017",0.011705,0.012365,0.004480,0.005574,396,"105,348"
"Nov 29, 2017",0.010080,0.014063,0.005751,0.011557,"1,204","90,723"
"Nov 28, 2017",0.010584,0.015817,0.010066,0.010074,976,"95,254"
"Nov 27, 2017",0.019652,0.019820,0.010586,0.010598,"2,847","176,872"
"Nov 26, 2017",0.016046,0.026708,0.014902,0.019657,"5,066","144,411"
"Nov 25, 2017",0.008335,0.027097,0.007794,0.016045,"8,017","75,018"
"Nov 24, 2017",0.007392,0.010617,0.007308,0.008340,568,"66,525"
"Nov 23, 2017",0.011243,0.013217,0.006884,0.007423,"3,147","101,189"
"Nov 22, 2017",0.014042,0.024719,0.009819,0.011222,"5,178","126,378"
"Nov 21, 2017",0.031019,0.032668,0.009877,0.014031,"35,076","279,171"
"Nov 20, 2017",0.114662,0.215269,0.029418,0.031023,"868,719","1,031,960"
"Nov 19, 2017",0.629140,0.687505,0.100952,0.110310,"485,157","5,662,260"
"Nov 18, 2017",0.681896,0.732167,0.438352,0.630252,"646,708","6,137,070"
"Nov 17, 2017",0.843818,0.901949,0.632784,0.690311,"463,407","7,594,360"
"Nov 16, 2017",0.925289,0.999991,0.774153,0.842215,"731,608","8,327,600"
"Nov 15, 2017",1.13,1.14,0.801654,0.923971,"943,185","10,131,700"
"Nov 14, 2017",1.19,1.20,1.01,1.13,"707,531","10,698,600"
"Nov 13, 2017",0.871602,1.19,0.871602,1.17,"1,413,710","7,844,420"
"Nov 12, 2017",0.874018,1.07,0.678960,0.862476,"939,410","7,866,160"
"Nov 11, 2017",0.570845,0.898266,0.566552,0.858975,"1,178,360","5,137,600"
"Nov 10, 2017",0.570235,0.652147,0.539303,0.572322,"763,135","5,132,110"
"Nov 09, 2017",0.662598,0.669216,0.532798,0.569631,"829,241","5,963,380"
"Nov 08, 2017",0.369627,0.725571,0.368151,0.660263,"2,174,500",-
"Nov 07, 2017",0.335143,0.369888,0.334397,0.369888,"729,959",-
