Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.029152,0.084922,0.028155,0.079355,"336,104","459,051"
"Dec 15, 2017",0.025184,0.032571,0.025100,0.028100,"129,491","396,569"
"Dec 14, 2017",0.023292,0.026779,0.022017,0.025146,"201,918","366,766"
"Dec 13, 2017",0.029067,0.029484,0.022099,0.022533,"90,357","457,708"
"Dec 12, 2017",0.022934,0.036369,0.021636,0.029043,"220,702",-
"Dec 11, 2017",0.019971,0.033030,0.019751,0.023651,"227,679",-
"Dec 10, 2017",0.020455,0.022210,0.018041,0.020117,"188,632",-
"Dec 09, 2017",0.021105,0.028458,0.017631,0.020372,"176,891",-
"Dec 08, 2017",0.023090,0.037697,0.016390,0.016483,"228,896",-
"Dec 07, 2017",0.024349,0.025535,0.018461,0.023036,"198,598",-
"Dec 06, 2017",0.021284,0.026272,0.017077,0.024391,"182,712",-
"Dec 05, 2017",0.025112,0.026291,0.014375,0.023519,"163,304",-
"Dec 04, 2017",0.022010,0.027238,0.022010,0.025063,"138,377",-
"Dec 03, 2017",0.022695,0.026056,0.019760,0.021937,"142,737",-
"Dec 02, 2017",0.022655,0.025064,0.016340,0.021166,"126,177",-
"Dec 01, 2017",0.019881,0.026787,0.019101,0.024485,"136,696",-
"Nov 30, 2017",0.020542,0.024174,0.018500,0.019980,"118,454",-
"Nov 29, 2017",0.026561,0.027485,0.018884,0.020232,"82,012",-
"Nov 28, 2017",0.026926,0.028931,0.019112,0.026314,"85,675",-
"Nov 27, 2017",0.023652,0.033613,0.021672,0.028372,"127,513",-
"Nov 26, 2017",0.028199,0.032081,0.021003,0.023647,"129,604",-
"Nov 25, 2017",0.025299,0.031187,0.024018,0.028209,"105,193",-
"Nov 24, 2017",0.028451,0.030674,0.023893,0.025350,"118,220",-
"Nov 23, 2017",0.032167,0.035854,0.026733,0.027524,"128,495",-
"Nov 22, 2017",0.025233,0.036330,0.023534,0.032014,"129,674",-
"Nov 21, 2017",0.021670,0.026725,0.017811,0.025091,"99,945",-
"Nov 20, 2017",0.022660,0.027298,0.020540,0.022490,"107,543",-
