Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.016020,0.020995,0.007478,0.007596,48,"40,049"
"Dec 15, 2017",0.009025,0.015591,0.005604,0.015578,207,"22,562"
"Dec 14, 2017",0.009115,0.009771,0.008583,0.009016,10,"22,787"
"Dec 13, 2017",0.017773,0.018171,0.008961,0.009119,160,"44,433"
"Dec 12, 2017",0.014296,0.017888,0.010658,0.017761,171,"35,740"
"Dec 11, 2017",0.010291,0.015044,0.010279,0.014388,"1,493","25,728"
"Dec 10, 2017",0.007146,0.021287,0.006495,0.010279,"3,220","17,866"
"Dec 09, 2017",0.006789,0.007642,0.006789,0.007124,284,"16,974"
"Dec 08, 2017",0.013099,0.013869,0.005638,0.006790,148,"32,747"
"Dec 07, 2017",0.013127,0.013517,0.012305,0.013080,42,"32,817"
"Dec 06, 2017",0.016372,0.016372,0.012894,0.013173,405,"40,929"
"Dec 05, 2017",0.014453,0.020099,0.014379,0.016400,"3,797","36,133"
"Dec 04, 2017",0.004589,0.018607,0.004584,0.014446,"2,616","11,472"
"Dec 03, 2017",0.004349,0.007624,0.004325,0.004580,605,"10,872"
"Dec 02, 2017",0.004157,0.006554,0.004157,0.004347,92,"10,391"
"Dec 01, 2017",0.007416,0.007416,0.003562,0.004157,15,"18,540"
"Nov 30, 2017",0.008561,0.008844,0.003233,0.007434,372,"21,402"
"Nov 29, 2017",0.007693,0.013219,0.006872,0.008453,694,"19,233"
"Nov 28, 2017",0.003373,0.013339,0.003350,0.007687,"2,353","8,432"
"Nov 27, 2017",0.004706,0.005236,0.003182,0.003377,865,"11,764"
"Nov 26, 2017",0.003945,0.004728,0.001183,0.004707,119,"9,863"
"Nov 25, 2017",0.006976,0.007906,0.001781,0.003945,"1,044","17,439"
"Nov 24, 2017",0.008108,0.008182,0.003386,0.006977,428,"20,271"
"Nov 23, 2017",0.006814,0.008973,0.002076,0.008149,315,"17,034"
"Nov 22, 2017",0.002165,0.006798,0.001645,0.006798,"1,288","5,411"
"Nov 21, 2017",0.003714,0.003937,0.000881,0.002162,738,-
"Nov 20, 2017",0.028491,0.028501,0.003720,0.003720,"11,989",-
"Nov 19, 2017",0.009959,0.062715,0.009959,0.028425,"29,583",-
