Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000055,0.000055,0.000012,0.000040,504,-
"Dec 15, 2017",0.000036,0.000110,0.000036,0.000055,487,-
"Dec 14, 2017",0.000112,0.000114,0.000029,0.000036,309,-
"Dec 13, 2017",0.000028,0.000156,0.000027,0.000113,818,-
"Dec 12, 2017",0.000091,0.000092,0.000005,0.000028,411,-
"Dec 11, 2017",0.000111,0.000153,0.000090,0.000091,496,-
"Dec 10, 2017",0.000105,0.000155,0.000073,0.000112,37,-
"Dec 09, 2017",0.000105,0.000108,0.000023,0.000105,187,-
"Dec 08, 2017",0.000058,0.000162,0.000058,0.000106,"1,086",-
"Dec 07, 2017",0.000033,0.000058,0.000007,0.000058,341,-
"Dec 06, 2017",0.000009,0.000043,0.000005,0.000033,142,-
"Dec 05, 2017",0.000010,0.000118,0.000008,0.000009,478,-
"Dec 04, 2017",0.000005,0.000010,0.000005,0.000010,356,-
"Dec 03, 2017",0.000007,0.000014,0.000005,0.000005,23,-
"Dec 02, 2017",0.000043,0.000043,0.000007,0.000007,243,-
"Dec 01, 2017",0.000005,0.000044,0.000005,0.000043,201,-
"Nov 30, 2017",0.000010,0.000011,0.000004,0.000006,294,-
"Nov 29, 2017",0.000009,0.000019,0.000008,0.000010,967,-
"Nov 28, 2017",0.000022,0.000096,0.000008,0.000009,18,-
"Nov 27, 2017",0.000006,0.000022,0.000006,0.000022,147,-
"Nov 26, 2017",0.000006,0.000007,0.000006,0.000006,148,-
"Nov 25, 2017",0.000008,0.000008,0.000006,0.000006,"2,167",-
"Nov 24, 2017",0.000009,0.000012,0.000007,0.000008,131,-
"Nov 23, 2017",0.000012,0.000015,0.000008,0.000009,285,-
"Nov 22, 2017",0.000009,0.000012,0.000007,0.000012,394,-
"Nov 21, 2017",0.000065,0.000065,0.000009,0.000009,220,-
"Nov 20, 2017",0.000012,0.000070,0.000012,0.000065,"3,354",-
"Nov 19, 2017",0.000060,0.000061,0.000008,0.000012,"10,243",-
"Nov 18, 2017",0.000044,0.000073,0.000043,0.000061,"2,852",-
"Nov 17, 2017",0.000050,0.000061,0.000019,0.000044,91,-
"Nov 16, 2017",0.000072,0.000072,0.000049,0.000050,"2,428",-
"Nov 15, 2017",0.000025,0.000073,0.000025,0.000071,"3,034",-
"Nov 14, 2017",0.000027,0.000031,0.000013,0.000025,401,-
"Nov 13, 2017",0.000015,0.000049,0.000013,0.000027,268,-
"Nov 12, 2017",0.000029,0.000029,0.000005,0.000015,144,-
"Nov 11, 2017",0.000042,0.000046,0.000010,0.000029,175,-
"Nov 10, 2017",0.000021,0.000044,0.000012,0.000043,84,-
"Nov 09, 2017",0.000020,0.000036,0.000016,0.000021,"2,440",-
"Nov 08, 2017",0.000005,0.000020,0.000004,0.000020,"2,295",-
"Nov 07, 2017",0.000007,0.000046,0.000005,0.000006,145,-
"Nov 06, 2017",0.000004,0.000014,0.000004,0.000007,527,-
"Nov 05, 2017",0.000005,0.000006,0.000004,0.000004,"1,060",-
"Nov 04, 2017",0.000031,0.000033,0.000004,0.000005,524,-
"Nov 03, 2017",0.000004,0.000052,0.000004,0.000032,550,-
"Nov 02, 2017",0.000061,0.000065,0.000004,0.000004,210,-
"Nov 01, 2017",0.000060,0.000061,0.000004,0.000061,418,-
"Oct 31, 2017",0.000015,0.000063,0.000015,0.000060,56,-
"Oct 30, 2017",0.000005,0.000015,0.000003,0.000015,"1,170",-
"Oct 29, 2017",0.000055,0.000056,0.000005,0.000005,41,-
"Oct 28, 2017",0.000036,0.000058,0.000036,0.000055,173,-
"Oct 27, 2017",0.000003,0.000036,0.000003,0.000035,4,-
"Oct 26, 2017",0.000004,0.000004,0.000003,0.000003,27,-
"Oct 25, 2017",0.000021,0.000047,0.000003,0.000004,12,-
"Oct 24, 2017",0.000043,0.000044,0.000007,0.000021,156,-
"Oct 23, 2017",0.000004,0.000045,0.000004,0.000043,30,-
"Oct 22, 2017",0.000057,0.000058,0.000004,0.000004,68,-
"Oct 21, 2017",0.000005,0.000058,0.000004,0.000057,1,-
"Oct 20, 2017",0.000004,0.000006,0.000004,0.000005,484,-
"Oct 19, 2017",0.000011,0.000057,0.000004,0.000004,"1,607",-
"Oct 18, 2017",0.000004,0.000011,0.000004,0.000011,189,-
"Oct 17, 2017",0.000003,0.000006,0.000003,0.000004,"3,478",-
"Oct 16, 2017",0.000005,0.000018,0.000003,0.000003,31,-
"Oct 15, 2017",0.000003,0.000005,0.000003,0.000005,377,-
"Oct 14, 2017",0.000003,0.000003,0.000003,0.000003,888,-
"Oct 13, 2017",0.000017,0.000019,0.000003,0.000003,82,-
"Oct 12, 2017",0.000029,0.000037,0.000015,0.000017,20,-
"Oct 11, 2017",0.000013,0.000029,0.000012,0.000029,141,-
"Oct 10, 2017",0.000011,0.000021,0.000011,0.000013,263,-
"Oct 09, 2017",0.000031,0.000036,0.000006,0.000011,302,-
"Oct 08, 2017",0.000007,0.000031,0.000007,0.000031,9,-
"Oct 07, 2017",0.000021,0.000031,0.000003,0.000007,314,-
"Oct 06, 2017",0.000022,0.000023,0.000005,0.000021,548,-
"Oct 05, 2017",0.000009,0.000023,0.000008,0.000022,46,-
"Oct 04, 2017",0.000023,0.000023,0.000004,0.000009,187,-
"Oct 03, 2017",0.000003,0.000038,0.000003,0.000023,266,-
"Oct 02, 2017",0.000003,0.000003,0.000003,0.000003,334,-
"Oct 01, 2017",0.000010,0.000023,0.000003,0.000003,99,-
"Sep 30, 2017",0.000017,0.000017,0.000003,0.000010,28,-
"Sep 29, 2017",0.000020,0.000025,0.000010,0.000017,108,-
"Sep 28, 2017",0.000011,0.000030,0.000011,0.000020,360,-
"Sep 27, 2017",0.000005,0.000012,0.000004,0.000012,280,-
"Sep 26, 2017",0.000003,0.000006,0.000002,0.000005,17,-
"Sep 25, 2017",0.000006,0.000006,0.000002,0.000003,165,-
"Sep 24, 2017",0.000004,0.000010,0.000002,0.000006,214,-
"Sep 23, 2017",0.000007,0.000007,0.000002,0.000004,363,-
"Sep 22, 2017",0.000020,0.000020,0.000002,0.000007,"1,662",-
"Sep 21, 2017",0.000022,0.000038,0.000020,0.000020,11,-
"Sep 20, 2017",0.000025,0.000035,0.000019,0.000023,30,-
"Sep 19, 2017",0.000008,0.000026,0.000002,0.000025,180,-
"Sep 18, 2017",0.000017,0.000018,0.000004,0.000008,685,-
"Sep 17, 2017",0.000003,0.000023,0.000003,0.000017,395,-
"Sep 16, 2017",0.000006,0.000006,0.000002,0.000003,336,-
"Sep 15, 2017",0.000002,0.000029,0.000002,0.000006,"1,050",-
"Sep 14, 2017",0.000036,0.000039,0.000002,0.000002,31,-
"Sep 13, 2017",0.000015,0.000039,0.000015,0.000036,45,-
"Sep 12, 2017",0.000038,0.000038,0.000006,0.000015,875,-
"Sep 11, 2017",0.000007,0.000039,0.000007,0.000038,119,-
"Sep 10, 2017",0.000034,0.000042,0.000003,0.000007,213,-
"Sep 09, 2017",0.000003,0.000034,0.000003,0.000034,18,-
"Sep 08, 2017",0.000036,0.000045,0.000003,0.000003,212,-
"Sep 07, 2017",0.000008,0.000037,0.000006,0.000036,92,-
"Sep 06, 2017",0.000010,0.000010,0.000005,0.000008,"1,188",-
"Sep 05, 2017",0.000016,0.000037,0.000008,0.000010,811,-
"Sep 04, 2017",0.000023,0.000023,0.000002,0.000016,541,-
"Sep 03, 2017",0.000043,0.000046,0.000023,0.000023,16,-
"Sep 02, 2017",0.000045,0.000046,0.000003,0.000043,"1,314",-
"Sep 01, 2017",0.000002,0.000047,0.000002,0.000045,"2,824",-
"Aug 31, 2017",0.000011,0.000011,0.000002,0.000002,9,-
"Aug 30, 2017",0.000044,0.000044,0.000011,0.000011,206,-
"Aug 29, 2017",0.000035,0.000044,0.000035,0.000044,528,-
"Aug 28, 2017",0.000006,0.000042,0.000006,0.000035,223,-
"Aug 27, 2017",0.000003,0.000006,0.000001,0.000006,77,-
"Aug 26, 2017",0.000033,0.000040,0.000003,0.000003,"2,150",-
"Aug 25, 2017",0.000037,0.000038,0.000002,0.000033,40,-
"Aug 24, 2017",0.000040,0.000042,0.000036,0.000038,321,-
"Aug 23, 2017",0.000001,0.000040,0.000001,0.000040,18,-
"Aug 22, 2017",0.000005,0.000006,0.000001,0.000001,31,-
"Aug 21, 2017",0.000001,0.000005,0.000001,0.000005,4,-
"Aug 20, 2017",0.000013,0.000013,0.000001,0.000001,5,-
"Aug 19, 2017",0.000003,0.000040,0.000001,0.000013,12,-
"Aug 18, 2017",0.000011,0.000011,0.000003,0.000003,19,-
"Aug 17, 2017",0.000009,0.000012,0.000006,0.000007,112,-
"Aug 16, 2017",0.000014,0.000042,0.000011,0.000020,33,-
"Aug 15, 2017",0.000015,0.000017,0.000005,0.000014,41,-
"Aug 14, 2017",0.000006,0.000022,0.000001,0.000015,207,-
"Aug 13, 2017",0.000003,0.000017,0.000003,0.000006,797,-
