Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.354537,0.380223,0.353283,0.374208,"196,208","5,852,660"
"Dec 15, 2017",0.368225,0.375261,0.347742,0.354995,"154,378","6,078,640"
"Dec 14, 2017",0.362282,0.385494,0.345972,0.364841,"257,143","5,980,520"
"Dec 13, 2017",0.342801,0.427953,0.324589,0.364466,"465,932","5,658,930"
"Dec 12, 2017",0.348305,0.396221,0.314156,0.341071,"294,206","5,749,790"
"Dec 11, 2017",0.292899,0.376239,0.292899,0.345711,"175,037","4,835,150"
"Dec 10, 2017",0.356387,0.374868,0.288071,0.295378,"166,725","5,882,120"
"Dec 09, 2017",0.363858,0.392871,0.318758,0.351074,"165,594","6,005,430"
"Dec 08, 2017",0.338808,0.389802,0.282664,0.363428,"203,033","5,591,980"
"Dec 07, 2017",0.365266,0.385067,0.318244,0.338159,"189,445","6,028,630"
"Dec 06, 2017",0.376899,0.395088,0.324443,0.367366,"300,827","6,220,630"
"Dec 05, 2017",0.349370,0.465087,0.344238,0.377780,"746,207","5,766,250"
"Dec 04, 2017",0.341425,0.354574,0.328655,0.351185,"158,999","5,635,130"
"Dec 03, 2017",0.358658,0.378049,0.302695,0.339431,"422,947","5,919,570"
"Dec 02, 2017",0.350608,0.369299,0.336919,0.362563,"158,879","5,786,700"
"Dec 01, 2017",0.338733,0.362887,0.318170,0.347429,"118,097","5,590,700"
"Nov 30, 2017",0.307554,0.347645,0.282233,0.342896,"115,287","5,076,100"
"Nov 29, 2017",0.402133,0.419991,0.301894,0.302888,"188,347","6,637,100"
"Nov 28, 2017",0.369619,0.410339,0.366611,0.408751,"137,450","6,100,470"
"Nov 27, 2017",0.371289,0.390637,0.360904,0.370342,"104,478","6,128,030"
"Nov 26, 2017",0.338492,0.384572,0.336979,0.370630,"221,969","5,586,720"
"Nov 25, 2017",0.329763,0.346261,0.320827,0.337598,"91,919","5,442,650"
"Nov 24, 2017",0.322110,0.345049,0.314831,0.330595,"180,459","5,316,350"
"Nov 23, 2017",0.352730,0.359125,0.314482,0.315431,"192,153","5,821,710"
"Nov 22, 2017",0.309816,0.482442,0.306959,0.352758,"1,218,070","5,113,310"
"Nov 21, 2017",0.316886,0.330315,0.296958,0.307503,"92,531","5,230,000"
"Nov 20, 2017",0.306554,0.360507,0.306160,0.317832,"190,949","5,059,480"
"Nov 19, 2017",0.306110,0.319897,0.296130,0.306529,"102,366","5,052,150"
"Nov 18, 2017",0.287767,0.359568,0.276192,0.306721,"310,700","4,749,400"
"Nov 17, 2017",0.297436,0.303602,0.283031,0.288751,"71,124","4,908,970"
"Nov 16, 2017",0.306222,0.314902,0.287864,0.298673,"65,563","5,053,970"
"Nov 15, 2017",0.296846,0.315483,0.296846,0.304643,"39,764","4,898,540"
"Nov 14, 2017",0.284231,0.306714,0.284231,0.290751,"78,041","4,690,360"
"Nov 13, 2017",0.263928,0.302426,0.260855,0.284696,"70,325","4,355,310"
"Nov 12, 2017",0.301066,0.301389,0.254325,0.264370,"79,266","4,968,150"
"Nov 11, 2017",0.315793,0.333857,0.294717,0.301511,"104,694","5,211,190"
"Nov 10, 2017",0.351422,0.359526,0.305420,0.310704,"112,038","5,799,120"
"Nov 09, 2017",0.332820,0.360262,0.326232,0.348940,"166,501","5,492,110"
"Nov 08, 2017",0.326662,0.364871,0.317650,0.333337,"325,757","5,390,480"
"Nov 07, 2017",0.321574,0.485785,0.318705,0.325701,"1,852,620","5,306,530"
"Nov 06, 2017",0.324180,0.352307,0.305929,0.324599,"115,335","5,349,530"
"Nov 05, 2017",0.318784,0.350163,0.312229,0.319096,"134,087","5,260,480"
"Nov 04, 2017",0.280882,0.349066,0.272024,0.318958,"164,817","4,635,040"
"Nov 03, 2017",0.291968,0.381280,0.279025,0.280209,"201,313","4,817,970"
"Nov 02, 2017",0.307601,0.311743,0.276669,0.293851,"67,684","5,075,950"
"Nov 01, 2017",0.339024,0.341873,0.299204,0.307614,"117,671","5,594,480"
"Oct 31, 2017",0.320834,0.349083,0.318032,0.341114,"52,701","5,294,320"
"Oct 30, 2017",0.320026,0.332928,0.310795,0.325135,"73,723","5,280,980"
"Oct 29, 2017",0.330227,0.345907,0.318732,0.323871,"110,210","5,449,300"
"Oct 28, 2017",0.344676,0.352217,0.310603,0.331520,"102,565","5,687,750"
"Oct 27, 2017",0.310805,0.392156,0.301373,0.343724,"313,150","5,128,800"
"Oct 26, 2017",0.334692,0.347089,0.299008,0.313074,"137,558","5,522,970"
"Oct 25, 2017",0.362170,0.363159,0.326427,0.331670,"155,773","5,976,400"
"Oct 24, 2017",0.336315,0.430536,0.333278,0.362146,"630,506","5,549,750"
"Oct 23, 2017",0.408513,0.593592,0.330024,0.330024,"3,004,760","6,741,120"
"Oct 22, 2017",0.264866,0.476432,0.258722,0.406353,"1,551,150","4,370,670"
"Oct 21, 2017",0.298194,0.300670,0.254171,0.265040,"66,715","4,920,630"
"Oct 20, 2017",0.331272,0.341139,0.289420,0.299241,"115,632","5,466,460"
"Oct 19, 2017",0.295344,0.340592,0.293193,0.333113,"111,085","4,873,600"
"Oct 18, 2017",0.307063,0.323517,0.280762,0.295212,"132,376","5,066,990"
"Oct 17, 2017",0.332014,0.338209,0.298112,0.304115,"94,290","5,478,710"
"Oct 16, 2017",0.315276,0.349391,0.304735,0.332859,"68,289","5,202,490"
"Oct 15, 2017",0.329137,0.353362,0.297746,0.315257,"55,292","5,431,230"
"Oct 14, 2017",0.316837,0.377068,0.306466,0.332613,"124,580","5,228,250"
"Oct 13, 2017",0.316981,0.419196,0.274319,0.313313,"279,483","5,230,640"
"Oct 12, 2017",0.349992,0.383259,0.308440,0.316229,"141,192","5,775,360"
"Oct 11, 2017",0.345709,0.397672,0.310598,0.349697,"235,136","5,704,680"
"Oct 10, 2017",0.297673,0.378269,0.292138,0.345695,"179,753","3,536,120"
"Oct 09, 2017",0.376802,0.381008,0.291653,0.296037,"126,503","4,476,100"
"Oct 08, 2017",0.471039,0.482240,0.376481,0.376765,"177,016","5,595,550"
"Oct 07, 2017",0.497532,0.532077,0.444009,0.474293,"91,931","5,910,270"
"Oct 06, 2017",0.503503,0.530699,0.441677,0.502802,"290,108","5,981,080"
"Oct 05, 2017",0.505305,0.527454,0.490269,0.501123,"107,405","6,002,480"
"Oct 04, 2017",0.538231,0.543712,0.499750,0.508215,"106,232","6,393,610"
"Oct 03, 2017",0.579354,0.586398,0.507872,0.534105,"132,389","6,882,050"
"Oct 02, 2017",0.624038,0.626830,0.575361,0.580466,"157,812","7,412,850"
"Oct 01, 2017",0.651855,0.656035,0.608590,0.624434,"184,481","7,743,280"
"Sep 30, 2017",0.617570,0.667371,0.614757,0.651356,"263,100","7,336,020"
"Sep 29, 2017",0.639456,0.653125,0.604029,0.616598,"286,137","7,596,000"
"Sep 28, 2017",0.688284,0.689311,0.635783,0.641218,"364,341","8,176,020"
"Sep 27, 2017",0.614085,0.687158,0.609667,0.673398,"501,765","7,294,610"
"Sep 26, 2017",0.591505,0.670170,0.577679,0.616377,"400,915","7,026,390"
"Sep 25, 2017",0.571237,0.598782,0.563094,0.586991,"274,490","6,785,630"
"Sep 24, 2017",0.559914,0.583294,0.543268,0.567979,"203,132","6,651,130"
"Sep 23, 2017",0.549538,0.585228,0.538902,0.562971,"284,509","6,527,870"
"Sep 22, 2017",0.528641,0.577908,0.522287,0.548424,"245,898","6,279,640"
"Sep 21, 2017",0.674141,0.677329,0.532416,0.532416,"351,847","8,008,020"
"Sep 20, 2017",0.534758,0.784132,0.510778,0.682210,"984,963","6,352,300"
"Sep 19, 2017",0.505790,0.550809,0.483571,0.535630,"310,917","6,008,170"
"Sep 18, 2017",0.517707,0.554901,0.475856,0.499337,"237,575","6,149,730"
"Sep 17, 2017",0.472994,0.533488,0.436123,0.509846,"284,550","5,618,600"
"Sep 16, 2017",0.501670,0.560910,0.463244,0.474252,"258,015","5,959,230"
"Sep 15, 2017",0.456279,0.514796,0.371219,0.495488,"376,568","5,420,040"
"Sep 14, 2017",0.580888,0.586926,0.431277,0.451295,"241,722","6,900,240"
"Sep 13, 2017",0.617594,0.623279,0.554454,0.584599,"213,276","7,336,270"
"Sep 12, 2017",0.621528,0.631813,0.596864,0.616946,"230,717","7,383,000"
"Sep 11, 2017",0.617106,0.628589,0.563487,0.617640,"251,005","7,330,450"
"Sep 10, 2017",0.665073,0.665605,0.563422,0.606533,"252,144","7,900,240"
"Sep 09, 2017",0.643648,0.662745,0.579717,0.662745,"340,214","7,645,730"
"Sep 08, 2017",0.713264,0.744631,0.581148,0.639219,"343,846","8,472,690"
"Sep 07, 2017",0.732824,0.752993,0.694398,0.716626,"349,451","8,704,990"
"Sep 06, 2017",0.700678,0.801094,0.674768,0.736998,"366,074","8,323,130"
"Sep 05, 2017",0.676268,0.717661,0.596816,0.702168,"329,710","8,033,150"
"Sep 04, 2017",0.743963,0.773557,0.628907,0.666619,"330,390","8,837,280"
"Sep 03, 2017",0.758945,0.775047,0.718125,0.747324,"290,128","9,015,250"
"Sep 02, 2017",0.848772,0.891690,0.743790,0.759241,"339,149","10,082,300"
"Sep 01, 2017",0.786218,0.922548,0.773623,0.844397,"758,711","9,339,190"
"Aug 31, 2017",0.693596,0.896668,0.660263,0.790095,"960,360","8,238,960"
"Aug 30, 2017",0.674912,0.747918,0.637352,0.684924,"510,237","8,017,020"
"Aug 29, 2017",0.701168,0.701586,0.647738,0.681628,"397,631","8,328,920"
"Aug 28, 2017",0.693668,0.717756,0.660205,0.693247,"306,069","8,237,600"
"Aug 27, 2017",0.736627,0.757881,0.681208,0.693542,"214,846","8,747,770"
"Aug 26, 2017",0.719921,0.815555,0.698713,0.739283,"1,677,690","8,549,380"
"Aug 25, 2017",0.733092,0.774913,0.701552,0.719561,"512,096","8,705,780"
"Aug 24, 2017",0.711548,0.737109,0.686210,0.725543,"410,915","8,449,940"
"Aug 23, 2017",0.724112,0.743530,0.701903,0.713895,"415,851","8,599,150"
"Aug 22, 2017",0.790745,0.803959,0.671924,0.733677,"326,627","9,390,400"
"Aug 21, 2017",0.893658,0.909843,0.783032,0.783032,"487,875","10,612,500"
"Aug 20, 2017",0.744148,0.952385,0.727554,0.881453,"865,077","8,837,040"
"Aug 19, 2017",0.686860,0.778090,0.670702,0.743763,"554,076","8,156,730"
"Aug 18, 2017",0.879334,1.02,0.682049,0.693887,"1,536,100","10,442,400"
"Aug 17, 2017",0.599241,1.29,0.575557,0.821974,"2,859,150","7,116,220"
"Aug 16, 2017",0.605201,0.641798,0.577697,0.581290,"431,571","7,186,980"
"Aug 15, 2017",0.661239,0.685372,0.573004,0.605802,"464,223","7,852,440"
"Aug 14, 2017",0.513627,0.728107,0.510872,0.664388,"849,944","6,099,500"
"Aug 13, 2017",0.639992,0.732225,0.501292,0.542255,"784,386","7,600,120"
"Aug 12, 2017",0.472376,0.889018,0.448008,0.642875,"1,678,780","5,609,630"
"Aug 11, 2017",0.425692,0.495017,0.414092,0.473904,"301,104","5,055,230"
"Aug 10, 2017",0.422892,0.457014,0.409701,0.426471,"316,093","5,021,980"
"Aug 09, 2017",0.443212,0.453274,0.417824,0.417958,"239,666","5,263,280"
"Aug 08, 2017",0.416824,0.472523,0.410060,0.441787,"287,890","4,949,850"
"Aug 07, 2017",0.380486,0.447752,0.355309,0.416270,"283,227","4,518,320"
"Aug 06, 2017",0.386721,0.390356,0.350777,0.374723,"281,084","4,592,370"
"Aug 05, 2017",0.354536,0.390140,0.354093,0.382539,"243,908","4,210,170"
"Aug 04, 2017",0.375615,0.377595,0.344131,0.368914,"331,528","4,460,480"
"Aug 03, 2017",0.374279,0.384295,0.350745,0.375198,"258,863","4,444,620"
