Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.493935,0.530550,0.376968,0.392599,12,"2,996,940"
"Dec 15, 2017",0.464288,0.542962,0.464199,0.493243,22,"2,816,960"
"Dec 14, 2017",0.458350,0.477615,0.453171,0.463591,227,"2,780,870"
"Dec 13, 2017",0.483555,0.489973,0.330472,0.459826,456,"2,933,730"
"Dec 12, 2017",0.338248,0.550519,0.329661,0.483151,356,"2,052,110"
"Dec 11, 2017",0.305854,0.489067,0.304517,0.337166,70,"1,855,470"
"Dec 10, 2017",0.466013,0.485929,0.308079,0.308079,94,"2,827,020"
"Dec 09, 2017",0.487915,0.495144,0.271831,0.464132,380,"2,959,810"
"Dec 08, 2017",0.487339,0.494607,0.289947,0.488407,"1,612","2,956,250"
"Dec 07, 2017",0.274168,0.486195,0.270661,0.486195,234,"1,663,090"
"Dec 06, 2017",0.520450,0.566430,0.266503,0.274640,379,"3,156,950"
"Dec 05, 2017",0.365424,0.524826,0.249043,0.521607,615,"2,216,540"
"Dec 04, 2017",0.246307,0.364707,0.238563,0.364707,313,"1,493,970"
"Dec 03, 2017",0.251429,0.264118,0.226284,0.245493,22,"1,525,000"
"Dec 02, 2017",0.207020,0.255683,0.204043,0.251189,67,"1,255,600"
"Dec 01, 2017",0.231440,0.253119,0.204644,0.207197,16,"1,403,680"
"Nov 30, 2017",0.228320,0.247611,0.208413,0.232592,1,"1,384,730"
"Nov 29, 2017",0.225067,0.265726,0.211231,0.224866,35,"1,364,970"
"Nov 28, 2017",0.272175,0.278334,0.212879,0.225291,22,"1,650,640"
"Nov 27, 2017",0.175173,0.271931,0.175173,0.271472,72,"1,062,320"
"Nov 26, 2017",0.201165,0.201165,0.164247,0.175139,24,"1,219,920"
"Nov 25, 2017",0.229058,0.240770,0.193559,0.236579,48,"1,389,030"
"Nov 24, 2017",0.155195,0.230079,0.139423,0.229522,"3,130","941,087"
"Nov 23, 2017",0.158993,0.159769,0.142587,0.155408,42,"964,094"
"Nov 22, 2017",0.161876,0.163123,0.141177,0.159044,36,"981,559"
"Nov 21, 2017",0.142494,0.166984,0.134796,0.161484,0,"864,015"
"Nov 20, 2017",0.158455,0.158813,0.138665,0.142468,1,"960,763"
"Nov 19, 2017",0.136115,0.161746,0.132995,0.158529,867,"825,288"
"Nov 18, 2017",0.132827,0.137417,0.128768,0.136368,15,"805,329"
"Nov 17, 2017",0.140692,0.142170,0.131539,0.133338,132,"853,003"
"Nov 16, 2017",0.181262,0.186990,0.177203,0.186784,3,"1,098,930"
"Nov 15, 2017",0.184398,0.187461,0.122027,0.180317,28,"1,117,900"
"Nov 14, 2017",0.143679,0.185997,0.117317,0.184271,223,"871,027"
"Nov 13, 2017",0.158512,0.175434,0.134658,0.143375,27,"960,924"
"Nov 12, 2017",0.106677,0.173172,0.096730,0.158281,63,"646,683"
"Nov 11, 2017",0.161018,0.166778,0.105649,0.106756,120,"976,080"
"Nov 10, 2017",0.110640,0.175905,0.110521,0.161593,390,"670,673"
"Nov 09, 2017",0.115969,0.115969,0.110159,0.110312,10,"702,966"
"Nov 08, 2017",0.112330,0.116097,0.111233,0.116088,1,"680,907"
"Nov 05, 2017",0.117955,0.119789,0.116786,0.119071,83,"714,925"
"Nov 04, 2017",0.170859,0.173059,0.113671,0.118179,211,"1,035,560"
"Nov 03, 2017",0.106403,0.174767,0.105217,0.171305,834,"644,884"
"Nov 02, 2017",0.102275,0.111136,0.102275,0.106542,185,"619,851"
"Nov 01, 2017",0.141509,0.141555,0.098245,0.102161,18,"857,590"
"Oct 31, 2017",0.094255,0.141612,0.093258,0.141612,30,"571,206"
"Oct 29, 2017",0.086148,0.089063,0.085919,0.089063,40,"522,045"
"Oct 28, 2017",0.145642,0.148347,0.085793,0.086266,39,"882,557"
"Oct 27, 2017",0.107611,0.146036,0.104250,0.145245,0,"652,086"
"Oct 26, 2017",0.141410,0.152866,0.107554,0.107586,4,"856,875"
"Oct 25, 2017",0.111415,0.141679,0.108658,0.141427,1,"675,103"
"Oct 24, 2017",0.107047,0.111842,0.101562,0.111370,1,"648,590"
"Oct 23, 2017",0.109122,0.110728,0.103371,0.107283,15,"661,152"
"Oct 22, 2017",0.109750,0.110714,0.104953,0.109298,4,"664,942"
"Oct 21, 2017",0.111095,0.113191,0.107717,0.109717,11,"673,077"
"Oct 20, 2017",0.104679,0.113694,0.104355,0.111329,4,"634,189"
"Oct 19, 2017",0.130462,0.131849,0.101936,0.104649,5,"790,380"
"Oct 18, 2017",0.107642,0.131022,0.096628,0.130395,94,"652,117"
"Oct 17, 2017",0.131820,0.132197,0.126273,0.126873,6,"798,568"
"Oct 16, 2017",0.130713,0.132488,0.128921,0.131800,6,"791,852"
"Oct 15, 2017",0.131010,0.131433,0.122147,0.123117,10,"793,621"
"Oct 14, 2017",0.128172,0.130957,0.127445,0.130776,10,"776,424"
"Oct 13, 2017",0.199782,0.215804,0.198505,0.205005,13,"1,210,180"
"Oct 12, 2017",0.161389,0.199169,0.160974,0.199169,45,"977,594"
"Oct 11, 2017",0.176558,0.178996,0.161052,0.161253,84,"1,069,440"
"Oct 08, 2017",0.081185,0.081947,0.080908,0.081947,1,"491,710"
"Oct 07, 2017",0.165637,0.166094,0.079035,0.081402,1,"1,003,190"
"Oct 06, 2017",0.166538,0.166725,0.164002,0.165584,5,"1,008,640"
"Oct 02, 2017",0.167811,0.170541,0.166812,0.167212,18,"1,016,240"
"Oct 01, 2017",0.106709,0.167885,0.104737,0.167885,44,"646,200"
"Sep 30, 2017",0.160581,0.166647,0.106430,0.106651,77,"972,412"
"Sep 29, 2017",0.161832,0.163277,0.156219,0.160560,37,"979,968"
"Sep 28, 2017",0.117840,0.162492,0.114126,0.161957,8,"713,571"
