Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.068308,0.073190,0.021129,0.022788,"3,514","3,142,180"
"Dec 15, 2017",0.029550,0.069355,0.023917,0.068679,"25,621","1,359,320"
"Dec 14, 2017",0.011121,0.076479,0.007460,0.029507,"23,988","511,584"
"Dec 13, 2017",0.006387,0.011935,0.006118,0.011157,"1,564","293,815"
"Dec 12, 2017",0.009372,0.011597,0.006355,0.006380,168,"431,133"
"Dec 11, 2017",0.008748,0.013869,0.006657,0.009336,"2,400","402,416"
"Dec 10, 2017",0.010547,0.010547,0.006797,0.008825,213,"485,148"
"Dec 09, 2017",0.012903,0.013102,0.008544,0.010518,62,"593,519"
"Dec 08, 2017",0.009198,0.016313,0.007464,0.012913,197,"423,109"
"Dec 07, 2017",0.010300,0.012050,0.007485,0.009177,139,"473,790"
"Dec 06, 2017",0.008548,0.010331,0.008498,0.010316,137,"393,216"
"Dec 05, 2017",0.008161,0.009174,0.008072,0.008605,88,"375,428"
"Dec 04, 2017",0.008536,0.008837,0.007392,0.008141,78,"392,655"
"Dec 03, 2017",0.008734,0.009444,0.008058,0.008481,4,"401,766"
"Dec 02, 2017",0.008375,0.008822,0.007062,0.008723,49,"385,266"
"Dec 01, 2017",0.008175,0.008784,0.007186,0.008389,30,"376,050"
"Nov 30, 2017",0.007433,0.008681,0.007260,0.008205,109,"341,937"
"Nov 29, 2017",0.007177,0.008924,0.007000,0.007362,34,"330,160"
"Nov 28, 2017",0.008487,0.008659,0.007038,0.007112,75,"390,409"
"Nov 27, 2017",0.011094,0.011573,0.004268,0.008465,809,"510,315"
"Nov 26, 2017",0.006997,0.011177,0.006989,0.011089,15,"321,863"
"Nov 25, 2017",0.007982,0.010769,0.005380,0.006999,185,"367,167"
"Nov 24, 2017",0.007884,0.008172,0.007725,0.008077,0,"362,666"
"Nov 23, 2017",0.008534,0.008589,0.006482,0.007949,118,"392,558"
"Nov 22, 2017",0.005851,0.008589,0.005830,0.008546,576,"269,146"
"Nov 21, 2017",0.008257,0.008319,0.005805,0.005838,48,"379,810"
"Nov 20, 2017",0.006760,0.008329,0.005579,0.008268,309,"310,960"
"Nov 19, 2017",0.008486,0.008530,0.004912,0.006779,"2,596","390,359"
"Nov 18, 2017",0.010676,0.010836,0.008041,0.008501,254,"491,105"
"Nov 17, 2017",0.010899,0.011179,0.008565,0.010717,594,"501,367"
"Nov 16, 2017",0.008487,0.010952,0.008181,0.010917,601,"390,405"
"Nov 15, 2017",0.009650,0.010105,0.007814,0.008428,136,"443,879"
"Nov 14, 2017",0.007510,0.009684,0.007510,0.009642,222,"345,482"
"Nov 13, 2017",0.006458,0.009820,0.006458,0.007495,357,"297,065"
"Nov 12, 2017",0.009178,0.009185,0.006228,0.006449,272,"422,168"
"Nov 11, 2017",0.010295,0.010418,0.008699,0.009135,35,"473,556"
"Nov 10, 2017",0.009340,0.010582,0.008176,0.010364,282,"429,653"
"Nov 09, 2017",0.010550,0.010550,0.007333,0.009312,198,"485,305"
"Nov 08, 2017",0.010603,0.011686,0.010123,0.010563,"1,253","487,740"
"Nov 07, 2017",0.012804,0.013152,0.010412,0.010636,410,"589,008"
"Nov 06, 2017",0.010203,0.013179,0.008765,0.012825,422,"469,346"
"Nov 05, 2017",0.013279,0.013313,0.010068,0.010181,269,"610,829"
