Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.233123,0.277645,0.210152,0.215149,"1,301","604,510"
"Dec 15, 2017",0.321276,0.330473,0.166946,0.232688,"5,541","833,100"
"Dec 14, 2017",0.325186,0.352900,0.310043,0.320977,"1,511","843,240"
"Dec 13, 2017",0.323574,0.338949,0.260537,0.325387,"2,987","839,058"
"Dec 12, 2017",0.257256,0.325556,0.218744,0.323259,"7,071","667,090"
"Dec 11, 2017",0.232099,0.268054,0.202989,0.258904,"21,995","601,857"
"Dec 10, 2017",0.298317,0.298317,0.201580,0.231839,"1,521","773,566"
"Dec 09, 2017",0.240296,0.315421,0.216855,0.297359,"3,636","623,110"
"Dec 08, 2017",0.226854,0.269340,0.191017,0.240302,"25,019","588,256"
"Dec 07, 2017",0.304750,0.315253,0.189639,0.226522,"12,626","790,248"
"Dec 06, 2017",0.247711,0.310478,0.236944,0.305800,"4,196","642,340"
"Dec 05, 2017",0.291030,0.567449,0.247627,0.248151,"12,266","754,669"
"Dec 04, 2017",0.172917,0.379882,0.167158,0.290860,"18,754","448,392"
"Dec 03, 2017",0.116772,0.242818,0.115149,0.172595,"5,703","302,801"
"Dec 02, 2017",0.163949,0.163949,0.106995,0.116731,"5,226","425,137"
"Dec 01, 2017",0.137168,0.187508,0.098669,0.163955,"1,813","355,690"
"Nov 30, 2017",0.138106,0.171660,0.117106,0.137529,"1,485","358,123"
"Nov 29, 2017",0.212693,0.216438,0.125791,0.136328,"5,175","551,534"
"Nov 28, 2017",0.276742,0.758560,0.191010,0.212833,"20,008","717,620"
"Nov 27, 2017",0.285326,0.321138,0.163843,0.273410,"15,548","739,877"
"Nov 26, 2017",0.197704,0.321531,0.190904,0.285397,"14,097","512,666"
"Nov 25, 2017",0.318659,0.326128,0.181275,0.197697,"15,577","826,315"
"Nov 24, 2017",0.197601,0.323717,0.151625,0.318715,"23,095",-
"Nov 23, 2017",0.266382,0.296219,0.179903,0.268493,"2,542",-
"Nov 22, 2017",0.213731,0.348833,0.182638,0.348833,"11,442",-
"Nov 21, 2017",0.198255,0.217320,0.135474,0.213454,"3,755",-
"Nov 20, 2017",0.235431,0.281038,0.157383,0.198567,"18,494",-
"Nov 19, 2017",0.280757,0.281688,0.083112,0.235689,"26,518",-
"Nov 18, 2017",0.368677,0.407812,0.177578,0.233214,"8,606",-
"Nov 17, 2017",0.449401,0.451902,0.346244,0.369242,"6,364",-
"Nov 16, 2017",0.483181,0.509245,0.412760,0.449811,"2,218",-
"Nov 15, 2017",0.466342,0.559657,0.396093,0.483235,"7,315",-
"Nov 14, 2017",0.431900,0.475873,0.390794,0.466088,"1,929",-
"Nov 13, 2017",0.477697,0.495634,0.412923,0.431919,"2,140",-
"Nov 12, 2017",0.450075,0.494333,0.392212,0.476939,"4,379",-
"Nov 11, 2017",0.486173,0.537279,0.429171,0.450024,"12,165",-
"Nov 10, 2017",0.366688,0.523006,0.365476,0.487575,"5,913",-
"Nov 09, 2017",0.511355,0.575437,0.363534,0.366512,"8,880",-
"Nov 08, 2017",0.534855,0.585540,0.475262,0.514124,"5,640",-
"Nov 07, 2017",0.615090,0.615856,0.471345,0.535233,"4,803",-
"Nov 06, 2017",0.488912,0.617399,0.484169,0.614175,"9,706",-
"Nov 05, 2017",0.598103,0.605009,0.466236,0.488442,"6,022",-
"Nov 04, 2017",0.468410,0.771514,0.426641,0.597341,"43,133",-
"Nov 03, 2017",0.506788,0.514841,0.384818,0.468334,"4,629",-
"Nov 02, 2017",0.443066,0.510115,0.411319,0.504439,"5,265",-
"Nov 01, 2017",0.558659,0.560828,0.448101,0.451676,"8,289",-
"Oct 31, 2017",0.515288,0.610216,0.466214,0.559691,"8,652",-
"Oct 30, 2017",0.603793,0.617022,0.372112,0.515018,"9,662",-
"Oct 29, 2017",0.510064,0.615275,0.509083,0.605847,"6,778",-
"Oct 28, 2017",0.511558,0.536486,0.502980,0.510292,"4,245",-
"Oct 27, 2017",0.545430,0.557275,0.487786,0.511098,"8,089",-
"Oct 26, 2017",0.554142,0.641725,0.489881,0.545705,"19,358",-
"Oct 25, 2017",0.575818,0.690317,0.531062,0.555332,"11,138",-
"Oct 24, 2017",0.743300,0.812032,0.574938,0.575309,"31,848",-
"Oct 23, 2017",1.03,1.03,0.658255,0.743804,"18,182",-
"Oct 22, 2017",0.615771,1.16,0.583969,1.03,"43,842",-
"Oct 21, 2017",0.675150,0.747947,0.582161,0.615788,"37,011",-
"Oct 20, 2017",0.734242,1.11,0.618972,0.676037,"22,094",-
"Oct 19, 2017",0.992714,1.08,0.654572,0.734806,"12,815",-
"Oct 18, 2017",0.890587,1.22,0.606154,0.995029,"19,605",-
"Oct 17, 2017",1.10,1.10,0.770339,0.891644,"30,789",-
"Oct 16, 2017",1.20,1.26,1.07,1.10,"9,332",-
"Oct 15, 2017",1.46,1.47,1.09,1.20,"13,851",-
"Oct 14, 2017",1.68,1.70,1.06,1.45,"37,793",-
"Oct 13, 2017",1.17,2.16,0.960238,1.68,"64,705",-
"Oct 12, 2017",0.971527,2.06,0.941305,1.17,"47,503",-
"Oct 11, 2017",1.48,1.76,0.826770,0.965664,"98,858",-
"Oct 10, 2017",2.71,2.72,1.14,1.48,"36,380",-
"Oct 09, 2017",2.60,2.79,2.59,2.78,"21,319",-
