Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.650564,0.972263,0.648531,0.961674,"3,773","266,222"
"Dec 15, 2017",0.912125,0.926519,0.644044,0.649635,"1,539","373,257"
"Dec 14, 2017",1.00,1.04,0.824511,0.910758,"2,525","409,484"
"Dec 13, 2017",1.05,1.06,0.735442,1.00,907,"428,277"
"Dec 12, 2017",0.889885,1.20,0.639805,1.05,"2,682","364,156"
"Dec 11, 2017",0.907075,1.31,0.887071,0.887071,577,"371,191"
"Dec 10, 2017",0.878596,1.27,0.763398,0.913630,859,"359,536"
"Dec 09, 2017",0.934162,1.00,0.751431,0.875053,"2,890","382,275"
"Dec 08, 2017",1.26,1.28,0.918606,0.935007,"1,950","515,750"
"Dec 07, 2017",1.23,1.29,0.992002,1.26,"4,828","505,354"
"Dec 06, 2017",1.14,1.35,0.930969,1.24,"6,681","466,963"
"Dec 05, 2017",1.08,1.29,1.04,1.14,"6,437","442,264"
"Dec 04, 2017",1.15,1.56,0.971636,1.08,"9,379","471,327"
"Dec 03, 2017",0.843714,1.16,0.843272,1.15,"5,559","345,262"
"Dec 02, 2017",0.863146,0.983942,0.828778,0.842510,"2,082","353,214"
"Dec 01, 2017",0.710883,0.933303,0.676045,0.865934,"3,908","290,905"
"Nov 30, 2017",0.729885,0.913471,0.622959,0.713971,"1,909","298,681"
"Nov 29, 2017",0.858053,1.01,0.696237,0.718886,"3,443","351,356"
"Nov 28, 2017",0.851962,0.942071,0.806771,0.858823,"4,409","344,033"
"Nov 27, 2017",0.926953,1.03,0.776354,0.922879,"3,597","374,316"
"Nov 26, 2017",0.984640,0.984640,0.740262,0.926734,"1,609","397,611"
"Nov 25, 2017",0.970619,0.984991,0.797253,0.984991,"2,613","391,948"
"Nov 24, 2017",0.962902,0.982978,0.826447,0.972585,"5,978","388,832"
"Nov 23, 2017",1.01,1.01,0.735404,0.964282,"4,056","407,439"
"Nov 22, 2017",0.967779,1.06,0.949666,1.01,"4,645","390,802"
"Nov 21, 2017",1.00,1.13,0.944477,0.965518,"4,200","405,106"
"Nov 20, 2017",1.05,1.20,0.890615,1.00,"6,479","422,578"
"Nov 19, 2017",0.910504,1.08,0.896272,1.05,"4,556","367,673"
"Nov 18, 2017",0.945284,0.995634,0.871408,0.912262,"3,266","381,718"
"Nov 17, 2017",0.947082,0.969766,0.857626,0.948878,"8,519","382,444"
"Nov 16, 2017",0.811925,0.976285,0.793909,0.948627,"12,121","327,866"
"Nov 15, 2017",0.863568,0.931161,0.789133,0.861432,"6,326","348,720"
"Nov 14, 2017",0.743695,0.925441,0.742072,0.862978,"2,097","300,314"
"Nov 13, 2017",0.879845,0.990336,0.738185,0.773733,"2,628","355,293"
"Nov 12, 2017",0.855082,0.909068,0.655601,0.878565,"4,423","345,293"
"Nov 11, 2017",0.806017,0.935266,0.782914,0.855688,"3,517","325,480"
"Nov 10, 2017",1.00,1.03,0.808858,0.808858,"3,834","405,212"
"Nov 09, 2017",0.886290,1.06,0.838055,1.00,"8,737","357,895"
"Nov 08, 2017",0.921962,1.12,0.785779,0.887244,"11,402","372,300"
"Nov 07, 2017",0.799899,1.01,0.764719,0.924878,"5,552","323,009"
"Nov 06, 2017",0.955546,0.993964,0.801179,0.801179,"3,939","385,862"
"Nov 05, 2017",1.00,1.05,0.837188,0.953436,"9,203","404,069"
"Nov 04, 2017",0.972848,1.02,0.904915,1.00,"1,632","392,849"
"Nov 03, 2017",1.01,1.05,0.923684,0.975383,"5,133","406,783"
"Nov 02, 2017",1.11,1.21,0.984575,1.01,"6,731","449,238"
"Nov 01, 2017",1.20,1.26,1.09,1.12,"6,218","485,637"
"Oct 31, 2017",1.23,1.42,0.987155,1.21,"10,517","495,559"
"Oct 30, 2017",1.06,1.41,0.951668,1.23,"12,893","428,775"
"Oct 29, 2017",0.825159,1.05,0.808101,1.03,"6,467","333,210"
"Oct 28, 2017",0.834462,1.28,0.693975,0.826261,"11,113","333,785"
"Oct 27, 2017",0.596370,1.58,0.591733,0.832233,"7,171","238,548"
"Oct 26, 2017",0.601070,0.649909,0.581347,0.593362,354,"240,428"
"Oct 25, 2017",0.561303,0.841869,0.560311,0.585151,"2,336","224,521"
"Oct 24, 2017",0.622564,0.722213,0.589051,0.610141,"1,389","249,026"
"Oct 23, 2017",0.670973,0.710163,0.594340,0.623940,738,"268,389"
